Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,3680.6,0.0,207983.45,6911.64,34734.07,1730533.29,0.0,87976.09,18710.97,23686.91,42397.880000000005,0.0,87976.09,270550.25,122461.42,0.0,1189.08,1189.08,1121026.26,6867.04,1158405.51,0.0,392.32,162791.79,875.54,161916.24000000002,966444.64,6.0,-45652.7,0.01,120007.36,263638.61,321027.77,326.76,96544.38,3680.6,96544.38,0.0,22890.15,16023.11,23686.91,370510.199,16023.1,-796.76,0.0,120007.36,370775.23,370775.23,165251.61000000002,FRIGOLE BOSCH SL_resum
2000-01-01,3680.6,0.0,256661.42,6911.64,46509.86,1730533.29,0.0,93406.24,18927.29,40365.48,59292.77,0.0,93406.24,298132.82,135535.09,135.23,1226.75,1226.75,1552604.3,11821.1,1595371.6,2.37,397.79,197781.29,35.24,197746.05,1368364.58,6.0,-45652.7,0.0,163255.18,291221.18,321027.77,326.76,152629.3,3680.6,152629.3,0.0,39536.52,27715.42,40365.48,370510.199,27582.57,-828.9599999999999,-132.859,163255.19,454442.71,454442.71,195092.8,FRIGOLE BOSCH SL_resum
2001-01-01,95733.52,0.0,210343.2,6911.5,48633.28999999999,1730533.29,0.0,116355.41,14809.42,48009.94,62819.36,0.0,116355.41,331956.68,188583.25,823.39,3993.78,3993.78,1981179.37,12839.06,2030513.95,0.0,3470.16,393621.02,20326.73,372724.54,1745328.64,6.0,-45652.7,569.75,93987.79,325045.18,321027.77,326.76,176274.02,95733.52,176274.02,0.0,47486.32,34647.259999999995,48009.94,370510.199,33823.87,-523.62,-823.39,91424.84,603964.22,603964.22,254049.38,FRIGOLE BOSCH SL_resum
2002-01-01,73707.27,0.0,195772.32,6911.5,63488.59,1730533.29,0.0,78325.72,11138.95,78763.79,89902.739,0.0,78325.72,384306.33,197268.65,90.15,6693.72,6693.72,1853079.57,21074.41,1905027.07,0.0,1444.13,463408.4,16938.940000000002,445899.71,1575916.26,6.0,-45652.7,569.75,117446.6,377394.83,321027.77,326.76,201167.12,73707.27,201167.12,0.0,73514.2,52439.789,78763.79,370510.199,52349.64,-5249.59,-90.15,116027.78,659180.72,659180.72,288525.37,FRIGOLE BOSCH SL_resum
2003-01-01,21438.62,0.0,264868.23000000004,6911.5,85893.02,1730533.29,0.0,99812.89,15490.49,87733.07,103223.56,0.0,99812.89,454708.86,216091.55,197.25,5459.25,5459.25,1916513.49,24967.11,1963791.46,12311.859,981.21,444268.01,31987.15,411711.11,1605765.04,8.0,-45652.7,569.75,165055.34,447797.36,321027.77,326.76,232988.76,21438.62,232988.76,0.0,83255.03,58287.92,87733.07,370510.199,70402.53,-4478.04,12114.609,162847.63,709136.24,709136.24,332410.93000000005,FRIGOLE BOSCH SL_resum
2004-01-01,12338.66,0.0,190443.909,6911.5,83833.34,1730533.29,0.0,108215.38,16950.74,97541.24,114491.98,25472.0,133687.37999999998,521591.46,211240.33,295.08,2779.21,2779.21,1993266.81,28060.1,2053682.01,27.09,448.66,553107.74,25173.56,527364.43,1681694.64,6.0,-45652.7,569.749,56756.529,514679.96,321027.77,326.76,209621.53,12338.66,209621.53,0.0,95210.69,67150.59,97541.24,370510.199,66882.6,-2330.55,-267.98999999999995,55700.42,743551.65,743551.65,325912.98000000004,FRIGOLE BOSCH SL_resum
2005-01-01,21325.87,0.0,274770.33,6911.5,94852.79,1730533.29,0.0,122129.04,22743.99,104562.39,127306.38,0.0,122129.04,593700.26,233699.57,2559.48,2688.04,2688.04,2119927.87,27644.44,2182736.23,0.0,438.37,571689.8300000001,11584.4,560105.43,1779483.42,8.0,-45652.7,0.0,152641.29,586788.76,321027.77,326.76,231434.03,21325.87,231434.03,0.0,102312.72,74668.28,104562.39,370510.199,72108.8,-2249.67,-2559.48,152201.949,846460.16,846460.16,358884.83900000004,FRIGOLE BOSCH SL_resum
2006-01-01,92108.68,0.0,321045.25,6911.5,73658.18000000001,1730533.29,0.0,119073.22,24795.94,68481.95,93277.89,0.0,119073.22,642562.5,232597.1,1634.85,1359.72,1359.72,2145127.42,20458.14,2203800.82,2199.7,1633.3,747123.9400000001,8158.6,738965.3400000001,1831144.42,7.0,-45652.7,0.0,201972.03,635651.0,321027.77,326.76,333498.01,92108.68,333498.01,0.0,68755.53,48297.39,68481.95,370510.199,48862.24,273.58,564.8489999999999,201847.449,1068169.1900000002,1068169.1900000002,328073.139,FRIGOLE BOSCH SL_resum
2007-01-01,50957.94,0.0,186253.43,6911.5,61606.310000000005,1730533.29,0.0,103823.3,42830.87,28413.36,71244.23,5026.01,108849.31,661337.9400000001,233157.39,305.0,5206.28,5206.28,2012128.01,6343.48,2079014.659,0.0,2216.84,782435.02,4732.8,777702.22,1724579.59,7.0,-45652.7,0.0,77404.119,654426.4400000001,321027.77,326.76,256392.57,50957.94,256392.57,0.0,25423.92,19080.44,28413.36,370510.199,18775.44,-2989.44,-305.0,77403.0,968688.45,968688.45,306313.46,FRIGOLE BOSCH SL_resum
2008-01-01,1666.85,189908.74,214182.91,6911.5,72179.36,1730533.29,45691.09,82654.86,35419.25,49482.43,84901.68000000001,27328.92,-79924.959,698098.05,239955.82,0.0,3388.09,3388.09,2034995.84,12390.240000000002,2101043.489,0.0,3056.01,762050.8300000001,0.0,657171.72,1752836.2,7.0,-45652.7,104879.11,104199.13,691186.549,321027.77,326.76,40542.25,1993.61,276142.08,0.0,49150.350000000006,36760.11,49482.43,370510.199,36760.11,-332.079,0.0,89723.63,976233.74,976233.74,327913.51,FRIGOLE BOSCH SL_resum
2009-01-01,3200.0,170070.64,200718.76,6911.5,58148.850000000006,1601662.15,1666.85,105681.64,45927.45,15096.45,61023.899,0.0,-64389.0,710319.4500000001,243972.33,0.0,1090.5,1090.5,1929291.34,3055.36,1965849.82,0.0,1270.81,728340.89,149.5,621695.4400000001,1574333.23,7.0,-59191.44,106495.95,95037.12,703407.9500000001,349091.22000000003,0.0,43802.71,3200.0,215540.2,0.0,15276.76,12221.4,15096.45,364187.67,12221.4,180.309,0.0,85684.23999999999,929059.65,929059.65,306267.04,FRIGOLE BOSCH SL_resum
2010-01-01,37554.7,140302.08,201052.99,6911.5,49188.619,1464588.1800000002,0.0,98991.09,41403.77,10134.69,51538.46,0.0,-41310.989,718104.31,227822.2,0.0,799.2800000000001,799.2800000000001,1753024.76,1946.21,1791491.79,0.0,395.65,725011.6,0.0,625786.56,1464588.1800000002,7.0,-47542.95,99225.04,102061.9,711192.809,316768.92000000004,0.0,30103.5,37554.7,170405.58,0.0,9731.06,7784.849,10134.69,326903.61,7784.849,-403.63,0.0,92709.02,926064.59,926064.59,279756.31,FRIGOLE BOSCH SL_resum
2011-01-01,29886.89,135634.27000000002,182355.46,6911.5,11683.61,1512389.1900000002,0.0,90392.04,46049.25,-45532.32,516.93,0.0,-45242.22899999999,683738.6699999999,256624.51,0.0,984.32,984.32,1782204.87,-11455.22,1813526.07,0.0,695.7800000000001,690609.22,0.0,583735.87,1512389.1900000002,8.0,-43995.44,106873.35,91963.42,676827.1699999999,346669.2,0.0,23704.85,29886.89,159339.12,0.0,-45820.86,-34365.64,-45532.32,301136.88,-34365.64,-288.54,0.0,82610.54,872964.6799999999,872964.6799999999,257837.22,FRIGOLE BOSCH SL_resum
2012-01-01,26152.13,153102.19,260929.47,6911.5,56487.159,1580412.46,0.0,125894.49,37789.77,24321.23,62111.0,0.0,-27207.699,702436.06,247511.36,0.0,704.13,704.13,1922278.95,6232.46,1958778.95,0.0,1312.75,654070.9500000001,651.5,549752.98,1580412.46,8.0,-68744.13,103666.47,135034.97999999998,695524.56,354045.26,0.0,33310.04,26152.13,186412.23,0.0,24929.85,18697.39,24321.23,378366.4900000001,18697.39,608.62,0.0,125682.1,915000.42,915000.42,310935.11,FRIGOLE BOSCH SL_resum
2013-01-01,9528.5,0.0,107804.46,6911.5,43205.48,1054906.45,8401.53,40159.68,35009.83,10657.79,45667.62,0.0,40159.68,710631.71,188030.76,0.0,325.35,325.35,1288920.12,2731.8900000000003,1336014.36,0.0,595.1,633882.39,0.0,536714.6889999999,1054906.45,5.0,-47409.53,97167.7,67644.78,703720.21,270450.12,0.0,13125.11,9528.5,21526.64,0.0,10927.54,8195.65,10657.79,281107.91000000003,8195.65,269.75,0.0,58291.9,741686.8500000001,741686.8500000001,234293.48,FRIGOLE BOSCH SL_resum
2014-01-01,7400.0,0.0,97415.73,6911.5,16595.39,703369.5900000001,2128.21,19679.45,32690.52,-23209.16,9481.36,0.0,19679.45,694536.58,52130.25,0.0,142.0,142.0,8488.05,-6897.91,67478.97,0.0,358.12,624161.98,0.0,523903.25,703369.5900000001,1.0,-5867.360000000001,100258.73,77736.28,687625.08,90688.12900000002,0.0,17512.920000000002,7400.0,19641.13,0.0,-22993.04,-16095.13,-23209.16,67478.97,-16095.13,216.12,0.0,68383.4,721577.71,721577.71,61969.72899999999,FRIGOLE BOSCH SL_resum
2015-01-01,7400.0,0.0,128589.81,6911.5,30212.42,351832.7300000001,0.0,32183.58,23541.28,8921.94,32463.22,0.0,32183.58,701207.72,50526.51,0.0,7.23,7.23,30000.0,2594.3300000000004,88053.93,0.0,350.76,590309.8500000001,0.0,502684.79,351832.7300000001,1.0,-5064.2,87625.06,96406.23,694296.22,79131.98999999999,0.0,10291.94,7400.0,10291.94,0.0,9265.47,6671.139,8921.94,88053.93,6671.139,343.53,0.0,87053.35,718899.66,718899.66,83340.48999999999,FRIGOLE BOSCH SL_resum
2016-01-01,7400.0,0.0,147513.66,6911.5,19122.51,295.87,0.0,17018.129999999997,21228.33,-2995.86,18232.47,0.0,17018.129999999997,699101.9,50112.94,0.0,0.0,7.23,30000.0,-701.9399999999999,86281.2,0.0,188.1,573536.92,0.0,489016.8,295.87,1.0,-17639.920000000002,84520.12000000001,130495.53,692190.4,88981.19,0.0,14548.68,7400.0,14548.68,0.0,-2807.76,-2105.82,-2995.86,85985.33,-2105.82,188.1,0.0,56142.65,721050.58,721050.58,68533.51,FRIGOLE BOSCH SL_resum
2017-01-01,7400.0,0.0,115331.42,6911.5,17122.55,-3.61,0.0,16993.780000000002,19387.8,-3460.94,15926.859,0.0,16993.780000000002,696835.65,50219.99,0.0,0.0,7.23,33661.44,-755.09,89942.64,0.0,440.6,597951.7799999999,0.0,516483.45,-3.61,1.0,-23799.4,81468.33,98337.64,689924.149,93407.19,0.0,9047.55,7400.0,9047.55,0.0,-3020.34,-2265.25,-3460.94,89946.25,-2265.25,440.6,0.0,27568.53,713283.2,713283.2,66587.45,FRIGOLE BOSCH SL_resum
