Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,0.0,329685.27,343404.97000000003,60101.21,64153.89,877422.62,0.0,184335.85,43680.97,-892.7800000000001,42788.19,68549.67000000001,252885.52,1249247.37,734657.2799999999,0.0,2603.02,2603.02,1694921.1800000002,11023.88,1694921.1800000002,6177.18,28815.43,1408826.53,344338.5,1064488.03,659747.63,34.0,-392722.51,0.0,90519.449,1189146.16,1431628.49,6010.13,502984.13,6010.13,502984.13,0.0,25319.63,14295.75,-892.7800000000001,1815605.43,20472.92,26212.41,6177.18,88309.76,1752231.5,1752231.5,812438.07,FUNDIPOL SA_resum
2000-01-01,0.0,329685.27,891330.51,60101.21,309303.93000000005,877422.62,0.0,570047.43,49473.71,369520.66,418994.37,48759.57,618807.0,1451998.57,757842.41,0.0,40760.48,1021.16,2119219.63,139908.58,2119219.63,9.11,70969.5,1127173.13,0.0,324798.9,757211.41,32.0,-392722.51,802374.2289999999,272523.51,1391897.36,1431628.49,6010.13,566505.07,6010.13,566505.07,0.0,399729.69,259821.11,369520.66,1815605.43,259830.22,30209.03,9.11,267414.3,2018503.64,2018503.64,1208076.079,FUNDIPOL SA_resum
2001-01-01,0.0,329685.27,774677.6699999999,60101.21,31315.4,877422.62,0.0,353162.86,51119.55,-108266.47,-57146.92,58147.05,411309.91,598254.07,807314.9500000001,0.0,-39213.39,525.89,1741344.9,82116.69,1741344.9,0.0,49248.93,281296.85,0.0,280583.29000000004,795480.74,31.0,-392722.51,713.559,363367.76,538152.8600000001,1431628.49,6010.13,457720.45,6010.13,457720.45,0.0,-19804.15,-19804.15,-108266.47,1815605.43,-19804.15,88462.32,0.0,361262.31,1055974.52,1055974.52,839156.24,FUNDIPOL SA_resum
2002-01-01,0.0,329685.27,828611.08,60101.2,97342.04,877422.62,0.0,298632.05,52167.42,59791.95,111959.37,183119.9,481751.949,643428.99,817671.6799999999,0.0,0.11,0.0,1870213.23,24324.8,1905870.78,601.01,9106.57,274118.73000000004,0.0,271001.14,694760.56,35.0,-392722.51,3117.589,346859.129,583327.7899999999,1431628.49,6010.13,459300.82,6010.13,459300.82,0.0,68898.40999999999,44573.61,59791.95,1815605.43,45174.62,9106.46,601.01,344708.82,1102729.81,1102729.81,939338.52,FUNDIPOL SA_resum
2003-01-01,0.0,329685.27,893016.9,60101.2,74746.69,877422.62,0.0,299132.27,57054.48,18861.41,75915.89,125476.38,424608.65,661121.2,791527.4600000001,0.0,1115.232,0.0,1892278.29,9526.58,1927445.99,492.21,7865.17,217784.25,0.0,214666.66,829194.9600000001,33.0,-392722.51,3117.589,468408.25,601020.0,1431628.49,6010.13,449679.95,6010.13,449679.95,0.0,26726.58,17200.0,18861.41,1815605.43,17692.21,7865.17,492.21,465976.73,1110801.15,1110801.15,875800.73,FUNDIPOL SA_resum
2004-01-01,0.0,329685.27,1062747.3990000002,60101.2,104293.16,877422.62,0.0,367216.81,58791.78999999999,59835.44,118627.23,223026.05,590242.8600000001,706622.57,900900.12,0.0,2230.3540000000003,0.0,2108714.549,24500.74,2140733.959,997.67,9169.0,170073.37999999998,0.0,166955.79,882070.24,38.0,-392722.51,3117.589,472504.538,646521.37,1431628.49,6010.13,526198.2089999999,6010.13,526198.2089999999,0.0,69004.43999999999,44503.7,59835.44,1815605.43,45501.37,9169.0,997.67,470521.339,1232820.78,1232820.78,1029694.02,FUNDIPOL SA_resum
2005-01-01,0.0,329685.27,1177479.6800000002,60101.2,74851.02,877422.62,0.0,531637.2089999999,56455.66,31600.2,88055.86,151123.9,682761.1089999999,725017.93,998442.76,8965.02,3345.476,0.0,2389842.26,13141.42,2421842.26,0.0,8901.6,114829.72,0.0,111712.13,1023159.55,40.0,-392722.51,3117.589,494718.57,664916.73,1431628.49,6010.13,561281.3400000001,6010.13,561281.3400000001,6010.13,40501.8,27360.38,31600.2,1815605.43,18395.36,8901.6,-8965.02,493211.12,1292309.4,1292309.4,1086435.2,FUNDIPOL SA_resum
2006-01-01,0.0,329685.27,1138310.4,60101.2,64144.16,877422.62,0.0,399133.12,49204.39,-11852.01,37352.380000000005,214239.76,613372.88,739957.7,1026525.01,0.0,4460.598,0.0,2241011.63,-13272.33,2241011.63,0.0,13519.45,225751.91,0.0,222634.32,812458.38,41.0,-392722.51,3117.589,524937.519,679856.5,1431628.49,6010.13,618094.48,6010.13,618094.48,6010.13,1667.44,14939.77,-11852.01,1815605.43,14939.77,13519.45,0.0,523430.519,1364062.31,1364062.31,1077396.8390000002,FUNDIPOL SA_resum
2007-01-01,112951.37,329685.27,827821.75,60101.2,141831.37999999998,877422.62,0.0,350744.89,48164.15,106872.77,155036.91999999998,177672.01,528416.9,833624.93,1014939.62,0.0,5575.72,5575.72,2382312.86,45099.04,2382312.86,7684.53,29784.69,615117.5,0.0,214604.02,834634.23,41.0,-392722.51,400513.48,299404.85,773523.73,1431628.49,3604.75,496362.95,112951.37,496362.95,0.0,131081.739,85982.69900000001,106872.77,1815605.43,93667.23,24208.97,7684.53,297943.16,1442939.25,1442939.25,1207445.759,FUNDIPOL SA_resum
2008-01-01,94126.17,329685.27,1333062.51,60101.2,330732.12,877422.62,19162.85,377131.82,33924.36,383976.94,417901.3,201317.85,248764.4,1133231.25,1004981.62,0.0,6397.64,6397.64,2693028.05,127203.32,2693028.05,0.0,46431.78,581193.14,0.0,180679.66,884795.01,38.0,-392722.51,400513.48,754612.8400000001,1073130.05,1431628.49,1199.37,336850.74,95325.54,685698.8600000001,0.0,424011.08,296807.76,383976.94,1815605.43,296807.76,40034.14,0.0,747895.54,1914255.65,1914255.65,1469314.7,FUNDIPOL SA_resum
2009-01-01,71535.93,204701.81,1338103.7,60101.2,-42381.219,529645.75,22688.460000000003,341841.28,30764.74,-121895.68,-91130.939,165528.78,302668.25,1059643.419,844637.51,0.0,3318.84,3318.84,1574275.66,-30855.41,1574275.66,0.0,21213.15,186867.92,0.0,152894.91999999998,494756.34,36.0,-291123.34,33973.0,830733.64,999542.22,1166525.59,1009.99,165392.01,72545.92,392782.28,0.0,-104001.37,-73145.959,-121895.68,1044629.909,-73145.959,17894.309999999998,0.0,828496.73,1524971.62,1524971.62,774719.72,FUNDIPOL SA_resum
2010-01-01,48945.69,228589.79,1471937.08,60101.2,31317.5,528393.51,22665.74,353691.73000000004,30408.73,-10707.18,19701.55,183907.52,309009.45900000003,1060110.32,874256.2899999999,0.0,1713.12,1713.12,1814840.48,389.47,1814840.48,0.0,13718.54,156069.72,0.0,122486.19,530445.03,35.0,-392489.13,33583.53,934337.83,1000009.12,1297154.15,820.61,266874.65,49766.3,518130.18,0.0,1298.24,908.77,-10707.18,1286446.97,908.77,12005.42,0.0,932875.16,1628006.8,1628006.8,907676.38,FUNDIPOL SA_resum
2011-01-01,26355.36,206371.9,1500759.38,60101.2,73477.06,582611.48,22655.97,353325.63,39942.36,21762.02,61704.380000000005,164576.33,311530.059,1093203.15,937800.27,0.0,1494.28,1494.28,2012343.02,14372.02,2012343.02,0.0,27638.980000000003,101755.34,0.0,82543.83,586606.21,37.0,-430226.89,19211.51,982857.42,1033101.949,1407969.52,631.23,253297.11,26986.59,482324.98,0.0,47906.72,33534.69899999999,21762.02,1429731.54,33534.69899999999,26144.7,0.0,365565.31,1602514.72,1602514.72,1027143.63,FUNDIPOL SA_resum
2012-01-01,3765.06,157589.91,1451016.32,60101.2,57731.119,514433.12,22611.76,99905.04,23904.76,11346.36,35251.119,224916.42,167231.55,1126587.64,865129.12,0.0,834.05,834.05,1837048.65,14497.01,1837048.65,0.0,37811.06,63353.57,0.0,58639.07,551202.1699999999,35.0,-422235.29,4714.5,1126194.8590000002,1066486.439,1311269.1700000002,441.85,203373.67,4206.91,383575.34,0.0,48323.37,33826.36,11346.36,1322615.529,33826.36,36977.009,0.0,484079.21,1514369.89,1514369.89,938191.3,FUNDIPOL SA_resum
2013-01-01,0.0,204856.48,1568442.75,60101.2,35132.119,629957.7,3767.78,153299.16,22805.64,-219.07,22586.57,194664.66,143107.34,1138472.25,896124.4600000001,0.0,213.86,213.86,1953242.2,5282.78,1953242.2,0.0,18042.19,41003.52,0.0,35833.43,604435.48,35.0,-404573.47,5170.09,1220478.93,1078371.05,1323503.569,252.47,262097.29,252.47,470721.55,0.0,17609.260000000002,12326.48,-219.07,1323284.5,12326.48,17828.328999999998,0.0,5068.22,1609446.27,1609446.27,936753.22,FUNDIPOL SA_resum
