Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,76730.31,14146.02,59528.54,3005.06,11210.83,126962.63,0.0,28042.29,6456.99,10580.51,17037.5,4357.34,32399.63,16035.5,73285.34,0.0,3793.94,3793.94,220254.54,2037.36,220254.54,0.0,4.64,93606.31,2770.66,90835.65,113578.82,6.0,-27104.67,0.0,27128.909,13030.44,212605.349,0.0,60369.04,76730.31,60369.04,0.0,6791.21,4753.85,10580.51,197741.52,4753.84,-3789.3,0.0,26407.7,153134.84999999998,153134.84999999998,90327.47,FUSTERIA EL PASSEIG SL_resum
2000-01-01,72846.68000000001,14146.02,54158.56,3005.06,20298.43,126962.63,0.0,14819.55,11675.91,16545.109999999997,28221.02,9839.96,14819.55,24658.02,104207.61,0.0,4228.13,4228.13,231434.39,3695.36,231434.39,0.0,0.91,83156.89,1990.02,81166.86,80941.08,6.0,-27104.67,0.01,39339.01,21652.960000000003,212605.349,0.0,39810.75,72846.68000000001,39810.75,0.0,12317.88,8622.519,16545.109999999997,197741.52,8622.52,-4227.22,0.0,38798.1,137315.44999999998,137315.44999999998,132429.53,FUSTERIA EL PASSEIG SL_resum
2001-01-01,64145.64,14146.02,35609.310000000005,3005.06,19602.36,126962.63,0.0,17422.21,13066.57,14309.49,27376.059,15322.58,17422.21,31193.81,87571.48,0.0,5239.18,5239.18,217348.11,2801.05,217348.11,0.0,266.54,96440.6,15258.41,81182.18000000001,86715.87000000001,6.0,-27104.67,0.01,18187.1,28188.75,212605.349,0.0,36710.46,64145.64,36710.46,0.0,9336.84,6535.79,14309.49,197741.52,6535.79,-4972.64,0.0,15939.29,132049.91,132049.91,115214.069,FUSTERIA EL PASSEIG SL_resum
2002-01-01,57497.44,14146.02,40944.22,3005.06,20841.72,126962.63,0.0,14079.16,15595.16,10423.4,26018.559,20805.2,34884.36,36440.37,82290.56,0.0,3533.82,3533.82,195480.98,1901.38,195480.98,256.74,1.62,92564.32,11985.17,80579.15000000001,70564.86,6.0,-27104.67,0.0,6059.860000000001,33435.310000000005,212605.349,0.0,39570.73,57497.44,39570.73,0.0,6891.2,4989.820000000001,10423.4,197741.52,5246.56,-3532.2,256.74,4677.39,133508.54,133508.54,108567.48,FUSTERIA EL PASSEIG SL_resum
2003-01-01,57039.93,14146.02,55296.23,3005.06,24014.04,126962.63,0.0,11054.93,17175.980000000003,13942.67,31118.65,31853.64,42908.57,43278.43,94401.65,243.0,3960.78,3960.78,236672.12,2930.6,237411.04,0.0,29.77,75424.72,17466.85,57957.87,95140.81,6.0,-27104.67,0.0,12387.66,40273.37,212605.349,0.0,30402.59,57039.93,30402.59,0.0,10011.66,7081.059,13942.67,197741.52,6838.06,-3931.01,-243.0,10913.59,130720.95,130720.95,125307.069,FUSTERIA EL PASSEIG SL_resum
2004-01-01,53269.7,14146.02,89390.069,3005.06,23609.92,126962.63,0.0,26163.33,17160.39,11949.06,29109.449,35180.0,61343.33,49727.96,106432.18,0.0,2767.38,2767.38,275497.87,2764.09,275497.87,0.0,31.94,59254.33,11667.25,47587.08,113745.88,7.0,-27104.67,0.0,28046.739,46722.9,212605.349,0.0,45646.74,53269.7,45646.74,0.0,9213.62,6449.53,11949.06,197741.52,6449.53,-2735.44,0.0,27406.81,148644.4,148644.4,135573.57,FUSTERIA EL PASSEIG SL_resum
2005-01-01,36087.97,14146.02,113068.68,3005.06,20281.16,126962.63,0.0,75437.39,11632.87,14637.49,26270.36,15241.0,90678.39,58376.25,117132.86,0.0,2376.4300000000003,2376.4300000000003,277973.55,3706.41,281880.55,0.0,93.64,51277.05,5530.79,45746.26,119757.76,7.0,-27104.67,0.0,22390.29,55371.19,212605.349,0.0,69881.51,36087.97,69881.51,0.0,12354.7,8648.29,14637.49,197741.52,8648.29,-2282.79,0.0,22247.55,164345.73,164345.73,143496.86,FUSTERIA EL PASSEIG SL_resum
2006-01-01,33131.76899999999,14146.02,115806.61,3005.06,22232.73,126962.63,0.0,58008.3,8872.98,21009.16,29882.14,12420.0,70428.3,71736.0,116081.98,0.0,1961.31,1961.31,307778.33,5725.6,307778.33,0.0,37.5,42956.880000000005,586.05,42370.83,140729.31,7.0,-27104.67,0.0,45378.310000000005,68730.93999999999,212605.349,0.0,53895.72,33131.76899999999,53895.72,0.0,19085.35,13359.749000000002,21009.16,197741.52,13359.75,-1923.81,0.0,45378.310000000005,158763.49,158763.49,146001.62,FUSTERIA EL PASSEIG SL_resum
2007-01-01,43621.83,14146.02,146113.46,3005.06,14784.25,126962.63,0.0,79701.76,6213.6900000000005,14258.32,20472.01,57500.0,137201.76,80306.56,158430.47,0.0,2830.9100000000003,2830.9100000000003,295930.04,2856.8500000000004,295930.04,0.0,18.75,59773.78,18533.3,41240.48,90866.76,7.0,-27104.67,0.0,8911.699,77301.5,212605.349,0.0,81958.85,43621.83,81958.85,0.0,11427.41,8570.56,14258.32,197741.52,8570.56,-2830.9100000000003,0.0,8911.7,205887.24,205887.24,178902.47999999998,FUSTERIA EL PASSEIG SL_resum
2008-01-01,41962.69,14146.02,89220.57,3005.06,-5902.249,126962.63,0.0,24946.6,7419.3,-14863.83,-7444.53,51875.0,62675.58,66985.009,178081.37999999998,0.0,2898.24,2898.24,324704.15,-4440.52,324704.15,0.0,0.0,63088.1,12832.166666666668,58647.58,116337.63,4.0,-27104.67,4440.52,12398.97,63979.95,212605.349,0.0,29214.95,41962.69,43360.97,0.0,-17762.07,-13321.55,-14863.83,197741.52,-13321.55,-2898.24,0.0,12398.97,152308.67,152308.67,170636.849,FUSTERIA EL PASSEIG SL_resum
