Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,108041.57,24118.29,60095.68,3005.06,7684.6,80988.31,0.0,21982.86,7482.769999999999,5054.25,12537.02,36029.8,58012.66,2957.05,71352.48,0.0,4771.49,4771.49,194701.45,86.5,194701.45,0.0,5.57,102949.91,0.0,90546.01,88845.0,5.0,-38046.56,0.0,2083.019,-48.009,120575.239,0.0,52046.98,108041.57,52046.98,0.0,288.32,201.82,5054.25,118250.08,201.83,-4765.92,0.0,1196.92,163045.59,163045.59,83895.07,FUSTERIA PRIVAT SL_resum
2000-01-01,108041.57,24118.29,60095.68,3005.06,7684.6,80988.31,0.0,21982.86,7482.769999999999,5054.25,12537.02,36029.8,58012.66,2957.05,71352.48,0.0,4771.49,4771.49,194701.45,86.5,194701.45,0.0,5.57,102949.91,12403.9,90546.01,88845.0,5.0,-38046.56,0.0,2083.019,-48.009,120575.239,0.0,52046.98,108041.57,52046.98,0.0,288.32,201.82,5054.25,118250.08,201.83,-4765.92,0.0,1196.92,163045.59,163045.59,83895.07,FUSTERIA PRIVAT SL_resum
2001-01-01,101358.99,24118.29,79850.489,3005.5,7520.34,80988.31,0.0,21969.84,7397.7,4604.73,12002.43,57368.56,79338.4,3080.13,54222.74,0.0,4429.53,4429.53,157122.88999999998,52.56,157122.88999999998,0.0,8.719999999999999,97006.42,9038.240000000002,87968.19,69865.16,4.0,-38046.56,-0.01,512.089,74.63,120575.239,0.0,72417.79,101358.99,72417.79,0.0,175.20999999999998,122.65,4604.73,118250.08,122.64,-4429.53,0.0,3471.693333333333,176856.91,176856.91,66225.17000000001,FUSTERIA PRIVAT SL_resum
2002-01-01,130630.5,24118.29,93675.04,3005.5,8590.88,80988.31,0.0,43143.06,8119.19,7990.660000000001,16109.849,50140.17,93283.23,3551.8100000000004,69968.55,37.42,7291.269999999999,7291.269999999999,191290.91,202.15,191290.91,0.0,11.87,91064.44,5672.58,85391.86,83766.25,3.0,-38046.56,0.0,391.809,546.31,120575.239,0.0,50557.17,130630.5,50557.17,0.0,711.26,509.11,7990.660000000001,118250.08,471.69,-7279.4,-37.42,5746.466666666666,184739.48,184739.48,86052.85,FUSTERIA PRIVAT SL_resum
2003-01-01,123286.15,24118.29,71464.83,3005.5,6005.160000000001,80988.31,0.0,27519.61,4663.88,8935.98,13599.86,35532.17,63051.78,4893.09,87702.28,780.64,6628.1900000000005,6628.1900000000005,241790.09,574.8299999999999,241790.09,388.96,9.891666666666666,86400.56,0.0,86400.56,106241.81,3.0,-38046.56,0.0,8413.05,1887.59,120575.239,0.0,29686.15,123286.15,29686.15,0.0,2307.79,1732.96,8935.98,118250.08,1341.28,-6628.1900000000005,-391.68,8021.24,157865.38999999998,157865.38999999998,100910.46,FUSTERIA PRIVAT SL_resum
2004-01-01,138750.07,24118.29,87362.79,3005.5,5798.48,80988.31,0.0,5933.320000000001,4711.22,7395.02,12106.240000000002,79843.37000000001,85776.69,5980.35,97209.63,0.0,5841.79,5841.79,219961.2,465.97,219961.2,0.0,7.913333333333332,107519.31,15073.28,92446.03,69790.27,3.0,-38046.56,0.0,1586.099,2974.8500000000004,120575.239,0.0,50151.68,138750.07,50151.68,0.0,1553.23,1087.26,7395.02,118250.08,1087.26,-5841.79,0.0,1138.15,194882.1,194882.1,109315.87,FUSTERIA PRIVAT SL_resum
2005-01-01,127548.65,24118.29,68242.43,3005.5,8761.75,80988.31,0.0,6212.45,8213.12,3785.46,11998.58,61318.75,67531.2,6528.98,90966.76,0.0,3001.7,3001.7,213023.24,235.13,213023.24,0.0,5.935,95515.32,0.0,95515.32,79238.4,4.0,-38046.56,0.0,711.229,3523.4790000000003,120575.239,0.0,29680.12,127548.65,29680.12,0.0,783.76,548.63,3785.46,118250.08,548.63,-3001.7,0.0,711.23,163757.75,163757.75,102965.339,FUSTERIA PRIVAT SL_resum
2006-01-01,109912.5,24118.29,101065.01,3005.5,7905.888,80988.31,0.0,12386.29,6973.5380000000005,5298.63,5298.63,86170.42,98556.709,8884.12,82871.9,1141.55,2248.4,2248.4,201943.6,773.7,201943.6,670.31,3.956666666666666,113880.85,0.0,113880.85,77763.43999999999,5.0,-38046.56,0.0,2508.299,5878.620000000001,120575.239,0.0,96149.24,109912.5,96149.24,0.0,3050.23,2276.529,5298.63,118250.08,1805.29,-2248.4,-471.24,2508.3,214945.86,214945.86,87699.29,FUSTERIA PRIVAT SL_resum
2007-01-01,126282.04,24118.29,75508.45,3005.5,7050.026,80988.31,0.0,26399.86,5733.956,5595.25,5595.25,48995.42,75395.28,11217.62,41214.24,55.85,2772.3300000000004,2772.3300000000004,297478.44,777.8299999999999,297478.44,344.26,1.9783333333333335,137536.47,34073.28,103463.19,200592.96,5.0,-38046.56,0.0,113.169,8212.12,120575.239,0.0,75545.26,126282.04,75545.26,0.0,2822.92,2045.09,5595.25,118250.08,2333.5,-2772.3300000000004,288.409,113.17,213044.92,213044.92,47097.9,FUSTERIA PRIVAT SL_resum
2008-01-01,113218.72,24118.29,53429.89,3005.5,6194.164,80988.31,42718.24,19312.17,4494.374000000001,-2325.16,-2325.16,32231.89,27425.769,7910.38,82528.68000000001,0.0,2084.489,2084.489,199238.39,-1102.41,199238.39,0.0,0.0,138638.87999999998,0.0,137536.47,80988.31,3.0,-38046.56,1102.41,1885.83,4904.88,120575.239,0.0,4103.14,113218.72,70939.67000000001,0.0,-4409.650000000001,-3307.24,-2325.16,118250.08,-3307.24,-2084.489,0.0,1885.83,192068.77,192068.77,80203.519,FUSTERIA PRIVAT SL_resum
2009-01-01,108768.52,35283.04,34346.47,3005.5,5338.302,21213.0,0.0,13811.22,3254.7920000000004,-28198.15,-28198.15,20418.13,-1053.6899999999998,5699.02,75119.97,0.0,1417.0,1417.0,70270.82,-7403.79,70270.82,0.0,0.0,137536.47,0.0,137536.47,21213.0,4.0,-2136.0,1547.254285714286,117.12,2693.52,77255.97,8506.02,13626.34,117274.54,48909.380000000005,0.0,-29615.15,-22211.36,-28198.15,49057.82,-22211.36,-1417.0,0.0,117.12,171882.94,171882.94,46921.82,FUSTERIA PRIVAT SL_resum
2010-01-01,105214.31,38153.27,41750.09,3005.5,4482.44,12711.240000000002,0.0,21714.44,2015.21,5303.88,7319.09,18713.12,2274.29,8166.25,24741.12,0.0,2014.24,2014.24,58258.65,822.41,58258.65,0.0,0.0,128724.23,0.0,128724.23,12711.240000000002,4.0,-13487.2,1992.0985714285716,1322.53,5160.75,40243.53,7683.610000000001,11256.88,112897.92,49410.15,0.0,3289.64,2467.23,5303.88,45547.41,2467.23,-2014.24,0.0,1322.53,170474.31999999998,170474.31999999998,32060.21,FUSTERIA PRIVAT SL_resum
2011-01-01,91144.37,43331.24,57349.89,3005.5,4121.36,-15443.83,7683.610000000001,21723.44,1863.72,4119.87,4119.87,35211.33,13603.53,31199.67,41650.15,0.0,75.3,75.3,31717.93,1011.15,31717.93,0.0,0.0,128724.23,0.0,128724.23,8871.5,3.0,-1391.739,2436.9428571428575,415.12,28194.17,43041.89,0.0,12715.23,91144.37,63730.08,0.0,4044.57,3033.42,4119.87,47161.76,3033.42,-75.3,0.0,415.12,186074.12,186074.12,45770.02,FUSTERIA PRIVAT SL_resum
2012-01-01,110318.0,12718.33,34904.9,3005.5,3760.28,30069.88,0.0,5780.33,1712.23,2730.73,4442.96,28413.44,21475.439,33247.719999999994,32431.15,0.0,0.0,160.3375,71667.11,682.6800000000001,71667.11,0.0,0.0,127012.0,0.0,127012.0,40783.12,3.0,-4723.120000000001,2881.7871428571434,711.13,30242.219,38866.5,0.0,5632.85,110318.0,18351.18,0.0,2730.73,2048.05,2730.73,41597.23,2048.05,0.0,0.0,711.13,161916.9,161916.9,36874.11,FUSTERIA PRIVAT SL_resum
2013-01-01,110318.0,10965.78,34066.24,3005.5,2849.62,-4919.99,0.0,8980.65,1952.65,1195.96,3148.61,24413.44,22428.309,34349.5,40468.21,0.0,0.0,245.375,53277.58,298.98999999999995,53277.58,0.0,0.0,125059.35,0.0,125059.35,10750.66,3.0,-14580.75,3326.631428571429,672.15,31344.0,57001.61,0.0,3492.3100000000004,110318.0,14458.09,0.0,1195.96,896.97,1195.96,58197.569,896.97,0.0,0.0,672.15,159125.59,159125.59,43616.82,FUSTERIA PRIVAT SL_resum
2014-01-01,110113.19,8854.25,37616.33,3005.5,4725.599,-14284.78,0.0,6725.9,1852.45,3830.87,5683.320000000001,29413.44,27285.089,37222.65,40361.23,0.0,0.0,330.4125,43724.810000000005,957.72,43724.810000000005,0.0,0.0,137206.9,0.0,137206.9,8265.869999999999,2.0,-11965.04,3771.475714285715,1476.99,34217.15,54178.72,0.0,18633.14,110113.19,27487.39,0.0,3830.87,2873.149,3830.87,58009.589,2873.149,0.0,0.0,926.7,174823.23,174823.23,46044.55,FUSTERIA PRIVAT SL_resum
2015-01-01,114628.26,24105.25,56825.03,3005.5,3402.71,31812.95,12006.73,19749.59,1852.45,2067.01,3919.46,34924.14,30568.479,38772.91,40602.12,0.0,0.0,415.45000000000005,67298.14,516.75,67298.14,0.0,0.0,139570.77000000002,0.0,135354.44999999998,37323.65,2.0,9036.39,4216.320000000001,2151.3,35767.41,33418.18,0.0,6882.650000000001,114628.26,42994.63,0.0,2067.01,1550.26,2067.01,35485.189,1550.26,0.0,0.0,2151.3,196395.8,196395.8,44521.58,FUSTERIA PRIVAT SL_resum
2016-01-01,157754.97999999998,11260.75,50152.810000000005,3005.5,10452.75,33765.73,14006.16,15662.01,5780.650000000001,6229.469999999999,12010.119,33808.86,38210.12,43445.01,38282.51,0.0,0.0,500.48750000000007,80836.69,1557.37,101151.69,0.0,0.0,181702.76,0.0,129573.8,32650.45,2.0,-17093.329999999998,52128.96,681.9399999999999,40439.51,61156.49,0.0,5388.67,157754.97999999998,30655.58,0.0,6229.469999999999,4672.1,6229.469999999999,67385.95999999999,4672.1,0.0,0.0,681.9399999999999,231855.57,231855.57,50292.63,FUSTERIA PRIVAT SL_resum
2017-01-01,155462.9,12854.65,57562.48,3005.5,6539.059,37901.97,13994.21,20358.86,5780.650000000001,1011.22,6791.87,32895.62899999999,40399.839,44203.42,48448.56,0.0,0.0,585.525,89894.26,252.81,111293.049,0.0,0.0,175669.3,0.0,123793.15,36988.74,3.0,-18150.65,51876.15,4307.99,41197.92,72379.85900000001,0.0,6716.6,155462.9,33565.46,0.0,1011.22,758.41,1011.22,73391.07900000001,758.41,0.0,0.0,4307.99,233231.78,233231.78,55240.43,FUSTERIA PRIVAT SL_resum
2018-01-01,135016.15,10251.69,46927.39,3005.5,12316.54,52656.06,10055.61,12592.33,5780.650000000001,8714.52,14495.17,27765.89,30106.53,50739.310000000005,41039.76,0.0,0.0,670.5625,105688.32,2178.63,129387.13,0.0,0.0,167710.02,0.0,118012.5,47526.32,3.0,-21196.14,49697.52,6569.17,47733.810000000005,68016.55,0.0,8574.65,135016.15,28881.95,0.0,8714.52,6535.89,8714.52,76731.07,6535.89,0.0,0.0,6569.17,214637.41,214637.41,55534.93,FUSTERIA PRIVAT SL_resum
2019-01-01,120552.76,7819.120000000001,30575.17,3005.5,6707.219,49391.79899999999,8745.68,12471.47,5780.650000000001,1235.1799999999998,7015.83,16378.95,21031.3,51665.880000000005,42558.73,0.0,0.0,755.6,96910.71,308.61,121786.13,0.0,0.0,161701.84999999998,0.0,112231.85,45289.23,3.0,-22819.77,49470.0,1724.75,48660.380000000005,71159.15000000001,227.52,3266.06,120780.28,19830.86,0.0,1235.1799999999998,926.57,1235.1799999999998,72394.331,926.57,0.0,0.0,1724.75,192277.02,192277.02,49574.56,FUSTERIA PRIVAT SL_resum
