Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,0.0,38326.47,759677.91,228384.6,75083.13,1423017.9,129184.12,209556.46,24586.09,69133.72,93719.81,474430.07,683986.53,768789.6799999999,101497.01,0.0,6233.4,6233.4,1773958.1700000002,27190.72,1773958.1700000002,0.0,14787.45,386820.9900000001,0.0,385618.97,1404577.36,10.0,-276108.47000000003,1202.02,75691.38,540405.08,542822.72,0.0,377709.23,0.0,377709.23,0.0,77687.76,50497.039,69133.72,648985.56,50497.04,8554.04,0.0,75691.38,1146498.91,1146498.91,210004.26,FUSTES EMPORDA SA_resum
2000-01-01,0.0,38326.47,889999.11,228384.6,79788.27,1423017.9,129184.12,311183.38,23105.51,76789.07,99894.58,437130.98,748314.3600000001,825472.43,133990.769,0.0,8705.03,8705.03,2073187.29,30521.49,2073187.29,0.0,19120.2,392889.44,0.0,391687.41,1667349.04,10.0,-276108.47000000003,1202.03,141684.75,597087.8300000001,542822.72,0.0,457416.12,0.0,457416.12,0.0,87204.23999999999,56682.75,76789.07,648985.56,56682.76,10415.17,0.0,141684.75,1282888.55,1282888.55,253005.559,FUSTES EMPORDA SA_resum
2001-01-01,0.0,38326.47,770719.2,228384.6,100083.86,1423017.9,129184.12,396767.55,29518.74,100409.88,129928.62,296326.12,693093.669,896037.56,148972.25,0.0,8539.9,8539.9,2231796.61,37996.6,2231796.61,0.0,16691.74,449599.01,0.0,412336.26,1770920.44,10.0,-276108.47000000003,37262.75,77625.52900000001,667652.9600000001,542822.72,0.0,324280.65,0.0,324280.65,0.0,108561.72,70565.12000000001,100409.88,648985.56,70565.12000000001,8151.84,0.0,77625.53,1220318.21,1220318.21,295592.61,FUSTES EMPORDA SA_resum
2002-01-01,0.0,38326.47,904880.62,228384.59,102181.49,1423017.9,129184.12,420846.0,33229.05,93865.48,127094.53,309522.76,730368.76,964989.97,189775.64,0.0,5737.17,5737.17,2341065.95,37128.23,2341065.95,0.0,17952.36,400309.17,0.0,379107.15,1844244.09,10.0,-276108.47000000003,21202.019,174511.86,736605.38,542822.72,0.0,340199.82,0.0,340199.82,0.0,106080.67,68952.43999999999,93865.48,648985.56,68952.43999999999,12215.19,0.0,174511.86,1305189.79,1305189.79,334822.53,FUSTES EMPORDA SA_resum
2003-01-01,0.0,38326.47,676631.8200000001,228384.59,101961.5,1423017.9,129184.12,447029.36,31753.15,97744.89,129498.04,198236.6,645265.9600000001,1035198.32,221118.92,0.0,5270.95,5270.95,2404859.86,37804.5,2404859.86,0.0,15538.91,386556.06,0.0,347354.04,1861221.09,10.0,-276108.47000000003,39202.02,31365.859,806813.73,542822.72,0.0,27989.56,0.0,27989.56,0.0,108012.85,70208.35,97744.89,648985.56,70208.35,10267.96,0.0,31365.86,1063187.8790000002,1063187.8790000002,366155.87,FUSTES EMPORDA SA_resum
2004-01-01,0.0,38326.47,808565.3300000001,228384.59,109535.199,1423017.9,129184.12,573398.8400000001,32819.62899999999,105977.97,138797.599,141587.4,714986.24,1111913.89,189933.75,0.0,9017.53,9017.53,2625818.62,41308.380000000005,2625818.62,0.0,21063.51,351150.91000000003,0.0,329948.89,2026929.27,10.0,-276108.47000000003,21202.019,93579.089,883529.2989999999,542822.72,0.0,47802.350000000006,0.0,47802.350000000006,0.0,118023.95,76715.57,105977.97,648985.56,76715.57,12045.98,0.0,93579.09,1159716.24,1159716.24,349794.859,FUSTES EMPORDA SA_resum
2005-01-01,0.0,38326.47,844608.4600000001,228384.59,144631.46,1423017.9,129184.12,519257.96,32382.2,155785.75,188167.95,109125.32,628383.2799999999,1224163.15,270112.41000000003,0.0,7941.72,7941.72,2657555.17,51195.57,2657555.17,0.0,15600.8,455834.82,0.0,372632.8,1983749.05,10.0,-276108.47000000003,83202.02,216225.179,995778.559,542822.72,0.0,76280.13,0.0,76280.13,0.0,163444.83,112249.259,155785.75,648985.56,112249.26,7659.08,0.0,216225.18,1300443.28,1300443.28,473881.16,FUSTES EMPORDA SA_resum
2006-01-01,0.0,38326.47,1103053.73,228384.59,171599.8,1423017.9,129184.12,869767.73,34076.36,191975.02,226051.38,192354.78,1062122.51,1361686.59,169853.31999999998,0.0,8302.54,8302.54,2761817.87,64804.74,2761817.87,0.0,18655.7,514108.62,0.0,421906.6,2078984.76,10.0,-276108.47000000003,92202.02,40931.219,1133302.0,542822.72,0.0,255475.76,0.0,255475.76,0.0,202328.18,137523.44,191975.02,648985.56,137523.44,10353.16,0.0,40931.22,1617162.35,1617162.35,414560.399,FUSTES EMPORDA SA_resum
2007-01-01,0.0,38326.47,1157070.89,228384.59,152603.29,1423017.9,129184.12,484351.43000000005,42079.6,142310.72,184390.32,645312.4500000001,1129663.88,1472210.28,193517.69,0.0,12180.25,12180.25,2891315.92,38781.41,2891315.92,0.0,19174.63,627651.62,0.0,460449.6,2160828.91,10.0,-276108.47000000003,167202.02,27407.009,1243825.6900000002,542822.72,0.0,312512.23000000004,0.0,312512.23000000004,0.0,149305.1,110523.69,142310.72,648985.56,110523.69,6994.38,0.0,27407.01,1784722.51,1784722.51,397082.64,FUSTES EMPORDA SA_resum
2008-01-01,0.0,38326.47,1806416.3,228384.59,125489.39,1423017.9,129184.12,1449690.12,46782.6,106162.84,152945.44,277494.46,1688858.11,1550917.07,219931.65,0.0,5089.969999999999,5089.969999999999,2072003.46,26235.6,2072003.46,0.0,3869.52,464869.02,0.0,413667.0,1423017.9,10.0,-276108.47000000003,51202.02,79231.72,1322532.48,542822.72,0.0,552857.66,0.0,720368.25,0.0,104942.39,78706.79,106162.84,648985.56,78706.79,-1220.45,0.0,79231.72,2271285.32,2271285.32,376746.61,FUSTES EMPORDA SA_resum
