Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,207917.41,0.0,143674.13,1339640.0,17066.85,0.0,0.0,143674.13,16867.809999999998,8519.98,25387.79,0.0,143674.13,1339839.04,16645.098,0.0,8253.34,8253.34,178433.75,85.31,45196.11,0.04,17.66,1426214.81,7921.64,1418281.15,0.0,1.0,-122207.69,12.02,0.0,199.04,358316.77900000004,0.0,22132.49,207917.41,22132.49,0.0,284.31,199.0,8519.98,261116.82,199.04,-8235.67,0.04,95602.65,1569888.94,1569888.94,42050.598,GESTIO CONTEMPORANIA SL_resum
2000-01-01,187560.86,0.0,104829.76,1339640.0,43077.68,0.0,0.0,9227.11,64347.1,-21632.71,42714.39,0.0,9227.11,1318569.62,56132.76,0.0,9372.39,9372.39,178433.75,-9115.47,144242.9,0.0,620.21,1407651.83,14803.39,1392836.42,0.0,4.0,-122207.69,12.02,95602.65,-21070.379,358316.77900000004,0.0,6351.110000000001,187560.86,6351.110000000001,0.0,-30384.89,-21269.42,-21632.71,261116.82,-21269.42,-8752.18,0.0,95602.65,1512481.59,1512481.59,99467.36,GESTIO CONTEMPORANIA SL_resum
2001-01-01,222349.2022222222,0.0,13143.78,1339640.0,91758.47,0.0,0.0,39698.549999999996,62000.71,46541.0,108541.709,0.0,39698.549999999996,1348327.39,16334.61,0.0,8256.93,8256.93,178433.75,12753.33,144242.91,175.26999999999998,4051.75,1347816.1900000002,7401.7,1340402.47,0.0,4.0,-122207.69,12.02,13143.78,8687.389,358316.77900000004,0.0,12632.58,222349.2022222222,12632.58,0.0,42335.82,29582.489,46541.0,261116.82,29757.76,-4205.18,175.26999999999998,13143.78,1360959.97,1360959.97,129103.34,GESTIO CONTEMPORANIA SL_resum
2002-01-01,257137.54444444441,0.0,76502.16,1339640.0,96761.32,0.0,0.0,70169.98999999999,62936.11,47291.34,110227.45,0.0,70169.98999999999,1382152.58,16774.73,0.0,9.83,9.83,178433.75,14496.52,145973.8,903.729,136.49,1323759.87,0.0,1323747.85,0.0,4.0,-122207.69,12.02,6332.169000000001,42512.58,358316.77900000004,0.0,18109.45,257137.54444444441,18109.45,0.0,47418.0,32921.479,47291.34,261116.82,33825.21,126.66,903.729,6332.17,1400262.03,1400262.03,128042.4,GESTIO CONTEMPORANIA SL_resum
2003-01-01,291925.88666666666,0.0,66404.33,1339640.0,89814.78,0.0,0.0,13286.68,57792.0,45721.51,103513.51,0.0,13286.68,1414175.36,28309.05,0.0,39.620000000000005,39.620000000000005,178433.75,13724.05,155148.84,44.63,20.31,1358259.99,0.0,1358247.97,0.0,2.0,-122207.69,12.02,53117.65,74535.36,358316.77900000004,0.0,10488.96,291925.88666666666,10488.96,0.0,45702.2,31978.149,45721.51,261116.82,32022.78,-19.31,44.63,53117.65,1424664.32,1424664.32,131887.5,GESTIO CONTEMPORANIA SL_resum
2004-01-01,326714.22888888884,0.0,234813.21,1339640.0,80562.42,0.0,0.0,6000.0,60488.18,28014.14,88502.32,0.0,6000.0,1434249.6,38991.28,1309.58,0.35,0.35,178433.75,8603.25,164529.53,0.0,1973.28,1279138.5,0.0,1279126.48,0.0,2.0,-122207.69,12.02,228813.21,94609.6,358316.77900000004,0.0,79702.11,326714.22888888884,79702.11,0.0,29987.07,21383.82,28014.14,261116.82,20074.24,1972.93,-1309.58,228813.21,1513951.71,1513951.71,128157.3,GESTIO CONTEMPORANIA SL_resum
2005-01-01,361502.5711111111,0.0,166579.97999999998,1339640.0,84819.29,0.0,0.0,166579.97999999998,61447.350000000006,36258.28,97705.63,0.0,166579.97999999998,1457621.54,51570.11,30.77,5959.1900000000005,5959.1900000000005,178433.75,10016.55,178433.75,300.23,2819.94,1455475.65,0.0,1455463.63,0.0,2.0,-122207.69,12.02,0.0,117981.54,358316.77900000004,0.0,164434.09,361502.5711111111,164434.09,0.0,33119.03,23102.480000000003,36258.28,261116.82,23371.94,-3139.25,269.46,143281.365,1622055.63,1622055.63,152365.14,GESTIO CONTEMPORANIA SL_resum
2006-01-01,396290.91333333333,0.0,175880.21000000002,2035390.0,118091.819,0.0,0.0,118130.69,82822.4,-52609.42,30212.979,0.0,118130.69,2237800.96,59338.27,8.96,3293.8300000000004,3293.8300000000004,201721.975,15115.46,178269.37,104762.2,1534.89,2143854.279,7449.1,2136393.16,0.0,3.0,-122207.69,12.018,57749.519,202410.959,358316.77900000004,0.0,81933.53,396290.91333333333,81933.53,0.0,-54368.36,-69483.82,-52609.42,261116.82,35269.42,-1758.94,104753.239,57749.52,2319734.49,2319734.49,195839.379,GESTIO CONTEMPORANIA SL_resum
2007-01-01,431079.2555555556,0.0,133641.26,1980790.0,562590.8400000001,0.0,0.0,124936.7,130097.19,-104818.33,25278.86,8704.56,133641.26,2610294.61,79049.28,4120.859,9765.83,9765.83,225010.2,65918.83,211800.74,612909.03,4208.469999999999,2943762.11,0.0,2943750.09,0.0,4.0,-122207.69,12.02,0.0,629504.6089999999,358316.77900000004,0.0,467108.76,431079.2555555556,467108.76,0.0,-110375.69,-176294.52,-104818.33,261116.82,432493.65,-5557.360000000001,608788.171,45048.24,3077403.37,3077403.37,717324.7789999999,GESTIO CONTEMPORANIA SL_resum
2008-01-01,465867.59777777776,0.0,56860.07,1980790.0,44870.28999999999,0.0,0.0,27155.51,122895.91,-97199.96,25695.949,28204.56,55360.07,2532268.99,113213.18,0.0,9852.8,5354.77,248298.42500000002,-26008.53,261116.82,0.0,3018.61,2872515.3,0.0,2846494.75,0.0,6.0,-122207.69,26020.55,1500.0,551478.99,358316.77900000004,0.0,397106.38,465867.59777777776,397106.38,0.0,-104034.15,-78025.62000000001,-97199.96,261116.82,-78025.62000000001,-6834.189,0.0,32346.96,2929375.37,2929375.37,137429.71000000002,GESTIO CONTEMPORANIA SL_resum
