Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,78000.0,0.0,80735.75,60101.21,9120.92,0.0,0.0,67832.19,20656.18,-16024.06,4632.120000000001,3837.8,71669.98999999999,44940.14,50086.15,0.0,1043.47,1043.47,314368.92000000004,-4943.68,314368.92000000004,0.0,588.6,78870.73,4826.51,61663.37,1142.21,5.0,-495776.14,12380.849,9065.759,-15161.07,495776.14,0.0,114666.34,78000.0,114666.34,0.0,-16478.93,-11535.25,-16024.06,506760.16,-11535.26,-454.87,0.0,9065.76,159606.47999999998,159606.47999999998,55306.86,GESTOCKS OPERADOR SOCIEDAD ANONIMA_resum
2000-01-01,78000.0,0.0,111064.67,60101.21,46062.67,0.0,0.0,107823.3,23464.71,35314.759999999995,58779.47,1911.03,109734.33,67538.1,83605.03,0.0,2206.63,2206.63,421353.3,12168.13,421353.3,1657.96,523.2,74204.83,2377.9500000000003,59446.03,1142.21,3.0,-495776.14,12380.85,1330.339,7436.89,495776.14,0.0,117731.4,78000.0,117731.4,0.0,33108.12899999999,20939.999,35314.759999999995,506760.16,22597.960000000003,-2206.63,1657.96,1330.34,185269.5,185269.5,144042.46,GESTOCKS OPERADOR SOCIEDAD ANONIMA_resum
2001-01-01,78000.0,0.0,111064.67,60101.21,0.0,0.0,0.0,107823.3,0.0,514.69,514.69,1911.03,109734.33,73471.43,131323.28,0.0,980.07,980.07,560915.7,2542.8500000000004,560915.7,8941.56,457.8,83146.39,2377.9500000000003,68387.59,0.0,5.0,-495776.14,12380.85,1330.339,13370.219,495776.14,0.0,120739.63,78000.0,120739.63,0.0,-465.38,-3008.23,514.69,506760.16,5933.33,-980.07,8941.56,1330.34,194211.06,194211.06,140779.53,GESTOCKS OPERADOR SOCIEDAD ANONIMA_resum
2002-01-01,78000.0,0.0,344630.08,90152.66,8743.3,0.0,0.0,319572.26,2134.62,-20519.25,-18384.63,1911.03,321483.29000000004,108044.21,219091.64,347.37,3315.12,3315.12,940801.41,2991.74,940801.41,33782.16,392.4,212211.71,10774.51,201437.2,11546.89,5.0,-495776.14,0.0,23146.789,17891.55,495776.14,0.0,370797.58,78000.0,370797.58,0.0,-23834.37,-26826.11,-20519.25,506760.16,6608.68,-3315.12,33434.78999999999,23146.79,556841.7899999999,556841.7899999999,234141.8,GESTOCKS OPERADOR SOCIEDAD ANONIMA_resum
2003-01-01,60000.0,0.0,381412.8,90152.66,45007.74,0.0,0.0,378172.7,28470.95,26578.24,55049.19,2567.3300000000004,380740.03,124581.0,305736.99000000005,0.0,2954.25,2954.25,963254.0,7087.2,963254.0,0.0,327.0,219778.04,10649.59,209128.45,3117.63,6.0,-495776.14,0.0,672.769,34428.340000000004,495776.14,0.0,416609.84,60000.0,416609.84,0.0,23623.99,16536.79,26578.24,506760.16,16536.79,-2954.25,0.0,672.7700000000001,601190.8400000001,601190.8400000001,360786.18,GESTOCKS OPERADOR SOCIEDAD ANONIMA_resum
2004-01-01,43417.64,0.0,394648.09,90152.66,0.0,0.0,0.0,391819.14,0.0,-20551.49,-20551.49,2575.8300000000004,394394.97,135324.97999999998,321529.12,0.0,2903.64,2903.64,838867.43,4600.28,838867.43,38799.39,261.6,314659.28,10649.59,304009.69,6842.110000000001,6.0,-495776.14,0.0,253.119,45172.32,495776.14,0.0,530564.75,43417.64,530564.75,0.0,-23455.13,-28055.41,-20551.49,506760.16,10743.98,-2903.64,38799.39,253.12,709307.37,709307.37,339777.02,GESTOCKS OPERADOR SOCIEDAD ANONIMA_resum
2005-01-01,180465.71,0.0,515677.3,90152.66,0.0,0.0,0.0,512768.43000000005,0.0,24798.94,24798.94,2582.74,515351.17,131358.4,337565.84,0.0,15116.95,15116.95,725391.75,2904.59,725391.75,0.0,196.2,348280.08,12758.96,335521.12,4778.08,6.0,-495776.14,0.0,326.13,41205.739,495776.14,0.0,552133.2699999999,180465.71,552133.2699999999,0.0,9681.99,6777.4,24798.94,506760.16,6777.4,-15116.95,0.0,326.13,863957.38,863957.38,362364.78,GESTOCKS OPERADOR SOCIEDAD ANONIMA_resum
2006-01-01,230463.03,0.0,371020.05,90152.66,0.0,0.0,0.0,367921.03,0.0,14109.17,14109.17,2582.74,370503.77,281969.55,303375.41000000003,0.0,3528.76,3528.76,722580.3300000001,3283.3500000000004,722580.3300000001,364.09,130.79999999999995,385205.52,12758.96,366446.56,5301.0,7.0,-495776.14,6000.0,516.2790000000001,191816.889,495776.14,0.0,243792.99,230463.03,243792.99,0.0,10580.41,7297.059,14109.17,506760.16,7661.150000000001,-3528.76,364.09,516.2800000000001,756225.57,756225.57,317848.67,GESTOCKS OPERADOR SOCIEDAD ANONIMA_resum
2007-01-01,66806.55,0.0,311611.4,90152.66,0.0,0.0,0.0,310830.26,0.0,16741.14,16741.14,0.0,310830.26,246672.11,298806.73000000004,0.0,1047.02,1047.02,645103.4,3923.53,645103.4,0.0,65.39999999999998,290360.0,9726.13,274633.87,0.0,6.0,-495776.14,6000.0,781.14,156519.449,495776.14,0.0,288492.74,66806.55,288492.74,0.0,15694.12,11770.59,16741.14,506760.16,11770.59,-1047.02,0.0,781.14,601971.4,601971.4,315547.87,GESTOCKS OPERADOR SOCIEDAD ANONIMA_resum
2008-01-01,66806.55,0.0,386898.47,85897.19,0.0,0.0,0.0,386898.47,0.0,10984.02,10984.02,0.0,386898.47,239224.19,289177.27666666673,0.0,0.0,1403.421111111111,506760.16,4583.142222222223,506760.16,0.0,0.0,181373.73,0.0,181373.73,0.0,6.0,-495776.14,0.0,805.8299999999999,153326.99899999998,495776.14,0.0,262241.46,66806.55,262241.46,0.0,10984.02,10984.02,10984.02,506760.16,10984.02,0.0,0.0,805.8299999999999,568272.2,568272.2,10984.02,GESTOCKS OPERADOR SOCIEDAD ANONIMA_resum
