Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,2609.14,0.0,89065.069,3005.06,20565.91,11215.27,0.0,29766.3,3874.27,24179.43,28053.7,0.0,29766.3,19696.7,149674.16,0.0,355.87,355.87,215841.21,7153.56,215841.21,0.0,21.64,24098.45,5418.18,18680.26,5556.09,6.0,-160383.62,0.01,59298.76899999999,16691.64,750459.25,0.0,90857.67,2609.14,90857.67,0.0,23845.2,16691.64,24179.43,899906.98,16691.64,-334.23,0.0,59044.54,113163.52,113163.52,177749.5,GESTORIA TALLADA SLP_resum
2000-01-01,0.0,0.0,137052.71000000002,3005.06,81705.98999999999,11215.27,0.0,40378.04,12496.27,99720.17,112216.44,0.0,40378.04,72815.8,487354.18,0.0,1026.46,1026.46,746776.71,30394.47,746776.71,10.82,899.66,43305.34,2980.0,40325.34,30974.8,18.0,-160383.62,0.0,96674.669,69810.73999999999,750459.25,0.0,107542.26,0.0,107542.26,0.0,99593.38,69198.90999999999,99720.17,899906.98,69209.72,-126.8,10.82,96597.3,180358.05,180358.05,600481.1,GESTORIA TALLADA SLP_resum
2001-01-01,1757.52,0.0,80884.67000000001,3005.06,95866.91,11215.27,0.0,38629.06,17418.420000000002,113744.4,131162.81999999998,0.0,38629.06,70034.32,480351.59,0.0,1065.77,1065.77,776124.52,35244.28,776124.52,235.15,779.0,216603.91,0.0,216603.91,38361.51,18.0,-160383.62,0.0,42255.61,67029.26,750459.25,0.0,225696.74,1757.52,225696.74,0.0,113457.62,78213.34,113744.4,899906.98,78448.48999999999,-286.78,235.15,42255.61,297488.57,297488.57,612528.55,GESTORIA TALLADA SLP_resum
2002-01-01,1757.52,0.0,219253.76,3005.06,105591.769,11215.27,0.0,86947.93,28461.59,112411.85,140873.44,0.0,86947.93,135262.9,501008.91,0.0,814.13,814.13,782249.43,34596.87,782249.43,19.5,109.83,257079.55,0.0,257079.55,30238.76,20.0,-160383.62,0.0,132305.83,132257.84,750459.25,0.0,339312.89,1757.52,339312.89,0.0,111707.55,77110.68000000001,112411.85,899906.98,77130.18000000001,-704.3,19.5,132305.82899999997,476333.31,476333.31,642011.6789999999,GESTORIA TALLADA SLP_resum
2003-01-01,1757.52,0.0,177666.69,3005.06,120747.739,11215.27,0.0,72894.45,34161.18,128253.49,162414.67,0.0,72894.45,196435.48,480321.38,5270.38,418.21,418.21,798783.91,39688.78,798783.91,3639.64,70.8,233088.02,0.0,233088.02,13521.59,20.0,-160383.62,0.0,104772.24,193430.42,750459.25,0.0,212561.71,1757.52,212561.71,0.0,127906.08,88217.3,128253.49,899906.98,86586.56,-347.41,-1630.74,104772.24,410754.71,410754.71,641176.11,GESTORIA TALLADA SLP_resum
2004-01-01,0.0,0.0,142303.56,3005.06,73389.58,11215.27,0.0,47530.37,29596.39,62933.22,92529.61,0.0,47530.37,133985.81999999998,549635.8200000001,1031.03,315.83,315.83,790098.53,18409.84,790098.53,336.51,280.16,215924.21,0.0,215924.21,14925.39,21.0,-160383.62,0.0,94773.19,130980.76,750459.25,0.0,224241.95,0.0,224241.95,0.0,62897.55,44487.71,62933.22,899906.98,43793.19,-35.67,-694.52,94773.19,358227.77,358227.77,641751.07,GESTORIA TALLADA SLP_resum
2005-01-01,0.0,0.0,139677.2,3005.06,103167.34,11215.27,0.0,48886.44,30155.22,104710.76,134865.979,0.0,48886.44,206997.94,559722.8,365.12,316.66,316.66,855454.8300000001,31290.91,855454.8300000001,7.859999999999999,266.19,218537.64,0.0,218537.64,13775.16,20.0,-160383.62,0.0,90790.76,203992.88,750459.25,0.0,151216.9,0.0,151216.9,0.0,104660.29,73369.37900000002,104710.76,899906.98,73012.12000000001,-50.47,-357.26,90790.76,358214.84,358214.84,694497.71,GESTORIA TALLADA SLP_resum
2006-01-01,0.0,0.0,154835.16,3005.06,105146.0,11215.27,0.0,44538.45,36778.8,97654.71,134433.51,0.0,44538.45,275365.14,585700.89,0.12,661.8399999999999,661.8399999999999,883340.6,29300.23,883340.6,309.48999999999995,365.19,230631.72,0.0,230631.72,16139.62,20.0,-160383.62,0.0,110296.71,272360.08,750459.25,0.0,110101.74,0.0,110101.74,0.0,97358.06,68057.83,97654.71,899906.98,68367.2,-296.65000000000003,309.37,110296.71,385466.88,385466.88,720808.9600000001,GESTORIA TALLADA SLP_resum
2007-01-01,0.0,0.0,204415.25,3005.06,126702.53,11215.27,0.0,49938.310000000005,36753.15,117219.68,153972.83,0.0,49938.310000000005,296947.32,558270.57,2.15,588.65,588.65,883851.97,29983.13,883851.97,240.01,3063.62,209388.32,0.0,209388.32,9978.45,19.0,-160383.62,0.0,154476.94,293942.26,750459.25,0.0,116856.25,0.0,116856.25,0.0,119694.65,89711.519,117219.68,899906.98,89949.38,2474.9700000000003,237.859,154476.94,413803.57,413803.57,715544.88,GESTORIA TALLADA SLP_resum
2008-01-01,0.0,0.0,241313.61,3005.06,156005.13,11215.27,0.0,69002.55,43074.46,149447.73,192522.19,0.0,69002.55,169928.61000000002,547001.1699999999,0.0,87.28,87.28,911122.25,39812.97,911122.25,0.0,3383.19,177897.34,0.0,177897.34,11215.27,19.0,-160383.62,0.0,172311.06,166923.55,750459.25,0.0,249282.34,0.0,249282.34,0.0,152743.64,112930.67,149447.73,899906.98,112930.67,3295.9100000000003,0.0,122311.06,419210.95,419210.95,742906.55,GESTORIA TALLADA SLP_resum
