Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,184358.07,77867.67000000001,173535.31999999998,60101.21,25538.15,31351.66,0.0,105864.23,308.32,38686.04,38994.36,39103.24,144967.47,125844.45,27823.24,0.0,2791.71,2791.71,275219.34,10812.78,275219.34,0.0,148.29,13219.79,0.0,13219.79,169368.87,2.0,-11589.67,0.0,28567.85,65743.239,85166.349,0.0,60910.66,184358.07,60910.66,0.0,36042.62,25229.84,38686.04,59908.8,25229.83,-2643.4300000000003,0.0,28567.85,186755.11,186755.11,66965.88,GIDARY IBERICA SA_resum
2000-01-01,184358.07,77867.67000000001,189414.36,60101.21,16633.23,31351.66,0.0,129213.17,308.32,23929.480000000003,24237.8,27723.92,156937.09,142169.34999999998,39731.27,0.0,722.97,722.97,241391.67,6996.39,241391.67,0.0,114.78,12911.47,0.0,12911.47,138197.08,2.0,-11589.67,0.0,32477.27,82068.14,85166.349,0.0,60156.47,184358.07,60156.47,0.0,23321.3,16324.91,23929.480000000003,59908.8,16324.91,-608.19,0.0,32477.27,202325.83,202325.83,64083.859,GIDARY IBERICA SA_resum
2001-01-01,184358.07,77867.67000000001,196280.53,60101.21,24981.65,31351.66,0.0,153269.2,308.32,48020.99,48329.310000000005,39794.92,193064.12,166842.68,53772.08,0.0,12773.37,12773.37,315845.02,10574.29,315845.02,0.0,100.4325,216189.55,0.0,216189.55,163441.63,2.0,-11589.67,0.0,3216.409,106741.47,85166.349,0.0,61269.33,184358.07,61269.33,0.0,35247.619999999995,24673.33,48020.99,59908.8,24673.33,-12773.37,0.0,3216.4100000000003,412470.08,412470.08,102101.39,GIDARY IBERICA SA_resum
2002-01-01,167439.74000000002,77867.67000000001,283744.63,60101.21,33412.8,31351.66,0.0,221017.5,310.0,57586.61,57896.61,47446.28999999999,268463.79000000004,199945.45,71675.54,0.0,10296.89,10296.89,405801.75,14186.92,405801.75,0.0,86.08500000000001,215879.55,0.0,215879.55,221822.83,9.0,-11589.67,0.0,15280.839,139844.24000000002,85166.349,0.0,132238.98899999997,167439.74000000002,132238.98899999997,0.0,47289.72,33102.8,57586.61,59908.8,33102.8,-10296.89,0.0,15280.84,499624.18,499624.18,129572.15,GIDARY IBERICA SA_resum
2003-01-01,149547.69,77867.67000000001,257669.03,60101.21,23464.57,31351.66,0.0,186816.55,272.91,42946.63,43219.54,57891.46,244708.009,223137.11,35469.64,0.0,9815.69,9815.69,290017.22000000003,9939.28,290017.22000000003,0.0,71.7375,216717.64,0.0,216717.64,172278.8,1.0,-11589.67,0.0,12961.02,163035.9,85166.349,0.0,101701.87,149547.69,101701.87,0.0,33130.94,23191.66,42946.63,59908.8,23191.66,-9815.69,0.0,12961.02,474386.67,474386.67,78689.18000000001,GIDARY IBERICA SA_resum
2004-01-01,130910.6,77867.67000000001,225535.33,60101.21,0.0,31351.66,0.0,103755.32,0.0,29410.18,29410.18,108954.22,212709.54,238664.99,43679.64,0.0,7227.54,7227.54,215084.69,6654.79,215084.69,0.0,57.39,216717.64,0.0,216717.64,109374.67,1.0,-11589.67,0.0,12825.789,178563.78,85166.349,0.0,72677.38,130910.6,72677.38,0.0,22182.64,15527.849,29410.18,59908.8,15527.85,-7227.54,0.0,12825.79,442252.97,442252.97,73089.819,GIDARY IBERICA SA_resum
2005-01-01,111493.25,77867.67000000001,243569.93,60101.21,0.0,31351.66,0.0,126497.99,0.0,23763.52,23763.52,101327.86,227825.85,251403.73,45426.84,0.0,5565.320000000001,5565.320000000001,202433.57,5459.46,202433.57,0.0,43.042500000000004,216717.64,0.0,216717.64,111318.61,1.0,-11589.67,0.0,15744.08,191302.52,85166.349,0.0,97390.59,111493.25,97390.59,0.0,18198.2,12738.740000000002,23763.52,59908.8,12738.740000000002,-5565.320000000001,0.0,15744.08,460287.57,460287.57,69190.35900000001,GIDARY IBERICA SA_resum
2006-01-01,91207.51,77867.67000000001,240417.81,60101.21,0.0,31351.66,0.0,99944.02,0.0,15720.14,15720.14,105311.03,205255.05,259545.45,54534.84,0.0,4089.11,4089.11,162460.37999999998,3489.3100000000004,162460.37999999998,0.0,28.694999999999993,216717.64,0.0,216717.64,73246.48999999999,1.0,-11589.67,0.0,35162.759,199444.24,85166.349,0.0,106382.49,91207.51,106382.49,0.0,11631.03,8141.72,15720.14,59908.8,8141.72,-4089.11,0.0,35162.759999999995,457135.45,457135.45,70254.98,GIDARY IBERICA SA_resum
2007-01-01,72217.09,77867.67000000001,202376.87,60101.21,0.0,31351.66,0.0,43113.9,0.0,5047.23,5047.23,149876.21000000002,192990.11,260055.21,63480.0,0.0,4367.55,4367.55,107542.58,169.92000000000002,107542.58,0.0,14.347499999999997,216717.64,0.0,216717.64,19079.68,1.0,-11589.67,0.0,9386.76,199954.0,85166.349,0.0,86822.20999999999,72217.09,86822.20999999999,0.0,679.6800000000001,509.76,5047.23,59908.8,509.76,-4367.55,0.0,9386.76,419094.51,419094.51,68527.23,GIDARY IBERICA SA_resum
2008-01-01,48940.73,77867.67000000001,182897.28,60101.21,0.0,31351.66,0.0,17457.54,0.0,-25257.55,-25257.55,164253.24000000002,103843.11,228812.88,73576.68000000001,0.0,5984.78,5984.78,91260.46,7597.956363636365,91260.46,0.0,0.0,216717.64,0.0,216717.64,31351.66,1.0,-11589.67,0.0,1186.5,168711.669,85166.349,0.0,43993.64,48940.73,121861.31,0.0,-31242.33,-31242.33,-25257.55,59908.8,-31242.33,-5984.78,0.0,1186.5,399614.92,399614.92,48319.12899999999,GIDARY IBERICA SA_resum
2009-01-01,26013.960000000003,99114.3,185123.02,60101.21,0.0,32585.97,0.0,17284.24,0.0,-36808.55,-36808.55,162564.91,80734.849,189641.33,75195.36,0.0,2363.0,2363.0,81379.6,15025.99272727273,81379.6,0.0,0.0,216717.64,0.0,216717.64,32585.97,1.0,-10406.82,0.0,5273.87,129540.12,85602.18000000001,0.0,87071.069,26013.960000000003,186185.37,0.0,-39171.55,-39171.55,-36808.55,48793.63,-39171.55,-2363.0,0.0,5273.87,401840.66,401840.66,38386.810000000005,GIDARY IBERICA SA_resum
2010-01-01,2095.8300000000004,94772.82,178366.28,60101.21,0.0,18266.19,0.0,13935.54,0.0,-56230.65,-56230.65,163242.21000000002,82404.93,132796.4,76323.36,0.0,614.2800000000001,614.2800000000001,46920.5,22454.02909090909,46920.5,0.0,0.0,216717.64,0.0,216717.64,18266.19,1.0,-8561.6,0.0,1188.53,72695.19,84884.95999999999,0.0,165418.87,2095.8300000000004,260191.69,0.0,-56844.93,-56844.93,-56230.65,28654.31,-56844.93,-614.2800000000001,0.0,1188.53,395083.92,395083.92,20092.71,GIDARY IBERICA SA_resum
2011-01-01,93374.35625000001,307868.44,182782.3,60101.21,0.0,15887.68,0.0,14250.72,0.0,-55436.53,-55436.53,166371.28,-127246.44,77353.5,78613.08,0.0,6.37,6.37,44109.92,29882.065454545456,44109.92,0.0,0.0,216717.64,0.0,216717.64,15887.68,1.0,-5045.6900000000005,0.0,2160.3,17252.29,83658.77,0.0,14278.0,93374.35625000001,322146.44,0.0,-55442.9,-55442.9,-55436.53,28222.239,-55442.9,-6.37,0.0,2160.3,399499.94,399499.94,23176.55,GIDARY IBERICA SA_resum
