Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,551272.07,230132.67,332119.44,72121.45,289088.16,1148281.99,0.0,106376.64,145290.19,221752.07,367042.26,25908.64,132285.28,514779.9900000001,173693.79,740.069,18017.57,18017.57,1025052.47,67635.26,1030822.19,8436.869999999999,1.93,1076013.78,209767.41,866246.37,398125.45,13.0,-202552.13,0.0,199834.159,442658.54,1186944.1,52892.16,342081.17,551272.07,342081.17,0.0,203736.43,136101.169,221752.07,1247198.579,143797.97,-18015.64,7696.8,110376.32,1408133.23,1408133.23,548434.7789999999,GIROVENDING SL_resum
2000-01-01,375006.48,230132.67,224037.55,72121.45,253736.729,1148281.99,0.0,37442.04,164993.24000000002,162435.55,327428.79000000004,41011.5,78453.54,603523.48,248822.22,11899.35,27071.42,27071.42,1126912.47,38032.92,1132682.1900000002,3305.57,6.06,1196779.93,168613.81,1028166.13,449164.92,10.0,-202552.13,-0.01,145584.01,531402.03,1186944.1,52892.16,442287.53,375006.48,442287.53,0.0,135370.2,97337.28,162435.55,1247198.579,88743.48999999999,-27065.35,-8593.78,65967.11,1420817.49,1420817.49,567663.2899999999,GIROVENDING SL_resum
2001-01-01,252876.28,230132.67,160133.24000000002,72120.0,312587.05,1148281.99,0.0,8915.65,192681.78,197821.94,390503.72,43440.13,52355.78,723428.74,272931.62,1494.8,21486.43,21486.43,1385330.08,54939.65,1391099.8,0.0,4.21,1105393.96,127460.22,977933.74,568227.9600000001,15.0,-202552.13,0.0,107777.459,651308.74,1186944.1,52892.16,289222.18,252876.28,289222.18,0.0,176339.72,121400.07,197821.94,1247198.579,119905.27,-21482.22,-1494.8,69027.64,1265527.2,1265527.2,661944.75,GIROVENDING SL_resum
2002-01-01,204022.24,230132.67,410730.75,72120.0,401479.949,1148281.99,0.0,24676.68,220428.49,277030.37,497458.86,53197.86,77874.54,904480.19,325198.11,450.76,11199.699,11198.740000000002,1551401.04,89847.17000000001,1555728.33,5516.969999999999,1.7500000000000002,1066685.62,23219.17,1043466.45,625461.3600000001,13.0,-202552.13,0.0,332856.21,832360.19,1186944.1,52892.16,368913.94,204022.24,368913.94,0.0,265832.41900000005,175985.249,277030.37,1247198.579,181051.46,-11197.95,5066.21,305662.89,1477416.37,1477416.37,827723.97,GIROVENDING SL_resum
2003-01-01,158550.61000000002,230132.67,312815.76900000003,72120.0,423470.53,1148281.99,0.0,32053.980000000003,224303.1,307181.38,531484.48,59335.28,91389.26,1103647.62,384022.83,1135.07,7117.759,7115.6900000000005,1773494.04,100309.25,1773494.04,522.12,26.01,1262765.08,11079.87,1251685.21,726928.11,15.0,-202552.13,0.0,221426.509,1031527.62,1186944.1,52892.16,313382.62,158550.61000000002,313382.62,0.0,300089.63,199780.38,307181.38,1247198.579,199167.43,-7091.75,-612.949,206307.35,1575580.85,1575580.85,914918.299,GIROVENDING SL_resum
2004-01-01,123493.96,230132.67,294191.63,72121.45,421719.66,1148281.99,0.0,1616.42,237803.2,279253.33,517056.53,62835.42,64451.84,1287564.08,440020.48,683483.61,5069.29,5069.24,1932305.54,92097.18,1932665.54,685310.539,2.67,1484932.12,2200.46,940231.66,685850.3,17.0,-202552.13,542500.0,229739.79,1215442.63,1186944.1,52892.16,368065.71,123493.96,368065.71,0.0,274186.71,182089.53,279253.33,1247198.579,183916.46,-5066.620000000001,1826.929,219781.95,1779123.75,1779123.75,958906.56,GIROVENDING SL_resum
2005-01-01,88639.8,230132.67,363383.3,72120.0,421015.52,1148281.99,0.0,13398.25,244863.71,245551.49,490415.199,49741.37,63139.62,1463715.89,521238.48,85.0,4118.279,4118.279,2082707.91,85604.63,2082707.91,135.83,20272.4,1539485.47,1903.12,1022964.37,851767.47,17.0,-202552.13,514617.9790000001,300243.68,1391595.89,1186944.1,52892.16,350513.08,88639.8,350513.08,0.0,261705.61,176100.979,245551.49,1247198.579,176151.81,16154.12,50.83,294162.52,1902868.77,1902868.77,1031976.908,GIROVENDING SL_resum
2006-01-01,54272.86,230132.67,301346.76900000003,72120.0,448340.959,1148281.99,0.0,5298.120000000001,251981.56,277612.98000000004,529594.54,39279.59,44577.71,1460075.29,528302.42,450.76,3576.08,3576.08,2163783.57,96485.65,2163783.57,0.0,19258.91,1560360.32,1605.78,1071025.12,909647.32,19.0,-202552.13,487729.41900000005,256769.059,1387955.29,1186944.1,52892.16,347358.94,54272.86,347358.94,0.0,293295.81,196810.16,277612.98000000004,1247198.579,196359.4,15682.83,-450.76,252686.14,1861707.09,1861707.09,1076705.11,GIROVENDING SL_resum
2007-01-01,457353.51,230132.67,179248.259,72120.0,414594.46,1148281.99,0.0,56646.5,334170.59,94242.71,428413.3,66345.03,122991.53,1540499.16,483258.79,0.0,8719.17,8719.17,2222516.33,17535.480000000003,2222516.33,2059.4,10376.41,2128205.319,20910.28,1277154.35,1043968.43,9.0,-202552.13,830140.6889999999,56256.72899999999,1468379.16,1186944.1,52892.16,309600.91000000003,457353.51,309600.91000000003,0.0,95899.95,78364.47,94242.71,1247198.579,80423.87000000001,1657.24,2059.4,53521.4,2307453.58,2307453.58,924107.9,GIROVENDING SL_resum
2008-01-01,234847.74,230132.67,299964.45,72120.0,444436.71,1148281.99,0.0,19390.69,397049.32,60254.48,457303.8,78326.12000000001,-132415.86,986479.76,587342.65,0.0,7855.9,7855.9,2395480.57,15795.8,2395480.57,0.0,10784.61,1298457.97,2081.19,1084022.2,1148281.99,20.0,-202552.13,212354.58,202247.64,914359.76,1186944.1,52892.16,94070.09,287739.9,324202.76,0.0,63183.19,47387.39,60254.48,1247198.579,47387.39,2928.71,0.0,197647.64,1598422.42,1598422.42,1055431.06,GIROVENDING SL_resum
