Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,300862.93000000005,6169.34,211388.33,60101.21,175162.44,37384.61,5800.03,110061.91,116281.44,102340.78,218622.22,3305.57,110061.91,537589.24,286317.29000000004,1817.79,17097.75,17097.75,755011.61,25730.28,838005.669,928.56,257.48,855131.43,332.44,854798.99,91683.15,14.0,-244416.62,0.0,101326.419,477488.029,511348.13,40780.02,228067.58,300862.93000000005,228067.58,0.0,85500.5,59770.22,102340.78,530077.03,58881.0,-16840.280000000002,-889.23,97372.21,1066519.76,1066519.76,504307.759,GRUAS CRUZ SA_resum
2000-01-01,327578.42000000004,6169.34,174888.97,60101.21,107872.81,37384.61,5800.03,92088.27,139631.34999999998,-22394.89,117236.46,3305.57,92088.27,505830.71,315475.43000000005,0.0,24712.649,22447.76,671304.65,-13610.8,753895.58,1370.03,368.18,855573.52,12169.52333333333,855573.52,39348.36,14.0,-244416.62,0.0,82800.7,445729.5,511348.13,40780.02,197053.35,327578.42000000004,197053.35,0.0,-46739.37,-33128.57,-22394.89,530077.03,-31758.54,-24344.480000000003,1370.03,74736.709,1030462.48,1030462.48,432185.199,GRUAS CRUZ SA_resum
2001-01-01,229662.94,6169.34,311807.38,60101.21,133257.699,37384.61,5800.03,191030.78,142307.86,1001.43,143309.289,3305.57,194336.35,496775.37,375623.9,0.0,14205.36,16171.14,967639.45,-3878.64,1048688.319,0.0,275.13,719594.3200000001,24006.60666666666,719594.3200000001,234042.31,15.0,-244416.62,0.0,117471.03,436674.16,511348.13,40780.02,304963.39,229662.94,304963.39,0.0,-12928.8,-9050.16,1001.43,530077.03,-9050.16,-13930.23,0.0,114049.38,1031401.7,1031401.7,521174.1,GRUAS CRUZ SA_resum
2002-01-01,184205.39,6169.34,330157.62,60101.21,114046.47,37384.61,5800.03,223721.36,99818.56,-6144.1900000000005,93674.37,3305.57,227026.93,513823.73,410878.4900000001,0.0,8813.67,9084.33,1349858.83,6097.68,1417320.27,35072.6,210.85,732308.38,35843.689999999995,696464.69,505684.5,15.0,-244416.62,0.0,103130.69,453722.519,511348.13,40780.02,364436.88,184205.39,364436.88,0.0,-14747.01,-20844.69,-6144.1900000000005,530077.03,14227.91,-8602.82,35072.6,96352.67,1062466.0,1062466.0,540106.97,GRUAS CRUZ SA_resum
2003-01-01,272723.13,6169.34,272359.41000000003,60101.21,136410.91,37384.61,5800.03,162228.29,129474.21,-982.1,128492.11,9283.82,171512.11000000002,520760.43000000005,527203.1989999999,2378.16,8230.4,8230.4,1572466.36,-3789.22,1647301.36,14432.56,305.58,847406.42,135643.59,711762.8300000001,541574.7,18.0,-244416.62,0.0,100847.299,460659.22,511348.13,40780.02,326282.27,272723.13,326282.27,0.0,-8906.92,-5117.7,-982.1,530077.03,6936.7,-7924.820000000001,12054.4,90138.64,1119765.83,1119765.83,668055.2889999999,GRUAS CRUZ SA_resum
2004-01-01,154221.44999999998,6169.34,156973.31999999998,60101.21,116437.89,37384.61,5800.03,79519.8,129523.86,-32392.51,97131.35,15480.6,95000.4,507674.46,365669.13,0.0,10837.18,10837.18,800808.3300000001,-5608.28,883573.4500000001,24513.99,21.45,715773.65,37298.17,678475.48,56747.87,13.0,-244416.62,0.0,61972.92,447573.25,511348.13,40780.02,210851.06,154221.44999999998,210851.06,0.0,-43208.24,-37599.96,-32392.51,530077.03,-13085.97,-10815.73,24513.99,58217.28,872746.97,872746.97,487335.92,GRUAS CRUZ SA_resum
2005-01-01,248902.18,6169.34,156741.59,60101.21,61490.321,37384.61,5800.03,116609.5,127342.55,-84287.03,43055.52,10305.57,126915.07,441822.23,333910.19,811.37,8979.66,9206.16,661254.7,-28222.38,720689.7,0.58,2.87,747465.63,146453.94,601011.69,46451.34,11.0,-244416.62,0.0,29826.519,381721.019,511348.13,40780.02,213482.81,248902.18,213482.81,0.0,-93263.82,-65041.44,-84287.03,530077.03,-65852.229,-8976.79,-810.7900000000001,20277.059,904207.22,904207.22,376384.29,GRUAS CRUZ SA_resum
2006-01-01,207236.89,6169.34,148601.65,120202.42,20164.359,37384.61,5800.03,83639.17000000001,123158.68,-166490.67,-43331.99,13605.57,97244.739,391754.09,206314.59,250.0,9156.12,9156.12,397241.2,-42500.65,486711.2,30401.12,0.7000000000000001,638424.38,97633.42,540790.9600000001,38880.43,7.0,-244416.62,0.0,51356.909,271551.67,511348.13,40780.02,188035.05,207236.89,188035.05,0.0,-175646.09,-133145.44,-166490.67,530077.03,-102994.32,-9155.42,30151.12,44280.5,787026.03,787026.03,193134.419,GRUAS CRUZ SA_resum
2007-01-01,164624.28,6169.34,199346.569,120202.42,76400.2,37384.61,5800.03,144408.21000000002,95159.09,-10381.44,84777.65000000001,14905.57,159313.78,372995.2,206141.52,14094.11,10756.45,10756.45,534339.38,-6252.969999999999,622845.4500000001,10198.0,22.14,502770.47,74843.9,427926.57,75029.6,6.0,-244416.62,0.0,40032.789,252792.78,511348.13,40780.02,164497.56,164624.28,164497.56,0.0,-21115.75,-14862.779,-10381.44,530077.03,-18758.89,-10734.31,-3896.11,37828.8,702117.04,702117.04,287045.2,GRUAS CRUZ SA_resum
2008-01-01,130971.83,6169.34,110477.42,120202.42,62555.13,37384.61,5800.03,43196.69,52652.87,18728.9,71381.77,9955.57,46982.92,376184.93000000005,214278.64,0.0,5526.06,5526.06,502194.91,3300.76,567461.64,0.0,0.18,540797.4400000001,66675.91249999999,397611.78,37384.61,5.0,-244416.62,143185.66,57325.16,255982.51,511348.13,40780.02,97168.74,171751.84999999998,103338.08,0.0,13203.02,9902.26,18728.9,530077.03,9902.26,-5525.88,0.0,39484.89,651274.8600000001,651274.8600000001,285660.59,GRUAS CRUZ SA_resum
2009-01-01,70247.76,61267.1,179701.53,120202.42,82876.36,28864.54,5800.03,55803.08,54492.74,41016.37,95509.11,9505.57,4041.55,403268.55,233570.35,0.0,3172.22,3172.22,507093.63,9461.21,561818.3,0.0,0.68,494064.46,58507.924999999996,228842.01,28864.54,9.0,-203874.3,265222.45,114392.88,283066.13,491937.389,39571.78999999999,93610.76,109819.55,160677.88999999998,0.0,37844.83,28383.62,41016.37,532953.76,28383.62,-3171.54,0.0,114392.88,673765.99,673765.99,329080.139,GRUAS CRUZ SA_resum
2010-01-01,25000.04,58645.12,164773.1,120202.42,59900.929,26183.74,2360.84,79378.1,52528.09,12324.93,64853.02,2562.0,23294.980000000003,410641.39,283411.67,0.0,1020.11,1020.11,503251.12,3932.1,603216.1789999999,0.0,0.12,438876.93000000005,50339.9375,118685.33,26183.74,8.0,-228767.749,320191.6,82833.0,290438.97000000003,564707.509,35742.04,71260.6,60742.08,132266.56,0.0,11304.94,7372.84,12324.93,577032.4400000001,7372.84,-1019.99,0.0,82833.0,603650.03,603650.03,348264.809,GRUAS CRUZ SA_resum
