Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,506831.35,178210.87999999998,643273.93,661113.31,407598.4900000001,712302.69,876806.01,559008.88,142525.46,253992.78,396518.24,8986.89,567995.7699999999,2002580.96,941910.03,3934.109,29142.6,29142.6,2607022.75,90855.95,2608917.07,9027.2,125985.71,2224894.77,168.87,1759063.0,635252.8400000001,50.0,-1301518.86,465662.899,75278.16,1341467.65,3112158.24,0.0,358756.4,506831.35,358756.4,0.0,350835.89,259979.94,253992.78,3279511.82,265073.03,96843.12,5093.09,75278.17000000001,2868168.7,2868168.7,1469507.07,HOPARK SA_resum
2000-01-01,297752.95,178210.87999999998,965695.31,661113.31,601605.63,712302.69,876806.01,625938.7699999999,149596.24000000002,517697.05,667293.2899999999,3104.4500000000003,629043.22,2334387.92,980533.59,0.0,22584.25,22584.25,3002228.93,187608.69,3014254.88,7773.120000000001,136732.16,2180898.36,168.87,1715066.59,570658.14,50.0,-1301518.86,465662.899,336652.09,1673274.6090000002,3112158.24,0.0,514452.8,297752.95,514452.8,0.0,631844.9600000001,444236.269,517697.05,3279511.82,452009.39,114147.91,7773.120000000001,336652.09900000005,3146593.67,3146593.67,1792332.16,HOPARK SA_resum
2001-01-01,1783384.84,178210.87999999998,1314593.23,661100.0,597980.669,712302.69,876806.01,1181726.4,407023.1,260540.4,667563.5,3372.53,1185098.93,2525345.48,938502.85,1333.15,137025.36,137025.36,2794384.37,63850.56,2805925.43,6504.68,126121.56,5585105.88,603080.52,4511579.67,481009.14,50.0,-1301518.86,470445.689,129494.3,1864245.48,3112158.24,0.0,2590968.79,1783384.84,2590968.79,0.0,249636.6,185786.04,260540.4,3279511.82,190957.57,-10903.8,5171.53,24436.43,6899699.109999999,6899699.109999999,1737359.44,HOPARK SA_resum
2002-01-01,1556684.09,178210.87999999998,860472.8400000001,661100.0,750988.23,712302.69,876806.01,774068.2799999999,621809.07,311195.73000000004,933004.799,3842.69,777910.97,2654524.64,947857.65,0.0,171239.94999999998,171239.94999999998,3023575.14,62086.84,3036393.5,4390.94,46919.28,5090353.29,523603.08,4096304.52,535294.459,50.0,-1301518.86,470445.689,82561.87000000001,1993424.64,3112158.24,0.0,1739617.4,1556684.09,1739617.4,0.0,186875.06,124788.22,311195.73000000004,3279511.82,129179.16,-124320.67,4390.94,3946.87,5950826.13,5950826.13,1932172.669,HOPARK SA_resum
2003-01-01,1233895.56,178210.87999999998,1053872.28,661100.0,771118.3,712302.69,876806.01,934416.86,642177.39,245395.5,887572.89,3363.59,937780.45,2783465.55,1032178.95,2895.3700000000003,109234.7,109234.7,3207224.14,55059.78,3222219.9,8542.949999999999,42192.310000000005,4685435.59,445400.64,3755150.17,606834.47,50.0,-1301518.86,484884.78,116091.829,2122365.549,3112158.24,0.0,1721946.76,1233895.56,1721946.76,0.0,178353.11000000002,123293.329,245395.5,3279511.82,128940.91,-67042.39,5647.58,54582.37,5739307.87,5739307.87,1967591.729,HOPARK SA_resum
2004-01-01,850505.7699999999,178210.87999999998,241994.25,661100.0,1342336.83,712302.69,876806.01,103757.82,647181.64,227901.8,875083.4400000001,8184.73,111942.55,2783465.55,912390.03,399.41,72019.01,72019.01,2837739.02,67773.14,2837739.02,11609.94,595835.01,4092567.01,366496.48,3241185.75,479684.42,50.0,-1301518.86,484884.779,130051.699,2122365.549,3112158.24,0.0,700589.9400000001,850505.7699999999,700589.9400000001,0.0,751717.8,683944.66,227901.8,3279511.82,695155.19,523816.0,11210.53,79549.05,4334561.26,4334561.26,2394519.01,HOPARK SA_resum
2005-01-01,606700.54,178210.87999999998,498938.37,661100.0,853726.9600000001,712302.69,876806.01,428528.29,644624.9400000001,267112.24,911737.179,5936.429999999999,434464.72,2587722.76,992270.66,0.0,42755.23,42755.23,3042422.31,80657.82,3060490.35,10833.23,54569.6,3506269.4,287769.04,2733615.58,532046.22,50.0,-1301518.86,484884.779,64473.65,1926622.759,3112158.24,0.0,810784.47,606700.54,810784.47,0.0,278926.61,198268.789,267112.24,3279511.82,209102.02,11814.37,10833.23,19534.32,4005207.77,4005207.77,1969410.67,HOPARK SA_resum
2006-01-01,447117.18,178210.87999999998,260189.35,661100.0,877529.06,712302.69,876806.01,220240.38,666417.6799999999,348656.75,1015074.43,3808.43,224048.81,2248834.14,1077456.1900000002,106.0,39923.15,39923.15,3512546.68,105181.19,3532424.57,920.23,6744.74,3106986.03,147449.24000000002,2474652.01,681345.7899999999,50.0,-1301518.86,484884.78,36140.54,1587734.14,3112158.24,0.0,671224.06,447117.18,671224.06,0.0,315478.34,210297.15,348656.75,3279511.82,211111.38,-33178.41,814.23,16903.440000000002,3367175.38,3367175.38,2100089.589,HOPARK SA_resum
2007-01-01,154414.17,178210.87999999998,329910.54,661100.0,919014.37,712302.69,876806.01,139306.1,573792.5,447608.83,1021401.33,3646.26,142952.36,1994056.01,1245384.32,189.77,209456.79,60576.9,4064850.84,67418.83,4084293.52,2923.73,171754.7,2552578.22,229638.77,1986934.56,749001.15,50.0,-1301518.86,336004.89,186958.179,1332956.01,3112158.24,0.0,734018.58,154414.17,734018.58,0.0,409906.74,342487.91000000003,447608.83,3279511.82,345221.87,-37702.09,2733.96,174958.74000000002,2882488.76,2882488.76,2292394.42,HOPARK SA_resum
2008-01-01,784133.73,178210.87999999998,398726.31,661100.0,526182.3500000001,712302.69,876806.01,310517.55,408722.03,167353.58,576075.61,1929.54,134236.209,1811516.33,1401917.35,0.0,54600.72,54600.72,3972469.33,25256.54,3991814.51,0.0,29964.0,3496472.19,225236.11,2935231.19,712302.69,50.0,-1301518.86,336004.89,86279.219,1150416.33,3112158.24,0.0,244531.55,784133.73,1299548.44,0.0,142716.86,117460.319,167353.58,3279511.82,117460.319,-24636.72,0.0,817.2,3895198.5,3895198.5,2007956.96,HOPARK SA_resum
