Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,353082.55,133664.81,698116.9500000001,150253.03,607495.62,861769.62,304916.32,63800.18,271138.79000000004,529832.53,800971.3200000001,52288.05,116088.23,1144513.14,1192097.6800000002,834.91,16500.22,16500.22,3519741.02,181564.78,3519741.02,0.0,5424.22,1010540.36,232900.41,742288.42,887024.74,58.0,-773865.09,35351.528999999995,582028.72,994260.109,3163245.05,0.0,211061.63,353082.55,211061.63,0.0,518756.53,337191.75,529832.53,2903463.94,336356.83,-11076.0,-834.91,534095.669,1708657.32,1708657.32,1997658.3,HOTEL AIGUA BLAVA SA_resum
2000-01-01,338767.01,133664.81,411826.33,150253.03,670751.5,861769.62,304916.32,46473.310000000005,351277.48000000004,497365.76,848643.24,109829.7,156303.01,1127630.32,1308666.35,0.0,17207.08,17207.08,3831981.14,172024.47,3831981.14,0.0,11339.81,1333753.4,231707.08,1066694.79,996098.78,58.0,-773865.09,35351.528999999995,255523.32,977377.29,3163245.05,0.0,279182.39,338767.01,279182.39,0.0,491498.4900000001,319474.02,497365.76,2903463.94,319474.02,-5867.27,0.0,220540.27,1745579.73,1745579.73,2168649.4,HOTEL AIGUA BLAVA SA_resum
2001-01-01,510554.84,133664.81,236697.75,150253.0,559970.0,861769.62,304916.32,78393.36,436975.8,202271.68,639247.48,84921.12000000001,163314.479,931150.48,1544405.0,652.3499999999999,14369.25,14369.25,3897621.06,77446.57900000001,4066403.84,0.0,13190.7,1527448.33,163751.94,1328344.86,1124182.14,58.0,-773865.09,35351.53,73383.27,780897.48,3163245.05,0.0,322440.76,510554.84,322440.76,0.0,201093.13,123646.551,202271.68,2903463.94,122994.2,-1178.55,-652.3499999999999,55081.09,1764146.08,1764146.08,2196190.829,HOTEL AIGUA BLAVA SA_resum
2002-01-01,915232.68,133664.81,298366.7,150253.0,479881.66,861769.62,304916.32,157963.9,402858.8,148840.01,551698.81,108160.69,266124.58900000004,885179.14,1694680.41,0.0,42305.91,42305.91,3971602.26,34076.78,4137532.53,0.0,4565.54,2006023.53,99737.53,1863220.01,1115203.24,58.0,-773865.09,43065.989,32242.11,734926.14,3163245.05,0.0,503978.41,915232.68,503978.41,0.0,111099.64,77022.86,148840.01,2903463.94,77022.86,-37740.37,0.0,32242.11,2304390.23,2304390.23,2250944.76,HOTEL AIGUA BLAVA SA_resum
2003-01-01,446795.82,133664.81,206645.06,150253.0,562461.53,861769.62,304916.32,86450.51,504602.33,156242.58,660844.91,99710.44,186160.95,866015.48,1644568.64,15263.42,64091.41,64091.41,4050349.16,31154.960000000003,4249099.84,11126.869,999.54,1725945.41,43581.17,1645325.29,1131208.39,58.0,-773865.09,37038.949,20484.11,715762.48,3163245.05,0.0,619779.1699999999,446795.82,619779.1699999999,0.0,93150.71,61995.75,156242.58,2903463.94,57859.2,-63091.87,-4136.55,18758.65,1932590.47,1932590.47,2302276.54,HOTEL AIGUA BLAVA SA_resum
2004-01-01,322667.79000000004,133664.81,374064.33,150253.0,549636.07,861769.62,304916.32,98929.04,470816.35,154677.87999999998,625494.23,66836.33,165765.37,886976.0,1645157.21,0.0,48439.98,48439.98,3969784.97,35506.64,4122430.65,1600.0,6488.46,1508839.37,487604.7,984195.72,1055581.02,58.0,-773865.09,37038.95,208298.96,736723.0,3163245.05,0.0,673259.91,322667.79000000004,673259.91,0.0,112726.36,77219.72,154677.87999999998,2903463.94,78819.72,-41951.52,1600.0,206060.01,1882903.7,1882903.7,2278739.9,HOTEL AIGUA BLAVA SA_resum
2005-01-01,424473.05,133664.81,140212.03,150253.0,564442.65,861769.62,304916.32,69685.37000000001,479407.38,141224.74000000002,620632.12,64162.53,133847.9,893191.55,1710867.62,0.0,20407.42,20407.42,4031767.67,38853.47,4182101.58,0.0,3071.42,1541616.9,40188.32,1464389.63,1026663.54,58.0,-773865.09,37038.949,6364.13,742938.55,3163245.05,0.0,364164.33,424473.05,364164.33,0.0,123888.74,85035.27,141224.74000000002,2903463.94,85035.27,-17336.0,0.0,4578.33,1681828.93,1681828.93,2334571.16,HOTEL AIGUA BLAVA SA_resum
2006-01-01,586787.3200000001,133664.81,121409.12,150253.0,521380.949,861769.62,304916.32,44491.17,466835.72,95530.37,562366.09,71718.03,116209.2,862701.51,1811355.71,0.0,25649.460000000003,25649.460000000003,4034164.22,21197.960000000003,4036867.86,0.0,5862.28,1729335.92,22983.95,1669313.02,935390.87,58.0,-773865.09,37038.949,5199.919,712448.51,3163245.05,0.0,401256.21,586787.3200000001,401256.21,0.0,75743.19,54545.23,95530.37,2903463.94,54545.23,-19787.18,0.0,4000.0,1850745.04,1850745.04,2379584.08,HOTEL AIGUA BLAVA SA_resum
2007-01-01,762794.74,133664.81,174769.26,150253.0,532111.25,861769.62,304916.32,66107.77,485687.07,100575.31,586262.38,92782.08,158889.84999999998,854580.4600000001,1825080.17,0.0,40653.22,40653.22,4132169.47,14892.78,4138274.42,0.0,1394.87,1851762.68,17202.629999999997,1796571.45,978066.11,58.0,-773865.09,37988.6,15879.41,704327.4600000001,3163245.05,0.0,409156.74,762794.74,409156.74,0.0,61316.96,46424.18,100575.31,2903463.94,46424.18,-39258.350000000006,0.0,15879.41,2026531.94,2026531.94,2412737.42,HOTEL AIGUA BLAVA SA_resum
2008-01-01,1054249.55,133664.81,206982.01,150253.0,254356.659,861769.62,304916.32,95099.93,486820.05,-259781.11,227038.94,107882.08,69317.2,575692.89,1902559.91,0.0,51052.05,51052.05,3757933.52,-75700.29,3765233.56,0.0,2669.48,2077378.19,0.0,1963170.29,876869.62,58.0,-773865.09,114207.9,4000.0,425439.89,3163245.05,0.0,215836.63,1054249.55,654417.76,0.0,-308163.68,-232463.39,-259781.11,2903463.94,-232463.39,-48382.57,0.0,47134.38875,2284360.2,2284360.2,2132268.33,HOTEL AIGUA BLAVA SA_resum
