Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,78571.35,303434.73000000004,72724.05,6010.120000000001,26789.469,852993.881,0.0,44165.51,1153.94,36652.9,37806.84,1372.8,45538.310000000005,47354.54,121585.53,0.0,30.73,30.73,305137.76,10986.66,305137.76,0.0,0.02,1971.32,0.0,1971.32,127525.69,9.0,-214939.13,0.0,27185.739,41344.42,448356.04,0.0,27340.83,78571.35,27340.83,0.0,36622.19,25635.53,36652.9,480931.319,25635.53,-30.71,0.0,27185.74,74695.36,74695.36,159392.38999999998,IMAR-SANT HILARI SL_resum
2000-01-01,78571.35,303434.73000000004,105123.35,6010.120000000001,19519.17,852993.881,0.0,100620.81,1652.99,26126.76,27779.75,1483.56,102104.37,65220.72,155590.73,0.0,603.64,603.64,510726.17,7656.94,510726.17,0.0,339.715,4754.3,0.0,4754.3,306574.17,11.0,-214939.13,0.0,3018.98,59210.6,448356.04,0.0,44656.92,78571.35,44656.92,0.0,25523.12,17866.18,26126.76,480931.319,17866.18,-603.64,0.0,3018.9700000000003,109877.65,109877.65,183370.48,IMAR-SANT HILARI SL_resum
2001-01-01,78571.35,303434.73000000004,141493.26,6010.120000000001,18930.57,852993.881,0.0,131098.91999999998,1858.4,30199.07,32057.47,1384.58,132483.5,82292.89,173669.22,0.0,6618.150000000001,6618.150000000001,474486.41,7188.160000000001,474486.41,0.0,679.41,11911.08,0.0,11911.08,243230.25,10.0,-214939.13,0.0,9009.76,76282.77,448356.04,0.0,71111.45,78571.35,71111.45,0.0,24260.33,17072.17,30199.07,480931.319,17072.17,-5938.74,0.0,9009.76,153404.34,153404.34,206406.099,IMAR-SANT HILARI SL_resum
2002-01-01,78571.35,303434.73000000004,292242.48000000004,6010.120000000001,47382.09,852993.881,0.0,259179.77,2017.67,65877.759,67895.429,1156.47,260336.24,127657.29,147915.87,0.0,1086.48,1086.48,611697.2799999999,19441.9,611697.2799999999,0.0,15.04,9893.41,0.0,9893.41,364642.1,9.0,-214939.13,0.0,31906.24,121647.17,448356.04,0.0,174478.6,78571.35,174478.6,0.0,64806.32,45364.42,65877.759,480931.319,45364.42,-1071.44,0.0,31906.24,302135.89,302135.89,215826.34,IMAR-SANT HILARI SL_resum
2003-01-01,78571.35,303434.73000000004,336564.99000000005,6010.120000000001,28299.239,852993.881,0.0,238803.14,2017.67,37536.25,39553.92,28402.31,267205.45,153938.86,128629.52,0.0,27.58,27.58,645432.1799999999,11263.53,645432.1799999999,0.0,36.43,7875.74,0.0,7875.74,431602.03,7.0,-214939.13,0.0,69359.539,147928.74000000002,448356.04,0.0,190501.87,78571.35,190501.87,0.0,37545.1,26281.57,37536.25,480931.319,26281.57,8.850000000000001,0.0,69359.54,344440.73000000004,344440.73000000004,168219.87,IMAR-SANT HILARI SL_resum
2004-01-01,78571.35,303434.73000000004,354561.03,6010.120000000001,42043.77,852993.881,0.0,186939.59,2017.67,57095.12,59112.78999999999,27021.87,213961.46,193964.96,148974.9,0.0,681.8100000000001,681.8100000000001,761912.11,17154.04,761912.11,0.0,85.02,5858.07,0.0,5858.07,512277.98,8.0,-214939.13,0.0,140599.57,187954.84,448356.04,0.0,166454.14,78571.35,166454.14,0.0,57180.14,40026.1,57095.12,480931.319,40026.1,85.02,0.0,140599.57,360419.1,360419.1,208172.71,IMAR-SANT HILARI SL_resum
2005-01-01,78571.35,303434.73000000004,593276.3400000001,6010.120000000001,61238.69,852993.881,0.0,370114.45,25294.06,52280.59,77574.65000000001,21950.12,392064.57,229909.59,153594.3,0.0,1336.04,1336.04,1020971.53,15404.84,1020971.53,256.5,148.42000000000002,74221.72,0.0,74221.72,732084.7699999999,8.0,-214939.13,0.0,201211.769,223899.47,448356.04,0.0,359017.12,78571.35,359017.12,0.0,51092.97,35688.13,52280.59,480931.319,35944.63,-1187.62,256.5,201211.77,667498.06,667498.06,231573.87,IMAR-SANT HILARI SL_resum
2006-01-01,64285.65,303434.73000000004,757221.52,6010.120000000001,51659.159,852993.881,0.0,509028.16,17843.920000000002,50154.59,67998.51,177181.37,686209.53,263724.83,305318.62,0.0,2659.36,2659.36,1238801.0,14492.240000000002,1244363.0,0.0,812.25,130111.45,0.0,130111.45,806069.7799999999,13.0,-214939.13,0.0,71011.98999999999,257714.71,448356.04,0.0,559322.49,64285.65,559322.49,0.0,48307.48,33815.24,50154.59,480931.319,33815.24,-1847.11,0.0,71011.98999999999,887332.97,887332.97,374129.379,IMAR-SANT HILARI SL_resum
2007-01-01,49999.95,303434.73000000004,856649.11,6010.120000000001,68374.42,852993.881,0.0,570223.6,30139.13,53422.58,83561.70999999999,168061.96,738285.559,301960.12,435544.27,0.0,3124.9300000000003,3124.9300000000003,1810219.75,12745.09,1820728.27,0.0,682.73,127446.98,0.0,127340.42,1202593.6,18.0,-214939.13,106.559,118363.55,295950.0,448356.04,0.0,632136.02,49999.95,632136.02,0.0,50980.380000000005,38235.289,53422.58,480931.319,38235.28999999999,-2442.2,0.0,118363.55,984096.09,984096.09,519788.71,IMAR-SANT HILARI SL_resum
2008-01-01,110911.48,303434.73000000004,645277.8500000001,6010.120000000001,62489.92,852993.881,17361.52,529206.13,39665.77,32575.28,72241.049,33136.76899999999,258908.169,324784.27,408690.27,0.0,3981.44,3981.44,1260537.78,7608.05,1333925.2,0.0,1838.36,136398.26,0.0,116291.7,886130.65,18.0,-214939.13,20106.56,82934.95,318774.15,448356.04,0.0,25184.11,110911.48,345980.36,0.0,30432.2,22824.15,32575.28,480931.319,22824.15,-2143.08,0.0,82934.95,781676.11,781676.11,482769.68,IMAR-SANT HILARI SL_resum
