Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,0.0,0.0,10454.26,6010.120000000001,8454.730000000001,0.0,0.0,7437.0,8672.26,1691.53,1691.53,0.0,7437.0,6933.98,60267.25,775.31,657.92,657.92,105126.34,70.61,105126.34,0.0,103.82,15175.12,327.2,14667.62,234.0,3.0,-30959.879,180.299,10454.26,923.859,130376.199,534.37,18695.41,34000.0,18695.41,0.0,1137.43,1066.82,1691.53,130103.45,291.51,-554.1,-775.31,10454.26,25629.39,25629.39,61287.28999999999,IMMO-SERVEIS SON PUJOL SL_resum
2000-01-01,0.0,0.0,31656.77,6010.120000000001,8454.730000000001,0.0,0.0,7437.0,8672.26,255.29,255.29,0.0,7437.0,6911.68,65408.07,0.0,550.15,550.15,107534.01,82.61999999999999,107534.01,0.0,355.18,18473.95,327.2,17966.45,0.0,3.0,-30959.879,180.299,31656.77,901.56,130376.199,534.37,43219.04,34000.0,43219.04,0.0,60.32,-22.299,255.29,130103.45,-22.3,-194.97,0.0,31656.77,50130.72,50130.72,66018.539,IMMO-SERVEIS SON PUJOL SL_resum
2001-01-01,0.0,0.0,23091.73,6010.0,8454.730000000001,0.0,0.0,7437.0,8672.26,347.0,9019.26,0.0,7437.0,6694.14,67200.54,0.01,1980.46,1980.46,126963.67,322.21,126963.67,0.0,1738.15,17299.2,46.75,17072.149999999998,0.0,3.0,-30959.879,180.299,23091.73,684.14,130376.199,534.37,33696.78999999999,34000.0,33696.78999999999,0.0,104.69,-217.52,347.0,130103.45,-217.53,-242.31,-0.01,23091.73,40390.93,40390.93,77957.939,IMMO-SERVEIS SON PUJOL SL_resum
2002-01-01,0.0,0.0,185431.62,6010.0,12404.42,0.0,0.0,7437.0,6916.58,6366.57,13283.15,0.0,7437.0,12181.98,73010.25,3.7,390.14,390.14,173423.9,2272.16,173423.9,4.42,1782.85,10382.62,758.575,10202.32,0.0,4.0,-30959.879,180.3,185431.62,6171.98,130376.199,534.37,183632.26,34000.0,183632.26,0.0,7759.28,5487.120000000001,6366.57,130103.45,5487.84,1392.71,0.7190000000000001,185431.62,195814.24,195814.24,88076.97,IMMO-SERVEIS SON PUJOL SL_resum
2003-01-01,0.0,0.0,15282.15,6010.0,48185.22899999999,0.0,0.0,7437.0,10109.66,54241.27,64350.929,0.0,7437.0,50257.55,77686.6,0.95,259.29,259.29,236172.04,16318.1,236172.04,10.88,401.76,89061.82,1470.4,27112.74,0.0,4.0,-30959.879,60478.68,7845.150000000001,44247.55,130376.199,534.37,54086.42,34000.0,54086.42,0.0,54383.74,38065.64,54241.27,130103.45,38075.57,142.47,9.93,7845.150000000001,104343.97,104343.97,142449.22,IMMO-SERVEIS SON PUJOL SL_resum
2004-01-01,34000.0,0.0,50090.47,6010.0,32772.350000000006,0.0,0.0,7437.0,8630.740000000002,19004.3,27635.04,0.0,7437.0,74399.16,85070.43,4163.95,123.75,123.75,182112.74,10346.41,182112.74,17458.6,2312.82,88448.36,7430.4,28689.27,0.0,4.0,-30959.879,52328.69,42653.47,68389.16,130376.199,534.37,30139.67,34000.0,30139.67,0.0,21193.37,10846.96,19004.3,130103.45,24141.61,2189.07,13294.649,42653.47,138538.83,138538.83,128312.94,IMMO-SERVEIS SON PUJOL SL_resum
2005-01-01,0.0,0.0,33598.51,6010.0,15179.18,0.0,0.0,20384.47,10248.86,5618.0,15866.86,0.0,20384.47,79329.48,88246.0,278.27,720.56,720.56,185353.22,2113.0,186508.22,306.86,2117.29,79972.53,7430.4,18440.41,0.0,4.0,-30959.879,54101.72,13214.04,73319.48,130376.199,534.37,34241.56,44662.0275,34241.56,0.0,7014.73,4901.73,5618.0,130103.45,4930.320000000001,1396.73,28.59,13214.04,113571.04,113571.04,106258.74,IMMO-SERVEIS SON PUJOL SL_resum
2006-01-01,0.0,0.0,46825.53,6010.0,802.53,0.0,0.0,4213.68,305.26,-722.3299999999999,-417.07,0.0,4213.68,79826.75,90786.68,0.0,724.13,724.13,173148.05,213.12,173148.05,0.0,2156.8500000000004,97115.73,7430.4,33750.28,0.0,6.0,-30959.879,55935.05,42611.850000000006,73816.75,130376.199,534.37,64114.51,55324.055,64114.51,0.0,710.39,497.27,-722.3299999999999,130103.45,497.27,1432.72,0.0,27611.85,143941.26,143941.26,92526.459,IMMO-SERVEIS SON PUJOL SL_resum
2007-01-01,0.0,0.0,147371.41,6010.0,10427.859,0.0,0.0,2040.07,10080.47,-5047.620000000001,5032.849,0.0,2040.07,80174.14,80436.64,724.4499999999999,0.34,0.34,198943.53,115.8,198943.53,112.13,6123.469999999999,89683.3,6164.54,24935.67,0.0,6.0,-30959.879,58583.09,145331.34,74164.14,130376.199,534.37,156880.57,65986.0825,156880.57,0.0,1075.51,959.71,-5047.620000000001,130103.45,347.39,6123.13,-612.3199999999999,116931.34,237054.71,237054.71,90980.64,IMMO-SERVEIS SON PUJOL SL_resum
2008-01-01,76113.73999999999,266.48999999999995,263536.33,6010.0,6933.72,0.0,90999.57,10186.235,6189.52,-272.75,5916.77,215790.13,215523.64,80918.34,93226.8,0.0,4904.96,4904.96,127703.45,-424.39,130103.45,0.0,5497.52,16782.280000000002,5371.805,16001.98,0.0,4.0,-30959.879,780.3,47746.2,74908.34,130376.199,534.37,31486.1,76648.11,122752.16,0.0,319.81,744.2,-272.75,130103.45,744.2,592.56,0.0,22777.9,280318.61,280318.61,104641.09,IMMO-SERVEIS SON PUJOL SL_resum
