Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,156263.15,0.0,35848.53,444748.96,4055.5,0.0,0.0,23138.97,3999.5,10.739999999999998,10.739999999999998,12019.64,35158.61,444834.81,0.0,0.0,0.09,0.0,29633.55,19.110000000000003,1370.31,0.0,54.61,805733.1699999999,12528.84,793204.3300000001,0.0,0.0,-13532.03,0.0,689.919,85.849,23794.489,0.0,240483.74,156263.15,240483.74,0.0,54.61,35.5,10.739999999999998,35218.94,35.5,54.61,0.0,689.93,841581.7,841581.7,54.61,IMMOBLES ST AGUSTI SA_resum
2000-01-01,156263.15,0.0,39611.07,444748.96,4055.5,0.0,0.0,23138.97,3999.5,10.739999999999998,10.739999999999998,12019.64,35158.61,444896.25,0.0,0.0,0.09,0.0,29633.55,33.09,1370.31,0.0,83.79,806153.88,12949.55,793204.3300000001,0.0,0.0,-13532.03,0.0,4452.459,147.289,23794.489,0.0,244605.54,156263.15,244605.54,0.0,94.53,61.44,10.739999999999998,35218.94,61.44,83.79,0.0,4452.46,845764.9400000001,845764.9400000001,94.53,IMMOBLES ST AGUSTI SA_resum
2001-01-01,156263.15,0.0,38246.54,444747.4,4055.5,0.0,0.0,23138.97,3999.5,-1786.6,-1786.6,12019.64,35158.61,444946.46,0.0,0.0,0.09,0.0,29633.55,27.02,9691.566666666666,0.0,1863.82,814550.02,12949.55,801600.47,0.0,0.0,-13532.03,0.0,3087.9300000000003,199.059,23794.489,0.0,251586.95,156263.15,251586.95,0.0,77.22,50.2,-1786.6,35218.94,50.2,1863.82,0.0,3087.9300000000003,852796.56,852796.56,77.22,IMMOBLES ST AGUSTI SA_resum
2002-01-01,158560.34,0.0,34581.82,444747.4,4055.5,0.0,0.0,23643.53,3999.5,-12299.82,-8300.32,6019.64,29663.17,445002.46,0.0,0.0,0.09,0.0,29633.55,30.16,18012.823333333334,12315.2,70.78,810550.52,8950.05,801600.47,6000.0,0.0,-13532.03,0.0,4918.650000000001,255.059,23794.489,0.0,241569.54,158560.34,241569.54,0.0,-12229.04,-12259.2,-12299.82,35218.94,56.0,70.78,12315.2,4918.650000000001,845132.3400000001,845132.3400000001,4085.66,IMMOBLES ST AGUSTI SA_resum
2003-01-01,159184.34,0.0,47231.97,444747.4,11404.14,0.0,0.0,23237.82,3768.0,11384.51,15152.51,6019.64,29257.460000000003,452638.6,0.0,0.0,0.09,0.09,29633.55,4111.77,26334.08,0.0,363.49,914964.7,8950.05,906014.65,0.0,0.0,-13532.03,0.0,17974.51,7891.199,23794.489,0.0,350373.73000000004,159184.34,350373.73000000004,0.0,11747.91,7636.139,11384.51,35218.94,7636.14,363.4,0.0,17489.21,962196.67,962196.67,15516.0,IMMOBLES ST AGUSTI SA_resum
2004-01-01,294504.98000000004,0.0,15272.47,444747.4,11019.848,0.0,0.0,66.78,2680.04,13302.25,15982.29,6019.64,6086.42,460978.41,0.0,1664.6699999999998,0.91,0.0,29633.55,3574.2,21935.47,0.0,276.42999999999995,935423.63,8950.05,637983.58,0.0,0.0,-13532.03,288490.0,9186.049,16231.009,23794.489,0.0,195212.71,294504.98000000004,195212.71,0.0,13578.68,10004.48,13302.25,35218.94,8339.807999999999,276.42999999999995,-1664.6699999999998,9186.05,950696.1,950696.1,14594.048,IMMOBLES ST AGUSTI SA_resum
2005-01-01,9273.72,0.0,13072.73,444747.4,13960.64,0.0,0.0,808.5,2680.04,14097.34,16777.38,6019.64,6828.14,472259.01,0.0,0.0,1.7300000000000002,1.7300000000000002,29633.55,4834.55,29633.55,1537.6,481.94,659573.92,8950.05,650623.87,0.0,0.0,-13532.03,0.0,6244.589,27511.609,23794.489,0.0,191113.92,9273.72,191113.92,0.0,14577.55,9743.0,14097.34,35218.94,11280.6,480.21,1537.6,6244.59,672646.65,672646.65,18796.92,IMMOBLES ST AGUSTI SA_resum
2006-01-01,9273.72,0.0,31582.89,444747.4,18496.17,0.0,0.0,471.13,7155.06,15788.33,22943.39,6019.64,6490.77,483600.12,3403.29,0.0,1.1533333333333333,0.0,30118.480000000003,4860.48,30118.480000000003,0.0,413.26,652418.8600000001,4475.03,647943.8300000001,0.0,0.0,-13532.03,0.0,25092.12,38852.719,23794.489,0.0,191127.91,9273.72,191127.91,0.0,16201.59,11341.11,15788.33,35218.94,11341.11,413.26,0.0,25092.12,684001.75,684001.75,26759.94,IMMOBLES ST AGUSTI SA_resum
2007-01-01,8869.720000000001,0.0,47536.58,444747.4,20607.83,0.0,0.0,735.43,7461.48,12037.02,19498.5,0.0,735.43,496746.47,0.0,0.1,0.5766666666666667,0.0,30798.57,4382.120000000001,30798.57,4153.149,1338.4,644957.38,0.0,644957.38,6019.64,0.0,-13532.03,0.0,46801.15,51999.069,23794.489,0.0,186877.77,8869.720000000001,186877.77,0.0,13375.42,8993.3,12037.02,35218.94,13146.35,1338.4,4153.049,46801.15,692493.9600000001,692493.9600000001,24989.95,IMMOBLES ST AGUSTI SA_resum
2008-01-01,141276.86,0.0,13888.19,444747.4,19230.4,0.0,0.0,3364.8900000000003,10262.46,11424.45,21686.91,0.0,3364.8900000000003,505714.41,0.0,0.0,0.0,0.0,35218.94,3843.4,35218.94,0.0,1386.89,634694.92,0.0,634694.92,0.0,0.0,-13532.03,0.0,10523.3,60967.01,23794.489,0.0,1591.84,141276.86,1591.84,0.0,12811.34,8967.94,11424.45,35218.94,8967.94,1386.89,0.0,10523.3,648583.11,648583.11,23073.8,IMMOBLES ST AGUSTI SA_resum
2009-01-01,132478.87999999998,814.03,23546.04,444747.4,17976.698999999997,0.0,0.0,6094.54,10262.46,10860.93,21123.39,0.0,5280.51,513428.65,0.0,0.0,0.0,0.0,36439.07,3306.1,36439.07,0.0,159.41,625634.48,0.0,625634.48,0.0,0.0,-15315.68,0.0,17451.5,68681.25,25578.14,0.0,2458.96,132478.87999999998,3272.99,0.0,11020.34,7714.24,10860.93,36439.07,7714.24,159.41,0.0,17451.5,649180.52,649180.52,21282.8,IMMOBLES ST AGUSTI SA_resum
2010-01-01,132636.85899999997,934.59,36128.34,444747.4,11680.09,0.0,0.0,4457.14,10286.5,1922.39,12208.89,0.0,3522.55,514822.24,0.0,0.0,0.0,0.0,26533.59,597.25,27408.33,0.0,68.45,615347.98,0.0,615347.98,0.0,0.0,-15199.44,0.0,31671.2,70074.84,25485.94,0.0,3082.63,132636.85899999997,4017.22,0.0,1990.84,1393.59,1922.39,27408.33,1393.59,68.45,0.0,31671.2,651476.3200000001,651476.3200000001,12277.34,IMMOBLES ST AGUSTI SA_resum
2011-01-01,130836.86,2524.0,44478.33,444747.4,10928.81,0.0,0.0,4053.0,10262.46,680.59,10943.05,0.0,1529.0,515225.18,0.0,0.0,0.0,0.0,22632.84,285.58,22647.32,0.0,271.34000000000003,605085.52,0.0,605085.52,0.0,0.0,-11704.27,0.0,40425.33,70477.78,21966.73,0.0,977.81,130836.86,3501.8100000000004,0.0,951.93,666.3489999999999,680.59,22647.32,666.3489999999999,271.34000000000003,0.0,40425.33,649563.8500000001,649563.8500000001,11214.39,IMMOBLES ST AGUSTI SA_resum
2012-01-01,94599.87,0.0,14114.44,444747.4,8569.878999999999,0.0,0.0,7766.469999999999,8364.458999999999,295.24,8659.699,0.0,7766.469999999999,515430.6,0.0,0.0,13.2,13.2,17893.3,88.04,17893.3,0.0,11.42,596721.06,0.0,596721.06,0.0,0.0,-9233.6,0.0,6347.969999999999,70683.2,17598.058,0.0,805.03,94599.87,805.03,0.0,293.46,205.419,295.24,17893.3,205.419,-1.779,0.0,6347.969999999999,610835.5,610835.5,8671.119,IMMOBLES ST AGUSTI SA_resum
