Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,171135.22,1025330.44,499690.35,108182.18,27814.24,2863101.869,20532.82,32892.14,22460.13,49653.02,49653.02,450639.38,483531.52,221151.48,300288.19,4386.44,43656.77,43656.77,1407757.03,2500.13,1412862.6900000002,6723.969999999999,42.78,421335.51,0.0,402883.88,916558.58,19.0,-274075.03,18451.63,16158.829,112969.3,1079458.26,0.0,528739.1699999999,171135.22,528739.1699999999,0.0,5996.25,3496.12,49653.02,1302226.12,5833.650000000001,-43656.77,2337.529,16158.84,921025.86,921025.86,352278.74,INDAIR GENER-CASADEVALL SA._resum
2000-01-01,142148.8,1025330.44,455413.78,108182.18,27814.24,2863101.869,20532.82,76276.1,22460.13,36743.12,59203.25,372752.66,449028.76,226505.59,378188.63,0.0,28548.8,28548.8,1304296.52,2882.98,1306578.99,0.0,42.78,420517.47,0.0,402065.84,720384.25,16.0,-274075.03,18451.629,6385.02,118323.41,1079458.26,0.0,507276.87,142148.8,507276.87,0.0,8237.09,5354.110000000001,36743.12,1302226.12,5354.110000000001,-28506.02,0.0,6385.02,875931.26,875931.26,437434.65,INDAIR GENER-CASADEVALL SA._resum
2001-01-01,110127.11,1025330.44,573474.11,108181.8,39939.26,2863101.869,20532.82,144654.54,28063.31,43366.19,71429.5,320162.92000000004,464817.459,238381.53,412937.26,0.0,26400.57,26400.57,1576403.05,5089.67,1589612.91,0.0,21.45,395368.13,0.0,376916.5,950318.98,16.0,-274075.03,18451.63,108656.65,130199.73,1079458.26,0.0,620333.6,110127.11,620333.6,0.0,16965.62,11875.949,43366.19,1302226.12,11875.95,-26400.57,0.0,108656.65,968842.24,968842.24,484366.76,INDAIR GENER-CASADEVALL SA._resum
2002-01-01,10327.64,1025330.44,393144.15,108180.0,42767.28,2863101.869,20532.82,183892.03,14748.14,58819.33,73567.47,117252.24,301144.27,266400.62,443900.72,0.0,18029.62,18028.67,1537372.72,12770.69,1538485.1090000002,0.0,0.12,403748.52,0.0,384372.35,847903.24,16.0,-274075.03,19376.17,91999.88,158220.62,1079458.26,0.0,520164.41,10327.64,520164.41,0.0,40789.83,28019.14,58819.33,1302226.12,28019.14,-18029.5,0.0,91999.88,796892.6699999999,796892.6699999999,517467.36,INDAIR GENER-CASADEVALL SA._resum
2003-01-01,48847.14,1025330.44,503439.91,108180.0,122924.5,2863101.869,20532.82,345923.14,28969.15,149866.7,178835.84999999998,108812.0,454735.14,360889.71,491645.73,0.0,11542.05,11541.95,1815835.0,44369.4,1817304.01,0.0,0.1,438378.23,0.0,417067.6,934990.72,28.0,-274075.03,21310.63,48704.76899999999,252709.71,1079458.26,0.0,532081.2899999999,48847.14,532081.2899999999,0.0,138324.75,93955.35,149866.7,1302226.12,93955.35,-11541.95,0.0,48704.77,941818.14,941818.14,670481.58,INDAIR GENER-CASADEVALL SA._resum
2004-01-01,72236.53,1025330.44,722961.08,108180.0,127013.43,2863101.869,20532.82,187462.8,33400.93,118356.7,151757.63,207641.0,395103.8,454502.21,530017.6889999999,0.0,14641.1,14641.1,1713133.38,37601.43,1811872.94,26146.73,1351.6,419277.96,0.0,397090.65,911346.13,24.0,-274075.03,22187.309,327857.27900000004,346322.21,1079458.26,0.0,615500.3,72236.53,615500.3,0.0,105067.2,67465.769,118356.7,1302226.12,93612.5,-13289.5,26146.73,327857.28,1142239.04,1142239.04,709273.649,INDAIR GENER-CASADEVALL SA._resum
2005-01-01,110301.03,1025330.44,1095080.53,108180.0,107298.12,2863101.869,20532.82,466080.82,30924.960000000003,141112.21000000002,172037.169,455125.12,921205.94,530958.05,621225.89,0.0,32439.88,32439.88,2310678.42,32731.35,2356747.86,0.0,432.18,359437.99000000005,0.0,336242.42000000004,1346590.71,32.0,-274075.03,23195.57,173874.59,422778.05,1079458.26,0.0,813259.4400000001,110301.03,813259.4400000001,0.0,109104.51,76373.16,141112.21000000002,1302226.12,76373.16,-32007.7,0.0,173874.59,1454518.52,1454518.52,793695.24,INDAIR GENER-CASADEVALL SA._resum
2006-01-01,69309.72,1025330.44,1297177.22,108180.0,118975.0,2863101.869,20532.82,631418.49,35009.51,152650.26,187659.77,605292.88,1236711.37,616132.8600000001,700343.76,495.83,32232.28,32232.28,2563703.86,35985.21,2569855.63,0.0,28.55,364600.78,0.0,340123.67,1471581.82,36.0,-274075.03,24477.11,60465.849,507952.86,1079458.26,0.0,976335.42,69309.72,976335.42,0.0,120446.53,84461.32,152650.26,1302226.12,83965.48999999999,-32203.73,-495.83,60465.850000000006,1661778.0,1661778.0,887536.25,INDAIR GENER-CASADEVALL SA._resum
2007-01-01,39834.08,1025330.44,1442359.6700000002,108180.0,173073.65,2863101.869,20532.82,629786.19,46232.32,159720.54,205952.86,711566.69,1341352.88,742974.39,694516.51,0.0,31356.8,31356.8,3302574.14,45774.68,3317106.31,42723.27,1529.0,313370.04,0.0,287101.86,2131296.95,30.0,-274075.03,26268.179,101006.79,634794.39,1079458.26,0.0,972921.24,39834.08,972921.24,0.0,129892.74,84118.06,159720.54,1302226.12,126841.33,-29827.8,42723.27,101006.79,1755729.71,1755729.71,944721.64,INDAIR GENER-CASADEVALL SA._resum
2008-01-01,83065.67000000001,1025330.44,1997324.01,108180.0,184444.54,2863101.869,20532.82,1243500.56,31939.38,222767.86,254707.24,714024.43,932194.55,895479.3500000001,773443.8500000001,0.0,23317.0,23204.1,4162627.99,56773.46,4165327.99,0.0,9827.76,403254.9,0.0,256608.24,2815594.05,33.0,-274075.03,146646.66,39799.02,787299.3500000001,1079458.26,0.0,376170.63,83065.67000000001,1422033.89,0.0,209278.62,152505.16,222767.86,1302226.12,152505.16,-13489.240000000002,0.0,39799.02,2400578.91,2400578.91,1037865.95,INDAIR GENER-CASADEVALL SA._resum
