Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,215305.21,2206265.95,5385136.04,60101.21,911260.6,20734841.01,304839.35,3446172.39,133705.72,1130102.88,1263808.5990000002,446768.11,1686674.549,3340832.8,3180299.93,33131.97,9709.31,8913.710000000001,13532532.71,342036.22000000003,13532532.71,12910.85,19418.649,849017.4,69418.51,778993.12,7869585.189999999,162.0,-2542695.03,605.7700000000001,1492195.539,3280731.59,9045128.748999998,148857.86,538196.829,148857.86,2744462.7800000003,148857.86,1139812.23,797776.01,1130102.88,9909874.07,777554.88,9709.34,-20221.12,1492195.549,6234153.44,6234153.44,4442510.46,INDUSTRIAL CARROCERA ARBUCIENSE SA_resum
2000-01-01,215305.21,2600298.45,6503286.38,60101.21,1443504.25,20734841.01,304839.35,3918451.03,281349.34,1379206.62,1660555.96,453663.01,1771815.5890000002,4382785.29,3432479.5,0.0,25018.15,11911.18,14386688.21,277046.22000000003,14386688.21,29497.44,55515.22,1509140.29,151764.22,1356770.31,8224124.970000001,161.0,-2542695.03,605.76,2131172.34,4322684.08,9045128.748999998,276420.5,448083.079,276420.5,3353220.88,276420.5,1409703.6900000002,1132657.47,1379206.62,9909874.07,1162154.91,30497.07,29497.44,2131172.339,8012426.67,8012426.67,5164941.148999999,INDUSTRIAL CARROCERA ARBUCIENSE SA_resum
2001-01-01,215305.21,3236870.03,8099150.51,60110.0,803953.419,20734841.01,839877.41,5956659.52,337535.37,602359.31,939894.68,605435.73,3325225.22,4729000.92,3445179.58,10786.04,38223.03,33658.259999999995,16594634.72,169038.28,16594634.72,28995.19,53110.899,1449889.6800000002,180349.47,1268042.81,10974603.1,155.0,-2542695.03,1497.399,1537055.259,4668890.92,9045128.748999998,298364.18,444927.649,298364.18,4521675.09,298364.18,617247.1799999999,448208.9,602359.31,9909874.07,466418.05,14887.87,18209.149,1537055.26,9549040.19,9549040.19,4451829.54,INDUSTRIAL CARROCERA ARBUCIENSE SA_resum
2002-01-01,215305.21,3410220.13,7667274.42,60110.0,536984.49,20734841.01,830064.5083333333,3979537.31,387708.79,207948.32,595657.11,1248914.21,1818231.389,4878276.619999999,3371396.46,46526.69,27732.91,26919.2,15433682.239999998,43961.45,15433682.239999998,10131.39,49417.04,1304465.71,176648.46,1049535.86,10394821.18,151.0,-2542695.03,78281.38900000001,2438822.9,4818166.619999999,9045128.748999998,316378.24,366865.14,316378.24,3777085.27,316378.24,229632.45,185671.0,207948.32,9909874.07,149275.7,21684.13,-36395.3,2438822.9,8971740.129999999,8971740.129999999,3979261.6,INDUSTRIAL CARROCERA ARBUCIENSE SA_resum
2003-01-01,215305.21,4363623.87,9900027.67,60110.0,1170690.6090000002,20734841.01,820251.6066666667,5540206.109999999,384212.03,1093297.37,1477509.4,925638.17,2102220.41,5664755.2,3574632.35,25151.480000000003,10974.8,10045.52,20480158.12,340184.47000000003,20480158.12,8835.57,60656.39,1050518.62,156095.06,892398.6799999999,13981286.9,143.0,-2542695.03,2024.88,3434183.389,5604645.2,9045128.748999998,386725.27,535441.9500000001,386725.27,4899065.819999999,386725.27,1142978.96,802794.49,1093297.37,9909874.07,786478.58,49681.59,-16315.91,3434183.39,10950546.29,10950546.29,5095552.95,INDUSTRIAL CARROCERA ARBUCIENSE SA_resum
2004-01-01,215305.21,4534193.02,10601723.39,60110.0,1546709.23,20734841.01,810438.7050000001,5696311.41,337916.09,1701801.31,2039717.4,1144613.57,2306731.96,6273548.34,3653739.43,11838.38,11989.89,11441.69,23020695.09,584030.58,23020695.09,27258.63,87592.05,1374908.82,136304.7,922528.03,15578715.71,139.0,-2542695.03,316076.09,3760798.41,6213438.34,9045128.748999998,414276.97,754613.88,414276.97,5288806.9,414276.97,1777403.47,1193372.89,1701801.31,9909874.07,1208793.14,75602.16,15420.25,3760798.41,11976632.21,11976632.21,5795920.930000001,INDUSTRIAL CARROCERA ARBUCIENSE SA_resum
2005-01-01,215305.21,5075320.159999999,11877306.36,60110.0,1861874.4,20734841.01,800625.8033333333,6129354.99,343029.54,2126587.13,2469616.67,1153323.33,2207358.16,7082393.2,3693086.83,7307.75,15444.39,11443.35,24218591.75,686465.4500000001,24375073.27,18286.739,83188.58,1450380.21,228178.62,785535.8,16230159.11,132.0,-2542695.03,436665.7890000001,4594628.039,7022283.2,9045128.748999998,288729.59,881243.62,288729.59,5956563.78,288729.59,2194331.32,1507865.8690000002,2126587.13,9909874.07,1518844.86,67744.19,10978.989,4594628.04,13327686.57,13327686.57,6252870.03,INDUSTRIAL CARROCERA ARBUCIENSE SA_resum
2006-01-01,215305.21,5394861.470000001,13128021.32,60110.0,1869956.19,20734841.01,790812.9016666666,7576091.1,335215.2,2305596.58,2640811.7800000003,1132672.8,3313902.43,7867134.189999999,4166980.87,126862.5,15191.369,11158.5,26505092.36,778192.58,26507592.36,48482.69,100908.17,1392436.78,178202.61000000002,675954.7799999999,17526725.650000002,145.0,-2542695.03,538279.389,4419257.42,7807024.189999999,9045128.748999998,286958.6,971503.839,286958.6,6366365.31,286958.6,2391313.38,1613120.799,2305596.58,9909874.07,1534740.99,85716.8,-78379.81,4408900.168999999,14520458.1,14520458.1,6826288.14,INDUSTRIAL CARROCERA ARBUCIENSE SA_resum
2007-01-01,215305.21,6229600.31,14148576.22,60110.0,1203676.1900000002,20734841.01,781000.0,7859421.2,368671.98,995323.43,1363995.41,1544583.16,3174404.05,7852138.4,5068365.42,8460.65,29004.8,27618.35,26143647.35,368854.89,26144693.169,49277.54,196723.58,1697303.1700000002,325308.78,629513.62,16667815.29,166.0,-2542695.03,742480.769,4744571.859999999,7792028.4,9045128.748999998,256804.25,726336.43,256804.25,7736936.74,256804.25,1163042.21,794187.3200000001,995323.43,9909874.07,835004.21,167718.78,40816.89,4744571.859999999,15845879.39,15845879.39,6668514.85,INDUSTRIAL CARROCERA ARBUCIENSE SA_resum
2008-01-01,215305.21,5073854.49,15624578.14,60110.0,879923.5,20734841.01,1926234.18,10013200.0,376041.86,864745.3200000001,1240787.1800000002,2390102.74,7329448.25,8356020.04,6126391.859999999,0.0,276701.55,61396.34,30620355.35,268150.74,30644715.08,0.0,183988.61,1965758.39,305363.71,697481.09,20890075.37,182.0,-2542695.03,962913.59,3221275.4,8295910.04,9045128.748999998,0.0,2018922.609,215305.21,9019011.28,0.0,772032.38,503881.64,864745.3200000001,9909874.07,503881.64,-92712.94,0.0,717967.8,17590336.53,17590336.53,7335862.44,INDUSTRIAL CARROCERA ARBUCIENSE SA_resum
