Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,144561.61000000002,80122.14,99092.41,27045.54,6906.83,582545.19,14688.89,89171.38,3955.89,8016.52,11972.41,9080.39,98251.77,30861.4,88963.43,0.0,3811.34,3811.34,422500.46,1264.6899999999998,422575.26,0.0,10.45,53750.3,821.93,52928.380000000005,282573.58,6.0,-179494.76,-0.009,840.639,3815.86,597083.65,0.0,121981.31,144561.61000000002,121981.31,0.0,4215.63,2950.94,8016.52,662618.98,2950.94,-3800.89,0.0,583.47,152842.72,152842.72,100946.29,INFORMATICS M I B RIPOLL SL_resum
2000-01-01,144561.61000000002,80122.14,114693.22,27045.54,18876.88,582545.19,14688.89,88690.13,12466.17,16646.71,29112.879,10339.75,99029.88,37272.11,99603.69,0.0,7490.4,7490.4,491083.7,2747.44,491083.7,0.0,1.84,159957.78,943.73,159014.05,306604.59,8.0,-179494.76,0.0,15663.339,10226.57,597083.65,0.0,92817.28,144561.61000000002,92817.28,0.0,9158.15,6410.709,16646.71,662618.98,6410.71,-7488.56,0.0,15663.34,274651.0,274651.0,128718.409,INFORMATICS M I B RIPOLL SL_resum
2001-01-01,148195.02,80122.14,121613.63,45075.91,28444.08,582545.19,14688.89,97802.87,21732.07,20083.9,41815.97,21328.03,119130.9,62014.48,147811.49,0.0,13630.41,13630.41,563184.3400000001,2876.58,564034.24,3117.72,17.37,194581.89,546.03,194035.87,302170.93000000005,10.0,-179494.76,-0.009,2482.73,16938.57,597083.65,0.0,105986.03,148195.02,105986.03,0.0,6470.860000000001,3594.279,20083.9,662618.98,6712.01,-13613.04,3117.72,2482.74,316195.53,316195.53,192762.56,INFORMATICS M I B RIPOLL SL_resum
2002-01-01,191258.73,80122.14,134561.71000000002,45075.91,18065.22,582545.19,14688.89,96178.85,13804.61,18474.58,32279.19,34382.15,130561.0,66275.09,170710.65,0.0,14545.31,14545.31,567145.92,1825.98,567201.69,2002.84,154.48000000000002,215316.83,207.8,215109.03,309617.34,9.0,-179494.76,0.0,4000.709,21199.179,597083.65,0.0,92344.72,191258.73,92344.72,0.0,4083.75,2257.77,18474.58,662618.98,4260.610000000001,-14390.83,2002.84,4000.71,349878.54,349878.54,205147.159,INFORMATICS M I B RIPOLL SL_resum
2003-01-01,206509.55,80122.14,164517.43,45075.91,26825.16,582545.19,14688.89,143401.84999999998,19946.69,22389.39,42336.08,19158.92,162560.77000000002,73153.56,200361.35,0.0,14384.49,14384.49,690469.3500000001,2947.9100000000003,690469.3500000001,1774.76,46.720000000000006,209344.95,103.89,209241.06,380707.39,9.0,-179494.76,0.0,1956.66,28077.649,597083.65,0.0,94199.27,206509.55,94199.27,0.0,8051.620000000001,5103.71,22389.39,662618.98,6878.469999999999,-14337.77,1774.76,1956.66,373862.38,373862.38,244518.91,INFORMATICS M I B RIPOLL SL_resum
2004-01-01,190871.81,80122.14,279687.77,69116.39,39706.42,582545.19,14688.89,198138.16,21995.72,37564.850000000006,59560.57,67520.19,265658.349,114904.74,241591.88,0.0,12437.85,12437.85,900078.8400000001,7590.3,900078.8400000001,174.0,75.075,203627.78,18083.09,203627.78,520037.19,10.0,-179494.76,0.0,14029.42,45788.350000000006,597083.65,0.0,177539.0,190871.81,177539.0,0.0,25127.0,17536.7,37564.850000000006,662618.98,17710.7,-12437.85,174.0,14029.42,483315.55,483315.55,301326.449,INFORMATICS M I B RIPOLL SL_resum
2005-01-01,372421.86,80122.14,274317.73000000004,69116.39,42029.11,582545.19,14688.89,224646.17,21544.73,31979.81,53524.54,33289.059,257935.229,135389.12,305620.32,0.0,6976.320000000001,6976.320000000001,964270.77,8779.02,970894.25,4156.478999999999,103.43,369382.57,36062.29,369382.57,514779.28,11.0,-179494.76,0.0,16382.5,66272.729,597083.65,0.0,135889.31999999998,372421.86,135889.31999999998,0.0,25106.92,16327.899,31979.81,662618.98,20484.38,-6872.89,4156.478999999999,16382.5,643700.3,643700.3,363404.77,INFORMATICS M I B RIPOLL SL_resum
2006-01-01,343890.79000000004,80122.14,314430.88,69116.39,44001.1,582545.19,14688.89,250887.09,24920.14,41786.57,66706.709,62221.32,313108.41000000003,154470.08,309825.41000000003,0.0,14528.05,14528.05,948802.17,8177.56,948802.17,0.0,88.82000000000001,360738.69,54041.490000000005,360738.69,487747.28,10.0,-179494.76,0.0,1322.47,85353.68900000001,597083.65,0.0,176808.7,343890.79000000004,176808.7,0.0,27258.52,19080.960000000003,41786.57,662618.98,19080.960000000003,-14528.05,0.0,1322.47,675169.57,675169.57,376532.12,INFORMATICS M I B RIPOLL SL_resum
2007-01-01,370577.5,80122.14,368400.449,69116.39,32608.679,582545.19,14688.89,325099.01,30690.42,43549.08,74239.5,34804.28,359903.29000000004,156388.34,361087.62,22551.57,20884.81,20884.81,1135445.51,8539.26,1135445.51,10344.82,74.21000000000001,389410.36,72020.69,317389.67,585502.09,12.0,-179494.76,0.0,8497.159,87271.95,597083.65,0.0,230844.97,370577.5,230844.97,0.0,22664.27,14125.01,43549.08,662618.98,1918.26,-20884.81,-12206.75,24991.405,757810.81,757810.81,423120.37,INFORMATICS M I B RIPOLL SL_resum
2008-01-01,328896.47000000003,80122.14,313550.77,69116.39,62624.33,582545.19,14688.89,223241.62,31066.12,65535.33,96601.45,40825.09,183944.569,187946.55,386522.77,0.0,23517.32,23517.32,1234364.1700000002,10519.4,1245164.1700000002,0.0,59.6,371240.23,68539.47,185320.79,582545.19,13.0,-179494.76,185919.44,49484.06,118830.16,597083.65,0.0,73136.95,328896.47000000003,167947.97999999998,0.0,42077.61,31558.21,65535.33,662618.98,31558.21,-23457.72,0.0,48660.34,684791.0,684791.0,483183.82,INFORMATICS M I B RIPOLL SL_resum
