Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,55293.11,41403.96,1894048.06,483213.73,110941.68,0.0,0.0,236570.07,2740.57,144305.63,147046.2,1436822.42,1673392.49,997717.56,66323.45,0.0,1131.45,1131.45,1376618.22,50762.7,1376618.22,14625.47,1164.1799999999998,44847.72,0.0,44847.72,1137717.93,9.0,-26083.38,0.0,220655.57,514503.83,137328.79,0.0,885885.1,55293.11,885885.1,0.0,144338.34999999998,93575.65,144305.63,275897.759,108201.11,32.729000000000006,14625.47,220655.56,1938895.78,1938895.78,229159.28,INMOBILIARIA RIPOLLESA SA_resum
2000-01-01,48437.72125,41403.96,1823211.51,483213.73,52549.36,0.0,0.0,234383.43,1707.03,68056.59,69763.62000000001,1571254.02,1805637.45,1048559.89,77647.01,0.0,2576.29,2576.29,1109468.34,21789.57,1109471.64,6321.120000000001,830.48,5325.79,0.0,5325.79,936324.89,6.0,-26083.38,0.0,17574.058999999997,565346.16,137328.79,0.0,779977.41,48437.72125,779977.41,0.0,66310.78,44521.21,68056.59,275897.759,50842.33,-1745.81,6321.120000000001,17574.06,1828537.3,1828537.3,154562.229,INMOBILIARIA RIPOLLESA SA_resum
2001-01-01,41582.332500000004,41403.96,2152018.4,483204.0,89169.93999999999,0.0,0.0,249357.21,1540.46,131596.44999999998,133136.91,1902661.19,2152018.4,1136189.37,76046.45,0.0,5133.650000000001,5133.650000000001,1415984.52,40250.350000000006,1415988.82,1295.28,121.75,3785.33,0.0,3785.33,1172573.65,3.0,-26083.38,0.0,0.0,652985.37,137328.79,0.0,1019614.36,41582.332500000004,1019614.36,0.0,126584.55,86334.2,131596.44999999998,275897.759,87629.48,-5011.9,1295.28,208776.35,2155803.73,2155803.73,210600.389,INMOBILIARIA RIPOLLESA SA_resum
2002-01-01,34726.94375,41403.96,3148078.2800000003,483204.0,25965.53,0.0,0.0,608269.6699999999,1242.08,34947.86,36189.94,2539808.61,3148078.2800000003,1184787.14,78607.87000000001,0.0,701.98,701.98,1016912.48,10595.76,1016912.48,0.0,1073.33,2543.25,0.0,2543.25,877749.2699999999,3.0,-26083.38,0.0,0.0,701583.139,137328.79,0.0,1965834.39,34726.94375,1965834.39,0.0,35319.21,24723.449,34947.86,275897.759,24723.45,371.35,0.0,399978.64,3150621.53,3150621.53,115871.139,INMOBILIARIA RIPOLLESA SA_resum
2003-01-01,27871.555,41403.96,2695513.6,483204.0,198027.509,0.0,0.0,545588.69,1288.1799999999998,298963.99000000005,300252.17,1558743.98,2104332.67,1381526.47,80398.2,0.0,3919.61,3919.61,2727000.0,99001.8,2727000.0,0.0,696.75,1959.4,0.0,1959.4,2311680.5,3.0,-26083.38,0.0,591180.93,898322.47,137328.79,0.0,1315946.53,27871.555,1315946.53,0.0,295741.13,196739.33,298963.99000000005,275897.759,196739.33,-3222.86,0.0,591180.93,2697473.0,2697473.0,381347.12,INMOBILIARIA RIPOLLESA SA_resum
2004-01-01,21016.166250000002,41403.96,2860825.56,483204.0,41861.72,0.0,0.0,563633.1799999999,1695.43,52442.56,54137.99,1905631.1,2469264.2800000003,1421692.76,80030.56,0.0,110.55,110.55,821800.0,17214.12,821800.0,600.0,4448.4,832.8,0.0,832.8,654744.7,3.0,-26083.38,0.0,391561.279,938488.76,137328.79,0.0,1439965.6,21016.166250000002,1439965.6,0.0,56780.41,39566.28999999999,52442.56,275897.759,40166.28999999999,4337.85,600.0,391561.28,2861658.36,2861658.36,139216.949,INMOBILIARIA RIPOLLESA SA_resum
2005-01-01,14160.777499999997,41403.96,2275110.53,483204.0,365108.02,0.0,0.0,293515.58499999996,1090.56,546555.3600000001,547645.92,1777908.89,1777908.89,1785710.22,116131.24,0.0,8.77,8.77,2545000.0,186763.06,2545000.0,96.21,4137.72,47242.020000000004,0.0,47242.020000000004,1821284.87,3.0,-26083.38,0.0,497201.639,1302506.22,137328.79,0.0,489400.31,14160.777499999997,489400.31,0.0,550684.31,363921.25,546555.3600000001,275897.759,364017.46,4128.95,96.21,497201.64,2275110.53,2275110.53,668011.09,INMOBILIARIA RIPOLLESA SA_resum
2006-01-01,7305.388749999998,41403.96,2272759.48,483204.0,281341.01333333337,0.0,0.0,23397.99,3017.63,473050.32,473050.32,1943286.96,1966684.95,2082377.98,102825.65,0.09,1684.28,1684.28,1438310.8,161267.06,1438310.8,0.11,6568.76,93651.24,0.0,93651.24,833873.4,3.0,-26083.38,0.0,306074.53,1599173.98,137328.79,0.0,284032.74,7305.388749999998,284032.74,0.0,477934.8,316667.74,473050.32,275897.759,316667.76,4884.48,0.02,306074.53,2366410.72,2366410.72,582444.75,INMOBILIARIA RIPOLLESA SA_resum
2007-01-01,450.0,41403.96,2450379.14,483204.0,197574.00666666668,0.0,0.0,13846.095000000001,4944.700000000001,204367.4,204367.4,2142509.609,2142509.609,2215445.18,101846.21,0.0,302.86,302.86,823990.0,57014.34,831504.72,0.0,6017.0,180760.54,0.0,180310.54,491571.8,3.0,-26083.38,450.0,307869.53,1732241.1800000002,137328.79,0.0,415244.5,450.0,415244.5,0.0,210081.54,153067.2,204367.4,275897.759,153067.2,5714.14,0.0,307869.53,2631139.68,2631139.68,312230.61,INMOBILIARIA RIPOLLESA SA_resum
2008-01-01,1340.0,41403.96,2133932.56,483204.0,113807.0,938740.4,0.0,4294.2,6871.77,138568.97,145440.74000000002,1622360.79,1585251.03,2302380.41,104373.64,0.0,0.0,0.0,1196000.0,37243.5,1214638.16,0.0,5609.76,272579.98000000004,0.0,90.87,938740.4,3.0,-26083.38,272489.11,507277.57,1819176.41,137328.79,0.0,61388.17,1340.0,102792.13,0.0,144178.73,106935.23,138568.97,275897.759,106935.23,5609.76,0.0,507277.57,2406512.54,2406512.54,255424.139,INMOBILIARIA RIPOLLESA SA_resum
2009-01-01,1340.0,9206.16,1985367.11,483204.0,-48374.95,140497.1,0.0,3470.25,7784.58,-66147.43999999999,-58362.86,1523752.31,1518016.4,2226220.88,86939.97,0.0,0.0,0.0,179000.0,0.0,197182.23,0.0,9987.91,264795.4,0.0,90.87,140497.1,3.0,-28108.02,264704.53,458144.55,1743016.88,122832.57,0.0,13395.47,1340.0,22601.63,0.0,-56159.53,-56159.53,-66147.43999999999,56685.13,-56159.53,9987.91,0.0,458144.55,2250162.51,2250162.51,38565.02,INMOBILIARIA RIPOLLESA SA_resum
