Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,11366.61,123076.06,95143.799,3005.06,11896.16,663734.03,11133.79,77026.5,4365.2,11758.73,16123.93,4207.08,81233.58,33112.83,81321.23999999999,0.0,1003.3,1003.3,322049.63,3227.56,322049.63,0.0,3.09,20611.02,9969.61,10221.48,213184.87,2.0,-53386.23,419.93,13910.219,30107.77,487598.82,0.0,71275.39,11366.61,71275.39,0.0,10758.52,7530.96,11758.73,571496.56,7530.96,-1000.21,0.0,12718.29,115754.82,115754.82,97448.26,INSTAL LACIONS JORNAR SL_resum
2000-01-01,4915.99,123076.06,98483.82,3005.06,12555.12,663734.03,11133.79,43401.46,4819.1,11809.68,16628.779,43272.87,86674.33,40848.850000000006,85102.1,0.0,931.02,931.02,260447.54,3315.44,260447.54,0.0,172.8,25294.89,21584.29,3290.67,145990.71000000002,3.0,-53386.23,419.929,11809.49,37843.78999999999,487598.82,0.0,78013.87000000001,4915.99,78013.87000000001,0.0,11051.45,7736.01,11809.68,571496.56,7736.02,-758.22,0.0,10977.83,123778.7,123778.7,101903.68,INSTAL LACIONS JORNAR SL_resum
2001-01-01,3563.925,123076.06,101157.42,3005.06,13478.84,663734.03,11133.79,39359.52,7114.57,9793.9,16908.47,45977.43,85336.95,47213.11,100509.18,0.0,702.08,702.08,306654.6,2727.55,306654.6,0.0,293.58500000000004,19585.56,9187.6,9718.47,176821.52,3.0,-53386.23,679.49,15820.47,44208.05,487598.82,0.0,73529.87000000001,3563.925,73529.87000000001,0.0,9091.82,6364.269,9793.9,571496.56,6364.27,-702.08,0.0,15661.5,120742.98,120742.98,117417.65,INSTAL LACIONS JORNAR SL_resum
2002-01-01,2211.86,123076.06,102920.189,3005.06,13403.86,663734.03,11133.79,36825.62,6928.02,9327.99,16256.01,47175.0,84000.62000000001,53688.95,127077.57,0.0,491.17,491.17,410510.75,2775.3500000000004,410510.75,0.0,414.37,21043.68,8158.35,12885.33,247818.99,3.0,-53386.23,0.0,18919.569,50683.89,487598.82,0.0,68063.06,2211.86,68063.06,0.0,9251.19,6475.84,9327.99,571496.56,6475.84,-76.8,0.0,18587.28,123963.87,123963.87,143747.94999999998,INSTAL LACIONS JORNAR SL_resum
2003-01-01,315.98,123076.06,102984.34,3005.06,10443.439,663734.03,11133.79,37857.19,4193.75,9033.56,13227.31,53985.0,91842.19,59938.64,160448.08,0.0,239.41,239.41,404626.42,2678.4300000000003,404626.42,0.0,133.97,17011.85,6760.34,9410.1,206120.23,3.0,-53386.23,841.409,11142.149,56933.58,487598.82,0.0,59741.57,315.98,59741.57,0.0,8928.12,6249.6900000000005,9033.56,571496.56,6249.6900000000005,-105.44,0.0,11046.48,119996.19,119996.19,173809.36,INSTAL LACIONS JORNAR SL_resum
2004-01-01,268.55,123076.06,163852.12,3005.06,13116.64,663734.03,11133.79,87989.35,2890.38,12964.54,15854.92,60570.0,148559.34999999998,70164.9,199144.05,492.45,98.2,98.2,585576.2799999999,4382.6900000000005,585576.2799999999,2118.57,116.49,19591.57,5362.320000000001,13375.82,336764.6,3.0,-53386.23,853.43,15292.769,67159.84,487598.82,0.0,113278.79,268.55,113278.79,0.0,12982.83,8600.140000000001,12964.54,571496.56,10226.26,18.29,1626.12,15291.55,183443.69,183443.69,216741.58,INSTAL LACIONS JORNAR SL_resum
2005-01-01,221.12,123076.06,163503.2,3005.06,15855.52,663734.03,11133.79,85570.63,4155.33,17105.55,21260.879,62475.0,148045.63,81865.09,225856.85,0.0,240.77,240.77,631748.7,5310.02,631748.7,0.0,145.43,27963.38,11992.89,14217.06,350690.29000000004,7.0,-53386.23,1753.43,15457.57,78860.03,487598.82,0.0,109380.37,221.12,109380.37,0.0,17010.21,11700.189,17105.55,571496.56,11700.19,-95.34,0.0,15341.53,191466.58,191466.58,247263.159,INSTAL LACIONS JORNAR SL_resum
2006-01-01,5658.044999999999,123076.06,226690.85,3005.06,23347.6,663734.03,11133.79,174783.13,4827.21,25040.57,29867.78,36933.0,211716.13,100385.48,248298.45,0.0,116.11,116.11,732993.9400000001,7937.31,732993.9400000001,0.0,1533.24,24594.97,8527.43,14314.11,417028.37,7.0,-53386.23,1753.43,14974.72,97380.42,487598.82,0.0,150900.34,5658.044999999999,150900.34,0.0,26457.7,18520.39,25040.57,571496.56,18520.39,1417.13,0.0,14974.72,251285.82,251285.82,279699.47000000003,INSTAL LACIONS JORNAR SL_resum
2007-01-01,11094.97,123076.06,338735.8,3005.06,63515.91,663734.03,11133.79,302491.65,10777.29,69192.12000000001,79969.40999999999,13870.0,316361.65,153124.1,327532.28,0.0,502.08,502.08,1006172.62,17579.41,1006172.62,0.0,1627.99,52810.78,0.0,51057.350000000006,559354.3300000001,10.0,-53386.23,1753.43,22374.149,150119.04,487598.82,0.0,227327.51,11094.97,227327.51,0.0,70318.03,52738.619,69192.12000000001,571496.56,52738.62,1125.91,0.0,22374.15,391546.58,391546.58,409129.68,INSTAL LACIONS JORNAR SL_resum
2008-01-01,293386.5,123076.06,308561.69,3005.06,70349.79,663734.03,11133.79,285739.31,18029.7,83897.73999999999,101927.44,5220.0,167883.25,205444.19,416182.89,0.0,15488.94,15488.94,1235230.59,17440.02,1235230.59,0.0,1351.31,354092.53,0.0,353156.46,663734.03,11.0,-53386.23,936.07,17602.38,202439.13,487598.82,0.0,29613.68,293386.5,163823.53,0.0,69760.11,52320.09,83897.73999999999,571496.56,52320.09,-14137.63,0.0,17602.38,662654.22,662654.22,519461.64,INSTAL LACIONS JORNAR SL_resum
