Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,270455.45,0.0,319773.0,922553.58,141940.09,277057.16,0.0,37755.9,120334.34,41943.69,162278.03,0.0,37755.9,952230.01,344626.51,743.2700000000001,9023.06,9023.06,1079822.28,11633.86,1085091.27,0.0,1062.26,1421723.0,0.0,1421723.0,271801.89,19.0,-299682.69,0.0,282017.1,29676.43,902087.99,0.0,518810.55,270455.45,518810.55,0.0,33982.89,22349.03,41943.69,913565.29,21605.75,-7960.8,-743.2700000000001,282017.1,1741496.01,1741496.01,507223.519,IST-66 SL_resum
2000-01-01,270455.45,0.0,695402.2899999999,922553.58,170154.799,277057.16,0.0,38249.25,133598.82899999997,65332.4,198931.229,971.55,39220.8,988785.98,351278.65,0.0,16762.168999999998,16762.168999999998,1131649.27,19683.99,1137843.95,0.0,7669.73,1337979.81,0.0,1337979.81,258606.45,19.0,-299682.69,0.0,656181.49,66232.4,902087.99,0.0,774140.6699999999,270455.45,774140.6699999999,0.0,56239.96,36555.97,65332.4,913565.29,36555.97,-9092.44,0.0,656181.49,2033382.1,2033382.1,557879.608,IST-66 SL_resum
2001-01-01,270455.45,0.0,819732.2799999999,922553.58,172660.3,277057.16,0.0,55086.02,133301.14,48395.97,181697.11,0.0,55086.02,1028145.14,393800.8,0.02,11686.84,11686.84,1221688.87,16868.21,1233476.44,0.11,19518.15,1523994.15,1523994.15,2862427.2750000004,296200.64,19.0,-299682.69,0.0,764646.26,105591.56,902087.99,0.0,1045125.84,270455.45,1045125.84,0.0,56227.28,39359.07,48395.97,913565.29,39359.16,7831.31,0.09,764646.26,2343726.43,2343726.43,595016.15,IST-66 SL_resum
2002-01-01,206175.9,0.0,1067962.919,922553.58,259745.34,277057.16,0.0,62003.73,213375.53,58496.73,271872.26,0.0,62003.73,1074514.94,436708.32,0.0,11643.11,11643.11,1239017.29,19872.78,1255998.48,4617.2,14771.77,4386874.74,0.0,4386874.74,268089.21,19.0,-299682.69,0.0,1005959.189,151961.36,902087.99,0.0,4174146.82,206175.9,4174146.82,0.0,61625.39,41752.61,58496.73,913565.29,46369.810000000005,3128.66,4617.2,1005959.19,5454837.659999999,5454837.659999999,727969.55,IST-66 SL_resum
2003-01-01,116710.25,0.0,1177135.06,922553.58,225071.59,277057.16,0.0,45868.73,149152.79,112913.01,262065.8,0.0,45868.73,1150433.74,430285.25,12020.240000000002,7769.929999999999,7769.929999999999,1169270.75,33944.59,1183181.7,0.0,16740.55,4325901.1,0.0,4325901.1,264215.26,19.0,-299682.69,0.0,1131266.33,227880.16,902087.99,0.0,4235892.17,116710.25,4235892.17,0.0,121883.63,87939.04,112913.01,913565.29,75918.8,8970.62,-12020.240000000002,1131266.33,5503036.159999999,5503036.159999999,697071.3600000001,IST-66 SL_resum
2004-01-01,23710.38,0.0,1269386.64,922553.58,189061.35,277057.16,0.0,85306.09,149152.79,42984.98,192137.77,574.4499999999999,85880.54,1190342.29,392190.04,423.55,4413.77,4413.77,1173861.65,17103.67,1178245.1190000002,945.5,17919.07,4220367.58,0.0,4220367.58,252560.29,19.0,-299682.69,0.0,1183506.0990000002,267788.71,902087.99,0.0,4275701.55,23710.38,4275701.55,0.0,56490.28,39386.61,42984.98,913565.29,39908.56,13505.3,521.9499999999999,1183506.1,5489754.22,5489754.22,602768.8300000001,IST-66 SL_resum
2005-01-01,55748.263999999996,0.0,1164244.77,1422595.64,223932.37,277057.16,0.0,69131.26,192655.15,30135.36,222790.51,0.0,69131.26,1721661.47,426979.41,0.0,2841.9,2841.9,1064658.26,13404.53,1069570.52,282.14000000000004,17106.148999999998,4330576.06,0.0,4330576.06,231920.83,19.0,-299682.69,0.0,1095113.51,299065.83,902087.99,0.0,3773159.36,55748.263999999996,3773159.36,0.0,44399.61,30995.08,30135.36,913565.29,31277.22,14264.25,282.14000000000004,1095113.51,5494820.83,5494820.83,667158.21,IST-66 SL_resum
2006-01-01,87786.148,0.0,583639.09,4780549.96,229663.53,277057.16,0.0,69552.33,199158.33,28253.43,227411.759,23.81,69576.14,5110120.99,437109.44,0.0,1740.82,1740.82,1180007.22,13073.66,1187108.9,0.0,17066.25,4751206.05,0.0,4751206.05,283253.65,20.0,-299682.69,0.0,514062.949,329571.03,902087.99,0.0,224724.15,87786.148,224724.15,0.0,43578.86,30505.2,28253.43,913565.29,30505.2,15325.43,0.0,514062.95,5334845.14,5334845.14,681587.4500000001,IST-66 SL_resum
2007-01-01,119824.032,0.0,833206.42,4901253.38,313237.99000000005,277057.16,0.0,69121.28,282670.63,19467.79,302138.42000000004,1607.97,70729.25,5261391.7700000005,408810.38,31.38,2192.9100000000003,2192.9100000000003,1177109.97,10189.12,1183816.95,793.0,22719.980000000003,4660553.649999999,0.0,4660553.649999999,266774.15,20.0,-299682.69,0.0,762477.1699999999,360138.389,902087.99,0.0,232368.3,119824.032,232368.3,0.0,39994.86,29805.739,19467.79,913565.29,30567.36,20527.07,761.62,762477.1699999999,5493760.07,5493760.07,734430.4,IST-66 SL_resum
2008-01-01,151861.916,0.0,641525.11,4901253.38,180319.12,277057.16,0.0,87164.23999999999,149850.87,11477.3,161328.169,0.0,87164.23999999999,5291860.02,452554.43000000005,0.0,3725.05,3725.05,1184766.03,10156.08,1190622.45,0.0,32872.078,4982143.06,0.0,4982143.06,277057.16,19.0,-299682.69,36212.181818181816,554360.87,390606.64,902087.99,0.0,331808.15,151861.916,331808.15,0.0,40624.33,30468.25,11477.3,913565.29,30468.25,29147.029,0.0,55343.22,5623668.17,5623668.17,646754.6799999999,IST-66 SL_resum
