Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,64118.84,1429454.22,609289.41,6010.120000000001,57253.6,4995254.28,989802.2,240086.14,27567.57,75242.55,102810.12,364277.78,604363.92,206510.7,352695.59,6642.27,30082.99,30082.99,2837359.35,13657.12,2841617.57,3725.77,1100.09,137529.25,87484.61,50044.64,2153124.05,47.0,-694503.11,0.0,4925.489,200500.58,2792356.72,36367.28,476189.13,64118.84,476189.13,0.0,46259.65,32602.53,75242.55,2966833.169,29686.03,-28982.9,-2916.5,173491.33,746818.66,746818.66,453689.3,ITISA SL_resum
2000-01-01,47824.46,1429454.22,1232931.4,6010.120000000001,98363.66,4995254.28,989802.2,676740.49,39561.41,124353.04,163914.44999999998,376525.61,1053266.1,265312.95,442161.82,0.0,34108.43,34108.43,4250595.41,31662.75,4251638.35,0.0,220.39,190055.17,104565.46,85489.72,3260083.59,47.0,-694503.11,-0.009,179665.299,259302.83,2792356.72,36367.28,1109849.1700000002,47824.46,1109849.1700000002,0.0,90465.0,58802.25,124353.04,2966833.169,58802.25,-33888.04,0.0,173491.33,1422986.57,1422986.57,606296.66,ITISA SL_resum
2001-01-01,22490.32,1429454.22,949679.51,6010.0,79910.85,4995254.28,989802.2,461139.74,51073.23,79615.33,130688.56,433345.68,894485.419,282695.28,580196.43,0.0,37255.96,37255.96,4249889.848999999,15527.97,4249889.868999999,0.0,2006.22,164390.07,59210.28999999999,105179.78,3176185.51,47.0,-694503.11,0.0,55194.09,276685.28,2792356.72,36367.28,808883.98,22490.32,808883.98,0.0,44365.59,28837.618999999995,79615.33,2966833.169,28837.62,-35249.74,0.0,52980.06,1114069.58,1114069.58,712891.21,ITISA SL_resum
2002-01-01,57780.89,1429454.22,1117683.43,6010.0,97096.989,4995254.28,989802.2,482652.43000000005,54197.5,91823.38,146020.87999999998,548549.65,1031202.08,325594.82,768969.42,180.31,36380.33,36380.33,4872045.45,13403.84,4873637.4,0.0,1040.589,171477.88999999998,74641.65000000001,96836.24,3541541.07,47.0,-694503.11,0.0,86481.35,319584.82,2792356.72,36367.28,905785.61,57780.89,905785.61,0.0,56483.64,43079.8,91823.38,2966833.169,42899.49,-35339.74,-180.31,82407.23,1289161.32,1289161.32,915850.58,ITISA SL_resum
2003-01-01,68137.73999999999,1429454.22,1568602.8,6010.0,92626.49,4995254.28,989802.2,668445.72,66766.3,74144.25,140910.55,653635.8300000001,1322081.549,351455.01,902996.78,8537.94,38944.32,38944.32,5178825.45,8271.98,5179502.06,6362.75,1107.43,304024.94,157146.37999999998,144478.56,3629775.12,47.0,-694503.11,2400.0,246521.25,345445.01,2792356.72,36367.28,1453034.99,68137.73999999999,1453034.99,0.0,36307.36,28035.38,74144.25,2966833.169,25860.19,-37836.89,-2175.19,238724.2,1872627.74,1872627.74,1042839.57,ITISA SL_resum
2004-01-01,74716.68000000001,1429454.22,1989735.53,6010.120000000001,103790.5,4995254.28,989802.2,689013.19,72930.23,78951.17000000001,151881.4,1001875.11,1690888.299,382315.28,1193000.92,601.01,40394.3,40394.3,5910555.89,8991.07,5914943.279,1589.9,305.58,352280.1,187581.71,162298.38999999998,3990018.1,47.0,-694503.11,2399.9990000000003,298847.23000000004,376305.16,2792356.72,36367.28,1884983.67,74716.68000000001,1884983.67,0.0,38862.45,29871.379,78951.17000000001,2966833.169,30860.27,-40088.72,988.89,291987.79000000004,2342015.63,2342015.63,1346176.79,ITISA SL_resum
2005-01-01,135165.37999999998,1429454.22,2950135.61,6010.120000000001,122934.85,4995254.28,989802.2,1624094.34,77551.85,107566.8,185118.65,1085109.11,2709203.45,427698.28,1293813.83,1485.0,47252.54,47252.54,7201134.74,14743.94,7205773.859999999,986.77,310.91,388190.76,218838.24,165752.52,5175298.75,47.0,-694503.11,3600.0,240932.159,421688.16,2792356.72,36367.28,2775462.71,135165.37999999998,2775462.71,0.0,60625.17,45881.22899999999,107566.8,2966833.169,45383.0,-46941.63,-498.23,191658.49,3338326.37,3338326.37,1478745.16,ITISA SL_resum
2006-01-01,47173.08,1429454.22,2635992.0,108180.0,102290.03,4995254.28,989802.2,1480111.32,95835.0,132905.5,228740.5,999590.78,1050247.88,434153.31,1385480.13,33351.36,74863.23999999999,74863.23999999999,8305246.74,18593.28,8305762.22,336.34000000000003,21.07,464232.4900000001,273063.37,188769.12,6010725.2,53.0,-694503.11,2400.0,156289.89899999998,325973.31,2792356.72,36367.28,199641.68,47173.08,2618898.1,0.0,58063.33,39470.05,132905.5,2966833.169,6455.03,-74842.17000000001,-33015.02,152073.3,3100224.49,3100224.49,1581226.6800000002,ITISA SL_resum
2007-01-01,54572.19,1948142.26,3601403.56,108180.0,215922.83,4995254.28,1356613.23,2399835.14,107631.67,234096.2,341727.87,802042.61,1253735.49,505859.1,1569512.8,1784.55,87591.78,87591.78,8481511.49,44661.46,8491719.950000001,7892.01,340.74,513423.67,262452.07,246168.56,5963376.26,53.0,-694503.11,4803.039,399525.81,397679.1,2792356.72,36367.28,249640.449,54572.19,3554395.94,0.0,146845.16,102183.7,234096.2,2966833.169,108291.16,-87251.04,6107.46,394047.72,4114827.23,4114827.23,1917688.869,ITISA SL_resum
2008-01-01,44356.42,1057403.62,3058013.32,108180.0,174028.8,4995254.28,1502900.95,1882534.91,119828.38,174476.44999999998,294304.83,868053.88,1693185.1700000002,556259.52,1978025.23,0.0,108711.7,108711.7,7959220.52,21620.3,7962087.449,0.0,10055.97,486154.58,20672.84,459578.7,4995254.28,48.0,-694503.11,5903.04,307424.53,448079.519,2792356.72,36367.28,346880.11,80723.7,2907184.68,0.0,75820.72,54200.42,174476.44999999998,2966833.169,54200.42,-98655.73,0.0,307424.53,3544167.9,3544167.9,2282386.03,ITISA SL_resum
2009-01-01,37574.72,1408897.43,3249068.55,108180.0,173956.64,3702963.04,1305540.0990000002,1858756.79,119772.83,131394.87999999998,251167.71,1103801.64,1553660.999,606643.3300000001,1816692.99,0.0,78162.12000000001,78162.12000000001,6340867.55,4858.320000000001,6340867.55,0.0,5809.37,424563.86,15595.03,383065.79,3702963.04,47.0,-570043.809,25903.04,286510.12,498463.33,2506509.63,24248.86,290727.97000000003,61823.58,3005165.5,0.0,59042.13,54183.810000000005,131394.87999999998,2637904.51,54183.810000000005,-72352.75,0.0,279624.14,3673632.41,3673632.41,2073670.069,ITISA SL_resum
2010-01-01,90813.56,1042849.93,3072564.42,108180.0,-22988.34,3638979.29,1602628.1090000002,1706947.51,59696.14,-2857.46,56838.68,1038804.07,1702901.65,520158.85,1721507.49,0.0,87074.35,87074.35,5978369.819999999,-4660.37,5978369.819999999,0.0,2586.96,443287.76,23497.66,387887.06,3558601.81,50.0,-561044.3600000001,31903.04,326812.83900000004,411978.85,2342247.99,19588.49,239813.24,110402.05,2885291.2800000003,0.0,-87344.85,-82684.48,-2857.46,2339390.53,-82684.48,-84487.39,0.0,292215.04,3515852.18,3515852.18,1780933.13,ITISA SL_resum
