Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,1829153.76,1798596.64,1212717.14,168283.38999999998,375594.22,7997032.88,844514.08,1145082.81,313745.75,174712.52,488458.27,0.0,1145082.81,528105.88,439912.15,0.0,106570.58,106013.76,3240454.7800000003,33303.019,3377778.11,26783.629,225.93,2154485.2800000003,333826.75,1695882.33,1309034.77,59.0,-1089894.58,124776.199,67634.32900000001,359822.49000000005,2487535.69,5501.3,1009942.78,1829153.76,1009942.78,0.0,68367.87000000001,35064.850000000006,174712.52,2819507.8,61848.47,-106344.66,26783.629,16135.83,3367202.42,3367202.42,954823.149,J BAHI SA_resum
2000-01-01,1677430.64,1798596.64,1229691.45,168283.38999999998,434571.76,7997032.88,844514.08,1136794.27,354106.76,160271.99,514378.75,0.0,1136794.27,608570.88,525681.66,9547.4,118676.22,118676.22,3595481.89,20779.79,3595481.89,69196.42,3163.805,2134285.44,531700.47,1501481.49,1449280.2,59.0,-1089894.58,101103.479,92897.17900000002,440287.4900000001,2487535.69,5501.3,1077975.39,1677430.64,1077975.39,0.0,41595.77,20815.979,160271.99,2819507.8,80465.0,-118676.22,59649.02,43353.24,3363976.89,3363976.89,1099709.43,J BAHI SA_resum
2001-01-01,2350491.71,1798596.64,3021344.43,168283.38999999998,503157.9900000001,7997032.88,844514.08,2885141.38,398660.82,229950.11,628610.929,0.0,2885141.38,713068.05,561201.92,16096.56,154017.139,153762.4,6257532.88,30400.57,6257536.06,68959.65000000001,6101.68,2478789.55,967466.08,1435865.72,3813666.87,59.0,-1089894.58,75457.749,136203.05,544784.66,2487535.69,5501.3,2436574.22,2350491.71,2436574.22,0.0,82034.65000000001,51634.079,229950.11,2819507.8,104497.17,-147915.46,52863.09,40353.12,5500133.98,5500133.98,1248522.88,J BAHI SA_resum
2002-01-01,1574441.81,1798596.64,3223094.739,168283.38999999998,563160.98,7997032.88,844514.08,3131448.14,460245.28,189687.85,649933.13,0.0,1332851.5,815983.74,694585.4400000001,16750.68,180550.41,178984.7,8246487.71,42357.94,8246487.71,149217.94999999998,3668.93,2221488.16,737857.7899999999,1255324.49,5357722.159999999,59.0,-1089894.58,228305.88,91646.599,647700.3500000001,2487535.69,5501.3,411046.63,1574441.81,3054157.35,0.0,12806.37,-29551.57,189687.85,2819507.8,102915.7,-176881.47999999998,132467.27000000002,30006.89,5444582.9,5444582.9,1479089.059,J BAHI SA_resum
2003-01-01,1246580.29,2480807.99,4450900.63,168283.38999999998,631005.38,7997032.88,1643493.35,4038219.12,515504.68,400539.1,916043.78,0.0,1557411.13,931484.44,1166973.62,220972.96,145225.69,145225.69,9975839.12,62192.68,9975839.12,139019.96,4332.969,2272306.21,660977.41,1361996.78,5942868.26,72.0,-1089894.58,249332.019,412681.509,763201.049,2487535.69,5501.3,420840.77,1246580.29,4545142.109999999,0.0,259646.38,197453.7,400539.1,2819507.8,115500.7,-140892.72,-81953.0,361049.81,6723206.84,6723206.84,2005397.369,J BAHI SA_resum
2004-01-01,1274769.26,1569072.47,3639631.82,168283.38999999998,656272.12,7997032.88,1731928.22,3160226.97,525821.62,349906.31,875727.929,0.0,1591154.5,1061934.94,1279483.31,53925.01,122521.76,122521.76,8702558.19,70242.57,8702558.19,24721.82,2511.71,2426091.43,571402.88,1612182.53,3789446.82,85.0,-1089894.58,242506.02,479404.849,893651.549,2487535.69,5501.3,428018.359,1274769.26,3729019.05,0.0,229896.26,159653.69,349906.31,2819507.8,130450.5,-120010.05,-29203.19,441296.68,6065723.25,6065723.25,2128519.759,J BAHI SA_resum
2005-01-01,1221320.06,1252865.99,4105977.14,168283.38999999998,586434.6,7997032.88,2178757.26,3574882.57,491351.74,291993.71,783345.4500000001,0.0,2322016.58,1157017.8,1389352.27,103554.72,123627.56,123501.03,8213506.8,51198.46,8213506.8,69862.799,11607.09,1812454.97,512804.47,1234684.98,4270155.928,90.0,-1089894.58,64965.52,531094.57,988734.41,2487535.69,5501.3,108471.0,1221320.06,3540094.25,0.0,179973.24000000002,128774.78,291993.71,2819507.8,95082.86,-112020.47,-33691.920999999995,490914.27,5918432.109999999,5918432.109999999,2150486.36,J BAHI SA_resum
2006-01-01,1237890.83,1115125.22,3396091.139,168283.38999999998,593319.2,7997032.88,1414270.02,2591219.53,477057.9,208229.93,685287.8300000001,0.0,1476094.309,1273279.1,951579.72,161677.62,113986.33,113986.33,6749662.56,46245.01,6749662.56,229506.889,433.439,1875933.92,642769.47,1169186.93,3797605.41,43.0,-1089894.58,63977.52,804871.6089999999,1104995.71,2487535.69,5501.3,231459.889,1237890.83,2760855.13,0.0,94677.04,48432.029,208229.93,2819507.8,116261.3,-113552.89,67829.269,733062.37,5272025.06,5272025.06,1705130.26,J BAHI SA_resum
2007-01-01,1550016.12,2593665.98,4125490.1,168283.38999999998,665195.57,7997032.88,877571.55,3525308.16,500348.17,371471.84,871820.01,0.0,931642.18,1438126.5,928497.47,159200.86,119640.84,119640.84,10643950.739999998,46582.7,10643950.739999998,118503.14,296.82,2396698.13,1232592.21,1085133.3,7364564.609999999,36.0,-1089894.58,78972.619,600181.9400000001,1269843.1090000002,2487535.69,5501.3,62808.079,1550016.12,3534045.61,0.0,252127.82,205545.12,371471.84,2819507.8,164847.4,-119344.02,-40697.719,499079.57,6522188.23,6522188.23,1759916.579,J BAHI SA_resum
2008-01-01,1698853.78,1994377.33,3353577.42,168283.38999999998,654592.98,7997032.88,1729560.77,2898374.41,484140.77,331972.11,816112.88,0.0,903997.08,1608578.71,913500.34,0.0,126258.36,126258.36,10816540.68,44122.03,10816540.68,0.0,8860.49,4183357.41,9032.8,2529308.7,7997032.88,36.0,-1089894.58,1645015.91,455203.008,1440295.32,2487535.69,5501.3,500062.94,1704355.08,4224001.04,0.0,214574.24,170452.21000000002,331972.11,2819507.8,170452.21000000002,-117397.87,0.0,133246.97,7536934.83,7536934.83,1738473.71,J BAHI SA_resum
