Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,29054.38,24516.95,56053.64,6010.120000000001,2143.7,160244.84999999998,30000.0,36153.91,661.11,1574.7,2235.8100000000004,13216.740000000002,49370.65,6225.04,51953.46,0.0,2491.03,2491.03,108422.08,92.11,122049.45,0.0,114.57,5789.06,5000.0,5789.06,59761.73,4.0,-26968.53,0.0,6682.989,214.92,182604.669,0.0,26563.28,29054.38,26563.28,0.0,1574.7,1482.59,1574.7,187324.86,1482.59,-2376.46,0.0,6682.99,61842.7,61842.7,54189.27,JC TECNICS SL_resum
2000-01-01,29054.38,24516.95,56053.64,6010.120000000001,2143.7,160244.84999999998,30000.0,36153.91,661.11,1574.7,2235.8100000000004,13216.740000000002,49370.65,6225.04,51953.46,0.0,2491.03,2491.03,108422.08,92.11,122049.45,0.0,114.57,5789.06,5000.0,5789.06,59761.73,4.0,-26968.53,0.0,6682.989,214.92,182604.669,0.0,26563.28,29054.38,26563.28,0.0,1574.7,1482.59,1574.7,187324.86,1482.59,-2376.46,0.0,6682.99,61842.7,61842.7,54189.27,JC TECNICS SL_resum
2001-01-01,26154.1,24516.95,58399.28999999999,6010.0,5981.68,160244.84999999998,30000.0,40806.13,1365.05,8971.640000000001,10336.689,3965.02,44771.149,10841.67,91050.05,0.0,2491.03,2491.03,177113.15,1978.55,177113.15,0.0,114.57,4823.7,5000.0,4823.7,65719.31,4.0,-26968.53,0.0,13628.14,4831.67,182604.669,0.0,26227.22,26154.1,26227.22,0.0,6595.18,4616.63,8971.640000000001,187324.86,4616.63,-2376.46,0.0,13628.14,63222.99,63222.99,101501.31,JC TECNICS SL_resum
2002-01-01,22673.76,24516.95,64784.68,6010.0,3182.569,160244.84999999998,30000.0,59607.59,1257.95,5750.05,7008.0,5174.35,64781.939,12766.29,80660.14,0.0,3002.17,3002.17,191308.84,824.7900000000001,191308.84,0.0,1.53,4256.72,5000.0,4256.72,89407.87000000001,4.0,-26968.53,0.0,2.74,6756.29,182604.669,0.0,33601.350000000006,22673.76,33601.350000000006,0.0,2749.4100000000003,1924.62,5750.05,187324.86,1924.62,-3000.64,0.0,2.74,69041.4,69041.4,87669.67000000001,JC TECNICS SL_resum
2003-01-01,18985.11,24516.95,58210.9,6010.0,-1225.88,160244.84999999998,30000.0,27970.71,1620.56,-1812.73,-192.17,27830.0,55800.71,9919.73,73044.5,0.0,2254.11,2254.11,122432.14,-1219.9,122947.23,0.0,0.5,9806.2,5000.0,9806.2,38759.6,5.0,-26968.53,0.0,2410.19,3909.729,182604.669,0.0,39112.26,18985.11,39112.26,0.0,-4066.34,-2846.44,-1812.73,187324.86,-2846.44,-2253.61,0.0,2410.19,68017.1,68017.1,72852.83,JC TECNICS SL_resum
2004-01-01,24000.0,24516.95,58235.1,6010.0,5113.45,160244.84999999998,30000.0,13116.99,3848.68,4281.18,8129.860000000001,44882.350000000006,57999.34,11184.5,58641.4,0.0,2474.67,2474.67,160778.8,542.05,160778.8,0.0,0.31,34582.06,5000.0,34582.06,80040.95999999999,4.0,-26968.53,0.0,235.76,5174.5,182604.669,0.0,57632.66,24000.0,57632.66,0.0,1806.82,1264.77,4281.18,187324.86,1264.77,-2474.36,0.0,235.76,92817.16,92817.16,66771.57,JC TECNICS SL_resum
2005-01-01,19529.4,24516.95,60524.4,6010.0,11574.7,160244.84999999998,30000.0,18767.93,8651.0,6977.41,15628.41,37947.0,56714.93,14108.2,79019.5,0.0,2800.76,2800.76,263499.91900000005,1252.99,263499.91900000005,0.0,0.04,32656.06,5000.0,27656.06,152918.56,6.0,-26968.53,0.0,3809.47,8098.2,182604.669,0.0,59542.86,19529.4,59542.86,0.0,4176.689,2923.699,6977.41,187324.86,2923.7,-2800.72,0.0,3641.99,93180.46,93180.46,94647.95,JC TECNICS SL_resum
2006-01-01,37776.21,24516.95,83304.18000000001,6010.0,7478.52,160244.84999999998,30000.0,39054.7,5144.91,4803.26,9948.17,42850.65,81905.35,16441.809999999998,127245.19,0.02,1469.84,1469.84,301305.0,1000.12,301305.0,0.05,0.28,27511.15,4249.75,23261.4,145757.11000000002,6.0,-26968.53,0.0,1398.83,10431.81,182604.669,0.0,56597.310000000005,37776.21,56597.310000000005,0.0,3333.7,2333.58,4803.26,187324.86,2333.61,-1469.56,0.03,1339.22,110815.33,110815.33,137193.669,JC TECNICS SL_resum
2007-01-01,31136.45,24516.95,98851.459,6010.0,7406.599,160244.84999999998,30000.0,35350.66,5525.24,3668.64,9193.88,54428.5,89779.16,18323.17,121998.46,0.0,1378.42,1378.42,279726.6,627.12,279726.6,212.98,5.28,25099.25,3499.46,21599.79,129389.48,6.0,-26968.53,0.0,9072.299,12313.169,182604.669,0.0,74491.09,31136.45,74491.09,0.0,2295.5,1668.38,3668.64,187324.86,1881.36,-1373.14,212.98,9066.32,123950.71,123950.71,131410.6,JC TECNICS SL_resum
2008-01-01,25176.08,24516.95,97697.39,6010.0,2772.68,160244.84999999998,30000.0,32348.17,627.2700000000001,4720.1900000000005,5347.459,58920.45,66751.67000000001,20468.58,155008.87,0.0,1860.19,1860.19,347569.71,715.14,347569.71,0.0,0.55,28210.35,5760.495,28210.35,160244.84999999998,6.0,-26968.53,1425.0,6428.77,14458.58,182604.669,0.0,25746.13,25176.08,80263.08,0.0,2860.55,2145.4100000000003,4720.1900000000005,187324.86,2145.4100000000003,-1859.64,0.0,6385.51,125907.74,125907.74,160356.879,JC TECNICS SL_resum
