Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,21655.06,237285.42,120503.76,96161.94,23623.74,1015274.2,73478.4,54760.09,28099.24,4628.53,32727.77,56823.98,111584.07,84080.95999999999,191407.07,2529.3500000000004,14086.63,14082.59,642425.52,-1918.07,642425.52,5582.879,11.0,109163.04,72141.81,37021.23,295102.6,12.0,-392101.029,0.0,8919.689,-12080.979,1052295.06,27846.1,123930.78,21655.06,123930.78,0.0,-9447.1,-7529.03,4628.53,1183635.11,-4475.5,-14075.63,3053.529,5755.120000000001,229666.8,229666.8,227195.33,JOSEP'S MOBILIARI SL_resum
2000-01-01,33654.840000000004,237285.42,133260.709,96161.94,39813.24,1015274.2,73478.4,80928.76,27761.81,31271.63,59033.44,47188.78999999999,128117.549,96132.39,183911.32,3314.9700000000003,11359.13,11282.63,656724.21,5164.9,656724.21,618.75,0.05,106140.24,51633.99,54506.24,296660.72000000003,12.0,-392101.029,0.01,5143.159000000001,-29.55,1052295.06,27846.1,109613.72,33654.840000000004,109613.72,0.0,19912.55,14747.65,31271.63,1183635.11,12051.43,-11359.08,-2696.22,14.12,239400.95,239400.95,240172.09,JOSEP'S MOBILIARI SL_resum
2001-01-01,20061.36,237285.42,225530.849,96161.94,47286.59,1015274.2,73478.4,164833.6,25922.72,36728.13,62650.850000000006,23755.74,188589.34,117496.27,193089.9,294.34000000000003,11614.3,11613.77,889030.48,9155.94,889030.48,5700.17,0.15,94395.48,42657.03,51738.45,499584.33,12.0,-392101.029,0.0,36941.509,21334.33,1052295.06,27846.1,182368.7,20061.36,182368.7,0.0,25113.980000000003,15958.039,36728.13,1183635.11,21363.87,-11614.15,5405.83,34149.02,319926.33,319926.33,261146.199,JOSEP'S MOBILIARI SL_resum
2002-01-01,155420.66,237285.42,243534.51,96161.94,51570.53,1015274.2,73478.4,205620.3,31751.37,48967.05,80718.42,10625.84,216246.139,137315.51,223962.02,6059.27,15971.11,15971.11,998260.16,8493.92,998260.16,1373.31,3.1,238379.68,68836.67000000001,166906.05,521661.98,12.0,-392101.029,2636.96,27288.37,41153.57,1052295.06,27846.1,189178.02,155420.66,189178.02,0.0,32999.04,24505.12,48967.05,1183635.11,19819.16,-15968.01,-4685.96,21738.74,481914.19,481914.19,299997.579,JOSEP'S MOBILIARI SL_resum
2003-01-01,137888.01,237285.42,339853.62,96161.94,95841.56,1015274.2,73478.4,234447.89,40072.51,91099.13,131171.64,10365.85,244813.74,193084.56,251524.32,0.0,12199.15,12199.15,1204336.92,23901.02,1204336.92,769.66,0.43,222825.37,64346.34,155842.07,685742.2899999999,12.0,-392101.029,2636.9590000000003,95039.88,96922.62,1052295.06,27846.1,231706.42,137888.01,231706.42,0.0,78900.40999999999,54999.39,91099.13,1183635.11,55769.05,-12198.72,769.66,91167.41,562678.99,562678.99,383466.05,JOSEP'S MOBILIARI SL_resum
2004-01-01,338384.19,237285.42,430194.899,96161.94,126600.17,1015274.2,73478.4,358504.82,58427.67,116545.79,174973.46,8723.640000000001,367228.46,259300.52,256057.61,3405.4500000000003,17626.39,17626.39,1363568.8,29216.78,1363568.8,1872.74,2.59,504805.75,361763.67,140405.12,779362.13,12.0,-392101.029,2636.96,62966.439,163138.58,1052295.06,27846.1,337315.94,338384.19,337315.94,0.0,98921.99,69705.20999999999,116545.79,1183635.11,68172.5,-17623.8,-1532.709,39469.21,935000.65,935000.65,429500.95,JOSEP'S MOBILIARI SL_resum
2005-01-01,270086.55,237285.42,664796.23,96161.94,220911.92,1015274.2,73478.4,441187.82,77449.88,227227.76,304677.64,5365.83,446553.65,402946.24,339372.45,0.0,19738.97,19738.97,1940841.05,65865.78,1940841.05,1838.27,0.76,468327.34,312503.58,153186.8,1078818.93,12.0,-392101.029,2636.96,218242.58,306784.3,1052295.06,27846.1,460090.78,270086.55,460090.78,0.0,207489.55,141623.77000000002,227227.76,1183635.11,143462.04,-19738.21,1838.27,202699.56,1133123.57,1133123.57,645889.12,JOSEP'S MOBILIARI SL_resum
2006-01-01,199742.19,237285.42,764766.7799999999,96161.94,193573.51,1015274.2,73478.4,528827.939,84656.04,170929.57,255585.61,11762.54,540590.4789999999,511863.77,424266.66,126.17,15439.67,15439.67,1962939.81,47532.66,1962939.81,1086.4,643.4333333333333,432468.13,280250.96,148980.21000000002,1010807.98,12.0,-392101.029,3236.9590000000003,224176.3,415701.83,1052295.06,27846.1,485628.95,199742.19,485628.95,0.0,155489.9,107957.239,170929.57,1183635.11,108917.47,-15439.67,960.23,211018.51,1197234.91,1197234.91,680812.5,JOSEP'S MOBILIARI SL_resum
2007-01-01,538576.25,237285.42,1038207.44,96161.94,257776.16,1015274.2,73478.4,747781.31,110528.81,208204.14,318732.95,15997.31,763778.62,680436.1699999999,491641.18,1.41,23165.51,23165.51,2441516.92,46119.41,2441516.92,8329.54,1286.1066666666666,780026.08,612351.9500000001,162937.17,1349783.07,14.0,-392101.029,4736.959,274428.819,584274.23,1052295.06,27846.1,599221.1,538576.25,599221.1,0.0,185038.63,138919.22,208204.14,1183635.11,147247.34999999998,-23165.51,8328.130000000001,170719.01,1818233.52,1818233.52,818702.26,JOSEP'S MOBILIARI SL_resum
2008-01-01,366661.85,237285.42,887995.07,96161.94,219053.37,1015274.2,73478.4,470259.15,143639.38999999998,131340.049,274979.4390000001,76902.53,309876.26,755849.19,516554.64,0.0,32716.86,32716.86,2198909.31,25137.99,2198909.31,0.0,1928.78,649246.51,3986.33,641018.22,1015274.2,13.0,-392101.029,4241.96,340833.39,659687.25,1052295.06,27846.1,76120.62000000001,394507.95,386884.44,0.0,100551.97,75413.98,131340.049,1183635.11,75413.98,-30788.08,0.0,340833.39,1537241.58,1537241.58,793462.8600000001,JOSEP'S MOBILIARI SL_resum
2009-01-01,301934.2,154166.17,841150.73,96161.94,159765.97999999998,640742.88,64878.1,435351.07,138780.97,41660.1,180441.07,90669.81,371854.709,776834.8600000001,515326.8,0.0,15839.44,15839.44,1644732.82,6994.98,1644732.82,0.0,2159.3300000000004,536978.01,2244.4500000000003,530491.6,640742.88,12.0,-308222.07,4241.96,315129.85,680672.92,962329.84,20150.92,60164.49,322085.12,279208.76,0.0,27979.99,20985.01,41660.1,1003989.94,20985.01,-13680.11,0.0,315129.85,1378128.74,1378128.74,697927.2,JOSEP'S MOBILIARI SL_resum
2010-01-01,289922.86,218516.29,971563.95,96161.94,154671.91,810178.57,72881.45,576988.7,132867.68,43295.45,176163.13,50662.08,409134.48900000006,804361.13,478210.37,0.0,15333.54,15333.54,1858693.16,7268.08,1858693.16,0.0,1110.4,508529.34,1039.92,503247.46,810178.57,13.0,-394141.089,4241.96,343913.17,708199.19,1005219.14,10071.51,84340.05,299994.37,375737.79,0.0,29072.31,21804.23,43295.45,1048514.59,21804.23,-14223.14,0.0,343913.17,1480093.29,1480093.29,655483.9,JOSEP'S MOBILIARI SL_resum
2011-01-01,242385.98,124961.23,895607.72,96161.94,150377.69,659202.8,47528.9,290368.79000000004,139213.04,24402.94,163615.97999999998,104026.87,269434.43000000005,815987.26,600670.64,0.0,13944.29,13944.29,1702933.79,3721.55,1707412.39,0.0,4427.55,384239.85,3815.23,376110.66,659202.8,16.0,-283922.97000000003,4313.96,501212.06,719825.3200000001,1023806.65,1845.85,47138.350000000006,244231.83,219628.48,0.0,14886.2,11164.65,24402.94,1048209.59,11164.65,-9516.740000000002,0.0,231212.06,1279847.57,1279847.57,768714.1699999999,JOSEP'S MOBILIARI SL_resum
2012-01-01,330913.82,212905.7,1027469.57,96161.94,133925.709,579777.41,71843.89,383497.34,125659.26,22208.23,147867.49,356964.67,527556.31,828418.7799999999,635676.63,0.0,19361.31,19361.31,1567218.96,2755.49,1581261.25,0.0,8175.02,496449.71,4644.969999999999,482792.26,579777.41,15.0,-217939.719,9012.48,287007.56,732256.8400000001,979275.61,0.0,79837.09,330913.82,364586.68,0.0,11021.94,8266.449999999999,22208.23,1001483.84,8266.449999999999,-11186.29,0.0,92007.56,1523919.28,1523919.28,791719.14,JOSEP'S MOBILIARI SL_resum
2013-01-01,242917.77,220546.13,1036564.77,96161.94,124147.519,792336.3,85968.93999999999,311696.42000000004,113143.59,27789.66,140933.25,439945.45,531095.74,837050.48,700553.72,0.0,18213.19,18213.19,1865934.49,3667.96,1877673.42,0.0,5095.42,392511.73,2346.75,380434.95,792336.3,16.0,-243850.15,9730.029,284922.9,740888.54,1057547.46,0.0,42593.18,242917.77,349108.25,0.0,14671.89,11003.93,27789.66,1085337.1190000002,11003.93,-13117.769,0.0,129922.9,1429076.5,1429076.5,846582.389,JOSEP'S MOBILIARI SL_resum
2014-01-01,176710.44999999998,281938.48000000004,1176782.64,96161.94,155938.919,1360490.09,88964.65000000001,558997.4500000001,110154.91,70426.33,180581.24,243066.95,520125.91900000005,882927.8,724938.47,0.0,11726.85,5953.96,2492420.86,15261.34,2493002.38,0.0,2345.8700000000003,327956.58,2183.3300000000004,316043.22000000003,1360490.09,18.0,-226992.58,9730.029,374718.24,786765.8600000001,1062085.96,0.0,74197.84,176710.44999999998,445100.97,0.0,61045.350000000006,45784.009,70426.33,1132512.289,45784.009,-9380.98,0.0,219604.62,1504739.22,1504739.22,902092.69,JOSEP'S MOBILIARI SL_resum
