Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,26137.63,83883.27,95594.81,6010.120000000001,38949.99,399232.46,0.0,66427.90999999999,28955.69,24741.75,53697.44,27344.65,93772.56,12358.03,155113.03,0.0,11629.61,11629.61,496139.94,3135.3100000000004,496139.94,12.12,5.359999999999999,62003.14,9223.4,52779.74,240841.01,9.0,-139064.6,0.0,1822.25,6347.91,542388.1,0.0,119102.29,26137.63,119102.29,0.0,13117.49,9982.18,24741.75,601553.54,9994.3,-11624.25,12.12,1220.93,157597.94999999998,157597.94999999998,208827.94,JUNCA ACCESSORIS SOCIEDAD LIMITADA_resum
2000-01-01,11360.43,83883.27,92951.48,6010.120000000001,27812.469,399232.46,0.0,57359.86,21650.76,22912.73,44563.49,34594.04,91953.9,18519.74,181545.02,0.0,14208.56,14208.56,569986.08,2542.46,569986.08,0.0,4.54,58690.310000000005,7460.54,51229.77,287045.59,9.0,-139064.6,0.0,997.579,12509.62,542388.1,0.0,121761.62,11360.43,121761.62,0.0,8704.17,6161.71,22912.73,601553.54,6161.71,-14208.56,0.0,568.8299999999999,151641.79,151641.79,226108.51,JUNCA ACCESSORIS SOCIEDAD LIMITADA_resum
2001-01-01,6422.91,83883.27,175997.639,6010.120000000001,17732.36,399232.46,0.0,97146.79,14632.55,24057.05,38689.6,78807.73,175954.52,15457.83,260743.51,82.55,19549.960000000003,19549.960000000003,784465.9,1328.49,784465.9,0.04,3.72,44057.76,2586.64,41471.12,420726.17,11.0,-139064.6,0.0,43.119,9447.71,542388.1,0.0,198174.66,6422.91,198174.66,0.0,4510.81,3182.32,24057.05,601553.54,3099.8100000000004,-19546.24,-82.509,5761.14,220055.4,220055.4,299354.32,JUNCA ACCESSORIS SOCIEDAD LIMITADA_resum
2002-01-01,14747.15,83883.27,277622.49000000005,6010.120000000001,52294.13,399232.46,0.0,247733.66,17677.08,65133.47,82810.55,17188.99,264922.65,50074.850000000006,317644.46,18.03,18344.92,18344.92,1020444.89,14835.89,1020444.89,2671.8700000000003,10.55,50694.59,13620.45,37074.14,535300.22,12.0,-139064.6,0.0,12699.839,44064.72899999999,542388.1,0.0,263495.08,14747.15,263495.08,0.0,46799.1,31963.21,65133.47,601553.54,34617.05,-18334.37,2653.8390000000004,10953.45,328317.08,328317.08,403119.4,JUNCA ACCESSORIS SOCIEDAD LIMITADA_resum
2003-01-01,7157.9,83883.27,178442.78,6010.120000000001,26366.219,399232.46,0.0,128696.14,18557.92,25578.99,44136.91,48938.99,177635.13,57883.15,303833.26,0.0,14432.43,14432.43,875019.06,3346.4100000000003,875019.06,0.0,8.15,49719.09,9575.35,40143.74,423699.61,9.0,-139064.6,0.0,807.65,51873.03,542388.1,0.0,163120.81999999998,7157.9,163120.81999999998,0.0,11154.71,7808.299,25578.99,601553.54,7808.3,-14424.28,0.0,7955.150000000001,228161.87,228161.87,347978.32,JUNCA ACCESSORIS SOCIEDAD LIMITADA_resum
2004-01-01,136906.55,83883.27,223935.72,6010.120000000001,31167.2,399232.46,0.0,148282.56,21891.95,29475.61,51367.56,70696.31,218978.87,67158.40999999999,287375.29000000004,0.0,16540.027000000002,16540.027000000002,844176.47,3975.11,844176.47,196.54,118.24,198138.08,166675.11000000002,31462.97,397823.31,7.0,-139064.6,0.0,4956.85,61148.28999999999,542388.1,0.0,218008.84,136906.55,218008.84,0.0,13053.82,9078.71,29475.61,601553.54,9275.25,-16421.79,196.54,4956.85,422073.8,422073.8,339057.627,JUNCA ACCESSORIS SOCIEDAD LIMITADA_resum
2005-01-01,111318.89,83883.27,297882.61,6010.120000000001,70720.87000000001,399232.46,0.0,249931.22,53606.78999999999,48605.17,102211.959,39674.7,289605.92000000004,84288.66,302671.15,225.0,23931.480000000003,23931.480000000003,1041246.09,7334.610000000001,1041246.09,0.0,72.47,144531.29,126343.36,18187.93,526123.339,10.0,-139064.6,0.0,8276.689,78278.54,542388.1,0.0,246806.35,111318.89,246806.35,0.0,24673.69,17339.078999999998,48605.17,601553.54,17114.08,-23931.480000000003,-225.0,8276.69,442413.9,442413.9,404658.11,JUNCA ACCESSORIS SOCIEDAD LIMITADA_resum
2006-01-01,106720.36,83883.27,474628.63,6010.120000000001,107326.91,399232.46,0.0,367908.5,48884.94,113595.17,162480.11000000002,93621.38,461529.88,142730.63,398637.57,0.0,31239.67,31239.67,1487145.06,25046.56,1487145.06,1106.33,26.7,126312.2,87453.33,35828.689999999995,755106.66,12.0,-139064.6,3030.179,13098.75,136720.51,542388.1,0.0,351489.84,106720.36,351489.84,0.0,82382.2,57335.64,113595.17,601553.54,58441.97,-31212.97,1106.33,13098.75,600940.8300000001,600940.8300000001,562250.71,JUNCA ACCESSORIS SOCIEDAD LIMITADA_resum
2007-01-01,90299.36,83883.27,435047.19,6010.120000000001,101522.959,399232.46,0.0,293197.66,51865.74,93158.98,145024.72,93839.71,387037.37,192387.85,452958.79,2421.9,24833.23,24833.23,1612966.8,16552.41,1612966.8,305.59,0.19,143478.33,75771.95999999999,66656.369,852333.4500000001,14.0,-139064.6,1050.0,48009.82,186377.73,542388.1,0.0,295838.31,90299.36,295838.31,0.0,68325.93999999999,51773.53,93158.98,601553.54,49657.22,-24833.04,-2116.3100000000004,48009.82,578525.52,578525.52,595867.39,JUNCA ACCESSORIS SOCIEDAD LIMITADA_resum
2008-01-01,53379.5,83883.27,337611.06,6010.120000000001,87932.03,399232.46,0.0,187285.26,55717.880000000005,59165.44,114883.32,102385.79,205787.779,224602.0,347605.62,0.0,16213.240000000002,16200.93,999427.58,10738.05,1000786.0,0.0,0.0,100342.28,3976.75,95315.53,501618.25,11.0,-139064.6,1050.0,47940.01,218591.88,542388.1,0.0,76088.569,53379.5,159971.84,0.0,42952.2,32214.149,59165.44,601553.54,32214.149,-16213.240000000002,0.0,47940.01,437953.34,437953.34,462476.63,JUNCA ACCESSORIS SOCIEDAD LIMITADA_resum
