Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,0.0,25944.56,123461.64,3005.06,24805.44,313893.97000000003,0.0,72181.43999999999,3961.85,29776.56,33738.41,36316.58,108498.02,63163.66,122888.73,0.0,105.54,0.0,381802.18,8932.97,381802.18,0.0,1.06,19949.81,0.0,19949.81,185428.95,12.0,-74122.23999999999,0.0,14963.619,60158.6,268154.27900000004,1766.41,80247.79,0.0,80247.79,0.0,29776.56,20843.59,29776.56,289560.73000000004,20843.59,-104.48,0.0,14963.63,143411.44999999998,143411.44999999998,156627.139,LAMPISTERIA ALBO VALLS SL_resum
2000-01-01,0.0,25944.56,171323.58,3005.06,31554.51,313893.97000000003,0.0,88982.4,6468.28,33116.339,39584.619,24869.22,113851.62,88249.89,133452.41999999998,7382.09,105.54,0.0,423881.82,10751.240000000002,423881.82,10103.22,1.06,27759.47,0.0,27759.47,194279.81,12.0,-74122.23999999999,0.0,57471.959,85244.83,268154.27900000004,1766.41,110833.16,0.0,110833.16,0.0,33116.339,22365.099,33116.339,289560.73000000004,25086.23,-104.48,2721.129,57471.96,199083.05,199083.05,175758.17,LAMPISTERIA ALBO VALLS SL_resum
2001-01-01,12964.85,25944.56,237848.2,3005.06,41525.16,313893.97000000003,0.0,104055.49,8570.51,47263.57,55834.08,24869.22,128924.71,121204.53,155480.59,0.0,105.54,105.54,458251.09,14204.44,458251.09,0.0,1.06,30902.97,10308.33,20594.64,205033.07,12.0,-74122.23999999999,0.0,108923.49,118199.47,268154.27900000004,1766.41,134581.79,12964.85,134581.79,0.0,47159.09,32954.649,47263.57,289560.73000000004,32954.65,-104.48,0.0,106222.95,268751.17,268751.17,211315.73,LAMPISTERIA ALBO VALLS SL_resum
2002-01-01,8506.140000000001,25944.56,241430.24,3005.06,37939.91,313893.97000000003,0.0,105221.74,10131.64,39726.09,49857.72899999999,11926.0,117147.74,149201.84999999998,168800.21000000002,0.0,182.2,0.0,601502.3,11917.82,601502.3,0.0,106.515,26931.29,8434.09,18497.2,330136.85,12.0,-74122.23999999999,0.0,124282.499,146196.79,268154.27900000004,1766.41,110653.54,8506.140000000001,110653.54,0.0,39726.09,27808.269,39726.09,289560.73000000004,27808.27,-75.685,0.0,122972.16,268361.53,268361.53,218657.94,LAMPISTERIA ALBO VALLS SL_resum
2003-01-01,19994.31,25944.56,244774.93,3005.06,17942.0,313893.97000000003,0.0,156641.11000000002,10808.48,10237.63,21046.11,24280.0,180921.11,156347.36,179813.47999999998,0.0,258.86,258.86,508494.28,3057.22,508494.28,0.0,211.97,23432.26,8434.09,14998.17,253395.61,10.0,-74122.23999999999,0.0,63853.82,153342.3,268154.27900000004,1766.41,90099.11,21760.72,90099.11,1766.41,10190.740000000002,7133.52,10237.63,289560.73000000004,7133.52,-46.89,0.0,62543.479,268207.19,268207.19,201071.56,LAMPISTERIA ALBO VALLS SL_resum
2004-01-01,5509.110000000001,25944.56,250290.28,3005.06,20082.87,313893.97000000003,0.0,99807.74,11710.53,11169.02,22879.55,24280.0,124087.74,162953.3,152362.81,0.0,168.895,0.0,500282.7,3588.15,500282.7,0.0,791.47,23134.45,8434.09,14700.36,241864.74,11.0,-74122.23999999999,0.0,126202.54,159948.24000000002,268154.27900000004,1413.1280000000002,104962.32,5509.110000000001,104962.32,0.0,11960.49,8372.34,11169.02,289560.73000000004,8372.34,791.47,0.0,124892.2,273424.73000000004,273424.73000000004,176033.83,LAMPISTERIA ALBO VALLS SL_resum
2005-01-01,3438.11,25944.56,343805.96,3005.06,14536.16,313893.97000000003,0.0,116801.02,4975.610000000001,13530.58,18506.19,24280.0,141081.02,174280.25,191411.54,0.0,78.93,78.93,653335.69,4097.39,653335.69,0.0,206.29,43901.810000000005,8434.09,33701.310000000005,359716.02,8.0,-74122.23999999999,1766.41,202724.94,171275.19,268154.27900000004,1059.846,209989.41,3438.11,209989.41,0.0,13657.94,9560.55,13530.58,289560.73000000004,9560.55,127.36,0.0,201414.599,387707.77,387707.77,210124.02,LAMPISTERIA ALBO VALLS SL_resum
2006-01-01,0.0,25944.56,337108.9,3005.06,47050.07,313893.97000000003,0.0,111221.11,11350.77,50089.7,61440.47,24280.0,135501.11000000002,209979.55,235347.33,0.0,296.19,296.19,675673.07,15299.69,675673.07,0.0,1205.48,30148.43,5410.18,22350.54,310594.11,10.0,-74122.23999999999,2387.709,201607.79,206974.49,268154.27900000004,706.5640000000001,157277.78,0.0,157277.78,0.0,50998.99,35699.29899999999,50089.7,289560.73000000004,35699.3,909.29,0.0,200297.45,367257.33,367257.33,297993.28,LAMPISTERIA ALBO VALLS SL_resum
2007-01-01,0.0,25944.56,452690.73,3005.06,87119.40999999999,313893.97000000003,0.0,137062.87999999998,14092.17,90385.16,104477.33,24280.0,161342.87999999998,283006.79000000004,197427.78,0.0,39.18,39.18,659291.59,24342.41,661450.58,0.0,7023.67,17027.37,5410.18,11617.19,288817.72000000003,10.0,-74122.23999999999,0.0,291347.85,280001.73000000004,268154.27900000004,353.2819999999999,186711.31,0.0,186711.31,0.0,97369.65,73027.239,90385.16,289560.73000000004,73027.23999999999,6984.49,0.0,290037.51,469718.1,469718.1,308928.77900000004,LAMPISTERIA ALBO VALLS SL_resum
2008-01-01,0.0,25944.56,380915.4900000001,3005.06,39678.41,313893.97000000003,0.0,81158.29,12781.05,21406.45,34187.5,24280.0,79493.73,308137.74,181250.99,0.0,0.0,0.0,603454.7,8965.79,603454.7,0.0,14456.7,13980.92,0.0,6639.1,313893.97000000003,8.0,-74122.23999999999,7341.820000000001,275477.2,305132.68,268154.27900000004,0.0,60814.11,0.0,86758.67000000001,0.0,35863.15,26897.36,21406.45,289560.73000000004,26897.36,14456.7,0.0,261620.28,394896.41,394896.41,229895.189,LAMPISTERIA ALBO VALLS SL_resum
