Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,9007.61,36609.03,55521.52,3005.06,18220.489,258278.47,0.0,36335.350000000006,2445.49,23548.73,25994.22,17085.09,53420.44,-42509.77,84328.98,0.0,7775.820000000001,7775.820000000001,246903.92,0.0,246903.92,0.0,2.09,11513.15,102.56,11410.59,120807.71,4.0,-44592.64,0.0,2101.079,-45514.829,193241.52,0.0,100536.82,9007.61,100536.82,0.0,15775.0,15775.0,23548.73,222713.569,15775.0,-7773.73,0.0,2101.08,67034.67000000001,67034.67000000001,110325.29,LAMPISTERIA CORDON SL_resum
2000-01-01,7296.19,36609.03,124951.7,3005.06,22337.63,258278.47,0.0,5703.53,2549.61,28902.7,31452.31,37863.76,43567.28999999999,-22721.74,93983.39,0.0,9116.07,9116.07,264244.14,0.0,264244.14,0.0,1.39,8963.54,82.05,8881.49,119383.6,4.0,-44592.64,0.0,81384.40999999999,-25726.8,193241.52,0.0,149340.79,7296.19,149340.79,0.0,19788.02,19788.02,28902.7,222713.569,19788.02,-9114.68,0.0,81384.40999999999,133915.239,133915.239,125437.09,LAMPISTERIA CORDON SL_resum
2001-01-01,5429.18,36609.03,50438.810000000005,3005.06,14754.529,258278.47,0.0,26956.885,2736.13,19118.88,21855.01,43573.380000000005,43573.380000000005,-10703.34,90154.68,0.0,7130.160000000001,7130.160000000001,271560.42000000004,0.0,271560.42000000004,0.0,29.68,7293.03,602.52,6690.5,133650.57,5.0,-44592.64,0.009,6865.429999999999,-13708.4,193241.52,0.0,63006.0,5429.18,63006.0,0.0,12018.4,12018.4,19118.88,222713.569,12018.4,-7100.48,0.0,6865.429999999999,57731.84,57731.84,112039.37,LAMPISTERIA CORDON SL_resum
2002-01-01,10514.47,36609.03,94040.42,3005.06,16658.980000000003,258278.47,0.0,48210.24,3674.86,21136.59,24811.45,45830.18,94040.42,2280.77,102540.59,0.0,8155.620000000001,8155.620000000001,324796.27,0.0,324825.82,0.0,3.15,11668.17,455.17,11213.0,168391.07,4.0,-44592.64,0.0,0.0,-724.2900000000001,193241.52,0.0,92913.35,10514.47,92913.35,0.0,12984.12,12984.12,21136.59,222713.569,12984.12,-8152.469999999999,0.0,28096.3758,105708.59,105708.59,127355.189,LAMPISTERIA CORDON SL_resum
2003-01-01,6145.76,36609.03,113526.54,3005.06,8388.469,258278.47,0.0,43966.54,3822.74,19252.86,23075.6,69560.0,113526.54,6846.5,104633.01,0.0,13067.65,13067.65,313489.31,1646.33,313489.31,0.0,26.85,7845.429999999999,344.0,7501.429999999999,150622.81,4.0,-44592.64,0.0,0.0,3841.44,193241.52,0.0,108379.71,6145.76,108379.71,0.0,6212.06,4565.73,19252.86,222713.569,4565.73,-13040.8,0.0,49327.3216,121371.97,121371.97,127735.459,LAMPISTERIA CORDON SL_resum
2004-01-01,3625.23,36609.03,172118.04,3005.06,8371.210000000001,258278.47,0.0,97682.04,2976.94,22175.25,25152.19,74436.0,172118.039,12240.77,127634.68,0.0,14499.85,14499.85,376186.96,2311.8300000000004,376515.09,0.0,30.7,6434.7,520.2800000000001,5914.42,195364.83,4.0,-44592.64,0.0,0.0,9235.71,193241.52,0.0,162686.74000000002,3625.23,162686.74000000002,0.0,7706.1,5394.27,22175.25,222713.569,5394.27,-14469.15,0.0,70558.2674,178552.74000000002,178552.74000000002,152817.57,LAMPISTERIA CORDON SL_resum
2005-01-01,935.88,36609.03,129887.54,3005.06,8919.39,258278.47,0.0,65203.9,2395.4700000000003,28943.54,31339.01,64683.64,129887.54,18764.69,110124.77,0.0,19937.28,19937.28,361053.92,2795.9700000000003,361085.339,0.0,313.63,13242.92,1055.488,12187.43,188001.33,3.0,-44592.64,0.002,0.0,15759.63,193241.52,0.0,123429.89,935.88,123429.89,0.0,9319.89,6523.92,28943.54,222713.569,6523.92,-19623.65,0.0,91789.2132,143130.46,143130.46,141777.41,LAMPISTERIA CORDON SL_resum
2006-01-01,57391.96,36609.03,195262.82,3005.06,12442.64,258278.47,0.0,47642.66,3243.48,32495.63,35739.11,34600.0,82242.66,27963.85,101442.53,0.0,19380.45,19380.45,384046.63,3942.49,388506.28,0.0,26.47,10954.84,1380.6899999999998,9574.15,223322.91,3.0,-44592.64,0.0,113020.16,24958.789,193241.52,0.0,120861.85,57391.96,120861.85,0.0,13141.65,9199.16,32495.63,222713.569,9199.16,-19353.980000000003,0.0,113020.159,206217.66,206217.66,137208.11000000002,LAMPISTERIA CORDON SL_resum
2007-01-01,103538.12,36609.03,197407.14,3005.06,12858.63,258278.47,0.0,129488.28,5223.31,27975.68,33198.989,53990.27,183478.55,35599.17,135451.78,131.8,20641.460000000003,20641.460000000003,539344.4500000001,2545.1,539344.4500000001,1180.0,1798.0,78648.67000000001,849.56,77799.11,324033.49000000005,3.0,-44592.64,0.0,13928.59,32594.109,193241.52,0.0,136918.52,103538.12,136918.52,0.0,9132.22,6587.119000000001,27975.68,222713.569,7635.320000000001,-18843.460000000003,1048.2,13928.588,276055.81,276055.81,171496.97,LAMPISTERIA CORDON SL_resum
2008-01-01,91119.78,36609.03,157217.27000000002,3005.06,14878.38,258278.47,41298.23,73635.27,9563.99,29472.05,39036.04,29743.33,66769.57,40913.56,139084.88999999998,0.0,23536.45,23536.45,480992.04,1771.46,480992.04,0.0,1150.25,100086.28,389.46,99696.82,258278.47,3.0,-44592.64,0.0,53838.668,37908.5,193241.52,0.0,47362.95,91119.78,125270.21,0.0,7085.85,5314.39,29472.05,222713.569,5314.39,-22386.2,0.0,52809.82,257303.55,257303.55,179271.18,LAMPISTERIA CORDON SL_resum
2009-01-01,135277.9,25557.09,220711.72,3005.06,14116.66,240214.67,38948.9,64290.71,10563.6,28217.33,38780.93,17043.329999999998,55776.95,44466.62,136478.02,0.0,23579.43,23579.43,454181.41,1184.35,454181.41,0.0,99.51,91289.28,61.06,91228.22,240214.67,3.0,-38707.78999999999,0.0,139377.68,41461.56,185749.41,0.0,67750.48999999999,135277.9,132256.47999999998,0.0,4737.41,3553.06,28217.33,213966.739,3553.06,-23479.92,0.0,124090.32,312001.0,312001.0,175358.46,LAMPISTERIA CORDON SL_resum
2010-01-01,252418.02,23605.41,275643.35,3005.06,7422.92,160749.81999999998,0.0,59815.86,5283.35,34408.310000000005,39691.659,44893.94,81104.39,46606.19,124522.85,0.0,31833.84,31833.84,367593.48,713.19,367593.48,0.0,278.29,96182.06,0.0,96182.06,160749.81999999998,3.0,-42629.15,0.0,170933.55,43601.13,172435.34999999998,0.0,49195.78999999999,252418.02,72801.2,0.0,2852.76,2139.57,34408.310000000005,206843.659,2139.57,-31555.55,0.0,153317.46,371825.41,371825.41,164492.8,LAMPISTERIA CORDON SL_resum
2011-01-01,195923.5,29494.02,213772.48,3005.06,-23675.53,142720.05,0.0,57273.22,9972.2,-8190.650000000001,1781.55,44893.94,72673.14,12958.46,63074.42,0.0,25485.15,25485.15,242411.91,0.0,242411.91,0.0,28.07,86209.86,0.0,86209.86,142720.05,1.0,-34835.89,0.0,111605.32,9953.399,107882.509,0.0,61606.36,195923.5,91100.38,0.0,-33647.73,-33647.73,-8190.650000000001,99691.86,-33647.73,-25457.08,0.0,79215.72,299982.34,299982.34,64884.04,LAMPISTERIA CORDON SL_resum
2012-01-01,50703.58,16640.168999999998,148845.33,3005.06,-23042.85,114105.24,929.57,88243.13,10932.62,-21499.04,-10566.42,44893.94,116496.901,28982.99,21459.93,0.0,12632.55,12632.55,139725.69,0.0,139725.69,0.0,156.12,75277.23999999999,0.0,75277.23999999999,114105.24,1.0,-14726.94,0.0,15708.258,25977.929,47119.49,0.0,126866.26,50703.58,144436.0,0.0,-33975.47,-33975.47,-21499.04,25620.449,-33975.47,-12476.429,0.0,14679.41,224122.57,224122.57,11049.63,LAMPISTERIA CORDON SL_resum
2013-01-01,33818.28,14869.68,145375.36,3005.06,7615.37,67591.08,985.12,94083.91,8035.71,2944.2,10979.91,44893.94,124108.17,28562.65,13960.34,0.0,3364.75,3364.75,100824.0,0.0,100824.0,0.0,0.21,67241.53,0.0,67241.53,67591.08,1.0,-8292.67,0.0,6397.51,25557.59,30288.72,0.0,134381.16,33818.28,150235.96,0.0,-420.34,-420.34,2944.2,33232.92,-420.34,-3364.54,0.0,4168.660000000001,212616.89,212616.89,24940.460000000003,LAMPISTERIA CORDON SL_resum
2014-01-01,17704.93,6589.81,55711.0,3005.06,-11580.439,67170.48,0.0,31645.960000000003,8560.449999999999,-16102.0,-7541.549,4893.94,29950.09,8421.76,13147.81,0.0,4054.05,4054.05,88263.70999999999,0.0,88747.73,0.0,15.16,58681.08,0.0,58681.08,67170.48,1.0,-15970.99,0.0,19171.1,5416.7,37679.249,0.0,81675.58,17704.93,88265.39,0.0,-20140.89,-20140.89,-16102.0,21577.25,-20140.89,-4038.89,0.0,16664.02,114392.08,114392.08,5621.42,LAMPISTERIA CORDON SL_resum
2015-01-01,10473.51,3752.2,37003.63,3005.06,-24763.38,72319.09,0.0,19401.67,9009.92,-32502.26,-23492.339,4893.94,20543.409,-25351.54,11967.84,0.0,1307.94,1307.94,73636.63,0.0,73636.63,0.0,36.9,49671.16,0.0,49671.16,72319.09,1.0,-12842.039,0.0,12708.02,-28356.6,33819.79899999999,0.0,97800.62,10473.51,101552.82,0.0,-33773.3,-33773.3,-32502.26,1317.54,-33773.3,-1271.04,0.0,7093.71,86674.79,86674.79,-11487.6,LAMPISTERIA CORDON SL_resum
2016-01-01,10111.87,2836.78,78252.84,3005.06,38850.86,53225.86,0.0,44750.97,9009.92,31162.58,40172.5,10455.94,52370.13,4489.4,14406.12,0.0,1321.64,1321.64,120393.35,0.0,120393.35,0.0,0.0,40661.24,0.0,40661.24,61225.86,1.0,-12588.87,0.0,23045.93,1484.339,36004.91,0.0,101476.03,10111.87,104312.81,0.0,29840.94,29840.94,31162.58,67167.48999999999,29840.94,-1321.64,0.0,18536.4,118914.08,118914.08,54578.619,LAMPISTERIA CORDON SL_resum
2017-01-01,11265.99,6156.03,110732.53,3005.06,12115.25,62345.501,0.0,50663.54,8993.11,4596.08,13589.19,44000.0,88507.51,7611.54,27130.19,0.0,1473.94,1473.94,128571.31,0.0,128571.31,0.0,0.0,31668.13,0.0,31668.13,95889.56,1.0,-25506.43,0.0,16068.99,4606.48,61629.72899999999,0.0,117367.1,11265.99,123523.13,0.0,3122.14,3122.14,4596.08,66225.80900000001,3122.14,-1473.94,0.0,13840.14,142400.66,142400.66,40719.380000000005,LAMPISTERIA CORDON SL_resum
2018-01-01,8903.89,5175.18,73086.28,3005.06,7511.610000000001,96274.819,0.0,14758.19,5535.14,3408.96,8944.1,51955.94,61538.95,9588.01,26362.86,0.0,1432.49,1432.49,146355.65,0.0,146355.65,0.0,0.0,26132.99,0.0,26132.99,104230.76,1.0,-14773.87,0.0,6372.150000000001,6582.95,46671.87,0.0,75552.19,8903.89,80727.37000000001,0.0,1976.47,1976.47,3408.96,50080.83,1976.47,-1432.49,0.0,4143.3,99219.27,99219.27,35306.96,LAMPISTERIA CORDON SL_resum
2019-01-01,8333.967999999999,30647.34,264612.64,3005.06,7121.382500000001,88184.42,0.0,95710.87,5064.535,-13258.79,-13258.79,158338.94999999998,223402.48,-2450.32,152408.87,0.0,316.5,316.5,250985.4,0.0,250985.4,0.0,0.0,26132.99,0.0,26132.99,88184.42,4.0,-23650.9,0.0,10562.82,-5455.38,176059.77000000002,0.0,254214.64,8333.967999999999,284861.98000000004,0.0,-13575.29,-13575.29,-13258.79,162800.979,-13575.29,-316.5,0.0,3185.59,290745.63,290745.63,139150.08,LAMPISTERIA CORDON SL_resum
2020-01-01,8333.967999999999,17054.16,236727.82,3005.06,6731.155000000001,203399.91,0.0,67776.05,4593.93,-44168.86,-44168.86,158338.94999999998,209060.84,-46767.59,115491.97,0.0,148.41,148.41,306801.27,0.0,306801.27,0.0,0.0,26132.99,0.0,26132.99,203399.91,4.0,-32078.25,0.0,10612.82,-49772.649,147570.22,0.0,284240.27,8333.967999999999,301294.43000000005,0.0,-44317.27,-44317.27,-44168.86,103401.36,-44317.27,-148.41,0.0,2227.88,262860.81,262860.81,71323.11,LAMPISTERIA CORDON SL_resum
2021-01-01,44739.075333333334,29228.51,238810.25,3005.06,6340.9275,217707.77,11194.22,76922.28,4123.325,56125.36,56125.36,158338.94999999998,206032.72,9359.62,145283.83,0.0,0.0,1649.7566666666667,451854.98,0.0,457190.32,0.0,1.85,49876.78999999999,0.0,36876.78999999999,217707.77,4.0,-38073.36,13000.0,3549.02,6354.56,183357.189,0.0,238904.69,44739.075333333334,279327.42000000004,0.0,56127.21,56127.21,56125.36,239482.55,56127.21,1.85,0.0,1270.1699999999998,288687.04,288687.04,201411.039,LAMPISTERIA CORDON SL_resum
2022-01-01,81144.18266666666,3808.31,220068.34,3005.06,5950.7,217608.75,0.0,60052.53,3652.72,2297.0,5949.719,157736.96,213981.18,11657.6,168812.75,0.0,0.0,3151.103333333333,445878.4,0.0,450547.42,0.0,0.98,51504.18,0.0,36504.18,217608.75,5.0,-58176.2,15000.0,2278.8500000000004,8652.539,230641.67,0.0,256106.61,81144.18266666666,259914.92,0.0,2297.98,2297.98,2297.0,232938.67,2297.98,0.98,0.0,23905.094999999998,271572.52,271572.52,174763.44999999998,LAMPISTERIA CORDON SL_resum
