Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,26194.64,296539.54,265253.94,6010.120000000001,9814.59,1572557.4,303615.59,111178.41,9374.47,12052.5,21426.97,147924.28,259102.69,6450.24,110662.96,0.0,11223.62,11223.62,1177010.84,253.02,1177010.84,0.0,14.52,61335.28,33300.18,28035.09,982427.37,6.0,-68063.64,0.0,6151.25,440.119,253393.9,3622.86,293944.34,26194.64,293944.34,0.0,843.39,590.37,12052.5,291975.64,440.12,-11209.1,0.0,1624.12,326589.22000000003,326589.22000000003,131954.19,LLORET BIER SOCIEDAD LIMITADA_resum
2000-01-01,26194.64,296539.54,265253.94,6010.120000000001,9814.59,1572557.4,303615.59,111178.41,9374.47,12052.5,21426.97,147924.28,259102.69,6450.24,110662.96,150.25,11223.62,11223.62,1177010.84,253.02,1177010.84,0.0,14.52,61335.28,33300.18,28035.09,982427.37,6.0,-68063.64,0.009,6151.25,440.119,253393.9,3622.86,293944.34,26194.64,293944.34,0.0,843.39,590.37,12052.5,291975.64,440.12,-11209.1,-150.25,1624.12,326589.22000000003,326589.22000000003,131954.19,LLORET BIER SOCIEDAD LIMITADA_resum
2001-01-01,21441.8,296539.54,280906.3,6010.120000000001,13984.45,1572557.4,303615.59,81797.77,12221.44,-30847.67,-18626.229,195168.02,276965.79000000004,8213.25,124136.87,74.63,17333.84,17333.84,1294652.42,774.89,1294652.42,50556.19,237.84,59149.76,32805.559,26344.21,1126740.39,7.0,-68063.64,-0.009,3940.509,2203.13,253393.9,3622.86,310401.02,21441.8,310401.02,0.0,-47943.66,-48718.55,-30847.67,291975.64,1763.01,-17095.99,50481.56,870.38,340056.07,340056.07,156230.05,LLORET BIER SOCIEDAD LIMITADA_resum
2002-01-01,15346.62,296539.54,343866.24,6010.120000000001,15984.43,1572557.4,303615.59,106980.11,12877.26,-19221.84,-6344.58,221253.6,328233.71,11320.42,115232.08,880.0,19339.72,19339.72,1132814.6,1331.65,1132814.6,43880.09,0.29,51727.15,30922.39,20804.76,969762.96,6.0,-68063.64,0.0,15632.529,5310.3,253393.9,3622.86,368926.35,15346.62,368926.35,0.0,-38561.27,-39892.92,-19221.84,291975.64,3107.17,-19339.43,43000.09,13621.59,395593.39,395593.39,151887.87999999998,LLORET BIER SOCIEDAD LIMITADA_resum
2003-01-01,21729.07,296539.54,366594.77,6010.120000000001,18932.19,1572557.4,303615.59,99522.36,15848.91,3359.9300000000003,19208.84,264711.659,364234.019,14403.7,105656.02,384.54,22489.95,22489.95,937220.51,1486.21,937220.51,24084.05,0.24166666666666664,57458.61,42954.75,14503.86,756870.75,5.0,-68063.64,0.0,2360.751,8393.58,253393.9,3622.86,387920.61,21729.07,387920.61,0.0,-19130.02,-20616.23,3359.9300000000003,291975.64,3083.28,-22489.95,23699.51,222.42,424053.38,424053.38,148564.37,LLORET BIER SOCIEDAD LIMITADA_resum
2004-01-01,53796.57,296539.54,428436.01,6010.120000000001,19122.1,1572557.4,303615.59,92209.04,15585.41,28132.28,43717.69,329552.51,421761.55,17940.39,91318.65,0.0,23916.23,23916.23,871927.2899999999,1515.73,871927.2899999999,836.37,0.1933333333333333,41873.2,29895.71,11977.49,695750.14,4.0,-68063.64,0.0,6674.46,11930.27,253393.9,3622.86,398572.25,53796.57,398572.25,0.0,4216.05,2700.32,28132.28,291975.64,3536.69,-23916.23,836.37,5685.81,470309.21,470309.21,135872.71000000002,LLORET BIER SOCIEDAD LIMITADA_resum
2005-01-01,7405.34,296539.54,466552.269,6010.120000000001,17294.309999999998,1572557.4,303615.59,85258.32,16480.32,25060.41,41540.72899999999,374798.24,460056.56,18754.38,81559.35,0.0,24914.460000000003,24914.460000000003,723514.98,348.85,723514.98,1016.89,0.145,28679.7,14175.51,14504.19,554785.4,3.0,-68063.64,0.0,6495.708,12744.26,253393.9,3622.86,469072.25,7405.34,469072.25,0.0,145.95000000000002,-202.9,25060.41,291975.64,813.99,-24914.460000000003,1016.89,5981.79,495231.97,495231.97,124116.97,LLORET BIER SOCIEDAD LIMITADA_resum
2006-01-01,69999.97,296539.54,558881.559,6010.120000000001,13755.279,1572557.4,303615.59,166882.46,13312.96,7624.769999999999,20937.73,387455.48,554337.9400000001,19196.7,110739.14,0.0,25196.29,25196.29,2024589.37,189.57,2024589.37,18203.41,0.09666666666666665,16698.49,9995.17,6703.320000000001,1839480.9,4.0,-68063.64,0.0,4543.619000000001,13186.58,253393.9,3622.86,486383.38,69999.97,486383.38,0.0,-17571.52,-17761.09,7624.769999999999,291975.64,442.32,-25196.29,18203.41,4399.67,575580.05,575580.05,149880.28,LLORET BIER SOCIEDAD LIMITADA_resum
2007-01-01,110270.49,296539.54,695540.62,6010.120000000001,21637.55,1572557.4,303615.59,251806.44,17489.84,35553.92,53043.759,422280.47,674086.909,23344.41,167096.08,943.25,29488.89,29488.89,2000009.49,1382.57,2000009.49,408.5,0.04833333333333331,92910.05,88806.62000000001,4103.429999999999,1706378.62,7.0,-68063.64,0.0,21453.71,17334.29,253393.9,3622.86,654835.7699999999,110270.49,654835.7699999999,0.0,6065.03,4682.46,35553.92,291975.64,4147.71,-29488.89,-534.75,11231.79,788450.6699999999,788450.6699999999,219605.089,LLORET BIER SOCIEDAD LIMITADA_resum
2008-01-01,60865.26,296539.54,646126.9,6010.120000000001,20529.88,1572557.4,303615.59,207597.43,18193.54,38581.74,56775.28,435006.13,346064.02,25680.75,167136.72,0.0,35466.619999999995,35466.619999999995,1864533.04,778.7800000000001,1864533.04,0.0,0.0,90066.65000000001,635.62,89431.03,1572557.4,8.0,-68063.64,0.0,3523.34,19670.63,253393.9,3622.86,45869.55,64488.12,646024.6799999999,0.0,3115.12,2336.34,38581.74,291975.64,2336.34,-35466.619999999995,0.0,3523.34,736193.55,736193.55,223912.0,LLORET BIER SOCIEDAD LIMITADA_resum
