Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,4640.53,35376.13,171991.0,54091.09,6045.41,295254.85,0.0,76910.15000000001,9145.35,1620.16,10765.51,94599.31,171509.46,33156.259999999995,76266.48999999999,0.0,6298.98,6298.98,278963.48000000004,-1328.55,278963.48000000004,250.33,3.32,29553.83,25403.84,4149.99,156730.4,7.0,-79179.37000000001,0.0,481.54,-20934.829,241748.61,0.0,163748.04,4640.53,163748.04,0.0,-4678.820000000001,-3350.269,1620.16,247733.2,-3099.94,-6298.98,250.33,3664.3,201544.84,201544.84,87282.33,LUPIAÑEZ SL_resum
2000-01-01,1709.66,35376.13,126086.15,54091.09,-6297.2,295254.85,0.0,30325.88,10824.04,-19667.480000000003,-8843.439,95590.98,125916.86,16035.02,84074.43,0.0,4791.44,4791.44,300068.08,-7337.68,300068.08,0.0,3.32,18729.79,13887.95,4841.84,194372.37,7.0,-79179.37000000001,0.0,169.289,-38056.069,241748.61,0.0,127071.26,1709.66,127071.26,0.0,-24458.92,-17121.238999999998,-19667.480000000003,247733.2,-17121.24,-4791.44,0.0,3664.3,144815.94,144815.94,75230.989,LUPIAÑEZ SL_resum
2001-01-01,82504.95999999999,35376.13,150898.44,54091.09,-5066.0,295254.85,0.0,51491.04,9381.61,-23564.95,-14183.34,99407.4,150898.44,1587.41,102744.38,0.0,5287.72,5287.72,359404.98000000004,-6191.84,359404.98000000004,8213.218,3.32,9348.18,7516.87,1831.31,240930.44,7.0,-79179.37000000001,0.0,0.0,-52503.679,241748.61,0.0,76154.25,82504.95999999999,76154.25,0.0,-28852.67,-22660.829,-23564.95,247733.2,-14447.61,-5287.72,8213.218,3664.3,160246.62,160246.62,96774.26,LUPIAÑEZ SL_resum
2002-01-01,112223.98,35376.13,205073.4,54091.09,16082.43,295254.85,0.0,106543.4,5990.8,10956.81,16947.609999999997,98530.0,205073.4,11679.03,108159.06,0.0,9157.16,9157.16,608612.2899999999,4324.99,608612.2899999999,12616.97,3.32,3357.38,3357.38,3001.408571428571,418080.44,7.0,-79179.37000000001,0.0,0.0,-42412.06,241748.61,0.0,84527.77,112223.98,84527.77,0.0,1799.65,-2525.3390000000004,10956.81,247733.2,10091.63,-9157.16,12616.97,3664.3,208430.78,208430.78,137723.639,LUPIAÑEZ SL_resum
2003-01-01,195625.96,35376.13,284423.83,54091.09,6631.76,295254.85,0.0,178623.83,1678.6899999999998,5048.9,6727.59,105800.0,284423.829,16632.098,119815.73,0.0,6499.79,6499.79,404156.38,2122.75,404156.38,8523.39,3.32,1678.6899999999998,1678.6899999999998,4171.507142857143,231015.6,8.0,-79179.37000000001,0.0,0.0,-37458.992,241748.61,0.0,73844.45999999999,195625.96,73844.45999999999,0.0,-1447.57,-3570.3190000000004,5048.9,247733.2,4953.07,-6496.469999999999,8523.39,3664.3,286102.52,286102.52,135070.03,LUPIAÑEZ SL_resum
2004-01-01,198720.68,35376.13,318268.65,54091.09,11105.15,295254.85,0.0,205631.76,1678.6899999999998,19749.65,21428.34,112348.0,317979.76,26058.56,108969.31,1146.15,5137.13,5137.13,443033.42,4039.91,443033.42,0.0,2.6559999999999997,6726.55,6502.18,5341.6057142857135,257296.31,7.0,-79179.37000000001,224.369,288.89,-28032.529,241748.61,0.0,100215.96,198720.68,100215.96,0.0,14612.52,10572.61,19749.65,247733.2,9426.46,-5137.13,-1146.15,3664.3,324995.2,324995.2,129251.5,LUPIAÑEZ SL_resum
2005-01-01,207786.02,35376.13,336025.06,54091.09,22975.01,295254.85,0.0,194185.84,7013.48,12721.03,19734.51,137230.0,331415.83900000004,42020.09,117568.71,287.28,7342.92,7342.92,505234.04,6840.660000000001,505234.04,17711.36,1.992,21621.77,21040.42,6511.704285714286,301864.22000000003,7.0,-79179.37000000001,581.3499999999999,4609.22,-12071.0,241748.61,0.0,107840.72,207786.02,107840.72,0.0,5378.110000000001,-1462.55,12721.03,247733.2,15961.53,-7342.92,17424.08,3664.3,357646.83,357646.83,154727.3,LUPIAÑEZ SL_resum
2006-01-01,257393.44,35376.13,380308.82,54091.09,12549.67,295254.85,0.0,172614.01,8861.78,9231.99,18093.77,206679.63,379293.64,45707.98,145134.91999999998,0.0,3963.58,3963.58,585159.2799999999,1580.52,585159.2799999999,0.0,1.328,24311.93,23730.58,7681.802857142857,357811.07,7.0,-79179.37000000001,581.3489999999999,1015.179,-8383.109,241748.61,0.0,101519.33,257393.44,101519.33,0.0,5268.41,3687.89,9231.99,247733.2,3687.89,-3963.58,0.0,8.139999999999999,404620.75,404620.75,163228.69,LUPIAÑEZ SL_resum
2007-01-01,290053.94,35376.13,436931.19,54091.09,10878.89,295254.85,0.0,140600.5,8861.79,5217.76,14079.55,254296.01,394896.51,47126.28999999999,149967.72,0.0,2528.29,2528.29,657161.88,672.37,657161.88,0.0,0.6640000000000001,15450.14,14868.79,8851.901428571427,425513.39,7.0,-79179.37000000001,581.3489999999999,42034.679,-6964.799,241748.61,0.0,115201.1,290053.94,115201.1,0.0,2689.4700000000003,2017.1,5217.76,247733.2,2017.1,-2528.29,0.0,42034.68,452381.33,452381.33,164047.27000000002,LUPIAÑEZ SL_resum
2008-01-01,271112.6753846154,35376.13,427759.38,54091.09,12277.17,295254.85,0.0,103969.03,9492.48,5984.59,15477.07,305428.16,374021.059,388190.52,153076.76,0.0,2271.67,2271.67,542988.05,928.23,542988.05,0.0,0.0,11996.72,0.0,10022.0,295254.85,7.0,-79179.37000000001,1974.719,18362.19,334099.43000000005,241748.61,0.0,16189.45,271112.6753846154,51565.58,0.0,3712.92,2784.69,5984.59,247733.2,2784.69,-2271.67,0.0,18362.19,439756.1,439756.1,168553.83,LUPIAÑEZ SL_resum
2009-01-01,252171.41076923077,53483.69,532114.61,54091.09,5706.011,269296.72000000003,0.0,135650.37,2609.73,5978.42,8588.15,389062.13,471228.81,474071.27,145946.8,0.0,1850.05,1850.05,491822.27,1032.089,491822.27,0.0,0.0,8354.9,0.0,7412.269999999999,269296.72000000003,4.0,-67990.6,942.63,7402.110000000001,419980.18,216547.13,0.0,12914.55,252171.41076923077,66398.23999999999,0.0,4128.37,3096.281,5978.42,222525.55,3096.281,-1850.05,0.0,7402.110000000001,540469.51,540469.51,154534.949,LUPIAÑEZ SL_resum
2010-01-01,233230.14615384617,68273.36,598912.93,54091.09,9167.619,226927.89,0.0,146795.38999999998,7151.1900000000005,3955.92,11107.11,440871.61,519393.64,580087.7,162051.71000000002,0.0,1268.6699999999998,1268.6699999999998,459888.89,672.15,459888.89,0.0,1.33,58133.27,0.0,57551.92,226927.89,5.0,-59802.18,581.3499999999999,11245.93,525996.61,229005.08,0.0,8685.140000000001,233230.14615384617,76958.5,0.0,2688.58,2016.429,3955.92,232961.0,2016.429,-1267.34,0.0,6250.56,657046.2,657046.2,173160.15,LUPIAÑEZ SL_resum
2011-01-01,214288.88153846154,55204.51,713297.8200000001,54091.09,15151.37,207161.7,0.0,159254.87,11776.26,6554.88,18331.14,549952.11,654002.47,671962.81,177941.41,0.0,1449.63,1449.63,481070.61,1749.57,481070.61,0.0,19.43,46357.01,0.0,45775.66,207161.7,5.0,-77636.36,581.3499999999999,4090.84,617871.72,267354.03,0.0,32487.51,214288.88153846154,87692.02,0.0,5124.68,3375.11,6554.88,273908.91000000003,3375.11,-1430.2,0.0,4090.84,759654.8300000001,759654.8300000001,196291.98,LUPIAÑEZ SL_resum
2012-01-01,195347.61692307692,38851.09,751820.62,54091.09,6943.650000000001,183540.74,0.0,149019.46,10309.34,-1948.12,8361.220000000001,599346.1,709514.47,725855.93,180637.78,0.0,2381.19,2381.19,442670.8,-961.9,442670.8,0.0,1.7200000000000002,37009.57,0.0,35466.32,183540.74,5.0,-70131.06,1543.25,3455.06,671764.8400000001,261078.18,0.0,24123.17,195347.61692307692,62974.26,0.0,-4327.59,-3365.69,-1948.12,259130.06,-3365.69,-2379.4700000000003,0.0,3455.06,788830.19,788830.19,189000.72,LUPIAÑEZ SL_resum
2013-01-01,176406.35230769232,11828.85,783632.8300000001,54091.09,13851.15,155068.91,0.0,119306.81,9766.53,7794.57,17561.1,657613.26,765091.22,782079.58,157879.77000000002,0.0,1789.96,1789.96,387709.3,1921.31,387709.3,0.0,1.32,26281.14,0.0,25699.79,155068.91,5.0,-57199.52,581.3499999999999,6712.76,727988.49,224845.82,0.0,16005.54,176406.35230769232,27834.39,0.0,6005.929999999999,4084.62,7794.57,232640.389,4084.62,-1788.64,0.0,6712.76,809913.97,809913.97,175442.18899999998,LUPIAÑEZ SL_resum
2014-01-01,157465.08769230772,26241.62,793496.64,54091.09,11170.45,180370.0,0.0,14196.1,9616.53,3569.13,13185.66,742542.24,730496.72,787133.5,156874.14,0.0,1430.87,1430.87,411790.19,593.19,411790.19,0.0,8.850000000000001,37036.51,0.0,36455.16,180370.0,5.0,-61360.39,581.3499999999999,36758.3,733042.41,227851.06,0.0,17158.03,157465.08769230772,43399.65,0.0,2147.11,1553.92,3569.13,231420.19,1553.92,-1422.02,0.0,11230.3,830533.15,830533.15,170068.65,LUPIAÑEZ SL_resum
2015-01-01,138523.8230769231,21762.85,817184.26,54195.68,13615.64,199038.97,0.0,28142.27,12222.32,3123.79,15346.11,781820.7699999999,788200.19,803131.41,162424.6,0.0,716.05,716.05,444878.0,1014.42,444878.0,0.0,0.0,24814.19,0.0,24232.84,199038.97,5.0,-68068.32,581.3499999999999,7221.22,748935.73,242715.24,0.0,17104.19,138523.8230769231,38867.04,0.0,2407.74,1393.319,3123.79,245839.03,1393.319,-716.05,0.0,7221.22,841998.4500000001,841998.4500000001,177770.71000000002,LUPIAÑEZ SL_resum
2016-01-01,119582.55846153846,72986.51,893215.93,54195.68,11736.53,332573.9,0.0,95907.86,9972.52,3065.88,13038.4,781501.81,804423.16,804895.42,154729.27000000002,0.0,533.7900000000001,533.7900000000001,574333.14,770.5,574333.14,0.0,2.42,14841.67,0.0,14260.32,332573.9,5.0,-73991.57,581.3499999999999,15806.26,750699.74,238693.36,0.0,30175.67,119582.55846153846,103162.18,0.0,2534.51,1764.01,3065.88,241759.24,1764.01,-531.37,0.0,15806.26,908057.6,908057.6,167770.09,LUPIAÑEZ SL_resum
2017-01-01,100641.29384615386,55549.08,890130.26,54195.68,3277.63,375742.94,0.0,64717.24,3055.79,1576.43,4632.22,814880.63,824048.7899999999,829611.43,145059.86,0.0,351.0,351.0,575226.05,1005.62,575226.05,0.0,2.029,11785.88,0.0,11204.53,375742.94,4.0,-49791.03,581.3499999999999,10532.39,775415.75,197906.68,0.0,16755.629999999997,100641.29384615386,72304.70999999999,0.0,1227.46,221.84,1576.43,199483.11,221.84,-348.97099999999995,0.0,10532.39,901916.14,901916.14,149694.11000000002,LUPIAÑEZ SL_resum
