Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,124279.67,0.0,997334.12,60101.21,104287.16,281259.2,178695.13,692527.71,30091.53,181277.3,211368.83,0.0,692527.71,218498.94,3157422.55,71004.88,10894.69,9078.51,3632795.02,36507.66,3632795.02,11027.42,298.14000000000004,87831.64,40642.78,43531.1,61140.54,385.0,-1079712.98,3657.76,304806.41000000003,158397.73,22672043.549,0.0,742387.15,124279.67,742387.15,0.0,170680.75,134173.09,181277.3,22921212.19,74195.63,-10596.55,-59977.46,302487.1,1085165.76,1085165.76,3307295.879,MARLEX PEOPLE ETT SL._resum
2000-01-01,109744.69,0.0,906784.69,60101.21,129630.64,281259.2,178695.13,593051.43,35209.8,142322.41999999998,177532.22,0.0,593051.43,312919.78,3886916.45,19467.61,8057.64,8057.64,4391591.619999999,46800.58,4401869.319999999,26415.38,8.860000000000001,123301.0,44258.36,43870.33,80071.95999999999,397.0,-1079712.98,35172.310000000005,313733.26,252818.57,22672043.549,0.0,607421.22,109744.69,607421.22,0.0,134273.65,87473.069,142322.41999999998,22921212.19,94420.84,-8048.769999999999,6947.77,309884.628,1030085.69,1030085.69,4071405.31,MARLEX PEOPLE ETT SL._resum
2001-01-01,66727.539,0.0,1011167.37,60101.21,130585.109,281259.2,178695.13,706628.8600000001,26047.21,164734.72,190781.93,0.0,706628.8600000001,417457.67,4225169.428,9617.52,7306.969999999999,7306.969999999999,4726568.31,52678.06,4726568.31,6094.58,3311.15,162198.01,32458.67,51681.39,67528.37000000001,406.0,-1079712.98,78057.95,304538.51,357356.45900000003,22672043.549,0.0,689180.1699999999,66727.539,689180.1699999999,0.0,160738.9,108060.84,164734.72,22921212.19,104537.9,-3995.82,-3522.94,303978.3,1173365.38,1173365.38,4415739.568,MARLEX PEOPLE ETT SL._resum
2002-01-01,184828.15,0.0,1317225.24,60101.21,151157.8,281259.2,178695.13,662578.4400000001,26839.16,209524.19,236363.35,0.0,662578.4400000001,541776.26,4634706.54,28886.97,9355.44,9355.44,5159470.159999999,54899.08,5191766.67,0.0,7935.94,132583.209,11460.45,70682.66,79770.73,275.0,-1079712.98,50440.099,654646.8,481675.05,22672043.549,0.0,723204.04,184828.15,723204.04,0.0,208104.69,153205.61000000002,209524.19,22921212.19,124318.64,-1419.5,-28886.97,654572.7899999999,1449808.45,1449808.45,4850118.859999999,MARLEX PEOPLE ETT SL._resum
2003-01-01,85432.09,88926.98,1665044.89,60101.21,175898.74000000002,281259.2,178695.13,1157377.6,26765.77,202202.52,228968.289,0.0,1068450.62,690909.23,5389848.18,47.65,7813.01,7813.01,5991854.57,72995.88,5999065.72,10054.45,17732.538999999997,329528.76,34153.25,103322.15,108484.44,343.0,-1079712.98,192053.36,507667.29,630808.02,22672043.549,0.0,950610.22,85432.09,1218232.33,0.0,212122.05,139126.169,202202.52,22921212.19,149132.97,9919.53,10006.8,385095.78,1994573.65,1994573.65,5646555.808999999,MARLEX PEOPLE ETT SL._resum
2004-01-01,221192.47,104355.08,1717082.62,60101.21,177125.83,281259.2,99058.58,1662853.63,30557.73,172857.31,203415.04,0.0,1558498.549,837477.3300000001,7669824.21,7594.5,11036.59,11036.59,8392062.729999999,72335.01,8400292.59,62078.86,2598.03,693279.97,44486.25,199391.95,129658.14,493.0,-1079712.98,449401.769,54228.99,777376.12,22672043.549,0.0,1148279.13,221192.47,1351692.79,0.0,164418.75,92083.74,172857.31,22921212.19,146568.1,-8438.56,54484.36,53615.810000000005,2410362.59,2410362.59,7930321.64,MARLEX PEOPLE ETT SL._resum
2005-01-01,138120.97,118763.48,2786489.96,60101.21,297285.99000000005,281259.2,828018.81,2725716.06,73808.26,332670.14,406478.4,0.0,2606952.58,1060955.06,10916907.48,778.02,23150.47,23150.47,12041764.04,108195.7,12053219.27,21261.68,1670.1,670165.52,13742.25,202569.73,189932.42,899.0,-1079712.98,453853.54,60773.899,1000853.85,22672043.549,0.0,1310797.16,138120.97,2257579.45,0.0,311189.77,202994.07,332670.14,22921212.19,223477.73,-21480.37,20483.66,56185.0,3456655.48,3456655.48,11345539.64,MARLEX PEOPLE ETT SL._resum
2006-01-01,292506.1,169208.41,4772664.1,60101.21,423802.6,281259.2,1872910.37,4729711.1,59425.48,717328.3200000001,776753.7989999999,0.0,4560502.688999999,1425332.1800000002,17716916.29,152628.96,42161.13,42161.13,19637341.71,178469.0,19637678.69,3205.02,17102.87,682912.92,8285.91,220616.57,281530.13,1380.0,-1079712.98,454010.44,42953.0,1365230.97,22672043.549,0.0,1695619.96,292506.1,3737738.74,0.0,692270.06,513801.06,717328.3200000001,22921212.19,364377.12,-25058.26,-149423.94,38568.78999999999,5455577.02,5455577.02,18361349.02,MARLEX PEOPLE ETT SL._resum
2007-01-01,183868.72,268845.14,5811042.67,60101.21,657114.3300000001,281259.2,1490081.27,5039747.48,74448.13,909038.53,983486.66,0.0,4770902.34,2007998.38,24586503.17,87928.569,67271.13,67271.13,27054179.36,261578.94,27054179.36,37071.54,53334.77,585535.65,26792.27,307299.29000000004,335246.03,1744.0,-1079712.98,251444.09,771295.1889999999,1947897.17,22672043.549,0.0,2445784.808,183868.72,4204711.218,0.0,895102.1699999999,633523.23,909038.53,22921212.19,582666.2,-13936.36,-50857.029,762663.71,6396578.319999999,6396578.319999999,25572467.57,MARLEX PEOPLE ETT SL._resum
2008-01-01,100072.45,0.0,4023868.05,60101.21,266439.41000000003,281259.2,917416.22,2792087.02,94137.66,249168.64,343306.3,0.0,2792087.02,2165665.98,21498192.91,0.0,48318.37,48318.37,23202471.39,64478.3,23202471.39,0.0,35929.78,396054.7,19364.04,316831.57,281259.2,1397.0,-1079712.98,59859.09,1231781.03,2105564.77,22672043.549,0.0,1236768.1,100072.45,2154184.32,0.0,236780.05,172301.75,249168.64,22921212.19,172301.75,-12388.59,0.0,1011923.84,4419922.75,4419922.75,21877428.99,MARLEX PEOPLE ETT SL._resum
