Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,0.0,3430984.73,2446171.65,60101.21,155321.78,5990094.03,0.0,629784.4400000001,8504.07,287236.76,295740.83,862452.37,1492236.81,375435.79,393358.68,221598.42,1.62,10031.88,8525790.84,42699.04,8580076.0,49320.56,74557.85,40244.22,0.0,20170.42,7270398.72,12.0,-965269.659,20073.8,953934.839,315334.58,1368470.75,10419.41,2110980.089,0.0,2110980.089,0.0,361794.62,319095.58,287236.76,1387125.95,146817.71000000002,74557.85,-172277.86,929531.2,2486415.869,2486415.869,591379.499,MASIAS MAQUINARIA SL_resum
2000-01-01,0.0,3430984.73,1976614.47,60101.21,391850.4,5990094.03,0.0,1116540.93,8240.69,196736.73,204977.42,289687.83,1406228.76,756641.4500000001,421539.8,91967.58,1.62,10031.88,10923494.33,127356.96,10924465.62,201222.13,204975.4,26100.45,0.0,26100.45,9388312.06,13.0,-965269.659,0.0,570385.71,696540.24,1368470.75,10419.41,1246073.46,0.0,1246073.46,0.0,401712.13,274355.17,196736.73,1387125.95,383609.71,204975.4,109254.55,560192.54,2002714.91,2002714.91,940747.159,MASIAS MAQUINARIA SL_resum
2001-01-01,0.0,3430984.73,4195634.518999999,60110.0,354504.85,5990094.03,0.0,1761605.21,28713.27,485983.22,514696.4900000001,253023.19166666668,1761605.21,1125104.9,255663.66,137561.63,1.62,10031.88,7086068.81,126293.75,7116930.439,0.0,103665.359,102365.54,0.0,102365.54,5980142.73,6.0,-965269.659,0.0,2434029.309,1064994.8990000002,1368470.75,10419.41,3172895.16,0.0,3172895.16,0.0,589646.9600000001,463353.209,485983.22,1387125.95,325791.58,103663.74,-137561.63,2403851.829,4298000.06,4298000.06,736462.26,MASIAS MAQUINARIA SL_resum
2002-01-01,33918.94,3430984.73,4872126.26,60110.0,279413.37,5990094.03,0.0,1296715.72,15081.8,361552.98,376634.779,216358.55333333334,-2134269.009,1387032.06,308123.64,0.0,85430.29,10031.88,7535679.02,76183.73999999999,7550862.02,0.0,64392.619,93930.91,0.0,87283.73999999999,6157368.74,6.0,-965269.659,6647.169000000001,3575410.54,1326922.06,1368470.75,10419.41,114121.439,33918.94,3545106.17,0.0,340515.31,264331.57,361552.98,1387125.95,264331.57,-21037.67,0.0,3549700.29,4966057.17,4966057.17,663720.75,MASIAS MAQUINARIA SL_resum
2003-01-01,0.0,1854417.25,3785396.35,60110.0,346836.1,5990094.03,0.0,1357629.64,23442.0,450274.86,473716.86,179693.915,-496787.61,1708021.75,343396.8,8262.4,89703.34,10031.88,7180294.18,94873.82,7198919.0,6053.650000000001,59905.149,77150.48,0.0,70503.31,5594688.07,7.0,-965269.659,6647.169000000001,2427766.71,1647911.75,1368470.75,10419.41,300107.83,0.0,2154525.08,0.0,420476.67,325602.85,450274.86,1387125.95,323394.1,-29798.19,-2208.749,2401846.04,3862546.83,3862546.83,795138.6,MASIAS MAQUINARIA SL_resum
2004-01-01,0.0,1924267.62,3830312.39,60110.0,132134.209,5990094.03,0.0,781944.73,24707.76,102807.68,127515.439,143029.27666666667,-1142322.89,1813043.8,341880.11,0.0,62213.12,35566.48,7760585.57,28230.35,7790110.26,48820.11,46242.13,75789.39,0.0,69142.22,6691724.64,8.0,-965269.659,6647.169000000001,3048367.66,1752933.8,1368470.75,10419.41,168790.35899999997,0.0,2093057.98,0.0,86836.69,58606.34,102807.68,1387125.95,107426.45,-15970.99,48820.11,3031718.77,3906101.78,3906101.78,537811.15,MASIAS MAQUINARIA SL_resum
2005-01-01,0.0,1337615.07,3388682.4,60110.0,165680.7,5990094.03,0.0,841524.8600000001,24783.480000000003,-42844.26,-18060.78,106364.63833333334,-496090.21,1951536.63,332703.71,0.0,11685.38,11685.38,6064098.78,39653.56,6108163.59,30050.61,205029.81,44358.74,0.0,44358.74,4970077.26,7.0,-965269.659,0.0,2547157.54,1891426.63,1368470.75,10419.41,143889.43899999998,0.0,1481504.51,0.0,150500.17,110846.61,-42844.26,1387125.95,140897.22,193344.43,30050.61,2520169.219,3433041.14,3433041.14,549723.3500000001,MASIAS MAQUINARIA SL_resum
2006-01-01,0.0,1749456.94,3983947.89,60110.0,220877.659,5990094.03,0.0,705337.61,24710.11,160811.41999999998,185521.53,69700.0,-974419.33,2145299.779,315828.0,251.83,56955.2,19197.82,6061166.76,58631.08,6192657.749,59532.7,91661.54,22578.77,0.0,22578.77,4914124.56,6.0,-965269.659,0.0,3208910.2800000003,2085189.779,1368470.75,10419.41,111769.939,0.0,1861226.88,0.0,195517.76,136886.68,160811.41999999998,1387125.95,196167.55,34706.340000000004,59280.869,3193421.909,4006526.66,4006526.66,614534.559,MASIAS MAQUINARIA SL_resum
2007-01-01,0.0,2239612.2800000003,4294288.649999999,60110.0,205440.87,5990094.03,0.0,1408589.12,19425.960000000003,132271.65,151697.61000000002,185100.0,-645923.159,2328910.29,353129.81,0.0,35904.719999999994,32711.90666666667,7694734.04,45190.7,7841122.649999999,0.0,134838.68,371587.93000000005,0.0,9961.64,6417213.26,7.0,-965269.659,361626.29,2700599.53,2268800.29,1368470.75,10419.41,97354.01,0.0,2336966.29,0.0,231205.61,186014.909,132271.65,1387125.95,186014.91,98933.96,0.0,2658143.11,4665876.58,4665876.58,603761.379,MASIAS MAQUINARIA SL_resum
2008-01-01,0.0,94174.03,3503124.35,60110.0,124902.04,5990094.03,0.0,1361129.31,2798.44,18655.2,21453.64,10000.0,1276955.28,2451013.89,400402.65,0.0,0.0,46225.99333333333,7238451.0,29966.65,7377219.98,0.0,133415.049,353302.03,0.0,10513.34,5990094.03,7.0,-965269.659,342788.69,2131995.04,2390903.89,1368470.75,10419.41,1300819.05,10419.41,1394993.08,0.0,152070.25,122103.6,18655.2,1387125.95,122103.6,133415.049,0.0,201604.07,3856426.38,3856426.38,555271.3400000001,MASIAS MAQUINARIA SL_resum
