Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,6247.4,795250.11,440415.05,24040.480000000003,23380.95,3117776.93,183172.54,207535.41,9123.2,32871.11,41994.310000000005,216262.41,423797.82,59563.54,99435.99,0.0,12531.25,12531.25,1357490.34,6110.42,1357490.34,0.0,28.31,38200.37,11846.11,26354.26,1166678.26,4.0,-231064.27,0.0,16617.229,35523.06,761544.57,0.0,412804.48,6247.4,412804.48,0.0,20368.17,14257.749000000002,32871.11,876686.169,14257.75,-12502.93,0.0,16358.25,478615.42,478615.42,141458.61000000002,MATA APARELLATGE ELECTRIC SL_resum
2000-01-01,10607.5225,795250.11,756832.57,24040.480000000003,29342.72,3117776.93,183172.54,493507.01,11737.27,42930.32,54667.59,242001.71,735508.72,77169.0,103853.55,0.0,17791.309999999998,17791.309999999998,1554007.22,7545.2,1554007.22,0.0,11.64,31329.97,7100.860000000001,24229.11,1336446.21,5.0,-231064.27,0.0,21323.849,53128.52,761544.57,0.0,710993.54,10607.5225,710993.54,0.0,25150.65,17605.45,42930.32,876686.169,17605.45,-17779.67,0.0,21064.86,788162.54,788162.54,158532.78,MATA APARELLATGE ELECTRIC SL_resum
2001-01-01,14967.644999999999,795250.11,494604.4900000001,24040.480000000003,39222.310000000005,3117776.93,183172.54,240585.37,21377.58,45944.28999999999,67321.87000000001,221567.98,462153.35,95013.73,122634.97,456.54,20210.77,20210.7,1704751.71,7647.76,1704751.71,5.02,210.49,19719.22,3922.14,15797.08,1448056.11,5.0,-231064.27,0.0,32451.14,70973.25,761544.57,0.0,419309.98,14967.644999999999,419309.98,0.0,25944.01,18296.25,45944.28999999999,876686.169,17844.73,-20000.28,-451.52,32451.14,514323.71,514323.71,189715.74,MATA APARELLATGE ELECTRIC SL_resum
2002-01-01,19327.767499999998,795250.11,1176147.95,24040.480000000003,37267.78,3117776.93,183172.54,891601.22,7681.94,50569.87,58251.810000000005,202199.75,1093800.97,124599.57,143107.06,0.0,13498.1,13385.84,2037731.04,12679.64,2037731.04,5172.42,21.29,44934.61,1425.36,43509.25,1756714.71,7.0,-231064.27,0.0,82346.979,100559.09,761544.57,0.0,1096482.99,19327.767499999998,1096482.99,0.0,37093.06,24413.42,50569.87,876686.169,29585.84,-13476.81,5172.42,82346.98,1221082.56,1221082.56,206440.319,MATA APARELLATGE ELECTRIC SL_resum
2003-01-01,23687.89,795250.11,1207140.09,24040.480000000003,52504.039,3117776.93,183172.54,947659.38,11501.84,71947.45,83449.29,190722.4,1138381.78,165601.77000000002,181888.38,0.0,13410.88,13410.88,2375480.63,17752.66,2375480.63,202.37,15.92,73964.73999999999,1569.545,58964.74,2012901.85,11.0,-231064.27,15000.0,68758.31,141561.289,761544.57,0.0,1091815.1700000002,23687.89,1091815.1700000002,0.0,58552.49,40799.83,71947.45,876686.169,41002.2,-13394.96,202.37,68758.31,1281104.83,1281104.83,265555.95900000003,MATA APARELLATGE ELECTRIC SL_resum
2004-01-01,12808.47,795250.11,1147765.12,24040.480000000003,55678.11,3117776.93,183172.54,830629.92,12496.78,71056.55,83553.33,230205.08,1060835.0,208909.3,213549.38,207.48,14831.93,14831.93,2557948.38,18506.29,2557948.38,5644.95,25.53,103435.97,1713.73,86722.23999999999,2161715.43,9.0,-231064.27,15000.0,86930.12000000001,184868.819,761544.57,0.0,1029483.32,12808.47,1029483.32,0.0,56250.15,37743.86,71056.55,876686.169,43181.33,-14806.4,5437.469999999999,86930.12000000001,1251201.09,1251201.09,302565.71,MATA APARELLATGE ELECTRIC SL_resum
2005-01-01,210533.56,795250.11,1000981.11,24040.480000000003,60443.19,3117776.93,183172.54,604091.4500000001,23246.58,74080.1,97326.68,334544.49000000005,938635.94,246105.91,233955.33,1119.36,20326.71,20326.71,2873525.05,15941.41,2873525.05,189.41,314.58,240356.52,2331.36,223025.16,2388996.86,9.0,-231064.27,15000.0,62345.17,222065.43,761544.57,0.0,784698.16,210533.56,784698.16,0.0,54067.97,38126.56,74080.1,876686.169,37196.61,-20012.13,-929.949,62345.17,1241337.63,1241337.63,330666.64,MATA APARELLATGE ELECTRIC SL_resum
2006-01-01,182242.7,795250.11,1099158.05,24040.480000000003,79484.13,3117776.93,183172.54,594350.3200000001,36451.47,90105.03,126556.5,430914.39,1025264.71,289138.57,272266.66,0.0,29301.17,29301.17,3355239.5,18442.57,3355239.5,0.0,671.37,218375.48,2699.71,200675.77,2819161.7,11.0,-231064.27,15000.0,73893.34,265098.09,761544.57,0.0,846152.26,182242.7,846152.26,0.0,61475.23,43032.66,90105.03,876686.169,43032.66,-28629.8,0.0,73893.34,1317533.53,1317533.53,399494.529,MATA APARELLATGE ELECTRIC SL_resum
2007-01-01,151346.81999999998,795250.11,2058676.68,200046.08,94293.39,3117776.93,183172.54,1554284.21,41100.28,121131.36,162231.64,454363.12,2008647.33,342331.68,386183.1,9187.42,41625.350000000006,41625.350000000006,4033747.63,17731.04,4033747.63,14.67,590.89,229421.52,22202.77,192218.75,3285885.98,14.0,-231064.27,15000.0,50029.350000000006,142285.6,761544.57,0.0,1794419.7,151346.81999999998,1794419.7,0.0,80096.9,62365.859,121131.36,876686.169,53193.11,-41034.46,-9172.75,48594.06,2288098.2,2288098.2,539832.88,MATA APARELLATGE ELECTRIC SL_resum
2008-01-01,205910.1,795250.11,1521619.99,200046.08,99574.75,3117776.93,183172.54,742285.2699999999,50463.1,115141.6,165604.7,654590.08,601625.24,391443.33,480017.2,0.0,53818.350000000006,53818.350000000006,3993519.49,16370.55,3994463.1,0.0,4158.95,172973.41999999998,26101.385000000002,172973.41999999998,3117776.93,16.0,-231064.27,14087.6,124744.64,191397.25,761544.57,0.0,118817.33,205910.1,1097239.98,0.0,65482.2,49111.649,115141.6,876686.169,49111.649,-49659.4,0.0,12520.19,1694593.41,1694593.41,649780.8500000001,MATA APARELLATGE ELECTRIC SL_resum
2009-01-01,428259.77,966269.72,1897365.67,200046.08,69543.43,2513884.32,135019.79,921419.73,37609.05,52583.48,90192.53,937152.12,892302.13,423377.71,522323.12,0.0,52791.34,52791.34,3371255.87,10644.79,3371255.87,0.0,42787.03,201585.11,30000.0,171585.11000000002,2513884.32,16.0,-244855.9,13175.2,38793.82,223331.63,804788.07,0.0,146023.789,428259.77,1247313.3,0.0,42579.17,31934.379,52583.48,857371.55,31934.379,-10004.309,0.0,28789.37,2098950.779,2098950.779,655302.6799999999,MATA APARELLATGE ELECTRIC SL_resum
2010-01-01,574805.62,871084.8500000001,2143422.2,200046.08,85232.26,2988191.51,158435.09,931961.14,37995.11,104438.1,142433.21000000002,1029700.9,1090577.1900000002,570614.8600000001,669140.55,0.0,46678.11,46678.11,4118388.5,11809.29,4118388.5,0.0,1286.45,250231.61,40684.82,209546.79,2988191.51,19.0,-318623.23000000004,12262.8,181760.16,370568.78,1025758.89,0.0,218713.39,574805.62,1248233.33,0.0,59046.44,47237.15,104438.1,1130196.99,47237.15,-45391.66,0.0,121755.71,2393653.81,2393653.81,812860.21,MATA APARELLATGE ELECTRIC SL_resum
2011-01-01,426782.09,860753.25,2076409.65,200046.08,79156.97,3065167.95,354890.24,872638.7699999999,45113.3,111974.1,157087.4,1121790.5,1133676.02,554658.53,699596.02,0.0,78413.18000000001,78413.18000000001,4223357.09,8510.92,4223357.09,0.0,8993.67,224742.16,43219.67,181522.49,3065167.95,19.0,-301505.72000000003,11350.4,81980.38,354612.45,1046215.04,0.0,104067.7,426782.09,1319711.1900000002,0.0,42554.59,34043.67,111974.1,1158189.1390000002,34043.67,-69419.51,0.0,21975.93,2301151.81,2301151.81,865677.09,MATA APARELLATGE ELECTRIC SL_resum
2012-01-01,438435.05,902318.62,2118390.62,430147.16,65014.67,2991648.03,307749.92000000004,708760.5,40312.06,133270.549,173582.609,1337298.94,1143740.819,639350.92,700895.08,0.0,106815.57,106815.57,4217615.34,6175.650000000001,4219081.679,0.0,4423.28,402546.0,43219.67,359326.33,2991648.03,18.0,-352955.96,10438.0,72331.18000000001,209203.76,1094163.0990000002,0.0,233082.11,438435.05,1443150.65,0.0,30878.26,24702.61,133270.549,1227433.65,24702.61,-102392.29,0.0,61743.87,2520936.62,2520936.62,878900.97,MATA APARELLATGE ELECTRIC SL_resum
2013-01-01,456820.31,996435.49,2175272.1,430147.16,57797.59,3108439.84,186973.819,597684.54,26567.36,120528.06,147095.419,1526662.73,1127911.78,670581.15,647291.8400000001,0.0,85334.55,85334.55,4236855.718,7807.56,4236871.588,0.0,3844.28,430314.88,46045.24,384269.64,3210789.84,18.0,-334044.49000000005,9525.6,50924.829,240433.99,1007903.69,0.0,294776.21,456820.31,1478185.52,0.0,39037.78999999999,31230.23,120528.06,1128431.748,31230.23,-81490.27,0.0,40337.52,2605586.98,2605586.98,798231.54,MATA APARELLATGE ELECTRIC SL_resum
