Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,62811.77,99359.81,588894.1789999999,124710.01,59315.850000000006,623777.7799999999,16615.54,153571.43,17864.36,68663.13,86527.48999999999,339633.92000000004,493205.35,535690.459,224603.51,0.05,12188.38,12181.96,973098.51,16683.598,973112.49,681.49,978.9,178530.75,40197.59,138333.16,584524.8600000001,9.0,-129625.1,0.0,95688.829,410980.449,504365.089,2055.98,168922.69,62811.77,168922.69,0.0,57453.66,40770.062,68663.13,516174.36,41451.49,-11209.48,681.4399999999999,94326.87,767424.93,767424.93,312784.918,MECANIZADOS VULCANIA SL_resum
2000-01-01,60899.810000000005,99359.81,578156.12,124710.01,49138.54,623777.7799999999,16615.54,109466.61,18788.02,53092.37,71880.39,373739.38,483205.9900000001,566040.98,259073.19,104.41,12893.61,12592.44,1019826.59,13091.08,1019839.21,3013.9590000000003,333.28,192719.57,56653.51,136066.06,621591.5,11.0,-129625.1,0.0,94950.12900000002,441330.97,504365.089,2055.98,143934.9,60899.810000000005,143934.9,0.0,40532.04,27440.960000000003,53092.37,516174.36,30350.52,-12560.33,2909.549,92916.17,770875.69,770875.69,333895.25,MECANIZADOS VULCANIA SL_resum
2001-01-01,52389.880000000005,99359.81,611508.8500000001,124710.01,53474.54,623777.7799999999,16615.54,135610.88999999998,22343.7,55397.07,77740.77,387107.15,522718.04,597171.8200000001,270232.97000000003,0.0,13452.0,13452.0,930510.08,10920.25,930510.08,48.6,57.42,187136.35,21104.92,166031.43,513978.72,11.0,-129625.1,0.0,88790.80900000001,472461.809,504365.089,2055.98,149083.5,52389.880000000005,149083.5,0.0,42002.49,31082.239,55397.07,516174.36,31130.84,-13394.58,48.6,88123.17000000001,798645.2,798645.2,348079.759,MECANIZADOS VULCANIA SL_resum
2002-01-01,6678.42,99359.81,622415.8600000001,166192.0,46487.539,623777.7799999999,16615.54,80255.65000000001,19708.17,32846.48,52554.65,399560.1,479815.75,821809.3300000001,254085.05,141.8,5090.860000000001,4708.74,900114.93,10122.6,900114.93,8891.55,396.599,338181.19,17082.71,321098.48000000004,498363.91,11.0,-129625.1,0.0,142600.11000000002,655617.3300000001,504365.089,2055.98,132109.299,6678.42,132109.299,0.0,28152.22,18029.62,32846.48,516174.36,26779.37,-4694.26,8749.75,142080.71000000002,960597.05,960597.05,315403.93000000005,MECANIZADOS VULCANIA SL_resum
2003-01-01,1051.76,99359.81,654985.38,166192.0,43195.78999999999,623777.7799999999,16615.54,144842.51,19365.0,26876.4,46241.4,399995.6,544838.11,845640.12,263806.74,0.0,4915.63,4915.63,905469.42,7434.28,905469.42,8947.12,357.18,345679.89,1862.97,343816.92000000004,517012.06,11.0,-129625.1,0.0,110147.27,679448.12,504365.089,2055.98,153973.38999999998,1051.76,153973.38999999998,0.0,22317.95,14883.67,26876.4,516174.36,23830.79,-4558.45,8947.12,109934.36,1000665.27,1000665.27,319352.44,MECANIZADOS VULCANIA SL_resum
2004-01-01,1051.76,99359.81,680579.8300000001,166192.0,33014.67,623777.7799999999,16615.54,157835.04,20255.99,20870.18,41126.17,459681.1,617516.14,858398.8,274634.66,0.0,6040.77,6040.77,949650.24,2555.56,949670.37,484.83,336.925,328961.37,2569.76,326391.61,549927.26,10.0,-129625.1,0.0,63063.69,692206.8,504365.089,2055.98,150090.64,1051.76,150090.64,0.0,14829.41,12273.85,20870.18,516174.36,12758.68,-6040.77,484.83,57021.78999999999,1009541.2,1009541.2,316245.66,MECANIZADOS VULCANIA SL_resum
2005-01-01,13239.12,99359.81,699921.76,166192.0,38153.22,623777.7799999999,16615.54,141878.99,21914.61,25804.03,47718.64,497716.0,639594.99,874637.41,302223.2,36.9,7875.88,7875.88,1118346.36,4578.91,1118353.56,2609.6,316.67,340030.15,21279.489,318750.66,678555.53,9.0,-129625.1,0.0,60326.77,708445.41,504365.089,2055.98,152075.37999999998,13239.12,152075.37999999998,0.0,18244.82,13665.91,25804.03,516174.36,16238.61,-7559.21,2572.7,50629.73,1039951.91,1039951.91,352831.21,MECANIZADOS VULCANIA SL_resum
2006-01-01,42545.16,99359.81,812007.9400000001,166192.0,38303.2,623777.7799999999,16615.54,190672.39,23721.87,24662.5,48384.369,558032.3,748704.69,889218.74,343075.98000000004,0.0,6521.48,6521.48,1239703.91,4759.17,1239708.41,1140.75,58.73,358132.09,19382.01,338750.08,737289.63,10.0,-129625.1,0.0,63303.249,723026.74,504365.089,2055.98,238376.13,42545.16,238376.13,0.0,18199.75,13440.58,24662.5,516174.36,14581.33,-6462.75,1140.75,54604.0,1170140.03,1170140.03,392659.829,MECANIZADOS VULCANIA SL_resum
2007-01-01,88902.97,99359.81,885690.2799999999,166192.0,45489.34,623777.7799999999,16615.54,248705.59,25406.19,32089.980000000003,57496.17,522773.4,771478.99,909301.89,344582.97000000003,45.86,8940.09,8940.09,1414336.08,5371.429999999999,1414336.08,1755.43,595.12,428432.15,95522.989,332909.16,902070.24,10.0,-129625.1,0.0,114211.29,743109.89,504365.089,2055.98,315917.57,88902.97,315917.57,0.0,23745.01,18373.579,32089.980000000003,516174.36,20083.15,-8344.967999999999,1709.57,94695.12,1314122.43,1314122.43,404383.83,MECANIZADOS VULCANIA SL_resum
2008-01-01,63475.18,99359.81,720315.24,166192.0,28895.87,623777.7799999999,16615.54,158938.84,27231.13,11809.27,39040.4,532640.4,592219.429,910727.6,347508.86,0.0,9589.62,9423.11,1139952.14,554.91,1139952.14,0.0,0.0,403006.39,3752.04,398827.92,632316.88,9.0,-129625.1,426.43,28736.0,744535.6,504365.089,2055.98,31087.52,65531.16,147062.87,0.0,2219.65,1664.74,11809.27,516174.36,1664.74,-9589.62,0.0,27552.58,1123321.63,1123321.63,386382.75,MECANIZADOS VULCANIA SL_resum
