Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,18822.89,16506.71,68240.47,12020.240000000002,9728.619,88976.22,0.0,39172.66,8157.44,13895.77,22053.21,28005.39,67178.05,2203.15,70007.61,1502.53,8870.97,8870.97,233878.88,1953.83,233878.88,0.0,2.75,48818.93,17836.77,30607.64,109996.62,7.0,-58806.69,374.52,1062.419,-9817.09,145940.47999999998,0.0,96033.36,18822.89,96033.36,0.0,5027.55,3073.72,13895.77,147420.33,1571.1799999999998,-8868.220000000001,-1502.53,2159.67,117059.39,117059.39,90561.03,METAL LIQUES JORDI SL_resum
2000-01-01,19496.99,16506.71,51418.6,12020.240000000002,9285.93,88976.22,0.0,21471.58,8631.1,10059.27,18690.37,27183.83,48655.41,2857.98,72765.54,0.0,9790.15,9790.15,232996.79,280.65000000000003,232996.79,0.0,666.37,43388.68,8818.54,34195.619999999995,112752.95,6.0,-58806.69,374.519,2763.189,-9162.26,145940.47999999998,0.0,72452.31,19496.99,72452.31,0.0,935.49,654.8399999999999,10059.27,147420.33,654.8299999999999,-9123.78,0.0,2159.67,94807.29,94807.29,92122.269,METAL LIQUES JORDI SL_resum
2001-01-01,1319.21,16506.71,65520.880000000005,12020.0,8976.41,88976.22,0.0,28101.65,8599.83,10374.35,18974.18,33039.019,61140.669,3234.56,82924.47,0.0,9889.87,9889.87,266399.26,161.39,266399.26,0.0,53.49,35985.219999999994,7481.28,28129.41,129676.08,6.0,-58806.69,374.53,4380.21,-8785.44,145940.47999999998,0.0,96952.33,1319.21,96952.33,0.0,537.97,376.58,10374.35,147420.33,376.58,-9836.38,0.0,4054.67,101506.1,101506.1,101952.14,METAL LIQUES JORDI SL_resum
2002-01-01,22496.64,16506.71,64350.310000000005,12020.0,13477.93,88976.22,0.0,28842.34,9278.92,13959.42,23238.34,29217.55,58059.89,7433.57,73820.51,681.74,9973.740000000002,9973.740000000002,269000.61,1799.58,269000.61,2681.9100000000003,12.739999999999998,74160.92,25452.81,48708.11,127049.61,5.0,-58806.69,0.0,6290.42,-4586.429999999999,145940.47999999998,0.0,108581.02,22496.64,108581.02,0.0,3998.42,2198.84,13959.42,147420.33,4199.01,-9961.0,2000.17,2233.4100000000003,138511.23,138511.23,99071.76,METAL LIQUES JORDI SL_resum
2003-01-01,65875.479,16506.71,57303.76,12020.0,24610.97,88976.22,0.0,30502.85,16169.44,20892.1,37061.54,25114.19,55617.039,15875.1,83010.36,0.0,9544.240000000002,9544.240000000002,329767.45,3617.8,329767.45,705.7,5.7700000000000005,73694.68000000001,21353.41,52341.27,170483.05,5.0,-58806.69,0.0,1686.72,3855.1,145940.47999999998,0.0,49247.86,65875.479,49247.86,0.0,11353.63,7735.829000000001,20892.1,147420.33,8441.53,-9538.47,705.7,8443.94,130998.44,130998.44,120783.37,METAL LIQUES JORDI SL_resum
2004-01-01,94715.32,16506.71,63570.23,12020.0,11686.119,88976.22,0.0,15610.19,8650.88,8867.09,17517.97,33305.57,48915.76,18910.34,78034.47,0.0,6152.35,6152.35,314969.81,69.99000000000001,314969.81,390.49,1557.685,97010.53,43709.65,53300.880000000005,164500.29,3.0,-58806.69,0.0,14654.47,6890.34,145940.47999999998,0.0,46955.1,94715.32,46955.1,0.0,2714.74,2644.75,8867.09,147420.33,3035.24,-6152.35,390.49,14654.47,160580.76,160580.76,95942.93,METAL LIQUES JORDI SL_resum
2005-01-01,97227.61,16506.71,79708.65900000001,12020.0,18421.72,88976.22,0.0,36032.6,17394.27,5677.09,23071.36,18983.7,55016.3,19937.79,116891.91,0.0,7318.9,7318.9,379193.16,440.34,379193.16,0.0,3109.6,89593.78,46168.13,43425.65,197978.61,5.0,-58806.69,0.0,24692.359,7917.79,145940.47999999998,0.0,52137.04,97227.61,52137.04,0.0,1467.79,1027.45,5677.09,147420.33,1027.45,-4209.3,0.0,24587.35,169302.44,169302.44,143072.87,METAL LIQUES JORDI SL_resum
2006-01-01,82074.57,16506.71,79336.95999999999,12020.0,14524.359,88976.22,0.0,16771.93,13472.38,3101.52,16573.898999999998,13090.08,29862.01,18697.22,139973.47999999998,0.22,6062.53,6062.53,350684.66,450.85,350684.66,4020.85,443.21,76121.4,34521.16,41600.24,154344.22,6.0,-58806.69,0.0,49474.95,6677.22,145940.47999999998,0.0,54686.57,82074.57,54686.57,0.0,-2517.8,-2968.65,3101.52,147420.33,1051.98,-5619.320000000001,4020.63,49474.95,155458.36,155458.36,161011.22,METAL LIQUES JORDI SL_resum
2007-01-01,11464.46,16506.71,66865.31,48801.2,308.32,88976.22,0.0,9666.555,216.36,14113.09,14329.45,57238.68,57238.68,55570.380000000005,96969.94,14370.12,3416.3300000000004,3416.3300000000004,221188.04,578.3599999999999,221188.04,4343.68,221.605,57630.73,11179.0,46451.73,63489.96,3.0,-58806.69,0.0,9626.629,6769.18,145940.47999999998,0.0,57461.2,11464.46,57461.2,0.0,10696.76,10118.4,14113.09,147420.33,91.96,-3416.3300000000004,-10026.44,8527.51,124496.04,124496.04,101272.95,METAL LIQUES JORDI SL_resum
2008-01-01,39579.87,16506.71,94040.96,48801.2,657.0616666666666,88976.22,18248.63,2561.18,236.39000000000001,1479.85,1479.85,74509.63,60564.1,55814.11,87133.79,0.0,1154.88,1154.88,235372.5,81.24000000000001,236396.55,0.0,0.0,57630.73,0.0,57630.73,88976.22,5.0,-58806.69,0.0,16970.149999999998,7012.91,145940.47999999998,0.0,21522.37,39579.87,56277.71,0.0,324.97,243.73,1479.85,147420.33,243.73,-1154.88,0.0,16506.329999999998,151671.69,151671.69,88613.64,METAL LIQUES JORDI SL_resum
