Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,5743.01,233.9,647208.2,62505.26,268497.95900000003,0.0,0.0,1591.61,601.66,420093.23,420694.889,411699.45,413291.06,418218.62,39556.41,0.0,9288.41,9288.41,1538190.31,144251.84999999998,1538190.31,0.0,1343.32,1203.31,0.0,1203.31,1068209.05,4.0,-349858.649,0.0,233917.139,355713.36,955381.92,12678.84,230192.88,5743.01,230192.88,0.0,412148.14,267896.29000000004,420093.23,1103300.5,267896.3,-7945.09,0.0,233917.13,648411.51,648411.51,461594.63,MIGDIA PROMOCIO SL_resum
2000-01-01,5743.01,233.9,5227701.63,1046100.0,63552.409,0.0,0.0,8324.18,3495.07,61289.33,64784.4,3164535.75,3172859.93,5186883.119999999,39352.880000000005,0.0,60.52,60.52,271457.14,32338.56,277200.15,0.0,31167.09,54965.71,43606.44,9863.27,146877.83,4.0,-349858.649,1495.999,2054841.7,4140783.12,955381.92,12678.84,90041.20999999999,5743.01,90041.20999999999,0.0,92395.9,60057.34,61289.33,1103300.5,60057.34,31106.57,0.0,2054841.7,5282667.34,5282667.34,135304.37,MIGDIA PROMOCIO SL_resum
2001-01-01,5743.01,233.9,5398266.89,1046100.0,47618.75,0.0,0.0,349573.84,14178.47,-804.3199999999999,13374.15,4870344.64,5219918.479,5220323.41,80519.70999999999,0.0,3388.1,3388.1,231389.66,14331.55,265847.7,0.0,51964.25,219513.66,34589.61,183428.05,117000.07,4.0,-349858.649,1496.0,178348.409,4174223.41,955381.92,12678.84,391714.13,5743.01,391714.13,0.0,47771.83,33440.28,-804.3199999999999,1103300.5,33440.28,48576.15,0.0,178348.41,5617780.55,5617780.55,145858.11000000002,MIGDIA PROMOCIO SL_resum
2002-01-01,5743.01,233.9,6994881.19,1046100.0,-109739.28,0.0,0.0,172378.69,20454.02,-127950.64,-107496.62,6664885.9,6837264.59,5090130.109999999,101906.55,0.0,4928.63,4928.63,166670.885,8408.355,36421.41,0.0,2685.9700000000003,207132.48,22118.77,183517.71,0.0,4.0,-349858.649,1496.0,157616.6,4044030.11,955381.92,12678.84,2106140.549,5743.01,2106140.549,0.0,-130193.3,-130193.3,-127950.64,1103300.5,-130193.3,-2242.66,0.0,157616.6,7202013.67,7202013.67,-2904.099,MIGDIA PROMOCIO SL_resum
2003-01-01,145343.97999999998,233.9,8637606.870000001,1046100.0,-81371.37900000002,0.0,0.0,125699.68,58563.92,-138350.19,-79786.27,8417564.05,8543263.729999999,4950194.81,87971.78,0.0,47796.74,47796.74,101952.11,2485.16,114239.47,48000.0,696.7900000000001,1160253.36,145783.169,1012974.19,0.0,4.0,-349858.649,1496.0,94343.14,3904094.809,955381.92,12678.84,4702321.44,145343.97999999998,4702321.44,0.0,-185450.14,-187935.3,-138350.19,1103300.5,-139935.3,-47099.95,48000.0,86495.33,9797860.23,9797860.23,56882.3,MIGDIA PROMOCIO SL_resum
2004-01-01,128298.95,233.9,5839481.34,1046100.0,2036206.26,0.0,0.0,162695.74000000002,108425.6,2855650.08,2964075.68,4643968.930000001,4806664.67,6877975.470000001,350871.88,1509.47,54759.08,54759.08,7763169.27,882138.54,7786056.71,6285.84,4251.83,3652162.65,121763.83,3528902.82,4274625.57,4.0,-349858.649,1496.0,1032816.67,5831875.470000001,955381.92,12678.84,2485369.57,128298.95,2485369.57,0.0,2805142.83,1923004.29,2855650.08,1103300.5,1927780.66,-50507.25,4776.37,1028105.77,9491643.99,9491643.99,3323975.76,MIGDIA PROMOCIO SL_resum
2005-01-01,115979.1,233.9,5307847.64,1046100.0,1393317.32,0.0,0.0,630639.7,144874.09,1893110.38,2037984.47,2704022.25,3334661.95,8084574.7,237423.04,6380.57,2581.9500000000003,2581.9500000000003,4561169.6,662737.12,4681896.688999999,0.0,27032.49,3844329.4,107251.42,3597919.56,2083133.88,4.0,-349858.649,139158.419,1973185.69,7038474.7,955381.92,12678.84,951623.24,115979.1,951623.24,0.0,1917560.92,1254823.799,1893110.38,1103300.5,1248443.23,24450.54,-6380.57,1970670.46,9152177.04,9152177.04,2296059.43,MIGDIA PROMOCIO SL_resum
2006-01-01,126595.71,233.9,4214948.119999999,1046100.0,900873.98,0.0,0.0,748806.16,170201.78,1032210.31,1202412.09,1949448.74,2698254.9,8767126.3,190969.13,0.0,2522.8100000000004,2522.8100000000004,2276813.3,377674.81,2518884.13,20850.759,57808.75,5162231.03,92809.51,5003156.6,757925.4,4.0,-349858.649,66264.92,1516693.219,7721026.3,955381.92,12678.84,483457.14,126595.71,483457.14,0.0,1087496.25,709821.4400000001,1032210.31,1103300.5,730672.2,55285.94,20850.759,1515969.3,9377179.15,9377179.15,1472040.73,MIGDIA PROMOCIO SL_resum
2007-01-01,111433.9,233.9,3422483.96,1046100.0,799556.7899999999,0.0,0.0,249969.83,278232.69,685169.4400000001,963402.129,1538773.96,1788743.79,9138450.4,174929.56,0.0,1755.41,1755.41,1502664.92,213907.39,1960964.02,782.9599999999999,51034.5,6492380.76,71146.64,5987063.2,504334.16,4.0,-349858.649,434170.91900000005,1633740.1700000002,8092350.4,955381.92,12678.84,664980.42,111433.9,664980.42,0.0,734448.53,520541.14,685169.4400000001,1103300.5,521324.1,49279.09,782.9599999999999,1633740.1700000002,9914864.72,9914864.72,1190149.15,MIGDIA PROMOCIO SL_resum
2008-01-01,116421.9,233.9,3313835.67,1046100.0,597271.71,0.0,160.91,131125.31999999998,438893.01,147918.58,586811.59,1540649.92,1671541.34,9235806.6,166630.26,0.0,3021.05,3021.05,555890.97,56917.73,1103300.5,0.0,70398.9,6131255.119999999,0.0,209891.32,0.0,5.0,-349858.649,5921363.8,1642060.43,8189706.6,955381.92,12678.84,79788.64,129100.74,80183.45,0.0,215296.43,158378.699,147918.58,1103300.5,158378.699,67377.849,0.0,264341.3,9445090.79,9445090.79,823840.75,MIGDIA PROMOCIO SL_resum
2009-01-01,114172.84,395.13,3600377.55,1046100.0,477807.88,0.0,248.92,16893.23,445324.9900000001,-21961.480000000003,423363.51,1540649.92,1557148.02,9118289.49,202341.01,0.0,645.41,645.41,451277.01,6582.21,991585.41,0.0,61671.99,5695623.74,0.0,147932.93,0.0,5.0,-365880.89,5547690.81,2042834.4,8072189.489,1013546.89,3344.74,59550.17,117517.58,60194.22,0.0,39065.1,32482.89,-21961.480000000003,991585.41,32482.89,61026.579,0.0,394289.35,9296001.29,9296001.29,687376.51,MIGDIA PROMOCIO SL_resum
2010-01-01,110463.08,519.3399999999999,4060802.05,1046100.0,472513.33,0.0,0.0,19826.59,432161.01,21636.36,453797.37,1540649.92,1559957.1700000002,9158641.81,233719.26,0.0,943.25,943.25,430707.68,12763.240000000002,986927.78,0.0,32422.449,5297311.24,0.0,109903.55,0.0,5.0,-299411.15,5187407.688999999,2500325.54,8112541.81,965291.42,0.0,88489.06,110463.08,89008.4,0.0,53115.56,40352.32,21636.36,986927.78,40352.32,31479.199,0.0,350173.27,9358113.29,9358113.29,719939.08,MIGDIA PROMOCIO SL_resum
2011-01-01,109332.26,183.37,4465580.26,1046100.0,281451.47000000003,0.0,1257.14,12377.57,172765.4,218150.8,390916.199,1540649.92,1552844.1190000002,9267327.88,242301.72,0.0,172143.37999999998,1139.1699999999998,360886.6,34295.13,905000.48,0.0,96973.78,4992174.64,0.0,70406.93999999999,0.0,2.0,-271782.56,4921767.7,2912552.77,8221227.88,686849.6799999999,0.0,79654.25,109332.26,81094.76,0.0,142981.2,108686.07,218150.8,905000.48,108686.07,-75169.6,0.0,129363.8,9457754.9,9457754.9,559187.49,MIGDIA PROMOCIO SL_resum
2012-01-01,104333.58,752.3499999999999,4420357.81,749705.0,264771.77,0.0,819.7800000000001,12949.73,197178.29,16714.99,213893.28,1540649.92,1552847.299,9038526.36,248549.36,0.0,7265.110000000001,7265.110000000001,287806.35,20417.32,781612.74,0.0,78560.92,4797495.35,0.0,39813.810000000005,0.0,2.0,-319170.1,4757681.54,2866758.16,8288821.359999999,764897.75,0.0,73421.09,104333.58,74993.22,0.0,88010.8,67593.48,16714.99,781612.74,67593.48,71295.81,0.0,185203.26,9217853.16,9217853.16,541003.56,MIGDIA PROMOCIO SL_resum
2013-01-01,87373.7,5553.81,4520456.02,749705.0,155734.83,0.0,1959.09,24992.19,203061.23,-120056.78,83004.45,1540649.92,1560088.299,8991199.96,242609.13,0.0,1156.7,1156.7,237497.91,29895.396,624613.09,0.0,73887.08,4650145.79,0.0,78218.43,0.0,2.0,-298999.509,4571927.359999999,2954813.91,8241494.959,744669.87,0.0,84515.25,87373.7,92028.15,0.0,-47326.4,-47326.4,-120056.78,624613.09,-47326.4,72730.38,0.0,454812.94,9170601.81,9170601.81,399500.66,MIGDIA PROMOCIO SL_resum
2014-01-01,81313.7,362.39,4044995.65,348700.0,47024.019,0.0,842.21,12811.63,195121.78,-140417.62,54704.16,1540649.92,1553099.16,8442097.197999999,247913.87,0.0,68055.93999999999,1141.11,205152.15,39373.471999999994,563598.73,0.0,60375.8,4533424.6,0.0,58210.21,0.0,2.0,-260980.7,4475214.389,2491534.1,8093397.198999999,704016.3500000001,0.0,53804.75,81313.7,55009.350000000006,0.0,-148097.76,-148097.76,-140417.62,563598.73,-148097.76,-7680.139,0.0,138790.84,8578420.25,8578420.25,296079.0,MIGDIA PROMOCIO SL_resum
2015-01-01,92803.7,1229.1733333333332,3380812.5,348700.0,194609.94,0.0,140.76999999999998,11650.17,214199.94,-78234.3,135965.64,710207.62,721857.7899999999,8422507.197999999,232135.67,0.0,1599.53,1599.53,230700.1,48851.547999999995,663203.6699999999,0.0,60243.83,5200080.24,0.0,62811.73,0.0,2.0,-295102.36,5137268.51,2658954.71,8073807.198999999,741437.97,0.0,65441.07,92803.7,65581.84,0.0,-19590.0,-19590.0,-78234.3,663203.6699999999,-19590.0,58644.3,0.0,413762.76,8580892.739999998,8580892.739999998,428345.14,MIGDIA PROMOCIO SL_resum
2016-01-01,86605.7,2095.9566666666665,3576249.05,348700.0,213968.83,0.0,205.21,7976.64,215104.81,-37083.18,178021.63,710207.62,718184.26,8421371.219999999,185329.71,0.0,1823.66,1823.66,246619.71,58329.623999999996,683003.98,0.0,37770.86,4990331.19,0.0,48563.43,0.0,2.0,-319652.64,4941767.76,2858064.79,8072671.219,720087.16,0.0,58398.11,86605.7,58603.32,0.0,-1135.98,-1135.98,-37083.18,683003.98,-1135.98,35947.2,0.0,871449.41,8566580.239999998,8566580.239999998,401122.199,MIGDIA PROMOCIO SL_resum
2017-01-01,92192.0,2962.74,2831861.1,348700.0,546448.55,373211.63,1841.81,30024.59,248947.04,392563.88,641510.92,342115.29000000004,369177.14,8318872.73,213614.15,0.0,48492.63,2218.67,1029642.9,67807.7,1524678.21,0.0,21237.960000000003,5858271.08,0.0,105825.19,373211.63,2.0,-296341.51,5752445.89,2459721.22,7970172.728999999,758902.7,0.0,274262.9,92192.0,279067.45,0.0,365309.21,297501.51,392563.88,1151466.58,297501.51,-27254.67,0.0,864925.4,8690132.18,8690132.18,830089.07,MIGDIA PROMOCIO SL_resum
2018-01-01,91634.0,262.3,3931102.76,348700.0,629832.9,0.0,802.31,385.09,238584.92,554059.75,792644.6699999999,342115.29000000004,342238.08,8209736.21,219897.16,0.0,40562.39,2714.32,334533.75,141936.28,882797.53,0.0,19686.9,4630892.26,0.0,71189.69,0.0,2.0,129744.299,4559702.568999999,3588602.38,7861036.21,328737.78,0.0,259560.2,91634.0,260624.81,0.0,533184.26,391247.98,554059.75,882797.53,391247.98,-20875.489,0.0,3099029.06,8561995.02,8561995.02,994380.66,MIGDIA PROMOCIO SL_resum
2019-01-01,100934.0,351.5,4122713.11,348700.0,671416.5,232007.45,0.0,5831.110000000001,231202.19,581331.22,812533.409,110107.84,115587.45,7743330.52,230061.81,0.0,2850.36,2850.36,990877.94,158138.37999999998,1556063.779,0.0,19871.83,4404096.08,0.0,39852.27,232007.45,2.0,-281461.11,4364243.81,4006774.16,7394630.52,742725.11,0.0,682193.169,100934.0,682544.6699999999,0.0,598352.69,440214.309,581331.22,1324056.329,440214.309,17021.47,0.0,3406670.67,8526809.186999999,8526809.186999999,1062467.05,MIGDIA PROMOCIO SL_resum
2020-01-01,96050.0,1830.27,3848187.57,348700.0,326108.15,0.0,1400.52,11021.62,226016.74,55112.86,281129.6,86882.32666666666,9191.35,7355241.930000001,201276.99,0.0,2333.36,2333.36,288966.16,44764.09,823663.3300000001,0.0,92076.0,4230117.49,0.0,53095.82,0.0,2.0,-341256.74,4177021.67,3837165.95,7006541.930000001,768550.47,0.0,623782.3400000001,96050.0,627013.13,0.0,144855.5,100091.41,55112.86,823663.3300000001,100091.41,89742.64,0.0,3011476.99,8078305.06,8078305.06,574482.59,MIGDIA PROMOCIO SL_resum
2021-01-01,101246.0,143.68,3440407.4,348700.0,408925.37,0.0,2637.05,4189.38,210539.04,267191.12,477730.16,63656.81333333333,4045.7,7553628.26,209569.04,0.0,35196.96,2958.15,386774.64,66128.78,956988.38,0.0,32520.95,5249503.159999999,0.0,48957.32,0.0,2.0,-269689.18,5200545.84,3436218.02,7204928.26,689797.26,0.0,1032255.57,101246.0,1035036.3,0.0,264515.11,198386.33,267191.12,956988.38,198386.33,-2676.009,0.0,2748427.31,8689910.56,8689910.56,687581.3400000001,MIGDIA PROMOCIO SL_resum
2022-01-01,122818.0,2071.84,2746565.24,403160.0,-10471.38,0.0,0.0,3923.61,277751.24,-208467.35,69283.88900000001,40431.3,42283.07,7973107.99,204085.67,0.0,4507.54,4507.54,571957.8400000001,113422.86,1264526.6,0.0,38175.13,5991555.430000001,0.0,-588043.9500000001,0.0,2.0,-991157.04,6579599.38,2702210.33,7569947.989,1472993.95,0.0,640122.8400000001,122818.0,642194.6799999999,0.0,-174799.76,-288222.62,-208467.35,1264526.6,-288222.62,33667.59,0.0,2702210.33,8738120.67,8738120.67,311544.69,MIGDIA PROMOCIO SL_resum
2023-01-01,138716.0,495.65,2038305.48,403160.0,629932.22,0.0,0.0,3387.55,289111.13,428342.91,717454.04,40431.3,43323.2,7818042.28,242961.89,0.0,6030.56,6030.56,590352.75,113607.03,1342975.62,0.0,32115.77,6182187.22,0.0,-601526.48,0.0,2.0,-382559.69,6783713.698999999,1994486.63,7414882.28,914632.71,0.0,263238.77,138716.0,263734.41900000005,0.0,454428.12,340821.08900000004,428342.91,1342975.62,340821.08900000004,26085.21,0.0,1994486.63,8220492.7,8220492.7,992531.7,MIGDIA PROMOCIO SL_resum
