Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,6419.54,56110.66,252181.73,349067.83,48882.380000000005,777352.65,0.0,65171.14,16516.27,38016.5,54532.77,180257.03,245428.169,475484.65,173611.3,161.67,1469.81,1469.81,1036337.3,13923.38,1036749.59,2874.56,7029.91,380233.61,19935.22,378462.2,740792.39,9.0,-219382.36,1771.409,6753.56,126416.82,639338.52,0.0,150511.15,6419.54,150511.15,0.0,43576.6,29653.22,38016.5,625775.739,32366.11,5560.1,2712.8900000000003,6753.55,632415.3400000001,632415.3400000001,237886.869,MOBLES SANCHO SL_resum
2000-01-01,10619.3525,56110.66,267278.02,349067.83,62694.0,777352.65,0.0,34122.37,17813.91,59494.86,77308.77,220255.01,254377.38,514955.63,158922.02,1695.98,696.1,696.1,1120775.91,19417.69,1120775.91,0.0,7194.99,394180.26,19935.22,392417.17,799336.64,9.0,-219382.36,1763.09,12900.64,165887.8,639338.52,0.0,146502.64,10619.3525,146502.64,0.0,65993.759,46576.069,59494.86,625775.739,44880.09,6498.89,-1695.98,12900.63,661458.2699999999,661458.2699999999,241729.81,MOBLES SANCHO SL_resum
2001-01-01,14819.165,56110.66,278202.28,349067.83,74177.38,777352.65,0.0,24293.38,19396.09,66469.05,85865.14,123225.33,147518.71000000002,569736.92,170244.52,315.88,507.74,507.74,1218859.2,23658.28,1222203.829,6767.599,6026.54,425573.74,19935.22,423822.43000000005,851825.4500000001,9.0,-219382.36,1751.309,130683.57,220669.09,639338.52,0.0,134039.1,14819.165,134039.1,0.0,71987.85,48329.57,66469.05,625775.739,54781.28999999999,5518.8,6451.719,130683.57,703776.02,703776.02,268587.92000000004,MOBLES SANCHO SL_resum
2002-01-01,19018.9775,56110.66,210870.09,349067.83,42410.5,777352.65,0.0,49577.03,29529.08,19266.18,48795.26,146597.59,196174.62,582618.3400000001,195508.17,7091.94,472.46,472.46,1154410.4,6625.64,1154410.4,3553.4500000000003,4251.83,602248.8500000001,19935.22,600517.7799999999,803078.9400000001,12.0,-219382.36,1731.069,14695.47,233550.509,639338.52,0.0,230500.6,19018.9775,230500.6,0.0,23045.55,16419.91,19266.18,625775.739,12881.42,3779.37,-3538.49,14695.47,813118.9400000001,813118.9400000001,245016.77,MOBLES SANCHO SL_resum
2003-01-01,23218.79,56110.66,210367.79,349067.83,58140.34,777352.65,0.0,36290.69,40324.56,19902.19,60226.75,161238.5,197529.19,600434.12,238849.9,0.0,2576.3500000000004,2576.3500000000004,1444094.96,7714.08,1444094.96,2109.42,6094.6,673075.91,19935.22,651424.51,1011241.4,11.0,-219382.36,1716.1799999999998,12838.6,251366.289,639338.52,0.0,259790.79,23218.79,259790.79,0.0,23420.44,15706.359,19902.19,625775.739,17815.780000000002,3518.25,2109.42,12024.57,883443.7,883443.7,307280.67,MOBLES SANCHO SL_resum
2004-01-01,11477.27,56110.66,221523.87,349067.83,72058.56,777352.65,0.0,41105.310000000005,46307.11,30998.29,77305.4,166296.97,207402.28,626185.57,281004.93000000005,665.54,4133.42,4133.42,1535609.6800000002,10920.02,1535960.319,1051.06,9421.08,657241.22,15782.43,639749.41,1032782.28,9.0,-219382.36,1709.379,14121.589,277117.73900000006,639338.52,0.0,241102.25,11477.27,241102.25,0.0,36285.95,25365.929,30998.29,625775.739,25751.45,5287.660000000001,385.52,13786.18,878765.09,878765.09,368116.93000000005,MOBLES SANCHO SL_resum
2005-01-01,1787.42,56110.66,252256.97,349067.83,99366.65,777352.65,0.0,65515.09,47085.87,69990.02,117075.89,166547.0,232062.09,678466.3500000001,261875.69,4239.8,2624.26,2624.26,1510687.57,21930.54,1513612.74,1015.6,10069.76,650829.2699999999,19838.92,629280.97,1004951.15,9.0,-219382.36,1709.38,20194.88,329398.51900000003,639338.52,0.0,222832.47,1787.42,222832.47,0.0,77435.52,55504.98,69990.02,625775.739,52280.78,7445.5,-3224.2,20130.05,903086.24,903086.24,385797.14,MOBLES SANCHO SL_resum
2006-01-01,73658.40999999999,56110.66,314449.71,349067.83,56481.56,777352.65,0.0,75607.54,49305.65,241.34,49546.99,213366.82,288974.36,685642.26,318877.67,350.0,2661.14,2661.14,1520912.01,2900.3900000000003,1520912.01,1451.89,11394.21,660484.92,6441.820000000001,639374.62,1000823.34,11.0,-219382.36,14668.48,25475.35,336574.43000000005,639338.52,0.0,215633.96,73658.40999999999,215633.96,0.0,8974.41,6074.02,241.34,625775.739,7175.91,8733.07,1101.89,25475.35,974934.63,974934.63,380920.76,MOBLES SANCHO SL_resum
2007-01-01,58494.75,56110.66,311897.06,349067.83,9446.239,777352.65,0.0,67799.95,47468.47,-45297.28999999999,2171.18,240122.95,307922.9,647620.03,369295.35,350.0,4960.150000000001,4960.150000000001,1646033.48,0.0,1646033.48,2430.63,10154.58,659946.63,4674.360000000001,625603.7899999999,1068475.72,13.0,-219382.36,29668.479,3974.159,298552.2,639338.52,0.0,265728.90900000004,58494.75,265728.90900000004,0.0,-40102.86,-40102.86,-45297.28999999999,625775.739,-38022.23,5194.429999999999,2080.63,3974.16,971843.69,971843.69,383701.74,MOBLES SANCHO SL_resum
2008-01-01,42667.17,56110.66,324645.18,349067.83,16176.59,777352.65,155931.38999999998,52286.09,45689.03,-13562.78,32126.25,265222.43000000005,261397.86,618107.59,374267.13,0.0,16914.198999999997,8482.4,1401865.48,0.0,1403128.39,0.0,964.54,603719.59,2906.9,582222.01,777352.65,13.0,-219382.36,18590.68,7136.660000000001,269039.76,639338.52,0.0,55547.96,42667.17,267590.01,0.0,-29512.44,-29512.44,-13562.78,625775.739,-29512.44,-15949.659,0.0,7136.660000000001,928364.77,928364.77,398926.12,MOBLES SANCHO SL_resum
2009-01-01,26146.55,111631.07,290703.28,349067.83,42181.24,679663.88,10871.3,24102.63,36845.67,18275.9,55121.57,262927.0,175398.56,623443.16,314785.51,0.0,12946.49,6865.79,1209317.75,0.0,1210004.15,0.0,6.159999999999999,551976.89,2274.94,547992.57,679663.88,10.0,-160433.19,1709.38,3673.65,274375.33,512064.37,0.0,70588.09,26146.55,193090.46,0.0,5335.57,5335.57,18275.9,530340.269,5335.57,-12940.33,0.0,3173.65,842680.1699999999,842680.1699999999,363832.54,MOBLES SANCHO SL_resum
