Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,26993.26,86398.28,23141.89,3005.06,30453.5,270224.3,0.0,17669.95,19913.56,18950.51,38864.07,2736.53,17669.95,3643.79,108542.99,0.0,4830.98,4830.98,319894.17,4517.120000000001,320017.0,937.3,0.23,100126.43,35789.75,63038.49,106999.94,7.0,-211460.66,1298.189,5471.938999999999,638.73,562712.399,2849.51,92631.28,26993.26,92631.28,0.0,14119.76,9602.64,18950.51,568405.01,10539.94,-4830.75,937.3,2967.4300000000003,123268.32,123268.32,148344.59,NELSON-LORENZANA SL_resum
2000-01-01,15466.37,86398.28,46912.58,3005.06,30782.39,270224.3,0.0,41769.28,17259.34,25184.99,42444.33,2736.53,44505.810000000005,17166.84,110765.41,5995.099,4521.91,4521.91,354904.17,5795.6,354904.17,4649.96,0.7100000000000001,87589.85,29930.89,56360.78,114027.78,9.0,-211460.66,1298.1799999999998,2406.77,14161.78,562712.399,2849.51,101869.23,15466.37,101869.23,0.0,20663.79,14868.19,25184.99,568405.01,13523.05,-4521.2,-1345.139,919.82,134502.44,134502.44,151865.31,NELSON-LORENZANA SL_resum
2001-01-01,9348.6,86398.28,77163.09,3005.06,18597.789,270224.3,0.0,66654.45999999999,17585.920000000002,5433.429999999999,23019.35,3045.13,69699.59,18178.71,143587.21000000002,496.11,4497.14,4497.14,373416.5,433.65,373416.5,897.08,108.26,72342.26,24056.0,46988.07,128165.6,8.0,-211460.66,1298.189,7463.499,15173.65,562712.399,2849.51,121978.04,9348.6,121978.04,0.0,1044.55,610.9,5433.429999999999,568405.01,1011.87,-4388.88,400.97,6743.55,149505.34999999998,149505.34999999998,167115.789,NELSON-LORENZANA SL_resum
2002-01-01,35033.880000000005,86398.28,91149.31,3005.06,37219.22,270224.3,0.0,87329.47,17914.41,31772.52,49686.93,249.42,87578.89,37483.5,135564.34999999998,2426.12,3668.34,3668.34,404901.12,8273.49,404901.12,1782.27,117.97,64733.43,18623.06,44810.72,139002.55,8.0,-211460.66,1299.649,3570.4190000000003,34478.44,562712.399,2849.51,83365.36,35033.880000000005,83365.36,0.0,28222.15,19948.66,31772.52,568405.01,19304.81,-3550.3700000000003,-643.8489999999999,3351.29,155882.74000000002,155882.74000000002,184725.4,NELSON-LORENZANA SL_resum
2003-01-01,21408.37,86398.28,119474.4,3005.06,43032.429,270224.3,0.0,117627.85,17885.260000000002,37769.810000000005,55655.069,149.42000000000002,117777.27,62630.67,132949.69,660.1800000000001,2689.16,2689.16,399955.4,11394.81,399955.4,2100.88,20.630000000000003,50269.99,13958.46,35013.340000000004,135036.26,7.0,-211460.66,1298.1899999999998,1697.129,59625.61,562712.399,2849.51,85705.35,21408.37,85705.35,0.0,35101.28,23706.47,37769.810000000005,568405.01,25147.17,-2668.53,1440.7,1692.62,169744.38999999998,169744.38999999998,190066.09,NELSON-LORENZANA SL_resum
2004-01-01,40705.34,86398.28,258903.74,3006.0,58631.11,270224.3,0.0,239984.79,20581.59,56707.02,77288.61,2599.67,242584.46,100680.19,283646.11,6604.79,2232.9,2232.9,831152.51,16874.04,831152.51,7051.3,2.93,72631.59,8319.138,57614.26,310217.2,15.0,-211460.66,6698.191000000001,16319.279,97674.19,562712.399,2849.51,190149.8,40705.34,190149.8,0.0,54477.05,37603.01,56707.02,568405.01,38049.52,-2229.9700000000003,446.51,16319.28,331535.33,331535.33,361384.16,NELSON-LORENZANA SL_resum
2005-01-01,25656.91,86398.28,274864.47000000003,3006.0,26236.980000000003,270224.3,0.0,238119.27,16590.309999999998,4125.92,20716.23,3939.87,242059.139,110326.86,305587.85,3000.01,3003.9700000000003,3003.9700000000003,828708.04,4134.279,831439.42,15657.76,1.25,56041.28,1024.78,48318.310000000005,323885.27,21.0,-211460.66,6698.1900000000005,32805.329,107320.86,562712.399,2849.51,194921.98,25656.91,194921.98,0.0,1123.2,-3011.079,4125.92,568405.01,9646.67,-3002.72,12657.75,31864.43,330905.75,330905.75,338963.078,NELSON-LORENZANA SL_resum
2006-01-01,22470.43,86398.28,281607.73000000004,3006.0,24488.43,270224.3,0.0,233359.71,14151.96,3011.26,17163.22,15352.94,248712.65,120663.33,331091.79000000004,4547.650000000001,2748.28,2748.28,860227.8,4429.92,860227.8,19012.68,38.38,61193.28999999999,909.41,53585.69,319111.7,21.0,-211460.66,6698.189,32895.079,117657.33,562712.399,2849.51,199667.26,22470.43,199667.26,0.0,301.36,-4128.56,3011.26,568405.01,10336.47,-2709.9,14465.029,32895.08,342801.02,342801.02,362758.42,NELSON-LORENZANA SL_resum
2007-01-01,7143.34,86398.28,286207.76,3006.0,21840.75,270224.3,0.0,245772.73,13245.25,9502.32,22747.57,13247.64,259020.37,129258.83,328832.36,7564.68,2495.75,2495.75,812266.13,2063.3300000000004,821066.13,11162.17,54.77,64043.02,0.0,57344.83,321083.54,20.0,-211460.66,6698.189,27187.389,126252.83,562712.399,2849.51,213848.61,7143.34,213848.61,0.0,7061.34,4998.01,9502.32,568405.01,8595.5,-2440.98,3597.49,24514.7,350250.78,350250.78,355232.19,NELSON-LORENZANA SL_resum
2008-01-01,15251.51,86398.28,116145.19,3006.0,12778.05,270224.3,11055.66,81508.98999999999,12425.58,5692.610000000001,18118.19,16323.27,11433.98,129611.3,338826.16,0.0,4485.94,4485.94,838629.31,1824.08,838629.31,0.0,969.88,252190.16,1438.53,43840.9,270224.3,21.0,-211460.66,206910.73,18312.93,126605.3,562712.399,2849.51,123169.09,18101.02,220623.03,0.0,2176.55,352.47,5692.610000000001,568405.01,352.47,-3516.059,0.0,18312.93,368335.35,368335.35,357914.23000000004,NELSON-LORENZANA SL_resum
