Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,0.0,847.74,21922.42,12020.240000000002,11348.539,7654.91,0.0,697.1700000000001,1130.07,11203.01,12333.08,0.0,697.1700000000001,13854.83,65005.69,0.0,8.709999999999999,0.0,114012.26,987.85,114012.26,0.0,3.32,5145.51,152.78,4992.73,51.09,4.0,-117266.04,0.0,21225.25,1834.59,251881.009,0.0,13213.09,0.0,13213.09,0.0,11206.33,10218.48,11203.01,277458.77,10218.47,3.32,0.0,21225.24,27067.92,27067.92,77342.08,OCINE VIA SABA SL._resum
2000-01-01,0.0,847.74,71734.17000000001,12020.240000000002,31587.99,7654.91,0.0,38880.84,2243.25,44943.19,47186.44,0.0,38880.84,43199.57,142479.11000000002,0.0,8.709999999999999,0.0,246692.66,15625.85,246692.66,0.0,27.41,6410.5,86.16,6324.35,289.85,5.0,-117266.04,-0.01,32853.33,31179.33,251881.009,0.0,34945.1,0.0,34945.1,0.0,44970.59,29344.739,44943.19,277458.77,29344.74,27.41,0.0,32853.33,78144.67000000001,78144.67000000001,189692.949,OCINE VIA SABA SL._resum
2001-01-01,0.0,847.74,39107.74,12020.0,-3280.469,7654.91,0.0,34350.46,2043.43,-9278.02,-7234.59,0.0,34350.46,37875.67,127258.28,144.86,8.709999999999999,8.709999999999999,179822.81999999998,11407.95,179822.81999999998,3139.72,967.97,9873.95,19.53,9149.03,337.98,5.0,-117266.04,705.389,4757.279,25855.67,251881.009,0.0,11106.02,0.0,11106.02,0.0,-8318.76,-8318.76,-9278.02,277458.77,-5323.9,959.26,2994.8590000000004,4757.28,48981.69,48981.69,123986.52,OCINE VIA SABA SL._resum
2002-01-01,0.0,847.74,60837.94,12020.0,22188.1,7654.91,0.0,60001.73,3871.87,28323.57,32195.44,0.0,60001.73,56191.9,144798.67,2097.07,1166.45,1166.45,238452.05,7190.05,238628.879,441.57,4.659999999999999,26664.24,1743.9,24214.95,527.04,6.0,-117266.04,705.389,836.2090000000001,44171.9,251881.009,0.0,31310.28,0.0,31310.28,0.0,27161.78,19971.73,28323.57,277458.77,18316.23,-1161.79,-1655.5,836.21,87502.18000000001,87502.18000000001,175343.27000000002,OCINE VIA SABA SL._resum
2003-01-01,0.0,847.74,103902.02,12020.0,51835.54,7654.91,0.0,8123.2,5201.88,72468.2,77670.08,0.0,8123.2,102825.56,162954.61000000002,705.3599999999999,62.27,62.27,314478.0,25110.43,314511.91000000003,0.0,43.52,41110.52,978.3,39426.83,1663.25,6.0,-117266.04,705.389,95778.82,90805.56,251881.009,0.0,42186.98,0.0,42186.98,0.0,72449.45,47339.02,72468.2,277458.77,46633.66,-18.75,-705.3599999999999,95778.82,145012.54,145012.54,239962.849,OCINE VIA SABA SL._resum
2004-01-01,0.0,847.74,172363.99,12020.0,60474.8,7654.91,0.0,6061.0,8955.9,74928.65000000001,83884.549,0.0,6061.0,154344.46,129535.47,880.3399999999999,167.06333333333333,0.0,324980.33,27740.95,324980.33,5087.0,124.54,58785.880000000005,2612.7,56173.18,6987.3,5.0,-117266.04,0.0,166302.99,142324.46,251881.009,0.0,76805.40999999999,0.0,76805.40999999999,0.0,75053.19,47312.24,74928.65000000001,277458.77,51518.9,124.54,4206.660000000001,166302.99,231149.87,231149.87,217751.22,OCINE VIA SABA SL._resum
2005-01-01,0.0,847.74,156090.69,12020.0,41030.86,7654.91,0.0,17765.4,11133.0,37804.44,48937.44,0.0,17765.4,184242.32,144387.84999999998,2655.27,271.8566666666667,0.0,310372.39,16098.85,310374.17,8142.0,2705.54,61863.89,1531.1,60332.78999999999,132.22,5.0,-117266.04,0.0,138325.29,172222.31999999998,251881.009,0.0,33712.259999999995,0.0,33712.259999999995,0.0,40509.98,24411.13,37804.44,277458.77,29897.86,2705.54,5486.73,138325.29,217954.58,217954.58,201517.56,OCINE VIA SABA SL._resum
2006-01-01,0.0,847.74,110638.77,12020.0,48482.14,7654.91,0.0,29274.08,10239.08,61763.25,72002.33,0.0,29274.08,52667.350000000006,132432.76,4852.41,376.65,376.65,298186.34,20592.41,298188.23000000004,696.88,1604.4,60754.49,6478.96,54275.53,71.67999999999999,5.0,-117266.04,0.0,81364.69,40647.350000000006,251881.009,0.0,118725.91,0.0,118725.91,0.0,62991.0,42398.59,61763.25,277458.77,38243.06,1227.75,-4155.529,81364.69,171393.26,171393.26,201883.96,OCINE VIA SABA SL._resum
2007-01-01,0.0,847.74,87881.14,12020.0,42995.07,7654.91,0.0,12745.01,12194.61,40083.08,52277.69,0.0,12745.01,83467.81,116637.83,1149.98,1329.47,1329.47,260229.9,14767.28,270016.98000000004,3596.61,4367.5,55723.56,3772.3,51951.26,233.45,4.0,-117266.04,0.0,75136.13,71447.81,251881.009,0.0,60136.89,0.0,60136.89,0.0,43121.11,28353.83,40083.08,277458.77,30800.460000000003,3038.03,2446.63,75136.13,143604.7,143604.7,175729.65,OCINE VIA SABA SL._resum
2008-01-01,0.0,847.74,84956.26,12020.0,31767.089,7654.91,0.0,20202.84,11240.63,25577.76,36818.39,0.0,19355.1,103994.27,123374.34,0.0,145.07,145.07,278328.61,8797.06,285113.68,0.0,3890.83,58762.17,1714.54,57047.63,7654.91,4.0,-117266.04,426.19,64753.42,91974.269,251881.009,0.0,38876.42,0.0,39724.16,0.0,29323.52,20526.460000000003,25577.76,277458.77,20526.460000000003,3745.759,0.0,348.9,143718.43,143718.43,164083.56,OCINE VIA SABA SL._resum
2009-01-01,39013.36,66.9,192712.67,12020.0,68201.70999999999,6121.07,18658.64,7545.81,12595.85,74159.38,86755.23,0.0,7478.91,159600.13,144404.11000000002,0.0,0.0,0.0,331880.09,23831.08,340936.99000000005,0.0,5277.56,115402.64,0.02,115402.62,6121.07,6.0,-103656.58,852.38,185166.86,147580.13,260656.539,0.0,90776.28,39013.36,109501.82,0.0,79436.93999999999,55605.86,74159.38,334815.92000000004,55605.86,5277.56,0.0,1460.46,308115.31,308115.31,236436.9,OCINE VIA SABA SL._resum
2010-01-01,18658.480000000003,161.6,197072.44,12020.0,77272.54,5165.110000000001,20354.88,10914.36,27155.53,68815.38,95970.91,0.0,10752.76,209717.14,176330.8,0.0,0.0,0.0,369539.15,21478.72,376326.31,0.0,2780.3500000000004,101729.39,0.02,101729.37,5165.110000000001,6.0,-98859.49,1278.57,186158.08,197697.14,302345.819,0.0,49909.72899999999,18658.480000000003,70426.20999999999,0.0,71595.73,50117.009,68815.38,371161.2,50117.009,2780.3500000000004,0.0,2234.0,298801.83,298801.83,275082.059,OCINE VIA SABA SL._resum
2011-01-01,0.0,2603.4500000000003,253146.11,12020.0,64914.119,433.25,18658.480000000003,9064.17,28019.33,49460.32,77479.65000000001,0.0,6460.72,246611.93,226236.88,0.0,0.0,0.0,453003.69,15812.05,457948.8,0.0,3246.52,82635.12000000001,3948.4249999999997,80930.36,433.25,7.0,-153799.02,1704.76,244081.94,234591.93,408055.23,0.0,67907.37000000001,0.0,89169.3,0.0,52706.84,36894.789,49460.32,457515.55,36894.789,3246.52,0.0,417.35,335781.23000000004,335781.23000000004,306963.05,OCINE VIA SABA SL._resum
