Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,103151.56,0.0,224389.01,12020.240000000002,100316.34,1085.0,0.0,21604.38,2474.48,144367.19,146841.67,0.0,21604.38,210081.27,22822.92,0.0,871.9499999999999,871.9499999999999,434020.27,45749.32,439158.19,0.0,95.94,37699.14,729.1700000000001,36969.97,219495.96,2.0,-33167.68,0.0,202784.63,198061.03,135422.14,0.0,52006.880000000005,103151.56,52006.880000000005,0.0,143591.17,97841.85,144367.19,138450.9,97841.86,-776.01,0.0,202784.63,262088.15,262088.15,169760.53,ORSPOC SL_resum
2000-01-01,103151.56,0.0,90651.66,1126897.7,37857.72899999999,1085.0,0.0,38821.51,46864.68,-13143.4,33721.28,0.0,38821.51,1148249.56,39548.53,1076.91,4606.110000000001,4606.110000000001,108197.36,34817.99,108197.36,9377.84,441.63,1212555.88,82751.68000000001,953552.83,188204.49285714285,2.0,-33167.68,176251.37,51830.15,21351.86,135422.14,0.0,51806.42,103151.56,51806.42,0.0,-17307.89,-17307.89,-13143.4,138450.9,-9006.949999999999,-4164.478999999999,8300.93,44424.2,1303207.54,1303207.54,82012.37000000001,ORSPOC SL_resum
2001-01-01,73889.1,0.0,48770.25,1126893.75,68811.14,1085.0,0.0,31650.62,49218.77,-475.49,48743.28,0.0,31650.62,1163372.78,23571.12,8840.5,6056.44,6056.44,115589.12,23886.66,115589.12,34018.689999999995,946.11,1219045.24,55846.219,986707.25,156913.0257142857,2.0,-33167.68,176491.77000000002,17119.629999999997,36479.03,135422.14,0.0,30553.61,73889.1,30553.61,0.0,-5585.820000000001,-5585.820000000001,-475.49,138450.9,19592.37,-5110.33,25178.19,13707.07,1267815.49,1267815.49,98438.7,ORSPOC SL_resum
2002-01-01,44655.76,0.0,40974.82,1126893.75,59821.0,1085.0,0.0,296.63,52285.15,15352.94,67638.09,0.0,296.63,1170908.6700000002,23975.04,6150.5,2397.92,2397.92,127925.7,12955.330000000002,127925.7,0.0,731.3299999999999,1184290.6800000002,27627.14,986562.69,125621.55857142857,2.0,-33167.68,170100.84999999998,40678.19,44014.919,135422.14,0.0,9701.07,44655.76,9701.07,0.0,13686.35,13686.35,15352.94,138450.9,7535.85,-1666.59,-6150.5,38970.2,1225265.5,1225265.5,86193.95999999999,ORSPOC SL_resum
2003-01-01,16251.35,0.0,43620.5,1126893.75,63764.63,1085.0,0.0,126.33,55901.37,12990.39,68891.76,0.0,126.33,1178771.93,26693.07,3711.58,478.11,478.11,126762.57,2024.0,126762.57,805.53,281.03,1161496.73,0.0,995107.46,94330.09142857142,2.0,-33167.68,166389.27000000002,43494.17,51878.179,135422.14,0.0,10093.95,16251.35,10093.95,0.0,12793.31,10769.31,12990.39,138450.9,7863.26,-197.08,-2906.05,43494.17,1205117.23,1205117.23,92959.81,ORSPOC SL_resum
2004-01-01,16251.35,0.0,251592.85,1126893.75,67753.13,1085.0,0.0,200.175,34541.42,3584.32,38125.74,0.0,200.175,1211983.64,33179.28,-9862.08,4815.844999999999,4815.844999999999,130052.39,10932.21,130052.39,28925.35,1772.1699999999998,1021499.74,0.0,845248.39,63038.62428571429,2.0,-33167.68,176251.349,251592.85,85089.88900000001,135422.14,0.0,44857.6,16251.35,44857.6,0.0,5356.49,-5575.719,3584.32,138450.9,33211.71,1772.1699999999998,38787.43,251592.85,1273092.59,1273092.59,111864.62,ORSPOC SL_resum
2005-01-01,16251.35,0.0,280609.26,1126893.75,59032.54,1085.0,0.0,274.02,33852.54,32059.7,65912.23999999999,0.0,274.02,1237163.64,33104.42,0.0,9153.58,9153.58,128195.45,10791.43,128195.45,0.0,3911.73,987647.2,0.0,811395.8500000001,31747.157142857148,1.0,-33167.68,176251.349,280335.24,110269.889,135422.14,0.0,14841.47,16251.35,14841.47,0.0,35971.43,25180.0,32059.7,138450.9,25180.0,3911.73,0.0,280335.24,1268256.46,1268256.46,102928.39,ORSPOC SL_resum
2006-01-01,400251.35,0.0,76044.15000000001,1126893.75,41217.75,1085.0,0.0,1396.24,29276.79,16924.24,46201.03,0.0,1396.24,1249104.6,34443.78,4173.45,13491.314999999999,13491.314999999999,139678.34999999998,5117.56,139678.34999999998,0.0,4307.73,1584899.43,0.0,1408648.08,455.69,2.0,-33167.68,176251.349,74647.909,122210.85,135422.14,0.0,11587.63,400251.35,11587.63,0.0,21231.97,16114.41,16924.24,138450.9,11940.96,4307.73,-4173.45,74647.90999999999,1660943.58,1660943.58,80779.09,ORSPOC SL_resum
2007-01-01,16251.35,0.0,3735.19,1126893.75,17345.85,1085.0,0.0,3735.19,38070.96,-9572.04,28498.92,0.0,3735.19,1228379.49,36016.25,0.0,17829.05,17829.05,146659.21000000002,2609.9150000000004,146659.21000000002,6594.7,81.28,1606009.38,0.0,1429758.03,91.97,2.0,-33167.68,176251.349,0.0,101485.739,135422.14,0.0,365113.73,16251.35,365113.73,0.0,-27319.81,-27319.81,-9572.04,138450.9,-20725.11,-17747.77,6594.7,102995.2445,1609744.57,1609744.57,71191.15000000001,ORSPOC SL_resum
2008-01-01,16251.35,0.0,132419.19,1126893.75,65490.25,1085.0,388436.44,1076.61,65183.44,3028.76,68212.2,0.0,1076.61,1234646.9,37071.02,0.0,4129.478999999999,4129.478999999999,138450.9,102.27,138450.9,0.0,1509.8,1517133.72,0.0,1351034.99,588.485,3.0,-33167.68,166098.729,131342.579,107753.15,135422.14,0.0,10218.22,16251.35,398654.66,0.0,409.08,306.81,3028.76,138450.9,306.81,-2619.679,0.0,131342.579,1649552.91,1649552.91,106793.019,ORSPOC SL_resum
