Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,13522.77,3447.51,481649.18,428912.29,150993.94,10620.62,0.0,384767.14,1335.82,229757.85,231093.67,0.0,384767.14,1483943.81,463931.56,0.0,255.03,255.03,721214.52,80585.14,721214.52,740.4399999999999,17445.980000000003,1203779.84,6017.820000000001,5854.84,-44775.4,12.0,-66823.36,1197925.0,96882.039,1055031.52,1451280.21,0.0,187962.44,13522.77,187962.44,0.0,229502.82,148917.68,229757.85,1514379.38,149658.12,-255.03,740.4399999999999,96882.04,1685429.03,1685429.03,695765.6699999999,PADROSA ADMINISTRACIO I CONTROL SA_resum
2000-01-01,363438.19,3447.51,562773.7699999999,428912.29,134075.83,10620.62,0.0,489130.24,4069.59,182109.53,186179.12,0.0,489130.24,1613950.05,490892.72,0.0,356.39,356.39,723564.7799999999,69192.88,724644.08,0.0,17445.980000000003,2133241.109,6017.820000000001,19268.49,-44775.4,12.0,-66823.36,2107954.799,73643.53,1185037.76,1451280.21,0.0,1082064.83,363438.19,1082064.83,0.0,199199.12,130006.239,182109.53,1514379.38,130006.24,17089.59,0.0,73643.53,2696014.88,2696014.88,694517.8200000001,PADROSA ADMINISTRACIO I CONTROL SA_resum
2001-01-01,713353.61,3447.51,353242.91000000003,477894.77,2063614.9,10620.62,0.0,307939.8,8505.6,115368.8,123874.4,44775.4,352715.2,5006281.52,569858.58,0.0,3347.61,3347.61,724153.9,38457.05,724153.9,0.01,1981545.15,5467113.64,4704.84,34006.810000000005,-44775.4,12.0,-66823.36,5428401.99,527.7090000000001,4528386.75,1451280.21,0.0,814075.03,713353.61,814075.03,0.0,2093566.34,2055109.29,115368.8,1514379.38,2055109.3,1978197.54,0.01,527.71,5820356.55,5820356.55,2675278.14,PADROSA ADMINISTRACIO I CONTROL SA_resum
2002-01-01,1063269.03,3447.51,388435.32,477894.77,63785.03,10620.62,0.0,254294.08,13288.72,111848.72,125137.44,129026.22,383320.3,5056777.819999999,634594.01,0.0,34580.78,34580.78,792225.9600000001,26774.03,799744.919,2.4,991000.5,6553175.41,3391.86,27051.56,-84250.82,15.0,-66823.36,6522731.99,5115.02,4578883.05,1451280.21,0.0,821563.88,1063269.03,821563.88,0.0,77267.93999999999,50493.91,111848.72,1514379.38,50496.310000000005,-34580.78,2.4,5115.02,6941610.73,6941610.73,759733.8500000001,PADROSA ADMINISTRACIO I CONTROL SA_resum
2003-01-01,1052669.02,3447.51,414175.12,477894.77,43732.61,10620.62,0.0,231060.35,12856.1,121457.5,134313.6,176500.0,407560.35,5087654.33,655637.7799999999,0.0,74285.19,74285.19,793200.0,16751.649999999998,793200.0,0.0,455.85,6731166.51,2078.88,15508.44,-43107.380000000005,15.0,-66823.36,6713579.188999999,6614.769,4609759.56,1451280.21,0.0,1005018.28,1052669.02,1005018.28,0.0,47628.16,30876.51,121457.5,1514379.38,30876.51,-73829.34,0.0,6614.77,7145341.63,7145341.63,790407.23,PADROSA ADMINISTRACIO I CONTROL SA_resum
2004-01-01,2846787.54,3447.51,1712778.1700000002,477894.77,57126.76,10620.62,0.0,1666760.66,14110.86,83842.48,97953.34,32000.0,1698760.66,5130670.23,705421.7,0.0,98854.91,98854.91,1045500.0,23139.89,1045500.0,0.0,81168.22,6804798.68,77255.15900000001,13964.33,147274.04,17.0,-66823.36,6713579.188999999,14017.51,4652775.46,1451280.21,0.0,540119.08,2846787.54,540119.08,0.0,66155.789,43015.899,83842.48,1514379.38,43015.9,-17686.69,0.0,10212.0,8517576.850000001,8517576.850000001,884543.26,PADROSA ADMINISTRACIO I CONTROL SA_resum
2005-01-01,2428640.05,3447.51,1199584.77,477894.77,35728.61,10620.62,0.0,1111579.78,20621.460000000003,124191.53,144812.99,76000.0,1187579.78,5145777.38,842594.9500000001,0.0,100982.9,100982.9,985000.0,8107.610000000001,988907.0,0.0,6.13,6784177.22,63622.09,6975.94,-42433.64,19.0,-66823.36,6713579.188999999,12004.989,4667882.608999999,1451280.21,0.0,409344.56,2428640.05,409344.56,0.0,23214.76,15107.149,124191.53,1514379.38,15107.15,-100976.77,0.0,9920.88,7983761.99,7983761.99,987414.07,PADROSA ADMINISTRACIO I CONTROL SA_resum
2006-01-01,1043649.41,3447.51,1612103.78,477894.77,22125.64,10620.62,0.0,329246.91000000003,15172.29,72042.18000000001,87214.47,0.0,329246.91000000003,5152730.73,904115.24,0.0,61537.67,61537.67,1125000.0,3551.16,1125000.0,0.0,3.21,7716841.96,79353.95,14908.82,79311.42,24.0,-66823.36,7622579.188999999,1282856.87,4674835.96,1451280.21,0.0,3132565.6,1043649.41,3132565.6,0.0,10504.51,6953.35,72042.18000000001,1514379.38,6953.35,-61537.67,0.0,1281558.43,9328945.739999998,9328945.739999998,991329.71,PADROSA ADMINISTRACIO I CONTROL SA_resum
2007-01-01,1001877.29,3447.51,1507115.23,477894.77,38338.37,10620.62,0.0,27333.84,24598.27,72897.38,97495.65,0.0,27333.84,5166470.83,1271891.06,0.0,51787.93,51787.93,1458000.0,7371.13,1458459.0,1.49,0.29,7822004.39,176042.59,23382.61,3895.99,36.0,-66823.36,7622579.188999999,1479781.39,4688576.06,1451280.21,0.0,3160771.5,1001877.29,3160771.5,0.0,21109.74,13738.61,72897.38,1514379.38,13740.1,-51787.64,1.49,1476264.6900000002,9329119.62,9329119.62,1369388.49,PADROSA ADMINISTRACIO I CONTROL SA_resum
2008-01-01,973739.54,3447.51,1580835.0,477894.77,42191.92,10620.62,6716.46,94565.01,38404.24,63099.17,101503.41,0.0,91117.5,3166928.51,1346052.61,0.0,57005.66,57005.66,1525000.0,2306.0,1525000.0,0.0,0.17,5829503.24,160043.87999999998,46240.07,10620.62,33.0,-66823.36,5623219.29,1486269.99,2689033.74,1451280.21,0.0,3259506.219,973739.54,3269670.19,0.0,6093.68,3787.68,63099.17,1514379.38,3787.68,-57005.49,0.0,7738.92,7410338.24,7410338.24,1447556.1900000002,PADROSA ADMINISTRACIO I CONTROL SA_resum
2009-01-01,2386968.32,7016.9,1732258.21,477894.77,55098.15,9257.14,679.04,96602.91,56979.82,53526.0,110505.82,0.0,89586.01,3337546.84,1169157.94,0.0,51138.82,51138.82,1360000.0,4269.0,1360000.0,0.0,0.15,6151731.94,129591.82,26935.81,9257.14,33.0,-71079.099,5995204.31,1635655.3,2859652.07,1297216.86,0.0,2151779.05,2386968.32,2159474.99,0.0,2387.3300000000004,-1881.67,53526.0,1350742.86,-1881.67,-51138.67,0.0,1297.36,7883990.149999999,7883990.149999999,1279663.91,PADROSA ADMINISTRACIO I CONTROL SA_resum
2010-01-01,1995053.49,6420.68,1657036.86,477894.77,59614.149,8920.97,411.33,46433.92,58134.74,21734.99,79869.73,0.0,40013.24,3339026.25,1021157.96,0.0,14968.79,14968.79,1211000.0,5286.96,1211000.5,0.0,0.17,6026993.819999999,89648.98999999999,9154.740000000002,8920.97,31.0,-101051.84,5928190.09,1610602.94,2861131.48,1180344.54,0.0,2343118.93,1995053.49,2349950.94,0.0,6766.37,1479.409,21734.99,1202079.53,1479.409,-14968.62,0.0,163.6,7684030.68,7684030.68,1101027.86,PADROSA ADMINISTRACIO I CONTROL SA_resum
2011-01-01,7676618.39,14065.46,57189.36,477894.77,-29484.93,6819.360000000001,0.0,28451.71,42115.87,-40613.03,1502.84,0.0,14386.25,3267425.45,788657.8600000001,0.0,31307.47,31307.47,853500.0,10423.494999999999,853500.0,0.0,319.7,11420814.97,51816.36,4871.5,6819.360000000001,23.0,-56519.94,11364127.11,28737.649,2789530.68,887293.6699999999,0.0,519895.03,7676618.39,533960.49,0.0,-71600.8,-71600.8,-40613.03,846680.64,-71600.8,-30987.77,0.0,341.92,11478004.33,11478004.33,790480.399,PADROSA ADMINISTRACIO I CONTROL SA_resum
2012-01-01,8451247.33,15692.81,32221.26,477894.77,9823.489,4895.95,62265.12,3381.05,33184.449,27725.57,60910.019,0.0,-12311.759,3244064.49,445401.11,0.0,35541.87,35541.87,609680.0,15560.03,609680.0,0.0,15.37,12247004.71,20875.29,12428.12,4895.95,15.0,-98472.92,12213701.3,28840.21,2766169.72,577058.4789999999,0.0,505956.22,8451247.33,583914.15,0.0,-7800.929999999999,-23360.960000000003,27725.57,604784.05,-23360.960000000003,-35526.5,0.0,438.21,12279225.97,12279225.97,506326.49900000007,PADROSA ADMINISTRACIO I CONTROL SA_resum
2013-01-01,9388639.53,12595.17,35766.87,477894.77,-7939.33,1380.62,144798.94,7257.19,22161.960000000003,27101.84,49263.8,0.0,-5337.98,3213963.2,284703.49000000005,0.0,51445.64,51445.64,404000.0,5757.49,404413.76,0.0,0.0,13246703.33,1462.0,9679.45,1380.62,9.0,-69065.85,13235561.879,28509.68,2736068.43,375931.3,0.0,522473.36,9388639.53,679867.47,0.0,-24343.8,-30101.29,27101.84,403033.14,-30101.29,-51445.64,0.0,250.56,13282470.2,13282470.2,333967.29000000004,PADROSA ADMINISTRACIO I CONTROL SA_resum
2014-01-01,10075598.08,12373.13,13895.22,477894.77,-51781.82,757.53,234722.28,3400.64,4118.0,-2893.8300000000004,1224.1699999999998,0.0,-8972.49,3158063.38,66323.20999999999,0.0,48393.73,48393.73,143000.0,4612.26,143000.0,0.0,0.0,14058618.54,4442.31,7357.3,757.53,4.0,-74695.09,14046818.93,10494.58,2680168.61,145136.3,0.0,591756.89,10075598.08,838852.3,0.0,-51287.56,-55899.82,-2893.8300000000004,142242.47,-55899.82,-48393.73,0.0,237.54,14072513.76,14072513.76,67547.38,PADROSA ADMINISTRACIO I CONTROL SA_resum
