Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,212736.73,58268.03,6612.94,24040.480000000003,11623.32,0.0,0.0,3381.25,11339.96,12365.29,23705.25,0.0,3381.25,16864.2,17453.4,0.0,11960.86,11960.86,34132.97,121.43,51892.93,0.0,0.36,357506.31,0.0,353830.81,238.9,2.0,-9536.57,0.0,3231.689,-7176.279,44816.380000000005,1642.0,134518.31999999998,212736.73,134518.31999999998,0.0,404.79,283.36,12365.29,90872.81,283.36,-11960.5,0.0,3231.689,364119.25,364119.25,41159.01,PARKING LA DEVESA SL_resum
2000-01-01,212736.73,58268.03,6612.94,24040.480000000003,11623.32,0.0,0.0,3381.25,11339.96,12365.29,23705.25,0.0,3381.25,16864.2,17453.4,0.0,11960.86,11960.86,34132.97,121.43,51892.93,0.0,0.36,357506.31,3675.5,353830.81,238.9,2.0,-9536.57,0.0,3231.689,-7176.279,44816.380000000005,1642.0,134518.31999999998,212736.73,134518.31999999998,0.0,404.79,283.36,12365.29,90872.81,283.36,-11960.5,0.0,3231.689,364119.25,364119.25,41159.01,PARKING LA DEVESA SL_resum
2001-01-01,199951.68,58268.03,8177.18,24040.480000000003,12882.73,0.0,0.0,2807.98,11514.87,15672.71,27187.58,0.0,2807.98,18232.06,17350.12,0.0,13728.63,13728.63,33828.5,586.02,54287.619,0.0,9.8,345991.59,1837.77,344153.82,-491.32,2.0,-9536.57,0.0,5369.2,-5808.419,44816.380000000005,1642.0,135985.03,199951.68,135985.03,0.0,1953.88,1367.86,15672.71,90872.81,1367.86,-13718.83,0.0,5369.2,354168.77,354168.77,44547.5,PARKING LA DEVESA SL_resum
2002-01-01,184356.93,58268.03,9379.29,24040.480000000003,15169.22,0.0,0.0,1634.26,11453.26,15374.84,26828.1,0.0,1634.26,21948.02,19003.73,0.0,10182.34,10182.34,37967.350000000006,1592.55,57704.11,116.01,7.355,334538.33,0.0,334538.33,463.12,2.0,-9536.57,0.0,7745.03,-2092.4590000000003,44816.380000000005,1642.0,137612.67,184356.93,137612.67,0.0,5192.5,3599.9500000000003,15374.84,90872.81,3715.96,-10182.34,116.01,7745.03,343917.62,343917.62,45947.84,PARKING LA DEVESA SL_resum
2003-01-01,160576.54,58268.03,9078.37,24040.480000000003,18395.71,0.0,0.0,385.92,9552.72,21056.71,30609.43,0.0,385.92,30791.01,20821.61,0.0,8423.859999999999,8423.859999999999,35858.810000000005,3789.86,61397.22,0.0,4.91,324985.61,0.0,324985.61,341.13,2.0,-9536.57,0.0,8692.449999999999,6750.529,44816.380000000005,1642.0,142696.43,160576.54,142696.43,0.0,12632.85,8842.99,21056.71,90872.81,8842.99,-8423.859999999999,0.0,8692.449999999999,334063.98000000004,334063.98000000004,51431.04,PARKING LA DEVESA SL_resum
2004-01-01,136125.84,58268.03,7848.87,24040.480000000003,15482.46,0.0,0.0,713.64,9997.62,15816.19,25813.81,0.0,713.64,37287.48,22769.19,0.0,7980.7,7980.7,36133.13,2350.65,61626.94,0.0,2.465,314987.99000000005,0.0,314987.99000000005,521.539,2.0,-9536.57,0.0,7135.23,13247.0,44816.380000000005,1642.0,149423.54,136125.84,149423.54,0.0,7835.49,5484.84,15816.19,90872.81,5484.84,-7980.7,0.0,7135.23,322836.86,322836.86,48583.0,PARKING LA DEVESA SL_resum
2005-01-01,110950.87,58268.03,8624.1,24040.480000000003,22544.14,0.0,0.0,406.19,9327.12,17574.18,26901.3,0.0,406.19,50504.5,28874.33,0.0,5062.54,5062.54,41041.41,3201.64,66984.68000000001,3907.0,0.02,305660.87,0.0,305660.87,1105.09,3.0,-9536.57,0.0,8624.1,26464.02,44816.380000000005,1642.0,151187.6,112592.87,151187.6,1642.0,12511.66,9310.02,17574.18,90872.81,13217.02,-5062.52,3907.0,8624.1,314284.97000000003,314284.97000000003,59682.65,PARKING LA DEVESA SL_resum
2006-01-01,88635.23999999999,58268.03,14450.05,24040.480000000003,31170.87,0.0,0.0,98.74,9922.79,31085.86,41008.65,0.0,98.74,71753.52,26635.69,0.0,4711.4,4711.4,51286.77,5147.05,80918.62000000001,0.0,20.67,300918.18,4651.35,296266.83,795.06,2.0,-9536.57,0.0,14351.31,47713.04,44816.380000000005,3330.61,151648.86,91965.85,151648.86,3330.61,26395.13,21248.08,31085.86,90872.81,21248.08,-4690.73,0.0,14096.45,315368.23000000004,315368.23000000004,67665.01,PARKING LA DEVESA SL_resum
2007-01-01,56390.21,58268.03,23990.52,24040.480000000003,42543.369,831.65,0.0,80.56666666666666,9955.45,46056.43,56011.880000000005,0.0,-58268.03,104340.5,25324.36,0.0,4578.94,4578.94,76026.82,8909.4,91704.46,0.0,19.83,289772.03,0.0,289772.03,831.65,2.0,-9536.57,0.0,23990.52,80300.019,44816.380000000005,0.0,94763.81,56390.21,153031.84,0.0,41497.32,32587.92,46056.43,90872.81,32587.92,-4559.110000000001,0.0,23990.52,313762.55,313762.55,81356.069,PARKING LA DEVESA SL_resum
2008-01-01,32561.99,60287.26,31426.89,24040.480000000003,32370.059,3548.3,0.0,62.39333333333334,8797.6,35133.340000000004,43930.939,0.0,-60287.26,127912.96,28016.15,0.0,3711.33,3711.33,85738.7,7857.49,90912.769,0.0,7.94,281023.43000000005,0.0,281023.43000000005,3548.3,6.0,-15417.38,0.0,31426.89,103872.48,52231.13,0.0,91688.11,32561.99,151975.37,0.0,31429.95,23572.460000000003,35133.340000000004,87364.469,23572.460000000003,-3703.39,0.0,31426.89,312450.32,312450.32,71955.03,PARKING LA DEVESA SL_resum
