Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,4540.3,19676.35,15622.14,15025.3,14482.56,607025.91,0.0,12996.69,9062.63,9179.05,18241.68,0.0,12996.69,21154.95,50789.72,0.7100000000000001,3824.07,3824.07,623969.92,23.98,627275.49,65.41000000000001,0.25,71447.54,0.0,71447.54,520640.05,2.0,-78187.47,0.0,2625.4500000000003,6129.650000000001,136742.09,0.0,61374.43,4540.3,61374.43,0.0,5355.23,5355.23,9179.05,172814.65,5419.929999999999,-3823.83,64.7,1074.6,87069.68000000001,87069.68000000001,69096.35,PEIXOS MIQUEL SL_resum
2000-01-01,25812.55,19676.35,9527.89,15025.0,7229.38,607025.91,0.0,6747.78,7280.05,-6816.92,463.13,0.0,6747.78,21104.29,31147.36,0.0,2543.3700000000003,2543.3700000000003,530899.4,23.98,539644.13,8371.88,937.75,74279.4,0.0,74279.4,468909.61,2.0,-78187.47,0.0,2780.109,6079.29,136742.09,0.0,36890.46,25812.55,36890.46,0.0,-8422.54,-8422.54,-6816.92,172814.65,-50.67,-1605.62,8371.88,2780.11,83807.3,83807.3,40920.11,PEIXOS MIQUEL SL_resum
2001-01-01,18158.2,19676.35,38563.03,15025.0,30457.93,607025.91,0.0,38535.09,12281.82,20712.03,32993.850000000006,0.0,38535.09,39280.4,34069.28999999999,0.05,2870.4,2870.4,1157373.23,23.98,1166388.41,358.52,506.23,61997.58,0.0,61997.58,1025106.73,2.0,-78187.47,0.0,27.94,24255.4,136742.09,0.0,43122.01,18158.2,43122.01,0.0,17841.629999999997,17817.649999999998,20712.03,172814.65,18176.11,-2870.4,358.469,27.94,100560.61,100560.61,67421.6,PEIXOS MIQUEL SL_resum
2002-01-01,10039.15,19676.35,39708.45,15025.0,16762.97,607025.91,0.0,37756.47,10133.56,9577.78,19711.34,0.0,37756.47,45909.810000000005,30662.78,0.0,1718.77,1718.77,1391497.81,1304.31,1401066.6800000002,0.0,74.71000000000001,51864.01,0.0,51864.01,1276506.92,1.0,-78187.47,0.0,1951.979,30884.809,136742.09,0.0,35623.5,10039.15,35623.5,0.0,7933.72,6629.41,9577.78,172814.65,6629.41,-1644.06,0.0,1951.98,91572.46,91572.46,50448.829,PEIXOS MIQUEL SL_resum
2003-01-01,1466.89,19676.35,25710.15,15025.0,4396.629000000001,607025.91,0.0,16673.77,10133.56,-2217.3500000000004,7916.209,0.0,16673.77,40172.880000000005,26795.18,0.0,1584.95,1584.95,893078.19,2380.12,903050.159,0.0,445.49,41730.45,0.0,41730.45,802920.1,1.0,-78187.47,0.0,9036.38,25147.879,136742.09,0.0,25800.83,1466.89,25800.83,0.0,-3356.8100000000004,-5736.929999999999,-2217.3500000000004,172814.65,-5736.929999999999,-1139.46,0.0,9036.38,67440.6,67440.6,35156.880000000005,PEIXOS MIQUEL SL_resum
2004-01-01,72037.83,19676.35,42114.78,15025.0,8210.209,607025.91,0.0,36929.21,9192.58,-4796.64,4395.94,0.0,36929.21,39190.51,28813.64,3.0,2044.11,2044.11,538031.62,-1859.65,548451.4600000001,4000.0,1.7300000000000002,56537.87,0.0,56537.87,474617.1,1.0,-78187.47,0.0,5185.57,24165.51,136742.09,0.0,59462.14,72037.83,59462.14,0.0,-6839.02,-4979.37,-4796.64,172814.65,-982.37,-2042.38,3997.0,5185.57,98652.65,98652.65,37208.310000000005,PEIXOS MIQUEL SL_resum
2005-01-01,142608.77000000002,19676.35,76159.23999999999,15025.0,-3809.74,607025.91,0.0,71129.22,9492.240000000002,-11671.02,-2178.78,0.0,71129.22,25888.53,38704.01,0.0,7386.89,7386.89,491268.12,-5700.85,509929.29,55.08,510.03000000000003,152675.63,0.0,152675.63,425533.54,1.0,-78187.47,0.0,5030.02,10863.529,136742.09,0.0,60337.57,142608.77000000002,60337.57,0.0,-19057.91,-13357.06,-11671.02,172814.65,-13301.98,-7386.89,55.08,5030.02,228834.87,228834.87,36580.310000000005,PEIXOS MIQUEL SL_resum
2006-01-01,134534.83,19676.35,43949.12,15025.0,-4784.4,607025.91,0.0,39782.380000000005,9350.08,-7466.44,1883.64,0.0,39782.380000000005,11822.11,34045.219999999994,800.2700000000001,6886.1,6886.1,681020.76,-1406.2200000000003,712520.76,0.0,1018.33,143325.55,0.0,143325.55,604893.04,2.0,-78187.47,0.0,4166.74,-3202.889,136742.09,0.0,40917.73,134534.83,40917.73,0.0,-13334.21,-13334.21,-7466.44,172814.65,-14134.48,-5867.77,-800.2700000000001,4166.74,187274.67,187274.67,36146.92,PEIXOS MIQUEL SL_resum
2007-01-01,126773.66,19676.35,31124.06,15025.0,15316.41,607025.91,0.0,30934.71,3809.15,23077.81,26886.960000000003,0.0,30934.71,23329.37,38209.68,1200.0,7528.64,7528.64,689897.02,2888.4100000000003,743047.02,0.78,45.720000000000006,141395.14,0.0,141395.14,603320.52,2.0,-78187.47,0.0,189.35,8304.368999999999,136742.09,0.0,22416.17,126773.66,22416.17,0.0,15594.89,12706.48,23077.81,172814.65,11507.26,-7482.92,-1199.22,189.35,172519.2,172519.2,63943.14,PEIXOS MIQUEL SL_resum
2008-01-01,119096.52,19676.35,50475.3,15025.0,26377.81,607025.91,0.0,31816.15,3674.55,36072.56,39747.11,0.0,12139.8,46032.63,54880.07,0.0,7885.71,7885.71,723390.56,5483.71,779840.56,0.0,0.12,137720.59,0.0,137720.59,607025.91,5.0,-78187.47,765.02,18659.15,31007.63,136742.09,0.0,3390.3900000000003,119096.52,23066.74,0.0,28186.97,22703.26,36072.56,172814.65,22703.26,-7885.59,0.0,9869.98,188195.89,188195.89,94627.3,PEIXOS MIQUEL SL_resum
2009-01-01,153799.6,24398.78,52393.76,15025.0,9796.61,651494.6699999999,22846.9,47814.39,3674.55,16262.37,19936.92,0.0,23415.61,52154.69,53699.74,0.0,8099.620000000001,8099.620000000001,760836.24,2040.69,807728.9600000001,0.0,0.0,217512.99,0.0,217512.99,651494.6699999999,2.0,-82597.63,1530.04,4579.37,37129.689,139971.919,0.0,16706.779,153799.6,63952.46,0.0,8162.75,6122.059,16262.37,156234.289,6122.059,-8099.620000000001,0.0,4579.37,269906.75,269906.75,73636.65900000001,PEIXOS MIQUEL SL_resum
2010-01-01,137965.07,33687.53,34117.32,15025.0,3299.58,669030.66,15889.99,32913.519,10184.76,1470.52,11655.28,0.0,-774.01,45269.51,44075.44,0.0,10983.9,5396.610000000001,772080.9600000001,-2295.06,813788.9600000001,0.0,333.14000000000004,224310.56,0.0,222015.5,669030.66,1.0,-89027.58,2295.06,1203.8,30244.51,143287.78,0.0,25615.78,137965.07,75193.3,0.0,-9180.240000000002,-6885.18,1470.52,144758.299,-6885.18,-10650.76,0.0,1203.8,258427.88,258427.88,50476.57,PEIXOS MIQUEL SL_resum
2011-01-01,119941.33,25691.72,68106.92,15025.0,60019.75,679821.1799999999,16846.68,27022.15,20022.25,55193.61,75215.86,0.0,1330.43,85267.01,54373.62,0.0,8576.81,8576.81,853228.09,6619.3,901428.09,0.0,0.0,203688.31,0.0,201393.25,679821.1799999999,2.0,-92017.43,2295.06,41084.77,70242.01,166413.3,0.0,24048.489,119941.33,66586.89,0.0,46616.8,39997.5,55193.61,221606.909,39997.5,-8576.81,0.0,6730.77,271795.23000000004,271795.23000000004,129589.48,PEIXOS MIQUEL SL_resum
2012-01-01,12540.72,14706.14,54851.77,15025.0,38363.16,537302.43,24435.24,39271.5,16229.12,39123.24,55352.36,0.0,24565.36,107401.05,60241.09,0.0,7837.37,7837.37,623687.53,12003.81,644970.72,0.0,2851.98,117446.74,0.0,70700.84,537302.43,1.0,7925.160000000001,46745.9,15580.27,92376.049,68545.05,0.0,13215.36,12540.72,52356.74,0.0,34137.850000000006,22134.04,39123.24,107668.289,22134.04,-4985.389,0.0,1264.01,172298.51,172298.51,118445.43,PEIXOS MIQUEL SL_resum
2013-01-01,9360.48,24442.89,49711.61,15025.0,-5600.23,507194.05,43310.83,49413.95,15757.25,-22672.11,-6914.860000000001,0.0,24971.059,86043.57,68571.54,0.0,5804.53,5804.53,637728.98,-7119.160000000001,654996.39,0.0,0.0,111313.98,0.0,54943.59,507194.05,2.0,-86145.66,56370.39,297.65900000000005,71018.57,170474.44999999998,0.0,7228.3,9360.48,74982.02,0.0,-28476.64,-21357.480000000003,-22672.11,147802.34,-21357.480000000003,-5804.53,0.0,281.4,161025.59,161025.59,61656.679,PEIXOS MIQUEL SL_resum
2014-01-01,6180.24,11301.66,26760.99,15025.0,5976.96,547695.4600000001,29112.06,25084.32,15660.06,-7209.34,8450.720000000001,0.0,13782.66,76360.47,64729.27,0.0,5704.429999999999,5704.429999999999,683507.4600000001,-3227.7,701852.8600000001,0.0,2.97,99881.62,0.0,40283.53,547695.4600000001,1.0,-80977.40999999999,59598.09,1676.6699999999998,61335.47,161366.74000000002,0.0,9868.42,6180.24,50282.14,0.0,-12910.8,-9683.099,-7209.34,154157.4,-9683.099,-5701.46,0.0,1145.48,126642.61,126642.61,73182.959,PEIXOS MIQUEL SL_resum
2015-01-01,3000.0,14133.97,65750.229,15025.0,9569.619,538292.54,59182.3,29465.56,17112.480000000003,-3339.36,13773.119,1654.45,16986.04,68817.61,68900.67000000001,0.0,3602.69,3555.61,665817.64,787.76,683871.64,0.0,186.95,85987.93999999999,0.0,23171.05,538292.54,1.0,-62905.310000000005,62816.89,34630.219999999994,53792.61,148918.46,0.0,6604.29,3000.0,79920.56,0.0,-6755.1,-7542.860000000001,-3339.36,145579.099,-7542.860000000001,-3415.74,0.0,34630.219999999994,151738.17,151738.17,82813.66,PEIXOS MIQUEL SL_resum
2016-01-01,3000.0,13410.27,176105.16,15025.0,47758.22899999999,597616.57,23985.82,155553.93,19564.980000000003,39442.69,59007.67,2250.96,144394.62,178015.94,58659.0,0.0,2349.98,2349.98,776015.48,8900.39,794069.48,0.0,0.929,55884.89,0.0,3606.07,597616.57,1.0,-78786.239,52278.82,18300.27,162990.94,157010.22,0.0,13578.02,3000.0,50974.11,0.0,37093.64,28193.25,39442.69,196452.91,28193.25,-2349.05,0.0,7700.269999999999,231990.05,231990.05,117667.599,PEIXOS MIQUEL SL_resum
2017-01-01,3040.0,17414.17,171159.75,15025.0,21266.92,649035.4,0.0,138725.56,2386.86,30145.3,32532.16,0.0,121311.39,196896.0,67278.08,0.0,3919.92,3919.92,815824.48,7407.85,835160.47,0.0,62.53,69171.28,0.0,15873.49,649035.4,1.0,-86314.83,53297.78999999999,32434.19,181871.0,155979.77000000002,0.0,22980.86,3040.0,40395.03,0.0,26287.91,18880.059,30145.3,186125.069,18880.059,-3857.39,0.0,19091.79,240331.03,240331.03,99872.769,PEIXOS MIQUEL SL_resum
2018-01-01,3040.0,14288.740000000002,187149.65,15025.0,21868.01,847162.0,0.0,143240.47999999998,2453.48,28087.49,30540.97,0.0,128951.74,216310.53,95317.04,0.0,2773.34,2773.34,1033432.26,5925.25,1052732.36,0.0,25.630000000000003,66717.8,0.0,13420.01,847162.0,1.0,-79712.35,53297.78999999999,43909.17,201285.53,177482.87,0.0,20228.18,3040.0,34516.92,0.0,25339.78,19414.53,28087.49,205570.36,19414.53,-2747.71,0.0,29970.03,253867.45,253867.45,125883.639,PEIXOS MIQUEL SL_resum
2019-01-01,18716.190000000002,43415.22,202065.36,15025.0,6793.33,854951.4600000001,0.0,172885.88999999998,3242.4300000000003,6946.18,10188.61,0.0,129470.67,219861.43,116716.15,0.0,1731.73,1731.73,1062382.8790000002,1743.6,1076156.8690000002,0.0,80.05,85996.55,2805.28,32671.02,854951.4600000001,2.0,-94300.65,50520.25,29179.47,204836.43,214259.229,0.0,24785.26,18716.190000000002,68200.48,0.0,5294.5,3550.9,6946.18,221205.409,3550.9,-1651.6799999999998,0.0,15240.33,288061.91000000003,288061.91000000003,126984.809,PEIXOS MIQUEL SL_resum
2020-01-01,34392.380000000005,71167.34,319726.35,15025.0,63332.399,1474210.29,3546.58,218581.95,11778.03,71393.06,83171.09,0.0,147414.61000000002,271415.8,208095.26,0.0,2811.22,1355.76,1898217.14,17066.420000000002,1919201.789,0.0,38.95,105020.9,2072.07,52691.04,1474210.29,7.0,-153725.15,50257.78999999999,101144.4,256390.8,373598.44,0.0,44225.15,34392.380000000005,118939.07,0.0,68620.79,51554.369,71393.06,444991.49900000007,51554.369,-2772.27,0.0,87205.26,424747.25,424747.25,289849.84,PEIXOS MIQUEL SL_resum
2021-01-01,18339.58,77602.73,305196.94,15025.0,36862.45,1476716.11,11789.02,187167.17,12851.11,30986.32,43837.43,2998.4500000000003,112562.89,295427.14,237722.91,0.0,700.63,472.06,1923950.87,6285.31,1946229.06,0.0,10.96,118608.67,1011.13,66808.31,1476716.11,9.0,-187952.61,50789.23,115031.319,280402.14,438526.63,0.0,20647.14,18339.58,110038.89,0.0,30296.65,24011.34,30986.32,469512.949,24011.34,-689.6700000000001,0.0,105089.18,423805.61,423805.61,281342.73000000004,PEIXOS MIQUEL SL_resum
2022-01-01,10831.23,69612.58,320300.86,15025.0,27366.85,1401347.07,8749.53,194360.29,13741.4,18763.12,32504.519,62801.03,187548.74,309052.59,256711.57,0.0,1426.13,1127.76,1882378.98,3741.44,1902578.33,0.0,29.9,111713.79,0.0,60758.45,1401347.07,7.0,-212015.169,50955.34,63139.539,294027.59,482468.14,0.0,33768.719999999994,10831.23,112130.83,0.0,17366.89,13625.449,18763.12,501231.26,13625.449,-1396.23,0.0,52727.810000000005,432014.65,432014.65,288947.62,PEIXOS MIQUEL SL_resum
2023-01-01,3209.48,66744.14,322803.27,15025.0,23173.339,1538305.83,8337.730000000001,188996.65,9616.03,18667.17,28283.199,37503.7,159756.209,322609.9,238808.66,0.0,360.78,360.78,1996243.2,4801.79,2017699.52,0.0,52.71,103924.15,0.0,51142.42,1538305.83,7.0,-212301.83,52781.73,96302.92,307584.9,460726.52,0.0,25826.17,3209.48,100908.04,0.0,18359.1,13557.309,18667.17,479393.689,13557.309,-308.07,0.0,85891.19,426727.42,426727.42,267144.57,PEIXOS MIQUEL SL_resum
