Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,109288.95,0.0,499610.24,12020.240000000002,219024.26,1102.09,0.0,315308.96,63097.54,237820.49,300918.02900000004,0.0,315308.96,661204.25,238388.11,0.0,12051.96,12051.96,775222.87,75809.55,775320.65,0.0,5967.74,569984.87,297608.92000000004,62021.71,482.96,9.0,-789621.969,210354.24,184301.279,649184.01,1753854.05,88793.04,299101.91000000003,109288.95,299101.91000000003,0.0,231736.28,155926.729,237820.49,2137462.34,155926.72,-6084.21,0.0,174819.729,1069595.11,1069595.11,545273.88,PERFORACIONS GIRONA SL_resum
2000-01-01,53777.11,0.0,542902.8300000001,12020.240000000002,213869.19,1102.09,0.0,330448.47000000003,71260.62000000001,208471.82,279732.44,0.0,330448.47000000003,803812.81,317648.79000000004,739.47,10360.47,10360.47,880407.97,68727.65000000001,880407.97,0.0,13964.33,600491.61,161695.08,174351.21000000002,871.41,9.0,-789621.969,264445.32,212454.36,791792.57,1753854.05,88793.04,285804.52,53777.11,285804.52,0.0,212075.69,143348.04,208471.82,2137462.34,142608.57,3603.86,-739.47,209495.65,1143394.44,1143394.44,610606.1,PERFORACIONS GIRONA SL_resum
2001-01-01,173952.11000000002,0.0,838560.9400000001,12020.0,259442.66,1102.09,0.0,413356.09,86153.07,261293.32,347446.39,0.0,413356.09,977102.41,386142.13,11304.42,16467.098,16467.098,1091510.64,86515.85,1091510.64,6545.1,19738.54,727627.49,328956.66,134225.5,587.21,11.0,-789621.969,264445.33,425204.85,965082.41,1753854.05,88793.04,415133.91,173952.11000000002,415133.91,0.0,264564.76,178048.91,261293.32,2137462.34,173289.59,3271.44,-4759.320000000001,401055.04,1566188.43,1566188.43,748567.738,PERFORACIONS GIRONA SL_resum
2002-01-01,110621.06,0.0,1094439.24,12020.0,288878.68,1102.09,0.0,576914.81,76331.98,313436.13,389768.11,0.0,576914.81,1189649.12,449901.46,0.06,13030.369,13030.31,1288820.44,106218.91,1288820.44,0.0,18359.91,653563.9,288123.86,100994.71,2487.88,11.0,-789621.969,264445.33,517524.42900000006,1177629.12,1753854.05,88793.04,447732.96,110621.06,447732.96,0.0,318765.67,212546.759,313436.13,2137462.34,212546.7,5329.54,-0.06,504047.67,1748003.14,1748003.14,858029.3600000001,PERFORACIONS GIRONA SL_resum
2003-01-01,302052.01,0.0,1625289.6,12020.0,494567.72,1102.09,0.0,783001.04,113024.32,579097.3300000001,692121.649,0.0,783001.04,1571192.52,495288.01,0.0,17301.578999999998,17301.57,1752855.6900000002,198234.77,1752855.6900000002,480.83,17501.59,884998.23,495363.69,152634.54,1677.5,11.0,-789621.969,236999.999,842288.56,1559172.52,1753854.05,88793.04,637043.3,302052.01,637043.3,0.0,579297.3400000001,381062.569,579097.3300000001,2137462.34,381543.4,200.01,480.83,817350.2799999999,2510287.83,2510287.83,1205392.07,PERFORACIONS GIRONA SL_resum
2004-01-01,348891.39,0.0,2147531.08,12020.0,625378.26,1102.09,0.0,721748.1699999999,125564.1,758482.6699999999,884046.7699999999,0.0,721748.1699999999,2071006.68,535599.37,0.77,16127.47,16127.47,2129297.17,262195.94,2129297.17,1617.15,18038.52,978640.04,653394.6799999999,115245.36,2241.75,11.0,-789621.969,210000.0,1425782.91,2058986.68,1753854.05,88793.04,706273.05,348891.39,706273.05,0.0,760393.72,498197.779,758482.6699999999,2137462.34,499814.16,1911.05,1616.38,1401212.75,3126171.12,3126171.12,1439301.04,PERFORACIONS GIRONA SL_resum
2005-01-01,243904.04,0.0,2338255.44,12020.0,494157.67,1102.09,0.0,830322.2899999999,135706.87,537465.58,673172.4500000001,0.0,830322.2899999999,2429457.48,581373.61,1907.58,16090.83,16090.83,2063214.3,183765.63,2063214.3,827.9599999999999,21921.3,931108.44,550148.92,82784.23999999999,1218.77,12.0,-789621.969,298175.27900000004,1507933.15,2417437.48,1753854.05,88793.04,596002.3600000001,243904.04,596002.3600000001,0.0,543296.05,359530.42000000004,537465.58,2137462.34,358450.8,5830.469999999999,-1079.62,1497020.45,3269363.88,3269363.88,1275387.74,PERFORACIONS GIRONA SL_resum
2006-01-01,191207.81,0.0,2918501.6,12020.0,590144.71,1102.09,0.0,936788.87,144476.94,594177.13,738654.07,0.0,936788.87,2875125.25,703194.42,0.04,15502.35,15502.35,2442332.32,230728.61,2442332.32,64583.51,33138.12899999999,962865.96,512294.31,152396.37,3397.8900000000003,12.0,-789621.969,298175.27900000004,1981712.73,2863105.25,1753854.05,88793.04,815034.5,191207.81,815034.5,0.0,611812.91,381084.3,594177.13,2137462.34,445667.77,17635.780000000002,64583.47,1966551.01,3881367.56,3881367.56,1539570.09,PERFORACIONS GIRONA SL_resum
2007-01-01,148207.31,0.0,3577784.75,12020.0,859792.61,1102.09,0.0,929727.74,159496.02,859965.06,1019461.08,0.0,929727.74,3585426.43,792176.23,10044.28,20449.75,20449.75,2714518.33,291541.22000000003,2714518.33,69577.45999999999,92789.32,887206.07,466289.73,187903.11,2448.8100000000004,12.0,-789621.969,233013.229,2648057.01,3573406.43,1753854.05,88793.04,731357.08,148207.31,731357.08,0.0,932304.63,640763.41,859965.06,2137462.34,700296.59,72339.57,59533.18,2631943.16,4464990.819999999,4464990.819999999,1963959.81,PERFORACIONS GIRONA SL_resum
2008-01-01,84795.0,0.0,3722170.48,12020.0,529926.6699999999,1102.09,55309.48,680192.3400000001,172121.83,383608.29,555730.12,0.0,680192.3400000001,3943231.27,792110.25,0.0,13197.45,13197.45,2138564.43,144759.05,2138564.43,0.0,132153.049,678782.06,0.0,485768.83,1102.09,10.0,-789621.969,193013.23,3041978.14,3931211.27,1753854.05,88793.04,228823.75,173588.04,284133.23000000004,0.0,502563.89,357804.84,383608.29,2137462.34,357804.84,118955.599,0.0,2970051.93,4400952.54,4400952.54,1479993.42,PERFORACIONS GIRONA SL_resum
