Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,300506.05,5224.52,60447.02,420708.47,95485.64,130798.5,0.0,25289.84,37760.83,96582.33,134343.16,4509.39,29799.23,821217.58,286942.18,182.16,20287.06,20287.06,672573.8600000001,24739.2,673197.11,4772.02,1578.88,1265116.48,0.0,1262184.99,138120.23,20.0,-216766.09,2931.489,30647.789,400509.11,839838.489,25642.55,203839.87,300506.05,203839.87,0.0,77874.15000000001,53134.95,96582.33,844325.3300000001,57724.810000000005,-18708.18,4589.860000000001,30647.79,1325563.5,1325563.5,427454.08,PERLOT SL_resum
2000-01-01,300506.05,5224.52,183998.05,420708.47,112969.7,130798.5,0.0,18831.15,50576.89,95262.92,145839.81,4509.39,23340.54,883610.39,321912.76,288.55,21816.74,21816.74,750372.8600000001,20997.39,751295.41,8102.129000000001,2130.44,1255418.1,0.0,1252486.61,134852.87,20.0,-216766.09,2931.489,160657.509,462901.92,839838.489,25642.55,255299.7,300506.05,255299.7,0.0,75576.62000000001,54579.22899999999,95262.92,844325.3300000001,62392.810000000005,-19686.3,7813.579,160657.51,1439416.15,1439416.15,477696.59,PERLOT SL_resum
2001-01-01,300506.05,5224.52,81190.03,420708.47,99033.769,130798.5,0.0,32532.76,57812.56,69719.89,127532.45,3906.58,36439.34,924831.6,352472.75,16.88,20611.06,20611.06,791145.01,17472.59,793566.7899999999,7401.49,2200.3500000000004,1462869.39,0.0,1458937.9,137056.78,20.0,-216766.09,3931.489,44750.69,504123.13,839838.489,25642.55,318721.77,300506.05,318721.77,0.0,51309.18,33836.59,69719.89,844325.3300000001,41221.21,-18410.71,7384.610000000001,44750.7,1544059.43,1544059.43,489590.17,PERLOT SL_resum
2002-01-01,60083.32,5224.52,105019.16,859447.3,111812.42,130798.5,0.0,35356.02,64055.13,70762.25,134817.37999999998,4507.59,39863.61,1411325.94,369876.42,1.57,14836.78,14836.78,802678.8300000001,20038.12,804974.74,11091.78,779.73,1542425.45,5320.13,1533173.83,148598.71000000002,20.0,-216766.09,3931.489,65155.55,551878.639,839838.489,25642.55,176035.34999999998,60083.32,176035.34999999998,0.0,56705.2,36667.08,70762.25,844325.3300000001,47757.28999999999,-14057.05,11090.21,65155.55,1647444.61,1647444.61,516563.74,PERLOT SL_resum
2003-01-01,134667.83,5224.52,178691.14,859447.3,103307.579,130798.5,0.0,35995.23,61906.74,50546.34,112453.079,4507.59,40502.82,1452726.78,394233.64,0.0,3704.09,3704.09,914325.94,16835.21,917189.059,10922.97,470.83,1583971.83,5320.13,1574720.21,186654.28,20.0,-216766.09,3931.49,138188.31999999998,593279.48,839838.489,25642.55,175268.36,134667.83,175268.36,0.0,47313.08,30477.87,50546.34,844325.3300000001,41400.84,-3233.26,10922.97,138188.31999999998,1762662.97,1762662.97,518080.52,PERLOT SL_resum
2004-01-01,96127.54,5224.52,215047.7,859447.3,88379.76,130798.5,0.0,97042.66,59158.82,28888.42,88047.239,5499.26,102541.92,1481947.72,430374.97,2.24,4041.43,4041.43,915445.39,12523.26,917889.17,16673.168999999998,226.28,1597478.6900000002,3192.08,1590355.12,176016.83,20.0,-216766.09,3931.489,112505.78,622500.419,839838.489,25642.55,234451.13,96127.54,234451.13,0.0,25073.27,12550.01,28888.42,844325.3300000001,29220.94,-3815.15,16670.929,112505.78,1812526.39,1812526.39,535319.42,PERLOT SL_resum
2005-01-01,69238.93,5224.52,271867.05,859447.3,103622.709,130798.5,0.0,57404.16,55251.11,53685.67,108936.78,3305.56,60709.72,1530319.32,490255.87,0.0,2889.74,2889.74,991952.81,20052.11,1050557.95,17314.43,313.35,1578303.05,1064.03,1570307.53,179731.7,20.0,-216766.09,6931.489,211157.33,670872.02,839838.489,25642.55,250611.849,69238.93,250611.849,0.0,51109.28,31057.17,53685.67,844325.3300000001,48371.6,-2576.3900000000003,17314.43,211157.33,1850170.1,1850170.1,616820.429,PERLOT SL_resum
2006-01-01,54133.04,5224.52,296167.21,859447.3,83086.92,130798.5,0.0,105332.82,54819.3,26551.31,81370.61,8805.0,114137.82,1558586.94,464323.09,0.0,2568.3,2568.3,885701.13,12114.7,949706.7,16268.43,130.88000000000002,1523582.0,0.0,1516650.51,152559.12,25.0,-216766.09,6931.489,182029.39,699139.639,839838.489,25642.55,207029.229,54133.04,207029.229,0.0,24113.89,11999.189,26551.31,844325.3300000001,28267.62,-2437.42,16268.43,182029.39,1819749.21,1819749.21,562093.01,PERLOT SL_resum
2007-01-01,55614.97,5224.52,409364.1,859447.3,141252.62,130798.5,0.0,64827.89,80328.79,60616.12,140944.91,3125.0,67952.89,1619510.77,491403.86,0.0,2401.68,2401.68,989497.4,20307.95,1061403.52,18657.09,4360.25,1502633.72,0.0,1496702.23,160198.27000000002,25.0,-216766.09,5931.489,341411.20900000003,760063.47,839838.489,25642.55,236872.08,55614.97,236872.08,0.0,62574.69,42266.74,60616.12,844325.3300000001,60923.83,1958.57,18657.09,341411.21,1911997.82,1911997.82,655366.11,PERLOT SL_resum
2008-01-01,198128.28,5224.52,232498.0,859447.3,82690.12000000001,130798.5,0.0,70325.81,80042.43,4486.84,84529.269,12662.9,77764.18900000001,1679272.02,543029.97,0.0,6885.160000000001,6885.160000000001,924815.2,1209.39,975123.83,0.0,6255.4,1720864.32,0.0,1714932.83,137246.4,21.0,-216766.09,5931.49,149509.29,819824.72,839838.489,25642.55,45094.95,223770.83,50319.47,0.0,3857.08,2647.689,4486.84,844325.3300000001,2647.689,-629.76,0.0,148880.76,1953362.32,1953362.32,633814.64,PERLOT SL_resum
