Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,0.0,0.0,405306.73,60101.21,54565.41,0.0,0.0,102454.55,16118.83,57477.94,73596.77,0.0,102454.55,365343.61,47737.45,0.0,315.04,315.04,742689.43,20702.01,742944.8600000001,0.0,1985.69,34970.96,0.0,34970.96,544643.62,0.0,-58322.0,0.0,302852.18,305242.39900000003,104745.85,0.0,74934.08,0.0,74934.08,0.0,59148.59,38446.58,57477.94,68225.19,38446.58,1670.65,0.0,302852.19,440277.69,440277.69,123319.909,PICANYOL SA_resum
2000-01-01,0.0,0.0,328358.25,60101.21,16647.55,0.0,0.0,90715.43,12445.27,3523.58,15968.85,0.0,90715.43,369545.89,37214.59,0.0,523.63,523.63,344555.42000000004,2262.76,344961.1,0.0,3465.08,61807.99,0.0,61807.99,215144.36,0.0,-58322.0,0.0,237642.82,309444.68,104745.85,0.0,20620.35,0.0,20620.35,0.0,6465.04,4202.28,3523.58,68225.19,4202.28,2941.46,0.0,237642.82,390166.24,390166.24,56648.529,PICANYOL SA_resum
2001-01-01,0.0,0.0,349574.97000000003,60200.0,40887.53,0.0,0.0,126700.91,23690.71,22850.26,46540.97,0.0,126700.91,386841.5,35281.340000000004,0.0,686.56,686.56,909188.75,7370.39,909444.18,0.0,2403.51,50112.55,0.0,50112.55,769425.8200000001,0.0,-58322.0,0.0,222874.059,326641.5,104745.85,0.0,12846.02,0.0,12846.02,0.0,24567.21,17196.82,22850.26,68225.19,17196.82,1716.95,0.0,222874.06,399687.52,399687.52,84225.819,PICANYOL SA_resum
2002-01-01,0.0,0.0,409783.46,60200.0,52384.75,0.0,0.0,74051.83,23690.72,38170.59,61861.310000000005,0.0,74051.83,415535.52,35853.55,0.0,186.14,186.14,235754.02,12297.45,235754.02,0.0,3007.03,26722.35,0.0,26421.84,71159.90999999999,0.0,-58322.0,300.509,335731.63,355335.52,104745.85,0.0,20970.29,0.0,20970.29,0.0,40991.48,28694.03,38170.59,68225.19,28694.03,2820.8900000000003,0.0,335731.63,436505.81,436505.81,100721.89,PICANYOL SA_resum
2003-01-01,0.0,0.0,471117.33,60200.03,53769.45,0.0,0.0,70148.67000000001,23690.72,41257.49,64948.21,0.0,70148.67000000001,445614.28,39262.66,0.0,451.49,451.49,211693.23,12890.88,212243.85,0.0,2163.61,3031.63,0.0,2731.12,81208.31,0.0,-58322.0,300.51,400968.66,385414.25,104745.85,0.0,28534.68,0.0,28534.68,0.0,42969.61,30078.73,41257.49,68225.19,30078.73,1712.12,0.0,400968.66,474148.96,474148.96,106374.48,PICANYOL SA_resum
2004-01-01,0.0,0.0,495428.74,60200.03,32584.539,0.0,0.0,68363.25,2906.78,38906.03,41812.810000000005,0.0,68363.25,475292.04,38607.810000000005,0.0,140.22,140.22,174751.41999999998,12545.67,176334.15,0.0,3457.62,2088.449,0.0,1787.94,67630.82,0.0,-58322.0,300.509,427065.4900000001,415092.01,104745.85,0.0,22225.15,0.0,22225.15,0.0,42223.43,29677.76,38906.03,68225.19,29677.76,3317.4,0.0,427065.4900000001,497517.19,497517.19,83878.239,PICANYOL SA_resum
2005-01-01,0.0,0.0,489492.11,60200.03,13476.02,0.0,0.0,58528.01,2191.3500000000004,9443.19,11634.54,12133.6,70661.61,486576.71,36157.12,0.0,204.46,204.46,134423.17,4365.34,134476.73,0.0,6411.28,12548.29,3060.0,9187.78,56317.0,0.0,-58322.0,300.51,418830.5,426376.68,104745.85,0.0,15463.69,0.0,15463.69,0.0,15650.01,11284.67,9443.19,68225.19,11284.67,6206.820000000001,0.0,418830.5,502040.4,502040.4,54202.94,PICANYOL SA_resum
2006-01-01,0.0,0.0,494614.88,60200.03,7494.35,0.0,0.0,29949.81,2696.82,-1913.32,783.5,8853.5,38803.310000000005,491374.24,36744.33,0.0,1371.24,1371.24,148331.75,2056.08,148352.54,0.0,10138.17,9851.47,3060.0,6490.96,37207.56,1.0,-58322.0,300.509,455811.57,431174.209,104745.85,0.0,13092.11,0.0,13092.11,0.0,6853.610000000001,4797.53,-1913.32,68225.19,4797.53,8766.93,0.0,455811.57,504466.35,504466.35,47666.0,PICANYOL SA_resum
2007-01-01,0.0,0.0,493798.27,60200.03,6992.286666666667,0.0,0.0,52760.09,3406.8633333333332,-6953.89,-6953.89,11760.1,64520.189,491604.3,39371.62,0.0,77.81,77.81,195904.28,76.67999999999999,197027.76,0.0,7338.44,9851.47,3060.0,6490.96,79871.09,2.0,-58322.0,300.509,429278.08,431404.27,104745.85,0.0,12045.44,0.0,12045.44,0.0,306.74,230.06,-6953.89,68225.19,230.06,7260.63,0.0,429278.08,503649.74,503649.74,39756.17,PICANYOL SA_resum
2008-01-01,0.0,0.0,486934.28,60200.0,6490.223333333334,1849.06,0.0,30189.63,4116.906666666667,-36520.66,-36520.66,8349.92,38539.55,491848.8,46423.850000000006,0.0,1623.44,1623.44,69338.25,81.49000000000001,70074.25,0.0,38470.09,9851.47,131.63,9419.33,1849.06,1.0,-58322.0,300.51,448394.73,431648.8,104745.85,0.0,4936.95,0.0,4936.95,0.0,325.98999999999995,244.5,-36520.66,68225.19,244.5,36846.649,0.0,448394.73,496785.75,496785.75,48373.28,PICANYOL SA_resum
