Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,591005.49,144327.44999999998,483377.77,168283.38999999998,37782.5,0.0,41235.87,66638.40999999999,16563.23,15323.05,31886.28,269033.21,335671.62,3536184.29,157531.05,30.17,28047.03,28047.03,562712.97,11468.15,651396.7699999999,45359.45,82.119,4400088.649999999,176.7,4399911.95,22091.13,9.0,-272773.07,0.0,147706.15,3367900.9,773984.1789999999,0.0,756276.64,591005.49,756276.64,0.0,-12641.86,-24110.01,15323.05,752608.02,21219.27,-27964.91,45329.28,147706.15,4883466.42,4883466.42,234828.729,PLAYA DE AMPURIABRAVA SA_resum
2000-01-01,1068486.25,144327.44999999998,382226.84,679143.6799999999,100871.57,0.0,41235.87,150253.49,79327.77,101361.57,180689.34,193194.71,343448.199,4218841.41,146212.84,83310.62000000001,65594.40999999999,65594.40999999999,693002.4500000001,11600.51,969263.45,80687.45999999999,0.31,5493078.619999999,176.7,5492901.92,77986.15000000001,9.0,-272773.07,0.0,38778.64,3539697.73,773984.1789999999,0.0,587977.8,1068486.25,587977.8,0.0,35767.47,24166.960000000003,101361.57,752608.02,21543.8,-65594.1,-2623.159,38778.64,5875305.46,5875305.46,324279.329,PLAYA DE AMPURIABRAVA SA_resum
2001-01-01,877126.97,144327.44999999998,314124.23000000004,681550.2,139333.449,0.0,41235.87,39336.03,113892.4,142838.74000000002,256731.139,178940.8,218276.83,4266868.389,177564.3,15636.87,74452.82,74452.82,832899.37,30173.89,1083911.26,2212.07,653.8199999999999,5611990.49,176.7,5611813.79,212518.48,13.0,-272773.07,0.0,95847.4,3585318.189,773984.1789999999,0.0,782119.3600000001,877126.97,782119.3600000001,0.0,69039.73999999999,38865.850000000006,142838.74000000002,752608.02,25441.05,-73799.0,-13424.8,95847.4,5926114.72,5926114.72,421524.46,PLAYA DE AMPURIABRAVA SA_resum
2002-01-01,1530722.36,144327.44999999998,664190.1,681550.2,157333.94999999998,0.0,41235.87,407418.79,128573.06,102860.96,231434.02,172828.5,580247.2899999999,4295629.28,164419.71000000002,11469.44,84073.07,84073.07,674088.57,8002.68,877452.4400000001,29418.55,26.57,5477163.42,176.7,5476986.72,6112.3,11.0,-272773.07,0.0,83942.81,3614079.08,773984.1789999999,0.0,315001.88,1530722.36,315001.88,0.0,18814.460000000003,10811.779,102860.96,752608.02,28760.89,-84046.5,17949.109999999997,83942.81,6141353.52,6141353.52,413829.41,PLAYA DE AMPURIABRAVA SA_resum
2003-01-01,1433252.16,144327.44999999998,636235.13,681550.2,160911.55899999998,0.0,41235.87,421335.86,132868.709,127980.96,260849.669,172828.5,594164.3600000001,4323672.13,184544.5,7.89,86262.35,86262.35,713485.1799999999,15100.0,860970.21,1432.03,0.1,5471532.23,176.7,5471355.53,77012.34,13.0,-272773.07,0.0,42070.77,3642121.929,773984.1789999999,0.0,350843.07,1433252.16,350843.07,0.0,41718.71,26618.71,127980.96,752608.02,28042.85,-86262.25,1424.139,42070.77,6107767.359999999,6107767.359999999,446818.409,PLAYA DE AMPURIABRAVA SA_resum
2004-01-01,1341481.1700000002,144327.44999999998,497505.37,681550.2,159429.84,0.0,41235.87,273749.99000000005,130102.14,112694.93,242797.07,171906.94999999998,445656.94,4352999.83,197600.67,139.2,70245.56,70245.56,688027.41,15676.45,826180.14,2691.8500000000004,2.13,5570521.08,176.7,5570344.38,921.55,12.0,-272773.07,0.0,51848.429,3671449.63,773984.1789999999,0.0,373545.45,1341481.1700000002,373545.45,0.0,42451.5,26775.05,112694.93,752608.02,29327.7,-70243.43,2552.65,51848.43,6068026.45,6068026.45,442952.52,PLAYA DE AMPURIABRAVA SA_resum
2005-01-01,1224937.42,144327.44999999998,720358.66,681550.2,1121619.95,0.0,41235.87,449637.51,108439.05,-29741.04,78698.01,0.0,449637.51,5366180.73,215997.33,13253.55,66603.1,66603.1,847022.81,161820.71000000002,882913.47,1281668.95,2930.3500000000004,6823255.819999999,176.7,5701515.6,11107.64,13.0,-272773.07,1121563.52,270721.15,4684630.53,773984.1789999999,0.0,952496.33,1224937.42,952496.33,0.0,-93413.79,-255234.5,-29741.04,752608.02,1013180.9,-63672.75,1268415.4,270721.15,7543614.48,7543614.48,1566041.09,PLAYA DE AMPURIABRAVA SA_resum
2006-01-01,3538090.14,144327.44999999998,1924874.47,681550.2,834476.22,0.0,41235.87,628964.72,111555.47,-122458.83,-10903.36,0.0,628964.72,6089101.48,289184.37,212.85,128929.81,128929.81,811583.04,67413.53,937013.05,1037144.24,4791.53,9136402.33,176.7,8014662.109999999,8335.869999999999,16.0,-272773.07,1121563.52,1295909.75,5407551.28,773984.1789999999,0.0,1434085.1800000002,3538090.14,1434085.1800000002,0.0,-246597.11,-314010.64,-122458.83,752608.02,722920.75,-124138.28,1036931.39,1270961.95,11061276.8,11061276.8,1320003.93,PLAYA DE AMPURIABRAVA SA_resum
2007-01-01,3295548.14,144327.44999999998,499365.24,681550.2,156225.97,0.0,41235.87,444651.43000000005,115342.23,198909.15,314251.38,0.0,444651.43000000005,8038548.859999999,336857.43000000005,22.6,222805.07,222805.07,852828.13,8866.04,1186292.02,70356.23999999999,3312.06,11512678.49,176.7,10390938.27,5564.099999999999,16.0,-272773.07,1121563.52,54713.810000000005,7356998.659999999,773984.1789999999,0.0,677946.73,3295548.14,677946.73,0.0,-20583.86,-29449.9,198909.15,752608.02,40883.74,-219493.01,70333.64,29766.01,12012043.73,12012043.73,724754.51,PLAYA DE AMPURIABRAVA SA_resum
2008-01-01,3451283.7,144327.44999999998,187333.15,681550.2,-2549.69,0.0,41235.87,157268.47,120064.68,-21376.16,98688.519,0.0,12941.019,7915934.49,381146.43000000005,0.0,274713.98000000004,274713.98000000004,655014.24,-173473.61000000002,752608.02,0.0,2.16,11580346.72,176.7,10287220.22,2792.33,19.0,-272773.07,1292949.8,30064.68,7234384.29,773984.1789999999,0.0,214898.36,3451283.7,400461.68,0.0,-296087.98000000004,-122614.37,-21376.16,752608.02,-122614.37,-274711.82,0.0,29320.88,11767679.87,11767679.87,479837.11,PLAYA DE AMPURIABRAVA SA_resum
2009-01-01,4253482.94,245708.08,369520.0,681550.2,-465891.11,20.56,38254.67,332430.7,125160.66,-466879.07,-341718.41000000003,0.0,86722.62000000001,7324882.72,373036.61,0.0,259897.26,259897.26,582289.43,-135367.44,654879.66,0.0,357.12,11801709.04,176.7,10373452.52,20.56,18.0,-623540.899,1428079.82,37089.3,6643332.52,1121738.1700000002,0.0,308900.63,4253482.94,592863.38,0.0,-726419.21,-591051.7699999999,-466879.07,654859.1,-591051.7699999999,-259540.14,0.0,36345.5,12171229.04,12171229.04,31675.32,PLAYA DE AMPURIABRAVA SA_resum
2010-01-01,4592445.44,247540.66,307638.35,681550.2,-307189.83900000004,-288.85,217189.25,253772.57,140186.87999999998,-371088.42,-230901.539,0.0,6231.91,6877506.0,359031.73000000004,0.0,265336.39,265336.39,518939.5,-188354.01,616967.55,0.0,694.08,11867816.62,176.7,10251443.51,-288.85,16.0,-489126.209,1616196.41,53865.78,6195955.8,988344.82,0.0,240773.62,4592445.44,705503.53,0.0,-635730.73,-447376.72,-371088.42,617256.4,-447376.72,-264642.31,0.0,53121.98,12175454.97,12175454.97,128824.27,PLAYA DE AMPURIABRAVA SA_resum
2011-01-01,4719769.2700000005,110165.45,326987.95,681550.2,-332604.29000000004,29.37,13279.47,251782.28,140581.0,-439551.97,-298970.97000000003,0.0,141616.83,6404320.71,357096.84,0.0,233517.95,233517.95,460157.14,-199881.19,709262.1799999999,0.0,3.44,11932070.35,176.7,10116053.47,29.37,16.0,-651106.9400000001,1815840.18,75205.67000000001,5722770.51,1148784.78,0.0,1011523.399,4719769.2700000005,1134968.32,0.0,-673066.48,-473185.29,-439551.97,709232.81,-473185.29,-233514.51,0.0,74461.87000000001,12259058.3,12259058.3,58129.310000000005,PLAYA DE AMPURIABRAVA SA_resum
2012-01-01,5613683.99,79024.97,247238.69,681550.2,-521096.83,-481.63,61814.49,227876.69,158190.08,-654852.0,-496661.92,0.0,148851.72,5725033.8,370968.64,0.0,262090.42,262090.42,404550.26,-236074.12,663663.38,0.0,1581.39,11992959.06,176.7,9941105.48,-481.63,15.0,-789838.2899999999,2051676.88,19362.0,5043483.6,1318997.01,0.0,822454.99,5613683.99,901479.96,0.0,-915361.03,-679286.91,-654852.0,664145.01,-679286.91,-260509.03,0.0,18705.02,12240197.75,12240197.75,-124111.89,PLAYA DE AMPURIABRAVA SA_resum
2013-01-01,5457160.03,143216.46,200966.23,681550.2,-304413.22000000003,15.91,110349.51,199503.81,175475.17,-465952.09,-290476.92000000004,0.0,56287.350000000006,5245145.41,361096.39,0.0,221649.03,221649.03,314222.22000000003,-207707.01,436691.72,0.0,5.72,12018130.23,176.7,9758807.06,15.91,14.0,-366056.339,2259146.469,1462.42,4563595.21,902627.899,0.0,1263225.05,5457160.03,1516791.02,0.0,-687595.4,-479888.39,-465952.09,436675.81,-479888.39,-221643.31,0.0,805.4399999999999,12219096.46,12219096.46,70625.19,PLAYA DE AMPURIABRAVA SA_resum
2014-01-01,4510131.930000001,88412.29,81697.87000000001,681550.2,829993.659,8.51,103840.1,77174.17000000001,161730.83,1338045.54,1499776.37,0.0,-11238.119,5913408.24,373693.82,0.0,239168.44,239168.44,255725.71,430614.39,375596.03,0.0,0.12,11191416.5,176.7,9366367.97,8.51,14.0,1497882.6700000002,1824871.83,4523.7,5231858.04,-962458.019,0.0,657321.81,4510131.930000001,849574.2,0.0,1098877.22,668262.8300000001,1338045.54,375587.52,668262.8300000001,-239168.32,0.0,3866.72,11273114.37,11273114.37,1873470.31,PLAYA DE AMPURIABRAVA SA_resum
2015-01-01,4047055.28,133031.03,81695.17000000001,681550.2,669897.1,0.0,32389.53,80271.40999999999,142511.74000000002,859866.23,1002377.97,0.0,-52759.619,6440793.6,323741.98000000004,0.0,152121.67,152121.67,272168.41000000003,180359.2,543694.62,0.0,0.0,10606076.55,176.7,8926319.28,6.865,12.0,782425.3310000001,1679580.57,1423.76,5759243.4,-316171.611,0.0,34502.28,4047055.28,199922.84,0.0,707744.56,527385.3600000001,859866.23,543694.62,527385.3600000001,-152121.67,0.0,766.7800000000001,10687771.72,10687771.72,1326119.95,PLAYA DE AMPURIABRAVA SA_resum
2016-01-01,3761890.45,58897.21,86662.06,681550.2,178545.37,5.22,102743.03,77262.6,140034.15,184330.65,324364.8,0.0,18365.39,6479304.819999999,352643.34,0.0,132610.15,132610.15,256859.23,13210.25,416447.42,0.0,0.97,10410496.88,176.7,8770540.27,5.22,14.0,260565.939,1639779.91,9399.46,5797754.619999999,232111.55,0.0,94323.43,3761890.45,255963.67,0.0,51721.47,38511.22,184330.65,416442.2,38511.22,-132609.18,0.0,8742.48,10497158.94,10497158.94,677009.11,PLAYA DE AMPURIABRAVA SA_resum
2017-01-01,4064526.02,22872.1,117710.52,681550.2,-99141.669,0.0,12931.95,116251.71,114838.85,-188893.54,-74054.69,0.0,93379.61,6265324.3,371117.17,0.0,92403.24,92403.24,290074.65,-67275.7,418107.15,0.0,40.56,10330897.08,176.7,8632735.850000001,3.44,15.0,-121044.67,1697984.53,1458.81,5583774.1,607000.69,0.0,82953.23,4064526.02,118757.28,0.0,-281256.22000000003,-213980.519,-188893.54,418107.15,-213980.519,-92362.68,0.0,789.81,10448607.6,10448607.6,297103.04,PLAYA DE AMPURIABRAVA SA_resum
2018-01-01,3143422.3,43208.380000000005,69976.90999999999,681550.2,-306453.4,1.66,290713.06,66641.85,92092.93,-406874.35,-314781.42000000004,0.0,23433.47,5610937.07,399249.67,0.0,111943.52,111943.52,276330.63,-120264.57,427287.9,0.0,6.970000000000001,9094561.7,176.7,6618503.3,1.66,15.0,-342817.99000000005,2475881.7,3335.06,4929386.868999999,834160.59,0.0,76257.8,3143422.3,410179.24,0.0,-518810.9,-398546.33,-406874.35,427286.24,-398546.33,-111936.55,0.0,2666.06,9164538.61,9164538.61,84475.219,PLAYA DE AMPURIABRAVA SA_resum
2019-01-01,2169134.37,19107.78,149571.81,782520.6,917505.479,68.84,5606.29,133875.45899999997,94735.58,1158679.1900000002,1253414.77,0.0,114767.67900000002,6136606.38,303746.63,0.0,62066.3,62066.3,119189.11,273842.99000000005,340072.08,0.0,0.0,8272801.319999999,176.7,6220219.71,68.84,12.0,1217158.16,2052404.91,15696.35,5354085.779,-818675.9500000001,0.0,91918.31,2169134.37,116632.38,0.0,1096612.89,822769.899,1158679.1900000002,340003.24,822769.899,-62066.3,0.0,15027.35,8422373.129999999,8422373.129999999,1557161.4,PLAYA DE AMPURIABRAVA SA_resum
2020-01-01,2097946.569,16913.36,77328.13,782520.6,-110030.48,0.0,157.78,67771.3,50776.08,-146820.97,-96044.89,0.0,50857.94,5975799.819999999,261387.48,0.0,14229.01,14229.01,24935.26,-197.85,194663.54,0.0,45.57,8102982.659999999,176.7,6156345.89,44787.28666666666,11.0,-29320.95,1946460.07,9556.83,5193279.22,341484.51,0.0,89493.26,2097946.569,106564.4,0.0,-161004.41,-160806.56,-146820.97,194663.54,-160806.56,-14183.44,0.0,8887.83,8180310.79,8180310.79,165388.16,PLAYA DE AMPURIABRAVA SA_resum
2021-01-01,1896430.0,11261.37,107886.49,782520.6,-141494.3,0.0,1501.825,94266.2,19214.07,-149935.62,-130721.549,0.0,83004.83,5815091.45,260940.96,0.0,10970.65,10970.65,27900.24,-197.85,393535.45,0.0,0.05,7713910.28,176.7,6135183.44,89505.73333333332,13.0,-263316.04,1578550.14,13620.29,5032570.85,543471.07,0.0,99013.95,1896430.0,110275.32,0.0,-160906.22,-160708.37,-149935.62,393535.45,-160708.37,-10970.6,0.0,12951.29,7821796.77,7821796.77,130219.459,PLAYA DE AMPURIABRAVA SA_resum
2022-01-01,1983932.0,89023.88,189858.17,782520.6,22839.52,134224.18,2845.8700000000003,172000.34,13971.32,16857.27,30828.59,0.0,82976.459,5823959.649999999,380560.2,0.0,8199.07,8199.07,119777.14,-197.85,536798.04,0.0,12.15,7831854.07,12176.7,6251626.119999999,134224.18,15.0,8814.931,1568051.25,17857.829999999998,5041439.05,385716.588,0.0,121950.84,1983932.0,213820.59,0.0,8670.349999999999,8868.2,16857.27,402573.86,8868.2,-8186.92,0.0,17188.829999999998,8021712.24,8021712.24,411400.94,PLAYA DE AMPURIABRAVA SA_resum
2023-01-01,2097271.19,88602.25,156928.69,782520.6,17811.47,184011.19,2845.8700000000003,144423.31,15694.64,11527.08,27221.72,0.0,55821.06,1166950.82,449821.85,0.0,8704.640000000001,8704.640000000001,128538.32,705.61,552787.9400000001,0.0,0.0,3323053.32,12176.7,1743728.83,184011.19,16.0,108266.819,1567147.79,12505.38,384430.22,357249.67,0.0,127157.75,2097271.19,215760.0,0.0,2822.44,2116.8300000000004,11527.08,368776.749,2116.8300000000004,-8704.640000000001,0.0,11836.38,3479982.01,3479982.01,477043.57,PLAYA DE AMPURIABRAVA SA_resum
