Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,0.0,145964.67,198482.99,72121.45,24465.3,532897.12,0.0,177815.44,3794.68,29223.02,33017.69899999999,2511.3500000000004,180326.79,138263.84,145336.49,0.0,362.09,362.09,443754.73,8858.83,443754.73,0.0,668.53,7556.660000000001,7116.42,440.24,255300.19,8.0,-45201.54,0.0,18156.199,66142.39,378285.47,2483.86,67775.8,15327.41,67775.8,0.0,29529.460000000003,20670.629,29223.02,462179.77,20670.62,306.44,0.0,18109.3,206039.65,206039.65,179022.71000000002,PROCONSTRUC QUINTANAS SL_resum
2000-01-01,0.0,145964.67,337155.78,72121.45,32183.73,532897.12,0.0,332938.12,2968.18,42280.44,45248.62,1739.78,334677.9,167479.4,157922.69,0.0,878.3299999999999,878.3299999999999,603340.2799999999,12520.96,603340.2799999999,0.0,334.4,6011.68,159.03,5852.660000000001,389063.73,9.0,-45201.54,-0.009,2477.88,95357.95,378285.47,2483.86,175688.06,15327.41,175688.06,0.0,41736.51,29215.55,42280.44,462179.77,29215.55,-543.93,0.0,2477.88,343167.46,343167.46,203505.71,PROCONSTRUC QUINTANAS SL_resum
2001-01-01,15327.41,145964.67,347714.49000000005,72120.0,33949.68,532897.12,0.0,292394.85,7680.14,43406.47,51086.61,1771.26,294166.11,193748.94,174331.87,4509.39,1067.61,1067.61,678376.31,12240.56,678857.12,0.0,680.63,19876.31,409.18,19467.13,441522.36,11.0,-45201.54,0.0,53548.380000000005,121628.94,378285.47,2483.86,158514.44999999998,15327.41,158514.44999999998,0.0,43019.49,30778.93,43406.47,462179.77,26269.54,-386.98,-4509.39,53548.380000000005,367590.8,367590.8,221589.72,PROCONSTRUC QUINTANAS SL_resum
2002-01-01,52019.39,145964.67,391635.34,72120.0,45503.979,532897.12,0.0,339972.27,13080.56,47182.76,60263.32,1642.3,341614.57,226172.36,181248.84,0.0,1046.819,1046.819,688173.12,13895.76,688173.12,0.0,183.24,23496.25,57.71,23438.54,432567.18,8.0,-45201.54,0.0,50020.77,154052.36,378285.47,2483.86,136939.84,52019.39,136939.84,0.0,46319.18,32423.42,47182.76,462179.77,32423.42,-863.58,0.0,50020.77,415131.59,415131.59,241695.398,PROCONSTRUC QUINTANAS SL_resum
2003-01-01,63858.57,145964.67,394225.8,72120.0,47483.96,532897.12,0.0,332699.05,23091.12,37006.68,60097.8,3187.94,335886.99000000005,250565.2,198628.98,0.0,2176.2,2176.2,679773.05,10454.06,679773.05,0.0,16.419999999999998,77082.36,0.0,77082.36,406890.75,9.0,-45201.54,0.0,58338.810000000005,178445.2,378285.47,2483.86,156884.38999999998,63858.57,156884.38999999998,0.0,34846.9,24392.84,37006.68,462179.77,24392.84,-2159.78,0.0,58338.810000000005,471308.16,471308.16,258743.2,PROCONSTRUC QUINTANAS SL_resum
2004-01-01,68866.57,145964.67,429235.94,72120.0,53591.27,532897.12,0.0,386247.2,29769.33,36147.22,65916.55,5252.18,391499.38,274387.14,203173.69,0.0,2117.71,2117.71,682580.14,10209.41,682580.14,0.0,1.84,73913.03,0.0,73913.03,397833.23,8.0,-45201.54,0.0,37736.56,202267.14,378285.47,2483.86,159895.26,68866.57,159895.26,0.0,34031.350000000006,23821.94,36147.22,462179.77,23821.94,-2115.8700000000003,0.0,37736.56,503148.97,503148.97,269092.08,PROCONSTRUC QUINTANAS SL_resum
2005-01-01,39289.53,145964.67,460273.07,72120.0,55463.53,532897.12,0.0,385601.5,25518.42,45454.58,70973.0,5133.0,390734.5,304332.25,240623.6,0.0,2824.9300000000003,2824.9300000000003,781638.91,12689.33,781638.91,0.0,4.79,49753.61,349.0,49404.61,449770.9,9.0,-45201.54,0.0,69538.57,232212.25,378285.47,2483.86,166404.9,39289.53,166404.9,0.0,42634.44,29945.11,45454.58,462179.77,29945.11,-2820.14,0.0,69538.57,510026.68,510026.68,311601.39,PROCONSTRUC QUINTANAS SL_resum
2006-01-01,24747.43,145964.67,886568.4,72120.0,92543.62,532897.12,0.0,857007.31,24871.71,99049.06,123920.769,3763.0,860770.31,372004.16,253658.51,0.0,2379.73,2379.73,1196447.0,29002.25,1196447.0,0.0,4.83,27664.45,119.06,24762.84,789508.75,9.0,-45201.54,2782.549,25798.089,299884.16,378285.47,2483.86,517481.26,24747.43,517481.26,0.0,96674.16,67671.90999999999,99049.06,462179.77,67671.90999999999,-2374.9,0.0,25798.09,914232.85,914232.85,377584.11,PROCONSTRUC QUINTANAS SL_resum
2007-01-01,7811.85,145964.67,759842.39,72120.0,69320.42,532897.12,0.0,675975.63,23224.21,64119.72,87343.93,15634.0,691609.63,418100.37,295399.55,0.0,2666.15,2666.15,1112321.11,15365.41,1112321.11,0.0,8.05,41399.73,23595.3,15021.88,674977.66,10.0,-45201.54,2782.55,68232.76,345980.37,378285.47,2483.86,375329.9,7811.85,375329.9,0.0,61461.62,46096.21,64119.72,462179.77,46096.21,-2658.1,0.0,67497.20999999999,801242.12,801242.12,382751.53,PROCONSTRUC QUINTANAS SL_resum
2008-01-01,0.0,145964.67,659980.9600000001,72120.0,90062.13,532897.12,7698.769999999999,132388.72,17666.1,83894.3,101560.4,1130.0,-12445.95,491640.02,315417.83,0.0,917.41,917.41,995076.89,24132.01,995076.89,0.0,13551.15,23733.63,0.0,20951.08,520297.12,9.0,-45201.54,2782.55,526462.24,419520.02,378285.47,2483.86,35927.27,2483.86,189590.71,0.0,96528.04,72396.03,83894.3,462179.77,72396.03,12633.740000000002,0.0,20030.55,683714.59,683714.59,430529.379,PROCONSTRUC QUINTANAS SL_resum
