Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,90151.82,0.0,281076.76,3005.06,-2408.3300000000004,0.0,0.0,12304.25,333.56,-3175.65,-2842.09,185116.25,185116.25,9668.6,0.0,0.0,165.73,165.73,36060.73,768.4399999999999,15447.83,31.91,567.57,30460.88,0.0,410.27,3593.28,0.0,-41155.1,30050.61,95960.51,6663.54,47216.79899999999,0.0,301869.05,90151.82,301869.05,0.0,-2773.8,-2773.8,-3175.65,48090.32,-2741.8900000000003,401.84,31.91,95960.51,311537.64,311537.64,-2242.6,PROJECTES I DISSENY SL_resum
2000-01-01,90151.82,0.0,675182.8,153258.09,7628.28,0.0,0.0,12304.25,410.27,6603.110000000001,7013.379,467556.93000000005,479861.18,167139.63,0.0,0.0,1653.07,1653.07,36060.73,768.4399999999999,54004.55,0.0,3036.4100000000003,26684.94,0.0,1190.46,28548.07,0.0,-41155.1,26684.94,195321.62,13881.54,47216.79899999999,0.0,534728.11,90151.82,534728.11,0.0,7986.45,7218.01,6603.110000000001,48090.32,7218.01,1383.34,0.0,195321.62,701867.74,701867.74,10049.79,PROJECTES I DISSENY SL_resum
2001-01-01,90151.82,0.0,1046856.5,303511.11,-4125.6,0.0,0.0,55247.26,554.65,-2930.42,-2375.77,785748.66,840995.92,312712.4,0.0,0.0,5400.31,5400.31,90151.82,1259.37,109505.65,0.0,3650.48,36895.46,0.0,1970.65,97160.4,0.0,-41155.1,34924.810000000005,205860.579,9201.29,47216.79899999999,0.0,680887.74,90151.82,680887.74,0.0,-4680.25,-4680.25,-2930.42,48090.32,-4680.25,-1749.83,0.0,205860.58,1083751.96,1083751.96,1274.71,PROJECTES I DISSENY SL_resum
2002-01-01,580422.25,0.0,1697809.11,303505.0,43897.51,0.0,0.0,107719.14,830.8299999999999,39333.02,40163.850000000006,970779.31,1078498.45,355779.09,0.0,0.0,74.57,74.57,552218.1,1750.3,573651.12,76.71000000000001,3731.52,144374.43,0.0,8115.37,516916.22,0.0,-41155.1,136259.06,619310.66,52274.09,47216.79899999999,0.0,905982.2,580422.25,905982.2,0.0,42989.97,42989.97,39333.02,48090.32,43066.68,3656.95,76.71000000000001,619310.66,1842183.54,1842183.54,43972.08,PROJECTES I DISSENY SL_resum
2003-01-01,91119.22,0.0,1130740.1800000002,718796.0,6561.83,0.0,0.0,246835.4,1332.28,2901.86,4234.14,313920.66,560756.059,764783.71,0.0,0.0,2075.55,2075.55,1267721.71,2241.23,1289681.02,319.74,6324.73,392646.05,0.0,8162.4,1207399.39,0.0,-41155.1,384483.649,569984.12,45987.709,47216.79899999999,0.0,667483.3,91119.22,667483.3,0.0,7151.04,4909.809,2901.86,48090.32,5229.55,4249.18,319.74,569984.12,1523386.23,1523386.23,10878.61,PROJECTES I DISSENY SL_resum
2004-01-01,91119.22,0.0,1154729.6800000002,718796.0,2783.649,0.0,0.0,419344.48,1694.79,-15110.47,-13415.68,369425.24,788769.72,765872.57,0.0,0.0,2963.68,2963.68,281145.84,466.65,303616.89,102.0,19527.66,201008.51,0.0,8678.78,281145.84,0.0,-41155.1,192329.73,365959.959,47076.569,47216.79899999999,0.0,498746.4,91119.22,498746.4,0.0,1453.51,986.86,-15110.47,48090.32,1088.86,16563.980000000003,102.0,365959.96,1355738.1900000002,1355738.1900000002,6213.98,PROJECTES I DISSENY SL_resum
2005-01-01,93958.58,0.0,2429088.93,718796.0,694022.07,0.0,0.0,396733.2266666667,10852.05,1037559.46,1048411.51,701762.49,701762.49,1449042.59,0.0,0.0,9645.57,9645.57,1809202.5,358614.44,1834027.21,0.0,13870.57,202499.7,0.0,162240.64,448968.01,0.0,-41155.1,40259.06,1727326.44,730246.59,47216.79899999999,0.0,1182546.04,93958.58,1182546.04,0.0,1041784.46,683170.02,1037559.46,48090.32,683170.02,4225.0,0.0,1727326.44,2631588.63,2631588.63,1062282.08,PROJECTES I DISSENY SL_resum
2006-01-01,96797.94,0.0,2468462.05,718796.0,558207.3200000001,0.0,0.0,374121.9733333333,6139.09,820094.8,826233.89,398189.79,398189.79,2001110.82,0.0,0.0,2294.44,2294.44,1368165.39,288021.17,1399385.309,0.0,22289.04,196360.61,0.0,156101.55,533470.98,0.0,-41155.1,40259.06,2070272.259,1282314.82,47216.79899999999,0.0,663711.8400000001,96797.94,663711.8400000001,0.0,840089.4,552068.23,820094.8,48090.32,552068.23,19994.6,0.0,2070272.26,2664822.66,2664822.66,848522.929,PROJECTES I DISSENY SL_resum
2007-01-01,99637.3,0.0,2634471.92,718796.0,53813.32,0.0,0.0,351510.72000000003,6484.35,-17699.08,-11214.73,831473.43,1182984.15,2048439.79,0.0,0.0,206.62,206.62,871294.6199999999,15776.32,32140.18,0.0,81010.98999999999,189909.28,0.0,149650.22,-3724.89,0.0,-41155.1,40259.06,1451487.769,1329643.79,47216.79899999999,0.0,775941.41,99637.3,775941.41,0.0,63105.28999999999,47328.97,-17699.08,48090.32,47328.97,80804.37000000001,0.0,1451487.77,2824381.2,2824381.2,69796.26,PROJECTES I DISSENY SL_resum
2008-01-01,102476.66,0.0,2085324.22,718796.0,20425.75,359903.98000000004,0.0,180619.6,6061.7,873.52,6935.219,725616.24,906235.84,2062803.84,0.0,0.0,0.0,166.9198,374423.85,4788.02,407994.3,0.0,18278.55,183847.58,0.0,3713.73,359903.98000000004,0.0,-41155.1,180133.84999999998,1179088.38,1344007.84,47216.79899999999,0.0,206367.96,102476.66,206367.96,0.0,19152.07,14364.05,873.52,48090.32,14364.05,18278.55,0.0,1167030.38,2269171.8,2269171.8,25213.77,PROJECTES I DISSENY SL_resum
