Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,30050.61,261450.53,960544.68,129217.6,60400.61,1217385.65,0.0,15255.54,2989.07,72046.45,75035.52,908670.2,923925.74,228875.7,12972.31,0.0,10364.44,10364.44,704476.51,4327.05,717590.98,0.0,56.58,110257.59,0.0,110257.59,567327.6799999999,1.0,-91924.56,0.0,36618.94,99658.1,194113.849,0.0,841926.58,30050.61,841926.58,0.0,61738.6,57411.549,72046.45,417892.32,57411.54,-10307.86,0.0,36618.95,1070802.28,1070802.28,75092.1,PROMOCIONES RAIROT SL_resum
2000-01-01,30050.61,261450.53,816801.24,129217.6,94296.01,1217385.65,0.0,47159.77,4413.18,115305.06,119718.239,769641.47,816801.24,303381.54,12972.31,0.0,16922.56,16922.56,1402720.93,8897.65,1402732.13,0.0,397.99,329947.28,0.0,329841.62,1134555.35,1.0,-91924.56,105.66,0.0,174163.93899999998,194113.849,0.0,813316.37,30050.61,813316.37,0.0,98780.49,89882.84,115305.06,417892.32,89882.83,-16524.57,0.0,37273.428888888884,1146748.52,1146748.52,133088.53,PROMOCIONES RAIROT SL_resum
2001-01-01,69116.39,261450.53,1001542.28,129217.6,122220.08,1217385.65,0.0,45058.15,4445.64,159452.76,163898.4,950369.97,995428.12,402356.71,25306.05,0.0,28956.18,28956.18,1951048.06,14158.72,1951134.32,0.0,1436.58,428773.85,0.0,428632.13,1583141.81,1.0,-91924.56,141.71899999999997,6114.160000000001,273139.11,194113.849,0.0,958843.03,69116.39,958843.03,0.0,131933.16,117774.44,159452.76,417892.32,117774.44,-27519.6,0.0,37927.90777777778,1430316.13,1430316.13,190641.03,PROMOCIONES RAIROT SL_resum
2002-01-01,30050.61,261450.53,1387799.55,160186.0,113662.86,1217385.65,0.0,51363.28,4445.76,164930.56,169376.31999999998,1336436.27,1387799.55,513026.03,27520.82,0.0,35301.11,35301.11,1758646.2,20412.7,1758646.2,0.0,0.35,424480.5,0.0,424186.37,1412382.15,2.0,-91924.56,294.13,0.0,352840.03,194113.849,0.0,1269203.41,30050.61,1269203.41,0.0,129629.8,109217.1,164930.56,417892.32,109217.1,-35300.759999999995,0.0,38582.386666666665,1812280.05,1812280.05,196897.49,PROMOCIONES RAIROT SL_resum
2003-01-01,30050.61,261450.53,1348801.1700000002,160186.0,169277.59,1217385.65,0.0,57035.13,4445.76,211965.49,216411.25,1291766.04,1348801.1700000002,656262.2,44590.67,0.0,25006.94,25006.94,2274241.86,22225.93,2274241.86,0.0,99.21,551145.75,0.0,550563.8400000001,1869367.35,2.0,-91924.56,581.91,0.0,496076.199,194113.849,0.0,1213634.11,30050.61,1213634.11,0.0,187057.76,164831.83,211965.49,417892.32,164831.83,-24907.73,0.0,39236.86555555555,1899946.92,1899946.92,261101.13,PROMOCIONES RAIROT SL_resum
2004-01-01,221297.44333333336,261450.53,2129105.98,160186.0,210648.22,1217385.65,0.0,105745.98,4445.76,279898.85,284344.61,2023360.0,2129105.98,823727.9600000001,58481.99,0.0,44397.880000000005,44397.880000000005,2394034.69,29302.42,2394035.91,0.0,3.91,936462.65,0.0,936118.08,1773724.38,5.0,-91924.56,344.57,0.0,663541.9600000001,194113.849,0.0,2241840.67,221297.44333333336,2241840.67,0.0,235504.88,206202.46,279898.85,417892.32,206202.46,-44393.97,0.0,39891.34444444445,3065568.63,3065568.63,342830.51,PROMOCIONES RAIROT SL_resum
2005-01-01,412544.2766666667,261450.53,3031722.09,160186.0,208490.08,1217385.65,0.0,84848.64,4445.76,321052.23000000004,325497.99000000005,3026777.0,3026777.0,979155.51,65994.039,0.0,78003.3,78003.3,2846898.76,39027.6,2847213.46,0.0,22.99,1795392.83,0.0,1793886.07,1892995.75,4.0,-91924.56,1506.76,4945.089,818969.51,194113.849,0.0,3847959.41,412544.2766666667,3847959.41,0.0,243071.92,204044.32,321052.23000000004,417892.32,204044.32,-77980.31,0.0,40545.823333333334,4827114.92,4827114.92,391515.019,PROMOCIONES RAIROT SL_resum
2006-01-01,603791.11,261450.53,3498692.38,160186.0,167505.41999999998,1217385.65,0.0,63951.3,4445.76,326616.81,331062.57,3428526.0,3492477.3,1101872.7,112423.68,0.0,121097.68,121097.68,2909215.17,42493.28,2909335.44,0.0,33.809999999999995,2043619.89,0.0,2043540.31,2168272.45,5.0,-91924.56,79.579,6215.079,941686.7,194113.849,0.0,3836648.46,603791.11,3836648.46,0.0,205552.94,163059.66,326616.81,417892.32,163059.66,-121063.87,0.0,41200.30222222222,5542312.2700000005,5542312.2700000005,443520.06,PROMOCIONES RAIROT SL_resum
2007-01-01,622111.74,261450.53,4483444.25,160186.0,17043.149999999998,1217385.65,0.0,145914.67,4445.76,194819.22,199264.98,4330500.0,4476414.67,1090934.81,134028.26,0.0,182233.0,182233.0,1633999.06,21426.895,1634000.1700000002,0.0,11.17,2484182.89,0.0,2483989.84,940956.53,5.0,-91924.56,193.05,7029.579,930748.81,194113.849,0.0,5254580.59,622111.74,5254580.59,0.0,12597.39,12597.39,194819.22,417892.32,12597.39,-182221.83,0.0,41854.781111111115,6967627.14,6967627.14,333304.41000000003,PROMOCIONES RAIROT SL_resum
2008-01-01,4283822.83,261450.53,3874138.25,160186.0,5429.6900000000005,1217385.65,0.0,776.99,4348.17,223778.47,228126.64,3830852.0,3570178.46,1088521.98,97841.12,0.0,222621.42,222621.42,1633623.61,360.51,1635277.97,0.0,284.98,2389724.61,0.0,2389641.67,1217385.65,3.0,-91924.56,82.94000000000001,42509.26,928335.98,194113.849,0.0,630067.519,4283822.83,891518.05,0.0,1442.03,1081.52,223778.47,417892.32,1081.52,-222336.44,0.0,42509.26,6263862.859999999,6263862.859999999,326252.74,PROMOCIONES RAIROT SL_resum
