Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,264334.18,116232.55,280839.9,6010.120000000001,11744.49,608860.92,0.0,238983.14,187.34,17862.4,18049.74,5207.84,244190.98,17567.27,298869.07,0.0,84.79,84.79,1038010.45,6223.08,1043725.63,0.0,2.63,1061.56,1061.56,0.0,635539.16,19.0,-52044.54,0.0,36648.919,11557.15,492279.7,0.0,190569.18,264334.18,190569.18,0.0,17780.23,11557.15,17862.4,504612.11,11557.15,-82.16,0.0,36648.92,281901.45,281901.45,316921.43000000005,PROMOCIONS D'HOSTALERIA BRAVA SL_resum
2000-01-01,0.0,116232.55,220987.19,6010.120000000001,13912.29,608860.92,0.0,165654.28,249.78,21372.63,21622.41,8430.58,174084.86,31229.78,320142.07,1.45,400.21,400.21,1064816.8790000002,7356.74,1071023.8890000002,0.0,48.27,811.7800000000001,811.7800000000001,0.0,647510.16,21.0,-52044.54,0.0,46902.33,25219.66,492279.7,0.0,190569.18,0.0,190569.18,0.0,21020.7,13663.96,21372.63,504612.11,13662.51,-351.92999999999995,-1.45,46902.32,221798.96,221798.96,341811.31,PROMOCIONS D'HOSTALERIA BRAVA SL_resum
2001-01-01,0.0,116232.55,244592.71,6010.120000000001,9137.66,608860.92,0.0,206563.18,249.78,13733.36,13983.14,12663.28,219226.46,40117.66,320221.98000000004,0.0,74.45,74.45,1142768.62,4785.78,1148786.75,0.0,14.75,561.99,561.99,0.0,734810.74,20.0,-52044.54,0.0,25366.25,34107.54,492279.7,0.0,205037.04,0.0,205037.04,0.0,13673.66,8887.88,13733.36,504612.11,8887.88,-59.7,0.0,25366.24,245154.7,245154.7,334219.87,PROMOCIONS D'HOSTALERIA BRAVA SL_resum
2002-01-01,0.0,116232.55,201332.34,6010.120000000001,6704.04,608860.92,0.0,162503.15,293.95,9860.99,10154.94,10677.93,173181.08,46527.74,302372.12,0.01,0.03,0.03,904994.95,3451.59,910976.529,0.0,0.7300000000000001,1139.51,312.21,827.3,510356.59,16.0,-52044.54,0.0,28151.26,40517.619,492279.7,0.0,155944.11000000002,0.0,155944.11000000002,0.0,9861.69,6410.1,9860.99,504612.11,6410.09,0.7000000000000001,-0.01,28078.84,202471.85,202471.85,312527.78,PROMOCIONS D'HOSTALERIA BRAVA SL_resum
2003-01-01,0.0,116232.55,248572.83,6010.120000000001,7322.46,608860.92,0.0,204659.14,336.92999999999995,14280.07,14617.0,8846.54,213505.68,53513.27,342830.89,3390.4500000000003,26.115000000000002,0.0,1028232.03,3905.59,1034070.03,1.5,0.6083333333333334,802.58,62.43,740.15,587409.43,16.0,-52044.54,0.0,35067.149,47503.149,492279.7,0.0,195862.14,0.0,195862.14,0.0,14280.07,10374.48,14280.07,504612.11,6985.53,-25.750000000000004,-3388.9500000000003,35067.15,249375.41,249375.41,354058.94,PROMOCIONS D'HOSTALERIA BRAVA SL_resum
2004-01-01,0.0,116232.55,260802.61,6010.120000000001,7009.99,608860.92,0.0,171399.81999999998,149.58,10357.89,10507.47,8926.949999999999,180326.77,60373.68,358032.78,0.0,52.2,52.2,1027814.57,3632.52,1035300.279,187.24,0.4866666666666667,893.4,0.0,653.0,584882.05,18.0,-52044.54,240.399,80475.839,54363.56,492279.7,0.0,201322.33,0.0,201322.33,0.0,10305.69,6673.17,10357.89,504612.11,6860.41,-52.2,187.24,80475.84,261696.01,261696.01,368727.4900000001,PROMOCIONS D'HOSTALERIA BRAVA SL_resum
2005-01-01,0.0,116232.55,233610.43,6010.120000000001,4320.929,608860.92,0.0,199520.49,87.14999999999999,6631.120000000001,6718.269,7211.76,206732.25,64607.46,368533.17,107.93,39.150000000000006,0.0,986384.96,2289.4100000000003,993096.52,0.0,0.36500000000000005,806.25,0.0,565.8499999999999,537160.6799999999,18.0,-52044.54,240.399,26878.179,58597.34,492279.7,0.0,169809.22,0.0,169809.22,0.0,6631.120000000001,4341.71,6631.120000000001,504612.11,4233.78,-39.150000000000006,-107.93,26878.18,234416.68,234416.68,375143.51,PROMOCIONS D'HOSTALERIA BRAVA SL_resum
2006-01-01,0.0,116232.55,313902.03,6010.120000000001,13766.99,608860.92,0.0,244630.22,267.59,20744.26,21011.85,10242.65,254872.87,78106.86,421514.05,0.17,26.1,0.0,1135721.49,7244.69,1143615.8,0.0,0.24333333333333335,2101.18,0.0,1860.78,643091.2899999999,20.0,-52044.54,240.399,59029.16,72096.73999999999,492279.7,0.0,237896.35,0.0,237896.35,0.0,20744.26,13499.57,20744.26,504612.11,13499.4,-26.1,-0.17,59029.16,316003.21,316003.21,442525.73,PROMOCIONS D'HOSTALERIA BRAVA SL_resum
2007-01-01,0.0,116232.55,290514.17,6010.120000000001,671.8,608860.92,0.0,247471.33,506.63,96.84,603.47,8856.130000000001,256327.46,78272.03,433573.4900000001,0.02,13.049999999999997,0.0,1141503.8,79.53,1148965.32,147.88000000000002,0.1216666666666667,1742.15,0.0,1501.75,660014.2699999999,20.0,-52044.54,240.4,34186.708999999995,72261.90999999999,492279.7,0.0,213984.29,0.0,213984.29,0.0,96.84,17.310000000000002,96.84,504612.11,165.17,-13.049999999999997,147.859,34186.71,292256.32,292256.32,434324.82,PROMOCIONS D'HOSTALERIA BRAVA SL_resum
2008-01-01,0.0,116232.55,232809.76,6010.120000000001,8967.09,608860.92,0.0,171406.5,514.71,12332.41,12847.119,14308.84,69482.79,86724.40999999999,439720.45,0.0,0.0,0.0,1105473.77,3880.03,1113473.03,0.0,0.0,1227.44,0.0,987.04,608860.92,21.0,-52044.54,240.4,47094.42,80714.29,492279.7,0.0,31080.24,0.0,147312.79,0.0,12332.41,8452.38,12332.41,504612.11,8452.38,0.0,0.0,46972.12,234037.2,234037.2,452567.57,PROMOCIONS D'HOSTALERIA BRAVA SL_resum
2009-01-01,0.0,138956.38999999998,277128.18,6010.120000000001,10795.89,605725.93,0.0,210313.82,514.71,14783.99,15298.7,12585.08,83942.509,97005.59,457085.67,0.0,0.16,0.0,1126620.97,4502.650000000001,1132594.8690000002,0.0,0.0,712.73,0.0,472.33,605725.93,15.0,-54484.57,240.4,54229.28,90995.47,512084.949,0.0,41878.93,0.0,180835.32,0.0,14783.83,10281.18,14783.99,526868.939,10281.18,-0.16,0.0,53553.350000000006,277840.91000000003,277840.91000000003,472384.21,PROMOCIONS D'HOSTALERIA BRAVA SL_resum
2010-01-01,0.0,144714.66,281629.86,6010.120000000001,1325.37,690363.16,0.0,218850.64,334.14000000000004,1416.03,1750.1699999999998,10453.72,84589.7,97996.82,478041.81,0.0,0.0,0.0,1221796.5,424.81,1226526.05,0.0,0.01,378.59,0.0,138.19,690363.16,15.0,-56370.909,240.4,52325.5,91986.7,534746.8600000001,0.0,39296.97,0.0,184011.63,0.0,1416.04,991.23,1416.03,536162.89,991.23,0.01,0.0,51649.77,282008.45,282008.45,479791.9900000001,PROMOCIONS D'HOSTALERIA BRAVA SL_resum
2011-01-01,0.0,173663.79,306385.34,6010.120000000001,3432.8700000000003,713372.3,0.0,215108.5,95.24,4751.660000000001,4846.9,15608.93,57053.639,101334.45,430392.37,0.0,1.82,0.0,1198974.95,1430.42,1204314.39,0.0,18.21,283.35,0.0,42.95,713372.3,16.0,-55702.82,240.4,75667.909,95324.33,486190.43000000005,0.0,31670.45,0.0,205334.24,0.0,4768.05,3337.63,4751.660000000001,490942.089,3337.63,16.39,0.0,74992.18000000001,306668.69,306668.69,435255.66,PROMOCIONS D'HOSTALERIA BRAVA SL_resum
2012-01-01,0.0,169732.26,310827.69,6010.120000000001,3648.42,766201.08,0.0,251951.63,42.95,5145.98,5188.929,11038.64,93258.01,104939.92,432445.02,0.0,0.0,0.0,1255525.13,1545.2,1262780.0990000002,0.0,4.69,240.4,0.0,0.0,766201.08,19.0,-58945.07,240.4,47837.42,98929.8,491433.04,0.0,36395.91,0.0,206128.17,0.0,5150.67,3605.47,5145.98,496579.019,3605.47,4.69,0.0,47198.42,311068.09,311068.09,437638.64,PROMOCIONS D'HOSTALERIA BRAVA SL_resum
2013-01-01,0.0,141089.38999999998,294370.95,6010.120000000001,5320.218181818182,769790.3,0.0,234079.28,47.049090909090914,9765.9,9765.9,14306.39,107296.279,111703.14,471517.7,0.0,104.16,0.0,1301187.6800000002,2898.52,1308454.0,0.0,0.0,170.66,0.0,0.0,769790.3,14.0,-57380.1,170.66,45985.28,105693.02,528897.8,0.0,41749.08,0.0,182838.47,0.0,9661.740000000002,6763.219,9765.9,538663.7,6763.219,-104.16,0.0,45940.68,294541.61,294541.61,481179.44,PROMOCIONS D'HOSTALERIA BRAVA SL_resum
2014-01-01,0.0,166893.87999999998,327511.91000000003,6010.120000000001,6992.016363636363,765081.37,0.0,260747.77,51.148181818181826,8460.99,8460.99,14949.32,108803.209,117612.37,487036.6,0.0,19.23,0.0,1317602.06,2532.53,1319442.26,0.0,0.0,152.61,0.0,0.0,765081.37,14.0,-58863.3,152.61,51814.82,111602.25,545899.9,0.0,43158.27,0.0,210052.15,0.0,8441.76,5909.23,8460.99,554360.89,5909.23,-19.23,0.0,51770.22,327664.52,327664.52,495478.36,PROMOCIONS D'HOSTALERIA BRAVA SL_resum
2015-01-01,0.0,161010.41,331788.0,6010.120000000001,8663.814545454545,871917.0,0.0,258345.57,55.24727272727273,12331.18,12331.18,15642.88,112978.04,126649.83,599682.2,0.0,8.950000000000001,0.0,1548798.03,3284.77,1550064.22,0.0,0.0,152.61,0.0,0.0,871917.0,13.0,-66133.84,152.61,57799.549,120639.709,665816.039,0.0,44280.37,0.0,205290.78,0.0,12322.23,9037.46,12331.18,678147.22,9037.46,-8.950000000000001,0.0,57752.850000000006,331940.61,331940.61,612004.429,PROMOCIONS D'HOSTALERIA BRAVA SL_resum
2016-01-01,0.0,113968.84,280923.71,6010.120000000001,10335.612727272728,860899.8500000001,0.0,233779.02,59.34636363636364,15570.94,15570.94,7332.18,127142.359,138602.81,648428.92,0.0,2.97,0.0,1589893.01,3702.78,1590391.23,0.0,87.79,240.4,0.0,0.0,860899.8500000001,11.0,-65491.52,240.4,39812.51,132592.69,713920.4400000001,0.0,28592.460000000003,0.0,142561.3,0.0,15655.76,11952.98,15570.94,729491.38,11952.98,84.82,0.0,39763.71,281164.11,281164.11,664084.6799999999,PROMOCIONS D'HOSTALERIA BRAVA SL_resum
2017-01-01,0.0,139256.29,336193.59,6010.120000000001,12007.41090909091,904004.78,0.0,268249.659,63.44545454545455,37866.86,37866.86,4948.21,133941.579,167066.61000000002,617190.52,0.0,0.0,0.0,1605839.82,9419.76,1608284.48,0.0,16.7,240.4,0.0,0.0,904004.78,11.0,-49222.32,240.4,62995.72,161056.49,666412.8400000001,0.0,30111.09,0.0,169367.37999999998,0.0,37883.56,28463.799,37866.86,704279.7,28463.799,16.7,0.0,62944.82,336433.99000000005,336433.99000000005,655074.08,PROMOCIONS D'HOSTALERIA BRAVA SL_resum
2018-01-01,0.0,163364.68,392515.05,6010.120000000001,13679.209090909091,1098065.33,0.0,211825.62,67.54454545454546,42227.33,42227.33,2585.3100000000004,51046.25,199375.09,817814.3500000001,0.0,69.71000000000001,0.0,2003059.72,9859.64,2010159.42,0.0,10.5,170.69,0.0,0.0,1098065.33,14.0,-52052.41,170.69,178104.12,193364.97,869866.76,0.0,29945.97,0.0,193310.65,0.0,42168.12,32308.480000000003,42227.33,912094.089,32308.480000000003,-59.209,0.0,178051.17,392685.74,392685.74,859982.47,PROMOCIONS D'HOSTALERIA BRAVA SL_resum
2019-01-01,0.0,132961.93,383955.5,6010.120000000001,15351.007272727273,936714.53,0.0,302969.99000000005,71.64363636363638,36136.33,36136.33,3759.1,173767.159,227337.49,687259.57,0.0,0.0,0.0,1698033.96,8243.849999999999,1711266.55,0.0,69.91900000000001,240.4,0.0,0.0,936714.53,21.0,-51156.12,240.4,77226.40999999999,221327.37,738415.69,0.0,23896.480000000003,0.0,156858.41,0.0,36206.25,27962.4,36136.33,774552.02,27962.4,69.91900000000001,0.0,77171.45999999999,384195.9,384195.9,723465.8200000001,PROMOCIONS D'HOSTALERIA BRAVA SL_resum
