Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,0.0,146650.69,355527.71,104576.11,27729.329,724393.01,108018.61,6290.74,20775.76,19141.94,39917.7,340607.27,346898.01,232342.11,123081.92,0.0,9338.87,9338.87,823121.61,2980.1,823475.8200000001,0.0,130.6,237523.26,0.0,229169.19,604075.98,6.0,-118358.89,8354.07,8629.7,127765.999,311313.33,0.0,360708.86,0.0,360708.86,0.0,9933.67,6953.57,19141.94,340424.42900000006,6953.57,-9208.27,0.0,8629.7,593050.97,593050.97,163130.22,RADIO CODERCH SL_resum
2000-01-01,0.0,146650.69,454327.51,236798.77,26384.21,724393.01,108018.61,15294.240000000002,22106.4,11657.6,33764.0,417295.4900000001,432589.73,368842.58,127835.88,0.0,5617.9,5617.9,971342.76,1833.35,971342.76,0.0,71.46000000000001,240333.45,0.0,231979.38,758119.48,6.0,-118358.89,8354.07,21737.78,132043.81,311313.33,0.0,325818.37,0.0,325818.37,0.0,6111.160000000001,4277.809,11657.6,340424.42900000006,4277.81,-5546.44,0.0,21737.77,694660.9600000001,694660.9600000001,161671.34,RADIO CODERCH SL_resum
2001-01-01,0.0,146650.69,421585.41,236801.88,27179.21,724393.01,108018.61,5122.58,23288.32,8495.29,31783.61,380432.56,385555.14,372733.48,141904.12,0.0,3098.65,3098.65,1060222.3,1667.53,1060222.3,0.0,161.78,241944.78,1801.11,231068.39,822491.88,6.0,-118358.89,9075.279,36030.26899999999,135931.599,311313.33,0.0,290796.71,0.0,290796.71,0.0,5558.42,3890.89,8495.29,340424.42900000006,3890.89,-2936.8700000000003,0.0,36030.27,663530.19,663530.19,173849.51,RADIO CODERCH SL_resum
2002-01-01,0.0,146650.69,765179.7699999999,236801.88,20387.04,724393.01,108018.61,4656.820000000001,16277.92,10662.81,26940.73,361812.0,366468.82,376842.59,136503.17,0.0,4968.4,4968.4,1095527.39,1761.05,1095527.39,0.0,175.76,277695.45,1377.31,267242.86,871758.5,6.0,-118358.89,9075.28,398710.95,140040.71000000002,311313.33,0.0,666032.63,0.0,666032.63,0.0,5870.17,4109.120000000001,10662.81,340424.42900000006,4109.120000000001,-4792.64,0.0,398710.95,1042875.22,1042875.22,163619.66,RADIO CODERCH SL_resum
2003-01-01,0.0,146650.69,682735.91,236801.88,22612.06,724393.01,108018.61,431939.27,18332.09,11809.79,30141.88,10547.97,442487.24,381122.56,134887.06,0.0,6219.650000000001,6219.650000000001,980238.53,1834.27,992747.75,0.0,524.1,437341.51,953.52,426312.71,764245.76,5.0,-118358.89,10075.279,240248.67,144320.68,311313.33,0.0,738954.8600000001,0.0,738954.8600000001,0.0,6114.24,4279.969,11809.79,340424.42900000006,4279.969999999999,-5695.55,0.0,240248.67,1120077.42,1120077.42,165553.039,RADIO CODERCH SL_resum
2004-01-01,0.0,146650.69,603192.07,236801.88,22762.19,724393.01,108018.61,64435.28999999999,19989.32,34237.05,54226.37,494368.77,558804.06,383895.43000000005,138880.64,16908.93,15602.07,15602.07,1214810.83,1188.37,1225202.6,0.0,2235.19,991137.38,529.73,982696.01,969213.33,6.0,-118358.89,7911.64,44388.009,147093.55,311313.33,0.0,1210434.02,0.0,1210434.02,0.0,20870.17,19681.8,34237.05,340424.42900000006,2772.8700000000003,-13366.88,-16908.93,44388.01,1594329.45,1594329.45,178433.27000000002,RADIO CODERCH SL_resum
2005-01-01,0.0,146650.69,444968.14,236801.88,19956.97,724393.01,108018.61,35222.48,6829.929999999999,39464.51,46294.44,376794.12,412016.6,397022.47,154715.44999999998,0.0,23702.04,23702.04,1440036.88,5625.88,1443538.39,0.0,2990.4500000000003,1258114.44,105.94,1251096.86,1158816.6900000002,6.0,-118358.89,6911.639,32951.54,160220.58899999998,311313.33,0.0,1306060.11,0.0,1306060.11,0.0,18752.92,13127.039,39464.51,340424.42900000006,13127.04,-20711.59,0.0,32951.54,1703082.58,1703082.58,204000.34,RADIO CODERCH SL_resum
2006-01-01,121432.61,146650.69,509227.53,236801.88,36738.89,724393.01,108018.61,64983.08,9365.1,47504.66,56869.76,261201.17,326184.25,424396.26,174861.05,0.0,17178.04,17178.04,2315288.38,11731.63,2337905.85,0.0,8778.8,706192.9,0.0,699281.26,2022816.11,7.0,-118358.89,6911.64,183043.28,187594.38,311313.33,0.0,669591.56,121432.61,669591.56,0.0,39105.42,27373.79,47504.66,340424.42900000006,27373.79,-8399.240000000002,0.0,183043.28,1215420.43,1215420.43,240509.61,RADIO CODERCH SL_resum
2007-01-01,88082.61,146650.69,290500.5,236801.88,-101490.36,724393.01,108018.61,34348.619999999995,11452.39,38766.45,50218.84,231740.71,266089.33,311453.51,166954.75,134585.91999999998,19264.27,19264.27,1245913.6700000002,0.0,1245913.6700000002,0.0,2140.99,602659.5,0.0,589747.8600000001,924865.77,7.0,-118358.89,12911.64,24411.17,74651.63,311313.33,0.0,493623.88,88082.61,493623.88,0.0,21643.17,21643.17,38766.45,340424.42900000006,-112942.75,-17123.280000000002,-134585.91999999998,24411.17,893160.0,893160.0,84728.66,RADIO CODERCH SL_resum
2008-01-01,51224.92,146650.69,388701.36,236801.88,21405.85,724393.01,108018.61,9465.45,11353.33,29111.1,40464.43,345065.36,207880.12,321506.03,181601.11,0.0,19092.89,19092.89,1064817.44,0.0,1064817.44,0.0,34.309999999999995,591306.1699999999,0.0,578394.53,724393.01,5.0,-118358.89,12911.64,34170.55,84704.15000000001,311313.33,0.0,352607.28,51224.92,607276.58,0.0,10052.52,10052.52,29111.1,340424.42900000006,10052.52,-19058.579,0.0,34170.55,980007.53,980007.53,222099.849,RADIO CODERCH SL_resum
2009-01-01,12550.0,96704.71,371403.92,236801.88,50275.310000000005,783497.26,290884.38,4131.24,11073.65,43774.09,54847.74,347140.5,254567.029,360707.69,183452.39,0.0,4608.48,4608.48,1098689.76,0.0,1098689.76,0.0,36.05,583007.52,0.0,570095.88,783497.26,9.0,-76892.37000000001,12911.64,20132.18,123905.81,271418.41000000003,0.0,193564.66,12550.0,581153.75,0.0,39201.66,39201.66,43774.09,315192.5,39201.66,-4572.429,0.0,20132.18,954411.44,954411.44,238336.18,RADIO CODERCH SL_resum
2010-01-01,0.0,105952.39,399611.88,236801.88,-8935.8,546783.03,297835.51,4364.72,11954.73,-11493.33,461.399,377814.04,276226.369,339817.16,183702.94,0.0,9400.91,9400.91,816987.43,0.0,816987.43,0.0,3.71,579602.7899999999,3714.5,562976.65,546783.03,9.0,-86040.06,12911.64,17433.12,103015.279,281697.73000000004,0.0,235609.61,0.0,639397.51,0.0,-20890.53,-20890.53,-11493.33,270204.4,-20890.53,-9397.2,0.0,17433.12,979214.67,979214.67,184168.05,RADIO CODERCH SL_resum
2011-01-01,0.0,96723.49,426261.23,436941.54,32833.46,473773.22,249151.66,4822.3,14732.15,27481.82,42213.97,391254.08,299352.89,558058.13,169246.26,0.0,9384.33,9384.33,747625.53,0.0,747625.53,0.0,3.82,580750.87,2196.5,565642.73,473773.22,8.0,-62392.08,12911.64,30184.85,121116.589,246370.49,0.0,103078.819,0.0,448953.97,0.0,18101.31,18101.31,27481.82,273852.31,18101.31,-9380.51,0.0,30184.85,1007012.1,1007012.1,211464.05,RADIO CODERCH SL_resum
2012-01-01,0.0,99994.73,443334.16,436941.54,-4854.120000000001,472398.42,126207.46,3022.66,15018.03,-11691.14,3326.8900000000003,415948.27,318976.2,538185.98,159744.27000000002,0.0,8181.360000000001,8181.360000000001,702759.54,0.0,702759.54,0.0,0.35,565732.8400000001,678.5,552142.7,472398.42,7.0,-67289.95999999999,12911.64,24363.23,101244.439,242052.259,0.0,244678.83,0.0,470881.02,0.0,-19872.15,-19872.15,-11691.14,230361.12,-19872.15,-8181.009,0.0,24363.23,1009067.0,1009067.0,163071.509,RADIO CODERCH SL_resum
2013-01-01,0.0,85804.17000000001,504942.92,637081.2,14889.81,410644.22,37462.75,11017.42,13574.51,4496.42,18070.93,435732.97,360946.22,739640.9400000001,135228.49,0.0,3181.4,3181.4,620288.3600000001,0.0,620288.3600000001,0.0,0.28,552810.58,0.0,539898.9400000001,410644.22,6.0,-56344.72,12911.64,58192.53,102559.739,205147.72,0.0,194845.639,0.0,318112.56,0.0,1315.3,1315.3,4496.42,209644.14,1315.3,-3181.12,0.0,58192.53,1057753.5,1057753.5,153299.699,RADIO CODERCH SL_resum
2014-01-01,0.0,110075.47,513179.77,637081.2,20802.91,417355.2,100000.01,8155.22,10289.58,13100.42,23390.0,442981.72,341061.47000000003,750154.2699999999,122738.06,0.0,2587.99,2587.99,633859.2,0.0,633859.2,0.0,0.9,583372.07,0.0,570460.43,417355.2,5.0,-70375.93999999999,12911.64,62042.83,113073.069,203403.58,0.0,136322.09,0.0,346397.57,0.0,10513.33,10513.33,13100.42,216503.999,10513.33,-2587.089,0.0,62042.83,1096551.84,1096551.84,146128.95899999997,RADIO CODERCH SL_resum
2015-01-01,0.0,73547.55,539142.2799999999,637081.2,21655.75,405566.26,208105.38,5004.55,9129.92,17666.34,26796.26,468378.55,399835.55,762680.1,121438.33,0.0,5140.51,5140.51,617131.3,0.0,617131.3,0.0,0.0,648104.47,0.0,635192.8300000001,405566.26,5.0,-63330.45,12911.64,65759.17900000002,125598.9,193898.7,0.0,142913.72,0.0,424566.65,0.0,12525.83,12525.83,17666.34,211565.04,12525.83,-5140.51,0.0,65759.17900000002,1187246.75,1187246.75,148234.59,RADIO CODERCH SL_resum
2016-01-01,0.0,78522.27,522356.53,637081.2,19872.93,416131.97,200808.75,10942.58,12434.91,11264.29,23699.2,487426.68,419846.9900000001,770118.12,133137.34,0.0,3826.27,3826.27,636952.3300000001,0.0,636952.3300000001,0.0,0.0,687322.1799999999,0.0,674410.54,416131.97,4.0,-63983.82,12911.64,23987.27,133036.91999999998,209556.07,0.0,160229.57,0.0,439560.59,0.0,7438.02,7438.02,11264.29,220820.36,7438.02,-3826.27,0.0,23987.27,1209678.71,1209678.71,156836.539,RADIO CODERCH SL_resum
2017-01-01,0.0,97622.01,497778.95,637081.2,23339.15,470263.13,157521.31,3099.12,13426.0,14382.47,27808.47,461677.32,367154.43000000005,780031.2699999999,115170.05,0.0,4469.320000000001,4469.320000000001,681091.93,0.0,682283.62,0.0,0.0,673896.1799999999,0.0,660984.54,470263.13,5.0,-69041.97,12911.64,33002.51,142950.069,197638.02,0.0,136500.54,0.0,391643.86,0.0,9913.15,9913.15,14382.47,212020.49,9913.15,-4469.320000000001,0.0,33002.51,1171675.13,1171675.13,142978.52,RADIO CODERCH SL_resum
2018-01-01,0.0,42367.58,466112.65,637081.2,25996.64,446971.9900000001,272639.18,3014.79,12619.72,17626.329999999998,30246.05,447152.16,407799.369,793408.19,118350.06,0.0,4249.41,4249.41,634300.97,0.0,634300.97,0.0,0.0,666037.15,0.0,653125.51,446971.9900000001,5.0,-38732.87,12911.64,15945.7,156326.99,169702.65,0.0,23734.85,0.0,338741.61,0.0,13376.92,13376.92,17626.329999999998,187328.979,13376.92,-4249.41,0.0,15945.7,1132149.8,1132149.8,148596.11000000002,RADIO CODERCH SL_resum
2019-01-01,0.0,61513.380000000005,492894.29,637081.2,21584.72,321007.0,232314.67,1914.09,12503.41,14105.61,26609.02,481053.14,421453.85,802489.5,121761.6,0.0,5024.3,5024.3,533890.0,0.0,533890.0,0.0,0.0,653533.74,0.0,640622.1,321007.0,5.0,-64512.380000000005,12911.64,9927.06,165408.3,198777.39,0.0,50110.479,0.0,343938.53,0.0,9081.31,9081.31,14105.61,212883.0,9081.31,-5024.3,0.0,9927.06,1146428.03,1146428.03,148370.62,RADIO CODERCH SL_resum
2020-01-01,0.0,51639.01,453004.34,637081.2,23063.37,506727.4900000001,209179.46,39005.66,12258.16,14881.2,27139.36,400300.96,387667.61,813294.71,115069.55,0.0,4075.99,4075.99,687860.62,0.0,687860.62,0.0,0.0,641930.58,0.0,629018.9400000001,506727.4900000001,4.0,-38924.22,12911.64,13697.72,176213.509,166251.93,0.0,20821.74,0.0,281640.21,0.0,10805.21,10805.21,14881.2,181133.13,10805.21,-4075.99,0.0,13697.72,1094934.92,1094934.92,142208.91,RADIO CODERCH SL_resum
2021-01-01,0.0,45831.06,517743.44,637081.2,27269.11,459121.84,273863.77,96838.29,16722.7,13913.13,30635.83,390234.78,441242.01,823841.12,127478.36,0.0,3366.72,3366.72,649869.3,0.0,649869.3,0.0,0.0,645568.03,0.0,632656.39,459121.84,5.0,-32633.27,12911.64,30670.37,186759.919,176834.33,0.0,19775.52,0.0,339470.35,0.0,10546.41,10546.41,13913.13,190747.46,10546.41,-3366.72,0.0,30670.37,1163311.47,1163311.47,158114.19,RADIO CODERCH SL_resum
2022-01-01,0.0,59910.64,516469.6,637081.2,14552.31,403990.32,245226.49,72567.72,16360.07,2317.4700000000003,18677.54,397386.67,410043.75,822033.3600000001,127477.96,0.0,4125.229,4125.229,599084.3500000001,0.0,599084.3500000001,0.0,0.0,630127.41,0.0,617215.7699999999,403990.32,5.0,-48938.53,12911.64,46515.21,184952.16,192776.56,0.0,19426.52,0.0,324563.65,0.0,-1807.76,-1807.76,2317.4700000000003,195094.029,-1807.76,-4125.229,0.0,46515.21,1146597.01,1146597.01,146155.49899999998,RADIO CODERCH SL_resum
2023-01-01,0.0,64636.45,506338.06,637081.2,23904.87,478962.77,220646.9,71517.17000000001,18658.460000000003,12845.29,31503.75,377815.43000000005,384696.149,827279.7699999999,133854.97999999998,0.0,6821.01,6821.01,688516.23,777.87,688516.23,0.0,0.0,627346.7,0.0,614435.06,478962.77,5.0,-44194.72899999999,12911.64,57005.459,190198.57,196708.17,0.0,21121.64,0.0,306404.99000000005,0.0,6024.28,5246.41,12845.29,209553.459,5246.41,-6821.01,0.0,48773.75,1133684.76,1133684.76,165358.73,RADIO CODERCH SL_resum
