Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,0.0,1808772.34,655878.52,135227.72,119884.81,7875963.228999999,0.0,509240.44,73029.77,100435.22,173464.99,63549.1,572789.54,273367.99000000005,144289.18,0.0,28350.55,28350.55,2270772.7,25229.63,2270772.7,0.0,7825.08,306344.84,300.51,306044.34,1650700.35,17.0,-1219058.64,-0.01,83088.98,138140.27000000002,2106744.569,120943.57,688855.38,120943.57,688855.38,0.0,72084.67000000001,46855.039,100435.22,2802513.859,46855.04,-28350.55,0.0,83088.98999999999,962223.37,962223.37,317754.17,RAFAEL BARO SA_resum
2000-01-01,0.0,1808772.34,749014.87,225379.54,144560.43,7875963.228999999,0.0,519811.57,82401.18000000001,87020.45999999999,169421.64,104651.83,624463.4,425679.05,170088.2,0.0,33687.28,33687.28,3093448.61,33470.37,3093448.61,42296.44,7825.08,311584.5,300.51,311284.0,2462958.52,16.0,-1219058.64,-0.01,124551.47,200299.509,2106744.569,120943.57,634920.3200000001,120943.57,634920.3200000001,0.0,53333.18,19862.809,87020.45999999999,2802513.859,62159.25,-33687.28,42296.44,124551.47,1060599.37,1060599.37,381806.28,RAFAEL BARO SA_resum
2001-01-01,0.0,1808772.34,875282.01,333585.05,135859.34,7875963.228999999,0.0,593940.48,73279.98999999999,89421.27,162701.26,113157.95,707098.429,596468.4500000001,173614.84999999998,0.0,32569.39,32569.39,4011305.2,33696.57,4011305.2,39424.04,7825.08,276043.92000000004,300.51,275743.41000000003,3330065.09,16.0,-1219058.64,0.0,168183.58,262883.39900000003,2106744.569,120943.57,554857.48,120943.57,554857.48,0.0,56851.880000000005,23155.309,89421.27,2802513.859,62579.350000000006,-32569.39,39424.04,168183.58,1151325.93,1151325.93,375740.15,RAFAEL BARO SA_resum
2002-01-01,0.0,1808772.34,1318757.05,483835.05,220501.55,7875963.228999999,0.0,651940.59,93450.85,162682.84,256133.69,200337.95,852278.54,873769.14,205395.14,0.0,17775.825,17775.825,4116348.43,61477.16,4116348.43,25845.02,7825.08,460644.2,300.51,460343.69,3185870.71,15.0,-1219058.64,0.0,466478.51,389934.09,2106744.569,120943.57,905632.11,120943.57,905632.11,0.0,162682.84,101205.68,162682.84,2802513.859,127050.7,-13863.285,25845.02,466478.51,1779401.25,1779401.25,487373.85,RAFAEL BARO SA_resum
2003-01-01,0.0,1808772.34,1521675.41,483835.05,249240.89,7875963.228999999,0.0,958029.31,132910.69,148004.46,280915.15,301485.0,1259514.31,990099.32,204019.55,0.0,2982.26,2982.26,4240647.23,55866.13,4246962.23,19349.05,7825.08,530520.64,300.51,530220.13,3005697.36,14.0,-1219058.64,0.0,262161.09900000005,506264.269,2106744.569,120943.57,1062096.73,120943.57,1062096.73,0.0,152847.28,96981.15,148004.46,2802513.859,116330.2,4842.820000000001,19349.05,262161.09900000005,2052196.05,2052196.05,512108.83,RAFAEL BARO SA_resum
2004-01-01,0.0,1808772.34,1775929.77,483835.05,311241.12,7875963.228999999,0.0,969182.26,157621.01,228819.95,386440.96,454548.43000000005,1423730.6900000002,1143719.43,228356.52,0.0,36085.01,36085.01,5597947.85,75783.76,5597947.85,28707.63,7961.3,597602.9500000001,1380.51,596222.4400000001,4262465.119999999,13.0,-1219058.64,0.0,352199.08,659884.379,2106744.569,120943.57,1229813.29,120943.57,1229813.29,0.0,200696.24,124912.48,228819.95,2802513.859,153620.11000000002,-28123.71,28707.63,352199.08,2373532.72,2373532.72,651466.41,RAFAEL BARO SA_resum
2005-01-01,0.0,1808772.34,2097486.48,483835.05,307552.04,7875963.228999999,0.0,1063641.23,142239.19,277484.11,419723.3,700491.1699999999,1764132.4,1309032.31,331627.6,0.0,57330.54,57330.54,6618213.21,89014.61,6618213.21,30090.460000000003,4083.43,661838.76,7380.51,654458.25,5077709.01,18.0,-1219058.64,0.0,333354.08,825197.26,2106744.569,120943.57,1450292.93,120943.57,1450292.93,0.0,224237.0,135222.38999999998,277484.11,2802513.859,165312.84999999998,-53247.11,30090.460000000003,333354.08,2759325.24,2759325.24,785524.7899999999,RAFAEL BARO SA_resum
2006-01-01,0.0,1808772.34,2066894.31,483835.05,413945.9900000001,7875963.228999999,0.0,1313660.84,145377.91,447304.62,592682.53,705016.2699999999,2018677.11,1577600.39,411812.95,0.0,98150.08,98150.08,7898198.44,144613.58,7903703.619999999,33054.18,30972.94,1130267.52,12480.51,1027618.5,5947302.79,20.0,-1219058.64,90168.51,48217.19899999999,1093765.3390000002,2106744.569,120943.57,1619561.44,120943.57,1619561.44,0.0,380127.48,235513.9,447304.62,2802513.859,268568.08,-67177.14,33054.18,48217.2,3197161.83,3197161.83,1068522.6,RAFAEL BARO SA_resum
2007-01-01,0.0,1808772.34,3037404.39,483835.05,648927.1,7875963.228999999,76190.27,1499994.71,185726.59,786132.9,971859.49,758713.58,449935.949,2040800.9,598216.53,20105.47,107123.57,107123.57,9693947.93,223022.47,9693947.93,16501.86,10817.26,1123248.0,4355.51,919976.24,6975454.7700000005,23.0,-1219058.64,198916.25,778696.1,1556965.8490000002,2106744.569,120943.57,234888.88,120943.57,2119851.49,0.0,689826.59,466804.12,786132.9,2802513.859,463200.51,-96306.31,-3603.61,778696.1,4160652.39,4160652.39,1577289.6700000002,RAFAEL BARO SA_resum
2008-01-01,0.0,1246421.91,3087891.34,483835.05,729087.41,7875963.228999999,0.0,1855833.66,248239.39,695769.2899999999,944008.68,700412.0,1309823.75,2533850.85,639446.54,0.0,70435.86,374.31,10673099.62,184614.73,10678477.09,0.0,40129.32,1136805.32,1399.49,1045355.13,7804766.68,26.0,-1219058.64,90050.7,531645.6799999999,2050015.8,2106744.569,120943.57,323480.329,120943.57,1569902.24,0.0,665462.75,480848.02,695769.2899999999,2802513.859,480848.02,-30306.54,0.0,531645.6799999999,4224696.659999999,4224696.659999999,1553522.99,RAFAEL BARO SA_resum
2009-01-01,0.0,909314.28,3583767.5,483835.05,897836.21,8177821.45,0.0,1592642.25,264290.44,763844.25,1028134.69,855101.0,1538428.97,3162167.23,752517.43,0.0,3761.65,3761.65,11416344.94,137201.7,11416344.94,0.0,10664.87,1211029.44,124.49,1075656.25,8374151.2,32.0,-1457871.37,135248.7,1136024.25,2678332.18,2474679.24,100627.39,622688.04,100627.39,1532002.32,0.0,770747.47,633545.7699999999,763844.25,3238523.489,633545.7699999999,6903.22,0.0,1136024.25,4794796.94,4794796.94,1791316.989,RAFAEL BARO SA_resum
2010-01-01,0.0,1320069.24,4173006.02,483835.05,622815.2899999999,8784966.98,0.0,1962175.21,239289.27,755956.52,995245.79,1070773.75,1712879.72,3564290.46,839223.24,0.0,287331.76,3885.51,11923821.23,117682.88,12249493.71,0.0,32584.14,1083479.42,230.7057142857143,906810.4,8789255.55,35.0,-1630057.7,176669.02,1140057.06,3080455.41,2708570.2090000003,90522.61,281603.13,90522.61,1601672.37,0.0,501208.9,383526.02,755956.52,3464526.73,383526.02,-254747.62,0.0,1140057.06,5256485.44,5256485.44,1583606.92,RAFAEL BARO SA_resum
2011-01-01,0.0,1458721.1800000002,5034497.609999999,483835.05,1043773.049,8836605.219999999,0.0,2746981.79,224026.73,987844.26,1211870.99,1090970.02,2379230.63,4378669.89,895582.54,0.0,9596.05,819.73,12975539.8,175153.87,13090289.8,0.0,16651.980000000003,1244436.1,336.9214285714286,1084550.1,8913596.65,35.0,-2146231.049,159886.0,1196545.8,3894834.84,3265840.32,148555.78,292986.86,148555.78,1751708.04,0.0,994900.19,819746.3200000001,987844.26,4253684.58,819746.3200000001,7055.929999999999,0.0,1196545.8,6278933.71,6278933.71,2115329.19,RAFAEL BARO SA_resum
2012-01-01,0.0,359865.59,5390062.21,483835.05,1011508.3,10578710.03,0.0,3047962.58,230368.31,892571.37,1122939.6800000002,830905.11,3519002.1,5601640.88,785167.1699999999,0.0,989.84,989.84,14269331.96,145091.71000000002,14615946.94,0.0,34650.17,1139224.65,443.13714285714286,1008008.65,10384725.92,40.0,-2129130.06,131216.0,1511194.52,5117805.83,3144665.54,146385.93,421394.459,146385.93,781260.05,0.0,926231.7,781139.99,892571.37,4037236.91,781139.99,33660.33,0.0,1511194.52,6529286.859999999,6529286.859999999,1942757.02,RAFAEL BARO SA_resum
2013-01-01,16965.8,239177.99,6323236.819999999,483835.05,1342296.26,10469141.2,21551.13,3083823.58,267474.28,1168210.62,1435684.9,871630.0,3716275.59,6676329.0,784484.1699999999,0.0,1267.64,1267.64,15531968.99,180035.91,15531968.99,0.0,87914.90999999999,1085527.3,549.3528571428571,943396.62,10475608.99,36.0,-2842658.719,142130.68,2367783.24,6192493.949,3894617.17,116919.42,337820.78,133885.22,598549.9,0.0,1254857.89,1074821.98,1168210.62,5062827.789,1074821.98,86647.27,0.0,2367783.24,7408764.119999999,7408764.119999999,2308083.98,RAFAEL BARO SA_resum
2014-01-01,14468.23,1278936.59,8748388.729999999,483835.05,1226727.04,10831944.04,50933.21,3166575.44,244175.24,1206091.81,1450267.05,837168.0,2724806.849,7658880.8,771138.38,0.0,5068.45,5068.45,16340020.48,400356.63,16340747.48,0.0,181885.07,936494.58,655.5685714285714,898721.38,10899454.81,31.0,-3287398.01,37773.2,4744645.29,7175045.75,4302711.63,77117.45,604547.03,91585.68,1934416.83,0.0,1382908.43,982551.799,1206091.81,5508803.439,982551.799,176816.62,0.0,2943928.9,9684883.31,9684883.31,2403290.5,RAFAEL BARO SA_resum
2015-01-01,0.0,1411629.45,10551904.39,483835.05,1814958.33,9954910.23,14468.23,3249106.07,270415.48000000004,2322160.73,2592576.21,883637.0,2721113.62,9203423.65,823051.43,0.0,371249.51,1253.78,16886042.45,562445.21,16886042.45,0.0,156076.84,1026190.67,761.7842857142857,991279.59,10072415.17,35.0,-3515504.579,34911.08,6419161.319999999,8719588.6,4608971.49,60818.21,887755.52,60818.21,2313853.2,0.0,2106988.06,1544542.85,2322160.73,6931132.22,1544542.85,-215172.67,0.0,4429326.2,11578095.06,11578095.06,3201708.75,RAFAEL BARO SA_resum
2016-01-01,105687.4,1293826.05,11643092.86,483835.05,2007952.74,11102666.648999998,149574.91999999998,4348715.98,254283.14,2197874.25,2452157.39,940451.23,3995341.16,10957093.25,1195902.96,0.0,21010.61,21010.61,18268703.64,536213.62,18269528.64,0.0,113019.58,1860894.01,868.0,1058089.1,10970453.45,39.0,-3518801.64,801936.91,6353925.649999999,10473258.2,4968987.739,56753.0,941052.249,162440.4,2384453.22,0.0,2289883.22,1753669.6,2197874.25,7166861.99,1753669.6,92008.97,0.0,2859454.17,13503986.87,13503986.87,3761079.93,RAFAEL BARO SA_resum
2017-01-01,61690.27,1022656.97,13418126.47,483835.05,2412878.09,13947262.209,248540.43,6257488.470000001,279995.4,2583593.01,2863588.409,692558.02,5927389.52,13089975.94,1356810.16,0.0,2836.8900000000003,2836.8900000000003,21591541.72,657326.2,21591541.72,0.0,209452.77,2389096.49,434.0,1131027.7,13861065.1,40.0,-3423880.94,1257634.79,6468079.98,12606140.889,5060686.5,65277.71,1319081.64,126967.98,2590279.04,0.0,2790208.89,2132882.69,2583593.01,7644279.51,2132882.69,206615.879,0.0,3043948.85,15807222.96,15807222.96,4429851.34,RAFAEL BARO SA_resum
2018-01-01,493526.19,859584.13,11549639.28,483835.05,1594241.99,14479916.25,245482.99,5610312.87,379182.62,1247257.63,1626440.25,763010.76,5513739.5,14180035.31,1421610.29,0.0,3910.6,3910.6,21966781.74,339287.17,21966781.74,0.0,310999.51,6738307.21,19870.690000000002,1477494.52,14550286.22,44.0,-4438814.95,5260812.69,5176315.649999999,13696200.26,6239607.859999999,73879.95999999999,2435437.91,567406.15,3540505.03,0.0,1554346.54,1215059.37,1247257.63,7486865.489,1215059.37,307088.91000000003,0.0,5033473.46,18287946.49,18287946.49,3359050.05,RAFAEL BARO SA_resum
2019-01-01,644605.9,2142083.589,11164952.17,483835.05,1113689.2,13897567.61,280932.63,5161329.41,545599.55,693150.09,1238749.64,851889.7699999999,3871135.59,14188425.75,1477090.55,0.0,14048.47,14048.47,20030954.6,133475.2,20030954.6,0.0,22463.23,6854218.07,39307.380000000005,1783110.48,13989935.43,44.0,-3417546.8,5031800.21,5151732.99,13704590.7,5440236.898999999,61714.52,701407.8500000001,706320.42,3124424.07,0.0,701564.8500000001,568089.649,693150.09,6133386.99,568089.649,8414.76,0.0,5008890.8,18019170.24,18019170.24,2738303.42,RAFAEL BARO SA_resum
2020-01-01,453766.35,1752505.89,13037379.41,483835.05,1062846.0,12434440.95,566276.11,4121481.16,608060.0,1652540.89,2260600.889,814543.9600000001,3183519.23,14410638.29,1345382.3,0.0,1154213.1,11340.585,19023892.44,148045.06,19023892.44,0.0,104503.27,4892480.659999999,32070.38,1480796.11,12536527.03,44.0,-2983468.3,3379614.17,8101354.29,13926803.239999998,4936910.6,42475.56,704197.8690000001,496241.91,3022979.87,0.0,602831.06,454786.0,1652540.89,6589451.49,454786.0,-1049709.83,0.0,7620339.359999999,17929860.07,17929860.07,2556273.36,RAFAEL BARO SA_resum
2021-01-01,210114.41,1912635.63,12197180.39,483835.05,1603170.85,12995999.07,243852.43,4453300.51,538514.92,1399976.35,1938491.27,821641.0,3362305.88,15686563.6,1459693.74,0.0,8632.7,8632.7,20116559.48,340059.14,20123485.82,0.0,13371.42,6954326.609999999,13877.0,1276753.43,13009929.89,43.0,-3729301.74,5663696.18,6922238.88,15202728.548,5727510.398999999,30827.8,1067513.1290000002,240942.21,3224001.19,0.0,1404715.07,1064655.93,1399976.35,7127486.75,1064655.93,4738.719,0.0,6018677.109999999,19151507.0,19151507.0,3411556.43,RAFAEL BARO SA_resum
2022-01-01,85870.68000000001,1984711.67,11912605.92,483835.05,703184.919,13441183.26,156760.57,4188096.67,440584.82,222014.57,662599.39,1522474.79,3725859.79,15773995.12,2382124.27,0.0,9799.7,9799.7,20417723.83,43166.01,20452514.919,0.0,93551.24,6788721.56,24210.17,1252575.01,13870455.14,76.0,-3966608.0,5511936.38,6202034.46,15290160.068,6789317.09,15833.21,684156.23,101703.89,2825628.47,0.0,305766.11,262600.09900000005,222014.57,7011331.658999999,262600.09900000005,83751.54,0.0,5379510.819999999,18701327.48,18701327.48,3138274.9,RAFAEL BARO SA_resum
2023-01-01,0.0,2854879.4,14585089.14,483835.05,1172565.569,18001959.25,540307.64,5756080.28,243368.87,1239549.87,1482918.74,1377296.93,4278497.81,17256936.58,2474347.95,0.0,77920.2,5396.56,25501948.87,304088.27,25502016.44,0.0,71655.3,7158754.51,17002.09,1315194.39,17848769.2,75.0,-3542790.5,5826558.028999999,7451711.930000001,16773101.53,6260507.318999999,7603.24,1084116.79,7603.24,4479303.83,0.0,1233284.97,929196.7,1239549.87,7500057.189999999,929196.7,-6264.899,0.0,5447511.930000001,21743843.65,21743843.65,3956398.35,RAFAEL BARO SA_resum
