Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,0.0,28503.05,620394.99,99167.0,21337.51,314276.85,0.0,14269.63,6257.71,20380.68,26638.39,348181.91000000003,362451.54,261614.09,129173.75,0.0,715.9,715.9,232069.89,6462.77,232261.28,0.0,1877.8,20964.35,0.0,18086.44,2564.17,6.0,-42036.63,2877.9100000000003,257943.45,162447.09,133505.25,0.0,379745.25,0.0,379745.25,0.0,21542.57,15079.8,20380.68,149867.97999999998,15079.8,1161.89,0.0,257943.44,641359.3400000001,641359.3400000001,157689.93,RAYEN SL_resum
2000-01-01,0.0,28503.05,766645.51,99167.0,27478.9,314276.85,0.0,70051.27,6312.469999999999,37163.78,43476.25,478166.95,548218.22,282780.52,152097.65,0.0,10305.66,10305.66,882050.03,9071.33,882050.03,0.0,3379.64,51717.84,0.0,49296.69,537343.2899999999,6.0,-42036.63,2421.149,218427.289,183613.52,133505.25,0.0,535582.829,0.0,535582.829,0.0,30237.76,21166.43,37163.78,149867.97999999998,21166.43,-6926.02,0.0,218427.29,818363.3500000001,818363.3500000001,198953.54,RAYEN SL_resum
2001-01-01,0.0,28503.05,524960.05,75125.0,28610.89,314276.85,0.0,18807.34,7135.860000000001,49046.28999999999,56182.15,466315.95,485123.29,235704.11,165679.1,6314.469999999999,13193.52,13193.52,901877.78,9203.59,901877.78,0.0,1140.32,49622.26,0.0,49422.45,483704.75,6.0,-42036.63,199.81,39836.76,160579.11000000002,133505.25,0.0,338878.2,0.0,338878.2,0.0,36993.09,27789.499,49046.28999999999,149867.97999999998,21475.03,-12053.2,-6314.469999999999,39836.76,574582.31,574582.31,216687.099,RAYEN SL_resum
2002-01-01,0.0,28503.05,1185811.1700000002,75125.01,18764.489,314276.85,0.0,59013.810000000005,7404.929999999999,-152597.81,-145192.87999999998,1018904.4,1077918.21,247063.68,176205.72,0.0,13653.85,13653.85,111754.45,4868.38,111754.45,182022.91,456.69,42217.33,0.0,42017.52,697538.7,6.0,-42036.63,199.81,107892.959,171938.669,133505.25,0.0,980964.82,0.0,980964.82,0.0,-165794.97,-170663.34999999998,-152597.81,149867.97999999998,11359.56,-13197.16,182022.91,107892.96,1228028.5,1228028.5,213492.44,RAYEN SL_resum
2003-01-01,0.0,28503.05,802030.3600000001,75125.01,32871.57,314276.85,0.0,199844.56,7311.48,49836.5,57147.979,564072.69,763917.25,272623.77,146624.91,0.0,14412.94,14412.94,1590909.83,10954.33,1590909.83,0.0,1090.86,34905.850000000006,0.0,34706.04,911372.65,6.0,-42036.63,199.809,38113.11,197498.76,133505.25,0.0,564312.4400000001,0.0,564312.4400000001,0.0,36514.42,25560.089,49836.5,149867.97999999998,25560.09,-13322.08,0.0,38113.11,836936.21,836936.21,204863.75,RAYEN SL_resum
2004-01-01,0.0,28503.05,628642.22,34858.01,171409.05,314276.85,0.0,303091.83,7231.71,179005.62,186237.33,249334.75,552426.58,290741.11,165431.86,1532.59,13924.14,13924.14,1252216.6800000002,16043.465,1255830.51,0.0,628.4499999999999,27674.14,0.0,27474.33,708743.4,6.0,-42036.63,199.809,76215.63900000001,255883.099,133505.25,0.0,365575.25,0.0,365575.25,0.0,165709.93,165709.93,179005.62,149867.97999999998,164177.34,-13295.69,-1532.59,76215.64,656316.3600000001,656316.3600000001,350765.05,RAYEN SL_resum
2005-01-01,0.0,28503.05,1123423.82,34858.01,55907.61,314276.85,0.0,342882.91000000003,6598.22,-68269.31,-61671.09,657629.63,1000512.54,287096.02,197216.34,0.0,9603.12,9603.12,252574.75,21132.6,252574.75,148088.13,226.29,21075.92,0.0,20876.11,1119332.905,5.0,-42036.63,199.809,122911.28,252238.01,133505.25,0.0,857403.72,0.0,857403.72,0.0,-77646.14,-98778.739,-68269.31,149867.97999999998,49309.39,-9376.83,148088.13,122911.28,1144499.74,1144499.74,283859.669,RAYEN SL_resum
2006-01-01,15990.3,28503.05,872858.2699999999,34858.01,169430.77000000002,314276.85,0.0,698050.37,9380.52,250090.73,259471.25,110853.42,808903.7899999999,447146.27,231865.13,0.0,16136.29,16136.29,2121902.65,75412.82,2121902.65,0.0,1508.63,30012.64,15534.94,14277.89,1529922.41,5.0,-42036.63,199.809,63954.479,412288.26,133505.25,0.0,439734.34,15990.3,439734.34,0.0,235463.07,160050.25,250090.73,149867.97999999998,160050.25,-14627.66,0.0,62966.11,902870.91,902870.91,492845.01,RAYEN SL_resum
2007-01-01,23427.36,28503.05,1214214.819,34858.01,103986.51,314276.85,0.0,668329.8300000001,11411.02,123616.27,135027.29,539623.25,1207953.08,539721.76,157189.38,0.0,14505.96,14505.96,173693.24000000002,31089.32,173732.28,0.0,48.54,34276.61,25519.81,8556.99,922099.6299999999,4.0,-42036.63,199.809,6261.739,504863.75,133505.25,0.0,685342.31,23427.36,685342.31,0.0,123664.81,92575.489,123616.27,149867.97999999998,92575.49,48.54,0.0,2497.3500000000004,1248491.43,1248491.43,135075.83,RAYEN SL_resum
2008-01-01,336184.0,28503.05,703688.69,18631.0,12459.98,314276.85,116.49,246849.35,8954.99,16362.73,25317.72,410981.79,629328.09,335137.75,82513.63,0.0,12875.63,12875.63,464144.83,1251.6699999999998,464144.83,0.0,1269.56,28417.27,0.0,28217.460000000003,314276.85,3.0,-42036.63,199.81,45857.55,316506.75,133505.25,0.0,32164.67,336184.0,60784.21,0.0,4756.660000000001,3504.99,16362.73,149867.97999999998,3504.99,-11606.07,0.0,5857.55,732105.9600000001,732105.9600000001,109100.91,RAYEN SL_resum
2009-01-01,126296.87,36094.47,525441.04,18631.01,23409.62,291961.65,0.0,239971.45,9500.51,24383.73,33884.24,204099.37,407976.35,349046.86,80605.02,0.0,7187.8,7187.8,427208.08,4636.37,427208.08,0.0,1349.55,20564.31,0.0,20364.5,291961.65,2.0,-20757.17,199.81,81370.22,330415.85,110862.7,0.0,34567.15,126296.87,70661.62000000001,0.0,18545.480000000003,13909.11,24383.73,135246.43,13909.11,-5838.25,0.0,31870.22,546005.3500000001,546005.3500000001,115838.81,RAYEN SL_resum
2010-01-01,146209.66,131348.13,981782.22,18631.01,48682.69,186589.58,280000.0,268025.06,5806.660000000001,54454.18,60260.84,710000.22,846677.15,391922.89,100377.29,0.0,4678.57,4678.57,425648.39,10719.01,425648.39,0.0,3819.43,16075.7,0.0,15875.89,186589.58,4.0,-78420.68000000001,199.81,3756.94,373291.88,184604.629,0.0,48377.24,146209.66,459725.37,0.0,53595.04,42876.03,54454.18,239058.81,42876.03,-859.139,0.0,3756.94,997857.92,997857.92,164457.56,RAYEN SL_resum
2011-01-01,5822.110000000001,93072.95,594125.47,18631.01,37960.78,957013.73,441.45,198534.83,6540.78,44807.78999999999,51348.57,28150.5,133612.37999999998,423342.89,83047.34,0.0,3510.4500000000003,3510.4500000000003,1233393.94,10473.33,1233443.94,0.0,595.99,10683.15,0.0,10483.34,957013.73,2.0,-142034.3,199.81,367440.14,404711.88,231622.419,0.0,82129.22,5822.110000000001,175643.62,0.0,41893.33,31420.0,44807.78999999999,276430.20900000003,31420.0,-2914.46,0.0,66699.73999999999,604808.62,604808.62,134991.9,RAYEN SL_resum
2012-01-01,0.0,50292.03,521942.68,18631.01,17083.91,20795.35,0.0,233074.04,9669.49,655.7,10325.19,78833.67000000001,261615.68,430757.31,91036.99,0.0,197.84,197.84,139186.65,1853.6,141429.06,0.0,8810.16,22645.11,0.0,22445.3,20795.35,2.0,-19271.53,199.81,210034.97,412126.3,119978.01,0.0,63538.45,0.0,113830.48,0.0,9268.02,7414.42,655.7,120633.709,7414.42,8612.32,0.0,59294.57,544587.7899999999,544587.7899999999,110172.34,RAYEN SL_resum
2013-01-01,0.0,24448.6,453727.31,18631.01,11748.86,4157.24,0.0,226264.04,7972.75,1713.15,9685.9,163122.37,364937.81,434533.42,79422.84,0.0,0.0,258.4475,117317.49,1258.7,122842.64,0.0,3321.66,14890.56,0.0,14472.55,4157.24,2.0,-29576.66,418.01,64340.9,415902.41,116972.25,0.0,9635.85,0.0,34084.450000000004,0.0,5034.81,3776.11,1713.15,118685.4,3776.11,3321.66,0.0,63600.5,468617.87,468617.87,92430.4,RAYEN SL_resum
2014-01-01,0.0,61353.15,505916.69,18631.01,13919.14,213170.34,0.0,283474.97000000003,5400.56,10648.23,16048.79,168143.74000000002,390265.559,443052.0,102828.73,0.0,0.0,319.055,357753.17,2129.65,357753.17,0.0,0.0,13990.0,0.0,13571.99,213170.34,2.0,-25705.31,418.01,54297.98,424420.9900000001,133934.6,0.0,15501.54,0.0,76854.69,0.0,10648.23,8518.58,10648.23,144582.83,8518.58,0.0,0.0,53557.58,519906.69,519906.69,118877.519,RAYEN SL_resum
2015-01-01,0.0,20367.38,443685.87,18631.01,18375.519,173747.37,0.0,189913.93,8176.92,13569.28,21746.2,152054.75,321601.3,453250.6,102522.15,0.0,0.0,379.6625,325396.93000000005,3399.54,325396.93000000005,0.0,28.86,41660.19,0.0,41242.18,173747.37,2.0,-27381.21,418.01,101717.189,434619.589,138080.28,0.0,11728.08,0.0,32095.460000000003,0.0,13598.14,10198.599,13569.28,151649.56,10198.599,28.86,0.0,100976.79,485346.06,485346.06,124297.209,RAYEN SL_resum
2016-01-01,0.0,7310.48,441092.26,18631.01,16587.69,63187.4,0.0,179667.59,12927.85,4851.01,17778.86,198980.0,371337.11,456910.44,78355.19,0.0,0.0,440.27,193885.2,1219.95,193885.2,0.0,28.78,33607.55,0.0,33189.54,63187.4,1.0,-34563.75,418.01,62444.67,438279.43000000005,125846.79,0.0,10478.89,0.0,17789.37,0.0,4879.79,3659.84,4851.01,130697.8,3659.84,28.78,0.0,61704.27,474699.81,474699.81,96162.83,RAYEN SL_resum
2017-01-01,0.0,5410.13,453636.92,18631.01,12896.79,10697.44,0.0,170625.94999999998,10254.92,3589.16,13844.08,274128.79000000004,439344.61,459552.31,67170.8,0.0,0.0,500.87750000000005,128951.93,947.29,128951.93,0.0,0.0,24052.63,0.0,23634.62,10697.44,2.0,-37239.61,418.01,8882.18,440921.3,114665.33,0.0,12727.11,0.0,18137.24,0.0,3589.16,2641.8700000000003,3589.16,118254.489,2641.8700000000003,0.0,0.0,8722.32,477689.55,477689.55,81014.88,RAYEN SL_resum
2018-01-01,0.0,3375.1,477128.18,18631.01,10906.179,6472.28,0.0,154577.29,9764.96,1521.63,11286.59,317110.2,468312.39,460693.53,63601.28,0.0,0.0,561.485,104854.45,380.41,104854.45,0.0,0.0,35790.14,0.0,35372.13,6472.28,1.0,-23494.3,418.01,5440.6900000000005,442062.519,96860.54,0.0,48849.69,0.0,52224.78999999999,0.0,1521.63,1141.22,1521.63,98382.17,1141.22,0.0,0.0,5280.83,512918.32,512918.32,74887.87000000001,RAYEN SL_resum
2019-01-01,0.0,21381.9,527304.92,18631.01,35386.24,187815.94,0.0,239588.57,17061.69,24432.73,41494.42,281329.11,499535.779,479018.08,60041.03,0.0,0.0,622.0925,290123.79000000004,6108.18,290123.79000000004,0.0,0.0,62364.82,0.0,61946.810000000005,187815.94,2.0,-772.4,418.01,6387.24,460387.07,77875.12000000001,0.0,89269.76,0.0,110651.66,0.0,24432.73,18324.55,24432.73,102307.849,18324.55,0.0,0.0,6387.24,589669.74,589669.74,101535.45,RAYEN SL_resum
2020-01-01,64340.59,15222.54,532637.8,18631.0,8303.240000000002,218366.44,10659.41,114372.0,10943.07,-2888.44,8054.629000000001,276021.11,375170.57,476378.25,67060.649,0.0,682.7,682.7,325558.2,-879.9399999999999,325558.2,0.0,51.37,58075.24,0.0,56077.1,218366.44,3.0,-32076.480000000003,1998.14,142244.68899999998,457747.25,110080.199,0.0,24112.25,64340.59,49994.2,0.0,-3519.77,-2639.8300000000004,-2888.44,107191.76,-2639.8300000000004,-631.3299999999999,0.0,142084.83,590713.04,590713.04,75166.649,RAYEN SL_resum
2021-01-01,45849.07,72061.54,648153.3300000001,18631.0,52968.74,821666.24,18491.52,287918.74,10853.64,57238.54,68092.18000000001,209835.84,425693.04,518493.35,103179.36,0.0,1085.08,1085.08,1038334.76,14038.36,1038334.76,0.0,0.0,47704.45,0.0,46586.25,821666.24,4.0,-45396.98,1118.2,150398.75,499862.35,159429.97999999998,0.0,40962.3,45849.07,131515.35899999997,0.0,56153.46,42115.1,57238.54,216668.52,42115.1,-1085.08,0.0,150088.88999999998,695857.7799999999,695857.7799999999,171271.54,RAYEN SL_resum
