Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,0.0,103907.96,107981.27,3005.06,1476.23,1183171.61,0.0,22410.460000000003,240.4,3052.15,3292.55,70909.51,93319.97,3738.15,26408.39,0.0,1769.7,1769.7,638537.74,314.18,638537.74,0.0,267.55,60822.42,721.21,9321.64,602633.02,2.0,-29564.97,60101.21,14661.3,733.09,32400.99,0.0,165065.54,0.0,165065.54,0.0,1550.0,1235.82,3052.15,49319.5,1235.83,-1502.15,0.0,14661.3,168803.69,168803.69,3560.11,RECRIES GIRONINES SL_resum
2000-01-01,11084.53,103907.96,175740.93,3005.06,9731.44,1183171.61,0.0,49985.32,2045.05,14177.7,16222.75,115877.06,165862.37999999998,11424.54,26408.39,0.0,4728.05,4728.05,936426.15,3294.17,936426.15,0.0,1530.9,115002.88,13229.740000000002,9321.64,821589.8600000001,2.0,-29564.97,101773.14,9878.55,8419.48,32400.99,0.0,268234.74,11084.53,268234.74,0.0,10980.56,7686.389,14177.7,49319.5,7686.39,-3197.14,0.0,7829.53,290743.81,290743.81,44162.05,RECRIES GIRONINES SL_resum
2001-01-01,7673.9,103907.96,267988.28900000005,3005.06,8056.469,1183171.61,0.0,108169.78,2568.9700000000003,11725.92,14294.89,75141.06,183310.84,16912.05,36614.94,0.0,5842.29,5842.29,952771.57,2351.78,952771.57,0.0,1955.66,112433.91,10660.76,9321.64,809267.4500000001,2.0,-29564.97,101773.15,84677.449,13906.99,32400.99,0.0,355836.25,7673.9,355836.25,0.0,7839.29,5487.51,11725.92,49319.5,5487.5,-3886.63,0.0,84179.23,380422.2,380422.2,52865.48,RECRIES GIRONINES SL_resum
2002-01-01,4263.26,103907.96,306403.33,3005.06,7339.69,1183171.61,0.0,104423.17,2568.9700000000003,12855.03,15424.0,176646.02,281069.19,21682.77,14283.32,2837.73,4801.72,4801.72,675106.25,2044.59,682573.14,459.22,1140.51,82276.73999999999,8091.79,9321.64,579737.25,1.0,-29564.97,74184.95,25334.14,18677.71,32400.99,0.0,362734.04,4263.26,362734.04,0.0,9193.82,7149.23,12855.03,49319.5,4770.72,-3661.21,-2378.51,25334.14,388680.07,388680.07,28469.32,RECRIES GIRONINES SL_resum
2003-01-01,852.62,103907.96,290705.42000000004,3005.06,6540.07,1183171.61,0.0,619.3199999999999,2328.57,5710.610000000001,8039.18,202673.69,203293.01,25894.27,16608.827777777777,0.0,2437.09,2437.09,712230.5,1804.93,712230.5,2120.27,622.64,7194.41,5763.22,9321.64,619737.1,1.0,-29564.97,1431.189,87412.409,22889.21,32400.99,0.0,271152.94,852.62,271152.94,0.0,3896.16,2091.229,5710.610000000001,49319.5,4211.5,-1814.45,2120.27,87412.40999999999,297899.83,297899.83,10782.09,RECRIES GIRONINES SL_resum
2004-01-01,0.0,103907.96,183181.71,3005.06,8945.97,1183171.61,0.0,8588.723333333333,2328.57,9406.03,11734.6,98784.37,98784.37,32511.67,18934.335555555554,0.0,779.71,779.71,784900.89,2836.03,784900.89,0.0,827.11,4865.84,3434.65,9321.64,702142.0,1.0,-29564.97,1431.1899999999998,84397.34,29506.609,32400.99,0.0,155535.87999999998,0.0,155535.87999999998,0.0,9453.43,6617.4,9406.03,49319.5,6617.4,47.4,0.0,84397.34,188047.55,188047.55,12561.71,RECRIES GIRONINES SL_resum
2005-01-01,14796.09,103907.96,225912.29,3005.06,10139.21,1183171.61,0.0,16558.126666666667,2357.25,11791.63,14148.88,90680.58,90680.58,40293.63,21259.843333333334,1300.1,156.56,156.56,608722.01,3335.12,608722.01,0.0,782.11,17910.93,16479.74,9321.64,573647.9400000001,1.0,-29564.97,1431.189,135231.71000000002,37288.57,32400.99,0.0,188733.5,14796.09,188733.5,0.0,12417.18,9082.06,11791.63,49319.5,7781.96,625.55,-1300.1,133282.32899999997,243823.22,243823.22,13630.89,RECRIES GIRONINES SL_resum
2006-01-01,10417.32,103907.96,282366.55,3005.06,10935.25,1183171.61,0.0,24527.53,2672.3900000000003,11058.12,13730.51,88701.17000000001,113228.7,48556.49,23585.35111111111,0.0,887.93,887.93,1697190.04,3541.23,1697190.04,0.0,1633.9,15238.54,13807.35,9321.64,1644623.51,1.0,-29564.97,1431.1899999999998,169137.84999999998,45551.43,32400.99,0.0,238631.28,10417.32,238631.28,0.0,11804.09,8262.859999999999,11058.12,49319.5,8262.859999999999,745.97,0.0,167940.15,297605.09,297605.09,15364.41,RECRIES GIRONINES SL_resum
2007-01-01,6872.34,103907.96,318295.54,3005.06,13787.369,1183171.61,0.0,19401.95,2672.3900000000003,12681.96,15354.349,136176.24000000002,155578.19,59671.47,25910.858888888888,0.0,488.56,488.56,2699290.33,3705.0,2699290.33,0.0,2626.58,12566.15,11134.96,9321.64,2651944.41,1.0,-29564.97,1431.1899999999998,162717.34999999998,56666.41,32400.99,0.0,264317.88,6872.34,264317.88,0.0,14819.98,11114.98,12681.96,49319.5,11114.98,2138.02,0.0,161694.65,330861.69,330861.69,17980.93,RECRIES GIRONINES SL_resum
2008-01-01,3040.77,103907.96,335208.98000000004,3005.06,12086.75,1183171.61,53156.45,4842.89,2836.02,16918.51,19754.53,191836.18,92771.11,68922.2,28236.36666666667,0.0,6537.55,6537.55,1232491.11,3083.58,1232491.11,0.0,1953.35,10752.83,0.0,9321.64,1183171.61,1.0,-29564.97,1431.1899999999998,138529.91,65917.14,32400.99,0.0,116934.43,3040.77,273998.84,0.0,12334.31,9250.73,16918.51,49319.5,9250.73,-4584.2,0.0,138529.91,345961.81,345961.81,21707.88,RECRIES GIRONINES SL_resum
