Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,5325.41,94254.23,72834.85,3005.06,4044.7,238836.89,0.0,7101.84,3042.28,2076.1,5118.38,58208.02,65309.86,4920.87,12792.82,0.0,644.07,644.07,193345.1,429.61,193345.1,0.0,59.73,10633.97,7550.768,3083.19,148488.69,1.0,-69363.73999999999,0.012,7524.99,1915.81,151730.33,833.9,73222.53,5325.41,73222.53,0.0,1432.03,1002.42,2076.1,131910.049,1002.42,-644.07,0.0,7078.52,83468.81,83468.81,17911.2,REPRESENTACIONS I DISTRIBUCIONS TRAYTER SL_resum
2000-01-01,7305.345,94254.23,153114.18899999998,3005.06,5069.34,238836.89,0.0,62586.28999999999,1878.36,5110.02,6988.38,79471.83,142058.12,8111.85,20957.25,0.0,611.19,611.19,217405.79,1367.57,250317.79,0.0,59.73,10417.85,7848.519,2569.3300000000004,192345.27,2.0,-69363.73999999999,0.0,11056.069,5106.79,151730.33,833.9,155420.18,7305.345,155420.18,0.0,4558.55,3190.98,5110.02,131910.049,3190.98,-551.4599999999999,0.0,10952.23,163532.03,163532.03,28005.35,REPRESENTACIONS I DISTRIBUCIONS TRAYTER SL_resum
2001-01-01,9285.28,94254.23,163586.08,3005.06,5088.860000000001,238836.89,0.0,69087.98,2358.8900000000003,3057.11,5416.0,92421.54,161509.52,10841.83,27044.52,2108.3,1094.06,1094.06,239290.4,1216.35,278988.39,4087.8,3.77,24263.68,21527.62,2361.54,210662.57,2.0,-69363.73999999999,374.52,2076.56,7836.769999999999,151730.33,833.9,167722.66,9285.28,167722.66,0.0,1966.82,750.47,3057.11,131910.049,2729.9700000000003,-1090.29,1979.5,624.93,187849.76,187849.76,34443.78999999999,REPRESENTACIONS I DISTRIBUCIONS TRAYTER SL_resum
2002-01-01,5571.160000000001,94254.23,208692.919,3005.06,7329.95,238836.89,0.0,71369.56,5447.09,3190.6,8637.69,114600.53,185970.09,12724.58,27714.6,0.0,1294.24,1294.24,296478.64,806.9399999999999,334632.88,786.64,6.8,20141.18,3861.48,16279.7,264479.37,2.0,-69363.73999999999,0.0,22722.829,9719.52,151730.33,833.9,210538.36,5571.160000000001,210538.36,0.0,1903.16,1096.22,3190.6,131910.049,1882.86,-1287.44,786.64,21972.77,228834.1,228834.1,37145.72899999999,REPRESENTACIONS I DISTRIBUCIONS TRAYTER SL_resum
2003-01-01,19785.13,94254.23,228236.27,3005.06,-22482.35,238836.89,0.0,61095.45,7904.929999999999,-31436.49,-23531.56,131621.53,192716.979,-17662.7,40059.94,0.0,1090.86,1090.86,304304.43000000005,0.0,327055.29000000004,200.65,1939.42,42082.98,19471.79,18423.97,267272.59,2.0,-69363.73999999999,4187.22,35519.28999999999,-20667.76,151730.33,833.9,268196.82,19785.13,268196.82,0.0,-30587.93,-30587.93,-31436.49,131910.049,-30387.28,848.56,200.65,32440.09,270319.25,270319.25,18668.45,REPRESENTACIONS I DISTRIBUCIONS TRAYTER SL_resum
2004-01-01,21647.53,94254.23,265426.89,3005.06,-4558.44,238836.89,0.0,66884.72,7375.44,-15057.71,-7682.269,151471.53,218356.25,-29107.74,42229.37,0.0,1834.48,1834.48,334154.3,0.0,363609.51,1060.72,3897.59,35274.92,13272.58,17815.12,287324.7,2.0,-69363.73999999999,4187.219,47070.64,-32112.8,151730.33,833.9,308162.02,21647.53,308162.02,0.0,-12994.6,-12994.6,-15057.71,131910.049,-11933.88,2063.11,1060.72,45233.01,300701.81,300701.81,39505.41,REPRESENTACIONS I DISTRIBUCIONS TRAYTER SL_resum
2005-01-01,29198.68,94254.23,355369.39,3005.06,9337.91,238836.89,0.0,111578.12,7440.85,127.86,7568.71,189921.53,301499.65,-27210.68,55067.65,0.0,2242.44,2242.44,477941.28,0.0,509230.17,60.44,3951.2,29956.66,2206.7,23562.74,385769.63,4.0,-69363.73999999999,4187.219,53869.74,-30215.74,151730.33,833.9,383338.05,29198.68,383338.05,0.0,1836.62,1836.62,127.86,131910.049,1897.06,1708.76,60.44,52846.34,385326.05,385326.05,66648.0,REPRESENTACIONS I DISTRIBUCIONS TRAYTER SL_resum
2006-01-01,40809.97,94254.23,352877.42000000004,60000.0,18631.3,238836.89,0.0,122340.56,10196.7,8767.78,18964.480000000003,190221.53,312562.08900000004,38752.0,63185.94,0.0,2366.21,2366.21,544885.16,0.0,587266.06,60.44,1972.59,53220.42,29571.99,19461.21,439209.02,4.0,-69363.73999999999,4187.219,40315.329,-21248.0,151730.33,833.9,326535.87,40809.97,326535.87,0.0,8374.16,8374.16,8767.78,131910.049,8434.6,-393.62,60.44,36917.57,406097.84,406097.84,84183.45,REPRESENTACIONS I DISTRIBUCIONS TRAYTER SL_resum
2007-01-01,18004.06,94254.23,214791.84,60000.0,25518.21,238836.89,0.0,81981.38,14305.12,10211.8,24516.92,90596.13,172577.51,49965.09,69197.07,0.0,2452.2,2452.2,522172.62,0.0,556348.24,15.11,3438.38,39586.850000000006,20799.99,14599.64,388950.18,4.0,-69363.73999999999,4187.219,42214.329,-10034.91,151730.33,833.9,186409.54,18004.06,186409.54,0.0,11197.98,11197.98,10211.8,131910.049,11213.09,986.18,15.11,40306.58,254378.69,254378.69,97167.48,REPRESENTACIONS I DISTRIBUCIONS TRAYTER SL_resum
2008-01-01,9363.96,94254.23,138214.49,60000.0,-31767.92,238836.89,6242.64,64319.2,9604.58,-19820.28,-10215.699,59025.0,29089.97,8592.59,72762.01,0.0,21583.15,21583.15,370136.94,0.0,370746.94,0.0,30.93,31615.89,14322.800000000003,27428.67,238836.89,4.0,-69363.73999999999,4187.22,14870.29,-51407.41,151730.33,833.9,50543.06,10197.86,151039.93,0.0,-41372.5,-41372.5,-19820.28,131910.049,-41372.5,-21552.22,0.0,14870.29,169830.37999999998,169830.37999999998,62577.24,REPRESENTACIONS I DISTRIBUCIONS TRAYTER SL_resum
2009-01-01,3121.32,52012.380000000005,108883.78,60000.0,460.69,155846.97,6242.64,41474.45,9747.54,-6758.08,2989.46,56818.43,46280.5,53205.74,59973.97,0.0,2682.1,2682.1,279916.54,0.0,280592.41000000003,0.0,153.33,23397.14,7845.610000000002,19209.92,155846.97,2.0,-61782.01,4187.22,10590.9,-6794.26,131503.52,833.9,16864.940000000002,3955.22,75119.95999999999,0.0,-9286.85,-9286.85,-6758.08,124745.439,-9286.85,-2528.77,0.0,10590.9,132280.91999999998,132280.91999999998,63116.76,REPRESENTACIONS I DISTRIBUCIONS TRAYTER SL_resum
2010-01-01,6000.0,53571.87,121987.16,60000.0,-48619.89,149845.6,3121.32,39092.68,6741.49,-47569.380000000005,-40827.89,74068.29,59589.1,32844.36,58706.23,0.0,7792.0,7792.0,224478.9,0.0,224478.9,0.0,0.0,18114.85,1368.42,12559.21,149845.6,3.0,-56754.96,4187.22,8826.19,-27155.639,122202.68,833.9,43730.56,6833.9,100423.75,0.0,-55361.380000000005,-55361.380000000005,-47569.380000000005,74633.299,-55361.380000000005,-7792.0,0.0,8343.43,140102.01,140102.01,17878.34,REPRESENTACIONS I DISTRIBUCIONS TRAYTER SL_resum
