Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,15776.57,1359462.24,4807119.930000001,811366.3400000001,558466.65,5628990.1,533577.11,1641313.4,5759.72,869164.56,874924.2799999999,3152843.18,3434694.34,2820644.37,109238.45,0.0,19461.43,19461.43,5734220.470000001,297611.43000000005,5734220.470000001,0.0,615.23,53904.42,4537.38,28331.61,4530251.359999999,4.0,-1562030.5890000002,21035.43,12963.349,2009278.03,3441584.17,67785.39,131564.05899999998,15776.57,2024603.41,0.0,850318.3600000001,552706.929,869164.56,4226569.22,552706.93,-18846.2,0.0,12963.34,4861024.34,4861024.34,984777.96,RESERVA BATALLE SOCIETAT LIMITADA_resum
2000-01-01,767041.7,2657063.51,7437164.59,811366.3400000001,424225.35,5628990.1,745247.4500000001,2080669.0,8169.49,673098.39,681267.88,5355489.44,4779094.930000001,3236700.23,110074.25,0.0,33534.65,33534.65,4799218.24,224030.07,4799218.24,70.55,451.64,46178.33,2207.07,22935.84,3784743.14,4.0,-1562030.5890000002,21035.42,1006.149,2425333.89,3441584.17,67785.39,77290.03,767041.7,3479600.99,0.0,640015.38,415985.31,673098.39,4226569.22,416055.86,-33083.01,70.55,1006.15,7483342.91,7483342.91,791864.3200000001,RESERVA BATALLE SOCIETAT LIMITADA_resum
2001-01-01,3471596.17,3532544.27,11922584.92,811350.0,568086.909,5628990.1,1431068.57,2926441.7800000003,11529.44,881708.8200000001,893238.259,8943261.850000001,8337159.358999999,3793257.7,157496.66,0.0,97422.4,97418.23,6249651.08,228061.02,6535784.58,70.55,261.52,415465.43000000005,286133.5,108296.51,4797948.89,5.0,-1562030.5890000002,21035.42,52881.28999999999,2981907.7,3441584.17,67785.39,109583.64,3471596.17,5073196.48,0.0,784547.9400000001,556486.919,881708.8200000001,4226569.22,556557.47,-97160.88,70.55,41523.08,12338050.35,12338050.35,1051062.82,RESERVA BATALLE SOCIETAT LIMITADA_resum
2002-01-01,5434525.68,4126959.04,15614367.93,1982067.95,631098.71,5628990.1,5470708.859999999,3926954.29,228686.61,803611.03,1032297.64,11679436.77,11479432.02,10723723.62,315003.98000000004,31.67,249144.28,249136.69,7943733.73,164382.31999999998,8085358.14,5419.87,6939.469999999999,10777067.18,929100.15,9825729.59,5894484.7700000005,10.0,-1562030.5890000002,22237.439,7976.87,8741655.67,3441584.17,67785.39,635517.91,5434525.68,10233185.81,0.0,561406.22,397023.899,803611.03,4226569.22,402412.1,-242204.81,5388.2,300.42999999999995,26391435.110000003,26391435.110000003,1359621.6990000005,RESERVA BATALLE SOCIETAT LIMITADA_resum
2003-01-01,3430888.97,5202043.07,18151184.77,2467315.35,1166966.89,5628990.1,7224575.27,4261444.5,897265.06,695559.58,1592824.64,13870226.43,12929627.86,12934415.05,652603.14,220.7,305400.27,305400.27,8824216.94,181603.01,8871379.950000001,58455.0,2911.23,11221290.6,931168.179,10265662.08,5315829.06,28.0,-1562030.5890000002,24460.339,19513.839,10467099.7,3441584.17,67785.39,580553.009,3430888.97,13007171.35,0.0,393070.54,211467.529,695559.58,4226569.22,269701.83,-302489.04,58234.3,664.51,29372475.37,29372475.37,2306573.31,RESERVA BATALLE SOCIETAT LIMITADA_resum
2004-01-01,3038773.79,2821760.07,18114762.74,2467315.35,2001735.63,5628990.1,8420866.719999999,6946321.25,1125495.74,1571327.56,2696823.3,11167374.84,15291936.02,13810654.94,785460.2,19.04,249967.9,249967.9,14002041.81,491294.87,14005544.59,43207.25,2986.8900000000003,10726951.66,688093.08,10014325.71,9028899.719,38.0,-1562030.5890000002,24532.869,1066.649,11343339.59,3441584.17,67785.39,749658.879,3038773.79,11992285.67,0.0,1324346.55,833051.6799999999,1571327.56,4226569.22,876239.89,-246981.01,43188.21,789.52,28841714.4,28841714.4,3528458.6,RESERVA BATALLE SOCIETAT LIMITADA_resum
2005-01-01,1321146.98,5813274.930000001,18368492.34,2467315.35,2467499.44,5628990.1,5953965.970000001,7722482.25,1054679.47,989830.77,2044510.24,10609243.49,12518450.81,15223474.91,841967.9,205334.12,180898.3,180898.3,15324529.71,448055.3,15489668.11,1251952.27,5324.650000000001,10382458.89,351761.56,10005644.46,11101744.57,29.0,-1562030.5890000002,25052.869,36766.599,12756159.56,3441584.17,67785.39,439088.44,1321146.98,12206329.34,0.0,814257.12,366201.82,989830.77,4226569.22,1412819.97,-175573.65,1046618.15,15942.6,28750951.23,28750951.23,3938420.939,RESERVA BATALLE SOCIETAT LIMITADA_resum
2006-01-01,1007140.74,6028224.79,18793209.72,2467315.35,1775413.6800000002,5628990.1,5444504.03,6569041.470000001,941469.43,1332474.31,2273943.74,12222284.84,12763101.52,16057419.16,969305.5,1344.53,136174.87999999998,136174.87999999998,15089570.27,444127.07,15094277.209,74109.93999999999,9006.48,10231825.84,298604.48000000004,9923945.06,10317420.03,34.0,-1562030.5890000002,9276.299,1883.409,13590103.81,3441584.17,67785.39,487746.839,1007140.74,11960475.66,0.0,1205305.91,761178.839,1332474.31,4226569.22,833944.25,-127168.4,72765.40999999999,1883.41,29025035.56,29025035.56,3325021.13,RESERVA BATALLE SOCIETAT LIMITADA_resum
2007-01-01,2840990.58,8193493.76,25252575.78,2467315.35,1468261.8390000002,5628990.1,6955065.49,4224556.889,894420.08,1011403.19,1905823.27,21025931.86,17056994.988999996,16631260.92,964164.14,587.6,202939.89,202939.89,11209324.07,296277.62,11247555.52,28158.47,34085.21,9791516.25,362229.7,9420430.65,6672193.92,34.0,-1562030.5890000002,8855.9,2087.0310000000004,14163945.57,3441584.17,67785.39,423281.279,2840990.58,15571840.53,0.0,842548.51,546270.89,1011403.19,4226569.22,573841.76,-168854.68,27570.87,2087.03,35044092.03,35044092.03,2931643.49,RESERVA BATALLE SOCIETAT LIMITADA_resum
2008-01-01,9302347.21,5060.08,33880888.5,2467315.35,1037766.389,5628990.1,7046847.3,3347548.27,856171.99,784985.05,1641157.04,30497439.79,33839927.98,16691375.77,1023381.59,0.0,534136.65,534136.65,9847567.77,86266.14,9855559.32,0.0,17012.14,9103875.33,60061.22,9034958.21,15100498.03,33.0,-1562030.5890000002,8855.9,35900.44,14224060.42,3441584.17,67785.39,9871348.08,9370132.6,16923255.459999997,0.0,267860.53900000005,181594.398,784985.05,4226569.22,181594.398,-517124.51,0.0,34258.54,42984763.83,42984763.83,2681550.7690000003,RESERVA BATALLE SOCIETAT LIMITADA_resum
