Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,62918.810000000005,0.0,56008.24,7512.650000000001,36166.310000000005,168492.37999999998,13756.09,3155.4300000000003,17115.51,30492.19,47607.7,39562.73,42718.16,82146.19,158821.84,0.0,4850.77,4850.77,426235.4900000001,7338.57,426235.4900000001,0.0,59.33,133065.37,0.0,104151.09,128970.39,12.0,-96405.25,0.0,13290.079,74633.54,320661.7,0.0,44008.61,62918.810000000005,44008.61,0.0,25700.75,18362.18,30492.19,331663.58900000004,19050.8,-4791.44,0.0,11241.98,189073.61,189073.61,207177.49,RESTAURANT BELL PORT SL_resum
2000-01-01,62918.810000000005,0.0,56008.24,7512.650000000001,36166.310000000005,168492.37999999998,13756.09,3155.4300000000003,17115.51,30492.19,47607.7,39562.73,42718.16,82146.19,158821.84,0.0,4850.77,4850.77,426235.4900000001,7338.57,426235.4900000001,688.62,59.33,133065.37,28914.28,104151.09,128970.39,12.0,-96405.25,0.0,13290.079,74633.54,320661.7,0.0,44008.61,62918.810000000005,44008.61,0.0,25700.75,18362.18,30492.19,331663.58900000004,19050.8,-4791.44,688.62,11241.98,189073.61,189073.61,207177.49,RESTAURANT BELL PORT SL_resum
2001-01-01,67706.69,0.0,54669.87,7512.650000000001,36087.73,168492.37999999998,13756.09,1289.01,21617.83,25044.42,46662.25,35942.32,37231.33,96616.08,187401.71,220.85,5332.31,5332.31,442546.71,6981.929999999999,442546.71,1944.94,15.63,162627.26,25022.19,137446.58,126744.59,13.0,-96405.25,158.49,17438.54,89103.43,320661.7,0.0,52974.36,67706.69,52974.36,0.0,19727.74,12745.81,25044.42,331663.58900000004,14469.9,-5316.68,1724.09,16303.07,217297.13,217297.13,235803.68,RESTAURANT BELL PORT SL_resum
2002-01-01,39771.4,0.0,45194.82,7512.650000000001,34670.28,168492.37999999998,13756.09,526.8599999999999,23712.33,18820.19,42532.52,24616.62,25143.480000000003,107574.05,237069.79,0.0,3820.56,3820.56,504245.62,4700.59,504245.62,597.1800000000001,61.73,158146.53,34886.01,123102.03,139727.93,14.0,-96405.25,158.489,20051.34,100061.4,320661.7,0.0,55995.9,39771.4,55995.9,0.0,15061.36,10360.77,18820.19,331663.58900000004,10957.95,-3758.83,597.1800000000001,18884.53,203341.35,203341.35,280261.22000000003,RESTAURANT BELL PORT SL_resum
2003-01-01,14085.62,0.0,36678.18,7512.650000000001,43525.05,168492.37999999998,13756.09,340.35,30144.23,20354.24,50498.47,27880.22,28220.57,120954.87,248264.95,0.0,1778.82,1778.82,528836.26,5235.5,528836.26,0.0,40.9,140543.97999999998,22710.08,110675.41,149544.96,14.0,-96405.25,7158.49,8457.609,113442.22,320661.7,0.0,42181.67,14085.62,42181.67,0.0,18616.32,13380.82,20354.24,331663.58900000004,13380.82,-1737.92,0.0,8189.51,177222.16,177222.16,298804.32,RESTAURANT BELL PORT SL_resum
2004-01-01,3235.3300000000004,0.0,47804.1,7512.650000000001,51717.33,168492.37999999998,13756.09,532.11,41109.0,15121.54,56230.54,26044.57,26576.68,131563.2,206347.53,0.0,733.69,733.69,496972.01,4260.73,496972.01,409.26,71.95,106987.16,16990.09,82838.58,144822.22,14.0,-96405.25,7158.49,21227.42,124050.55,320661.7,0.0,19992.73,3235.3300000000004,19992.73,0.0,14459.8,10199.07,15121.54,331663.58900000004,10608.33,-661.74,409.26,21162.52,154791.26,154791.26,263059.27900000004,RESTAURANT BELL PORT SL_resum
2005-01-01,2881.68,0.0,71040.15900000001,7512.650000000001,41697.55,168492.37999999998,13756.09,465.71,29611.05,17383.21,46994.259,24748.87,25214.579,143649.7,182202.53,0.0,259.54,259.54,464275.07,5544.92,464275.07,489.67,18.08,94678.64,4225.9,83294.25,145020.31,6.0,-96405.25,7158.49,45825.579,136137.05,320661.7,0.0,19187.42,2881.68,19187.42,0.0,17141.75,11596.83,17383.21,331663.58900000004,12086.5,-241.46,489.67,45656.82,165718.8,165718.8,229704.54,RESTAURANT BELL PORT SL_resum
2006-01-01,25184.78,0.0,95546.359,7512.650000000001,46060.8,168492.37999999998,13756.09,2369.49,32967.18,16153.69,49120.87,32851.97,35221.46,156743.31999999998,185886.68,0.0,963.21,963.21,497677.88,5611.55,497677.88,2781.3300000000004,733.3599999999999,108610.95,28593.52,64734.93,155059.04,8.0,-96405.25,15282.499,60324.899,149230.67,320661.7,0.0,22229.21,25184.78,22229.21,0.0,15923.84,10312.29,16153.69,331663.58900000004,13093.62,-229.85,2781.3300000000004,56196.04,204157.31,204157.31,238522.24,RESTAURANT BELL PORT SL_resum
2007-01-01,26067.480000000003,0.0,123188.81,7512.650000000001,51715.149,168492.37999999998,13756.09,32043.55,36448.67,19921.24,56369.91,33648.57,65692.119,172009.8,196063.18,0.0,1461.73,1461.73,519615.0,5088.820000000001,519615.0,854.9499999999999,1040.839,95808.44,30841.32,49684.62,164490.96,6.0,-96405.25,15282.5,57496.689,164497.15,320661.7,0.0,20919.97,26067.480000000003,20919.97,0.0,19500.35,14411.529,19921.24,331663.58900000004,15266.48,-420.89,854.9499999999999,53755.91,218997.25,218997.25,254328.879,RESTAURANT BELL PORT SL_resum
2008-01-01,63410.47,1207.06,129103.21,7512.650000000001,37658.8,168492.37999999998,13756.09,2416.9,32192.68,11001.89,43194.57,46921.17,48131.01,177475.91999999998,192063.77,0.0,4230.42,4230.42,500155.97,1822.04,500155.97,0.0,516.69,127386.4,0.0,112103.9,168492.37999999998,9.0,-96405.25,15282.5,79765.14,169963.27000000002,320661.7,0.0,640.07,63410.47,15603.22,0.0,7288.160000000001,5466.120000000001,11001.89,331663.58900000004,5466.120000000001,-3713.73,0.0,79765.14,256489.61,256489.61,235775.03,RESTAURANT BELL PORT SL_resum
