Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,172521.53,312819.92000000004,240144.94,114192.3,325405.83,589597.3500000001,0.0,178198.91999999998,252993.38,99653.25,352646.63,3000.0,178198.91999999998,255421.86,343315.91000000003,0.0,17358.629999999997,17358.629999999997,987741.8,11609.69,987741.8,1012.57,714.9499999999999,845056.37,255412.05,587274.8500000001,6661.1900000000005,20.0,-1142399.779,2369.4700000000003,61946.019,141229.56,2510331.01,174383.14,657257.92,172521.53,657257.92,0.0,83009.57,71399.88,99653.25,2617594.77,72412.45,-16643.68,1012.57,44316.91,1085201.31,1085201.31,697690.059,REVALORA RESIDUS SL._resum
2000-01-01,220665.64,312819.92000000004,303477.11,114192.3,283004.44,589597.3500000001,0.0,221589.73,256573.9,37296.6,293870.5,3000.0,221589.73,281852.4,439604.14,243.71,20430.66,20430.66,1155454.21,-7292.31,1155454.21,1932.72,583.2800000000001,865678.1699999999,340695.82,524982.3500000001,6661.1900000000005,23.0,-1142399.779,0.0,81887.37900000002,167660.1,2510331.01,174383.14,666637.24,220665.64,666637.24,0.0,17449.21,24741.52,37296.6,2617594.77,26430.54,-19847.38,1689.01,59178.19,1169155.28,1169155.28,735746.93,REVALORA RESIDUS SL._resum
2001-01-01,174933.31999999998,312819.92000000004,502751.01,199411.8,447349.47,589597.3500000001,0.0,354344.12,280136.2,226125.6,506261.8,3000.0,354344.12,534289.1889999999,463597.74,0.0,20373.73,20373.73,1521763.63,39878.04,1521763.63,796.3199999999999,543.12,722757.16,304197.84,418126.59,6661.1900000000005,22.0,-1142399.779,432.729,148406.88999999998,334877.389,2510331.01,174383.14,516285.66,174933.31999999998,516285.66,0.0,206294.99,166416.949,226125.6,2617594.77,167213.27000000002,-19830.61,796.3199999999999,128247.53,1225508.1700000002,1225508.1700000002,971198.98,REVALORA RESIDUS SL._resum
2002-01-01,99402.33,312819.92000000004,373887.52,199411.8,291382.23000000004,589597.3500000001,0.0,250649.71,182079.58,162478.26,344557.83900000004,3000.0,250649.71,643591.8400000001,478964.76,1538.32,14592.69,14592.69,1340949.59,42422.48,1340949.59,3020.88,2357.0,697055.07,251736.58,439419.58,22874.69,22.0,-1142399.779,5898.909,123237.81,444180.04,2510331.01,174383.14,327948.42000000004,99402.33,327948.42000000004,0.0,150242.57,107820.09,162478.26,2617594.77,109302.65,-12235.69,1482.56,112198.53,1070942.59,1070942.59,827362.159,REVALORA RESIDUS SL._resum
2003-01-01,148498.44999999998,312819.92000000004,527684.569,114192.3,251745.49,589597.3500000001,0.0,329385.88,161993.52,128505.46,290498.98000000004,3000.0,329385.88,648120.2899999999,645837.9,6370.110000000001,14151.63,14151.63,1592919.65,41195.19,1592919.65,21273.059,1690.38,772700.58,326552.65,436877.73,88581.02,27.0,-1142399.779,9270.2,198298.689,533927.99,2510331.01,174383.14,503766.41,148498.44999999998,503766.41,0.0,116044.21,74849.02,128505.46,2617594.77,89751.97,-12461.25,14902.949,184937.28,1300385.15,1300385.15,952930.21,REVALORA RESIDUS SL._resum
2004-01-01,462332.92,312819.92000000004,509294.08,114192.3,285364.149,589597.3500000001,0.0,361222.8,224901.86,103833.58,328735.44,3000.0,361222.8,708582.58,940870.16,7820.03,25737.64,25737.64,2104446.27,25427.43,2104446.27,14675.939,937.87,1270479.29,785073.889,463135.82,122676.22,36.0,-1142399.779,22269.58,148071.28,594390.2789999999,2510331.01,174383.14,608857.87,462332.92,608857.87,0.0,79033.81,53606.380000000005,103833.58,2617594.77,60462.28999999999,-24799.77,6855.909,77691.78,1779773.37,1779773.37,1277399.38,REVALORA RESIDUS SL._resum
2005-01-01,299587.36,312819.92000000004,633008.6799999999,193405.7,378560.69,589597.3500000001,0.0,412386.21,268042.69,160783.08,428825.77,3000.0,412386.21,898313.98,907304.82,3899.65,25181.88,25181.88,2281918.02,32910.76899999999,2281918.02,11487.16,240.06,1204113.55,647807.2699999999,543387.1799999999,157999.84,35.0,-1142399.779,12919.1,220622.47,704908.2799999999,2510331.01,174383.14,639220.89,299587.36,639220.89,0.0,135841.26,102930.491,160783.08,2617594.77,110518.0,-24941.82,7587.51,194978.08,1837122.23,1837122.23,1343958.158,REVALORA RESIDUS SL._resum
2006-01-01,211311.76,312819.92000000004,800002.7,193405.7,488622.5,589597.3500000001,0.0,521279.15,255242.51,344119.01,599361.52,3000.0,524279.15,1131693.97,910019.68,12079.57,17245.37,17245.37,2579520.37,84726.36,2588595.37,2009.47,1302.81,1165705.57,511861.73,625424.74,268717.26,36.0,-1142399.779,28419.1,275723.55,938288.27,2510331.01,174383.14,622702.54,211311.76,622702.54,0.0,328176.45,243450.09,344119.01,2617594.77,233379.99,-15942.56,-10070.1,236978.04,1965708.27,1965708.27,1500613.91,REVALORA RESIDUS SL._resum
2007-01-01,494186.82,312819.92000000004,898943.8600000001,193405.7,547391.13,589597.3500000001,0.0,707982.4500000001,361826.06,237336.51,599162.57,10347.75,707982.4500000001,1317259.04,946933.1,4518.38,35019.89,35019.89,3043984.38,37428.53,3051967.2800000003,22404.239,2791.12,1658689.23,897725.51,734647.01,430348.3,39.0,-1142399.779,26316.709,190961.41,1123853.34,2510331.01,174383.14,746187.23,494186.82,746187.23,0.0,205107.74,167679.21000000002,237336.51,2617594.77,185565.07,-32228.77,17885.858999999997,110104.23,2557633.09,2557633.09,1566772.65,REVALORA RESIDUS SL._resum
2008-01-01,322685.36,312819.92000000004,1033956.47,193405.7,449651.73,589597.3500000001,0.0,678553.5,387755.03,107263.76,495018.79,17695.5,365733.58,1379155.74,980176.2,0.0,26764.66,26764.66,3207192.12,21649.69,3207192.12,0.0,3047.29,1397768.96,3098.75,1369345.61,589597.3500000001,39.0,-1142399.779,25324.6,355402.97000000003,1185750.04,2510331.01,174383.14,242681.27,497068.5,555501.19,0.0,83546.39,61896.7,107263.76,2617594.77,61896.7,-23717.37,0.0,259080.71,2431725.43,2431725.43,1478242.279,REVALORA RESIDUS SL._resum
