Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,23974.86,0.0,59018.34,66111.33,35167.57,0.0,7369.44,14134.01,13783.53,28435.4,42218.93,0.0,14134.01,84729.73,45313.49,0.0,1711.22,1711.22,265953.05,9164.59,266580.56,3824.44,1845.14,85220.26,11736.99,39571.880000000005,0.0,3.0,-141961.36,45648.380000000005,44884.329,18618.399,369456.84,0.0,59508.86,23974.86,59508.86,0.0,26724.18,17559.59,28435.4,490990.7,21384.04,-1711.22,3824.44,44884.33,144238.6,144238.6,91356.87,RIGAU ASSESSORS SOCIEDAD LIMITADA_resum
2000-01-01,23974.86,0.0,142561.33,66111.33,28189.02,0.0,7369.44,32532.09,14222.0,56165.36,70387.36,0.0,32532.09,88451.8,66217.28,48737.75,2525.27,2525.27,284446.91000000003,6579.55,284778.18,13799.09,1845.14,32419.79,11736.99,32419.79,0.0,3.0,-141961.36,0.0,110029.239,22340.47,369456.84,0.0,86529.33,23974.86,86529.33,0.0,55485.23,48905.68,56165.36,490990.7,13967.02,-680.13,-34938.66,110029.239,174981.13,174981.13,103511.12,RIGAU ASSESSORS SOCIEDAD LIMITADA_resum
2001-01-01,23974.86,0.0,24941.25,271999.0,53355.169,0.0,7369.44,18227.12,20486.9,57732.98,78219.88,0.0,18227.12,277304.95,73593.2,15304.53,2026.13,2026.13,255325.17,14086.4,256470.83,5777.01,775.3399999999999,309680.85,11736.99,262440.93000000005,0.0,4.0,-141961.36,47239.919,6714.13,5305.95,369456.84,0.0,57317.15,23974.86,57317.15,0.0,56482.19,42395.78999999999,57732.98,490990.7,32868.26899999999,-1250.78,-9527.52,6714.120000000001,334622.1,334622.1,143060.89899999998,RIGAU ASSESSORS SOCIEDAD LIMITADA_resum
2002-01-01,23974.86,0.0,27211.07,271999.0,64277.8,0.0,7369.44,26224.47,23297.95,59077.55,82375.5,0.0,26224.47,297785.04,83763.79,5848.67,2809.44,2809.44,273675.24,17562.79,275284.39900000003,8109.09,14.11,372823.13,11736.99,275162.89,0.0,4.0,-141961.36,97660.239,986.599,25786.039,369456.84,0.0,78274.3,23974.86,78274.3,0.0,56282.22,38719.43,59077.55,490990.7,40979.850000000006,-2795.3300000000004,2260.42,986.6,400034.2,400034.2,168413.81999999998,RIGAU ASSESSORS SOCIEDAD LIMITADA_resum
2003-01-01,20782.09,0.0,145155.41999999998,271999.0,66386.369,0.0,7369.44,81629.73999999999,20350.04,67579.35,87929.39,0.0,81629.73999999999,331146.07,87330.76,24092.07,2565.72,2565.72,305547.99000000005,26815.425,307011.39900000003,4242.5,872.2700000000001,310384.43000000005,11736.99,255163.73,0.0,4.0,-141961.36,43483.709,63525.68,59147.07,369456.84,0.0,103611.69,20782.09,103611.69,0.0,65885.899,65885.899,67579.35,490990.7,46036.33,-1693.45,-19849.57,62648.96,455539.85,455539.85,156282.84999999998,RIGAU ASSESSORS SOCIEDAD LIMITADA_resum
2004-01-01,5194.45,0.0,194236.42,271999.0,101990.75,0.0,7369.44,174304.99,22128.37,116729.09,138857.46,0.0,174304.99,397897.71,103193.34,14.55,1927.52,1927.52,355536.86,36068.06,358483.05,1011.66,131.76,308950.99000000005,8747.99,253315.56,0.0,5.0,-141961.36,46887.44,19931.43,125898.71,369456.84,0.0,100095.25,5194.45,100095.25,0.0,114933.33,78865.27,116729.09,490990.7,79862.38,-1795.76,997.11,19530.33,503187.41,503187.41,243179.669,RIGAU ASSESSORS SOCIEDAD LIMITADA_resum
2005-01-01,36361.86,0.0,118836.21,271999.0,69786.35,0.0,7369.44,52437.37,25942.56,77769.0,103711.56,0.0,52437.37,441741.5,149834.88999999998,13767.52,3224.9500000000003,3224.9500000000003,376557.33,18790.19,379503.16,1795.98,61.47,476904.68,5758.99,311789.02,0.0,6.0,-141961.36,159356.669,66398.84,169742.5,369456.84,0.0,117637.53,36361.86,117637.53,0.0,74605.52,55815.33,77769.0,490990.7,43843.78999999999,-3163.48,-11971.54,60367.48,595740.89,595740.89,241636.38,RIGAU ASSESSORS SOCIEDAD LIMITADA_resum
2006-01-01,27695.94,0.0,108657.44,271999.0,102629.44,0.0,7369.44,45867.82,28097.6,109517.89,137615.49,0.0,45867.82,516273.34,173104.3,0.0,3105.22,3105.22,433984.17,31942.22,435868.36,0.0,61.39,585730.55,7654.113333333334,290158.21,0.0,6.0,-141961.36,295572.34,62789.62,244274.34,369456.84,0.0,150418.71000000002,27695.94,150418.71000000002,0.0,106474.06,74531.84,109517.89,490990.7,74531.84,-3043.8300000000004,0.0,59584.14,694387.99,694387.99,310781.179,RIGAU ASSESSORS SOCIEDAD LIMITADA_resum
2007-01-01,7369.44,0.0,434478.19,271999.0,146947.22,0.0,7369.44,125428.93,30263.7,112767.52,143031.22,0.0,125428.93,632956.8600000001,190882.32,0.0,18697.01,18697.01,474571.62,41421.33,475302.9900000001,480.81,63553.53,390465.8,9549.236666666668,282651.86,0.0,7.0,-141961.36,107813.94,309049.26,360957.86,369456.84,0.0,184617.69,7369.44,184617.69,0.0,157624.04,116202.71,112767.52,490990.7,116683.52,44856.52,480.81,308240.51,824943.99,824943.99,397947.88,RIGAU ASSESSORS SOCIEDAD LIMITADA_resum
2008-01-01,7638.04,946.65,534754.38,271999.0,110085.16,0.0,7369.44,102331.22,21386.79,121533.86,142920.65,1034.48,102419.05,721655.23,206108.69,0.0,14953.15,1989.11,490990.7,29566.12,490990.7,0.0,11683.78,377290.45,11444.36,244549.74,0.0,6.0,-141961.36,121296.349,431388.68,449656.23,369456.84,0.0,182073.51,7638.04,190389.6,0.0,118264.49,88698.37000000001,121533.86,490990.7,88698.37000000001,-3269.3700000000003,0.0,36388.68,912044.83,912044.83,347749.079,RIGAU ASSESSORS SOCIEDAD LIMITADA_resum
