Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,1005448.66,215511.13,1441482.49,60101.21,194409.72,1207469.0,0.0,520620.27,43374.97,194862.02,238236.99,166609.77000000002,687230.04,1671168.34,464441.17,0.0,838.74,838.74,1822215.53,69406.23,1858347.53,1598.85,24818.85,490901.04,2103.34,424022.0,843404.22,18.0,-1099576.759,66879.039,754252.4500000001,1611067.13,3111146.07,99993.26,261215.19,1005448.66,261215.19,0.0,218842.13,149435.9,194862.02,3329552.52,151034.75,23980.11,1598.85,754252.4500000001,1932383.53,1932383.53,729095.859,ROS DUCTING SLU_resum
2000-01-01,1005448.66,215511.13,1679604.14,60101.21,182029.05,1207469.0,0.0,704386.15,43374.97,228313.88,271688.85,63336.87,767723.02,1809822.41,530595.73,30602.24,1872.1,1872.1,2185187.15,74689.27,2250484.96,26.34,17477.460000000003,450783.56,2103.34,383904.52,1093142.24,26.0,-1099576.759,66879.039,911881.119,1749721.2,3111146.07,99993.26,320565.28,1005448.66,320565.28,0.0,243919.25,169229.979,228313.88,3329552.52,138654.08,15605.37,-30575.9,911881.12,2130387.69,2130387.69,789186.149,ROS DUCTING SLU_resum
2001-01-01,1005448.66,215511.13,1875966.28,60200.0,150000.05,1207469.0,0.0,608118.56,47547.03,159937.87999999998,207484.91,129980.74,738099.3,1912275.43,560448.2,20811.75,33962.689999999995,1559.4,2309677.08,46940.11,2381017.29,242.3,43987.39,403236.53,2103.34,336357.49000000005,1189340.71,25.0,-1099576.759,66879.04,1137866.98,1852075.43,3111146.07,99993.26,366927.38,1005448.66,366927.38,0.0,169962.58,123022.469,159937.87999999998,3329552.52,102453.02,10024.7,-20569.45,1137866.98,2279202.81,2279202.81,758947.76,ROS DUCTING SLU_resum
2002-01-01,1005448.66,215511.13,2351866.17,60200.0,112760.58,1207469.0,0.0,755322.56,37681.76,201611.95,239293.71,321651.15,1076973.71,1987354.24,577585.22,25904.74,96042.299,3757.87,2328879.49,33620.950000000004,2398727.57,21226.93,7807.929999999999,369123.4,2103.34,307206.77,1190965.12,25.0,-1099576.759,61916.63,1274892.46,1927154.24,3111146.07,99993.26,733635.3300000001,1005448.66,733635.3300000001,0.0,113377.58,79756.63,201611.95,3329552.52,75078.82,-88234.37000000001,-4677.81,1274892.46,2720989.57,2720989.57,727724.62,ROS DUCTING SLU_resum
2003-01-01,1005448.66,215511.13,1847369.33,60200.0,165666.53,1207469.0,0.0,936087.91,86924.34,91824.79,178749.13,398425.71,1334513.62,2066096.43,625761.3400000001,5808.7,3405.84,3405.84,2559057.77,34522.24,2692616.46,38.14,30616.04,816546.09,2103.34,759976.57,1491156.39,24.0,-1099576.759,56569.52,512855.71,2005896.43,3111146.07,99993.26,597818.99,1005448.66,597818.99,0.0,119034.99,84512.75,91824.79,3329552.52,78742.19,27210.2,-5770.56,512855.71,2663915.42,2663915.42,829355.9500000001,ROS DUCTING SLU_resum
2004-01-01,1005448.66,215511.13,1640247.54,60200.0,1162372.25,1207469.0,0.0,1033288.67,319187.49000000005,66667.17900000002,385854.669,425412.36,1458701.03,2909281.19,709686.7699999999,-19980.94,23969.47,26075.7,2761126.97,139621.81999999998,2835168.73,900336.01,19791.92,2775222.41,2103.34,2698325.7,1022763.77,27.0,-1099576.759,76896.709,181546.51,2849081.19,3111146.07,99993.26,500740.1,1005448.66,500740.1,0.0,62489.63,-77132.19,66667.17900000002,3329552.52,843184.76,-4177.55,920316.95,181546.51,4415469.95,4415469.95,2037756.54,ROS DUCTING SLU_resum
2005-01-01,1005448.66,215511.13,1622151.71,60200.0,552883.2799999999,1207469.0,0.0,1271815.09,481079.25,133979.29,615058.54,321822.73000000004,1593637.82,2981085.22,827288.3400000001,2789.64,31908.91,31908.91,3298309.27,29187.44,3400516.25,1163.07,547.66,2772729.7,2103.34,2683837.44,1178250.62,30.0,-1099576.759,88892.26,28513.889,2920885.22,3111146.07,99993.26,408347.53,1005448.66,408347.53,0.0,102618.04,73430.599,133979.29,3329552.52,71804.03,-31361.25,-1626.57,28513.89,4394881.41,4394881.41,1441267.97,ROS DUCTING SLU_resum
2006-01-01,904383.94,215511.13,2193691.4,60200.0,650231.52,1207469.0,0.0,1297895.66,549707.23,40745.54,590452.7699999999,526997.23,1824892.89,3081609.51,872764.52,59168.44,36480.72,36480.72,3672315.31,46356.99,3751873.51,198149.83,3635.07,2798491.59,2103.34,2528197.98,1362891.33,31.0,-1099576.759,270293.609,368798.51,3021409.51,3111146.07,99993.26,1006189.54,904383.94,1006189.54,0.0,7899.89,-38457.1,40745.54,3329552.52,100524.29,-32845.65,138981.38899999997,368798.51,4992182.99,4992182.99,1605833.75,ROS DUCTING SLU_resum
2007-01-01,715303.52,215511.13,2316475.26,60200.0,1058626.07,1207469.0,0.0,1782885.03,740729.6699999999,108049.26,848778.93,414207.25,2197092.2800000003,3399505.91,1056924.87,0.0,52110.01,52110.01,4765456.67,69632.23999999999,4859393.45,324235.6,7353.79,2745146.91,2103.34,2495146.91,1740840.15,32.0,-1099576.759,250000.0,119382.979,3339305.91,3111146.07,99993.26,946812.74,715303.52,946812.74,0.0,63293.04,-6339.2,108049.26,3329552.52,317896.4,-44756.22,324235.6,119382.98,5061622.17,5061622.17,2237293.19,ROS DUCTING SLU_resum
2008-01-01,523265.44,215511.13,2522191.54,60200.0,865690.9600000001,1207469.0,0.0,1075676.87,729086.89,218406.45,947493.34,589839.57,1450005.31,3536109.98,1282482.42,0.0,43422.45,43422.45,4445314.819999999,49958.72,4537021.52,0.0,11578.79,2196529.14,2103.34,1942629.14,1207469.0,39.0,-1099576.759,253900.0,856675.1,3475909.979,3111146.07,99993.26,343840.87,623258.7,559352.0,0.0,186562.79,136604.07,218406.45,3329552.52,136604.07,-31843.659,0.0,856675.1,4718720.68,4718720.68,2241554.55,ROS DUCTING SLU_resum
