Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,426392.33,0.0,2242.58,649093.07,59287.87,0.0,1272.83,2242.58,52358.37,50224.34,102582.709,0.0,2242.58,699090.7,115436.4,210.35,40126.96,23903.4,328651.82,2969.78,328651.82,12.25,695.12,1388798.47,9514.05,1377631.64,22880.93,7.0,-38962.21,1652.78,0.0,49997.63,73615.04,0.0,265558.02,426392.33,265558.02,0.0,10097.38,7127.599,50224.34,156991.8,6929.5,-40126.96,-198.1,1995.69,1391041.05,1391041.05,201597.449,ROSETUR SL_resum
2000-01-01,601888.3600000001,0.0,11656.0,649093.07,-18817.379,0.0,1272.83,9660.31,54873.880000000005,63931.98,118805.86,0.0,9660.31,625399.4400000001,108059.15,32.349999999999994,139601.18,51321.25,363998.06,-1315.1699999999998,363998.06,0.0,695.12,1363334.8,5425.87,1356256.14,22833.99,2.0,-38962.21,1652.79,1995.69,-23693.63,73615.04,0.0,147703.0,601888.3600000001,147703.0,0.0,-74974.08,-73658.90999999999,63931.98,156991.8,-73691.26,-138906.06,-32.349999999999994,1995.69,1374990.8,1374990.8,139247.84999999998,ROSETUR SL_resum
2001-01-01,571434.48,0.0,6668.02,649080.0,97075.739,0.0,1272.83,6668.02,56732.39,71533.45999999999,128265.85,0.0,6668.02,665742.7899999999,106274.8,858.64,31828.15,31828.15,360672.61,-1315.1699999999998,360672.61,121.44,60.069,1326724.1,1337.6899999999998,1323733.63,21434.18,4.333333333333334,-38962.21,1652.78,0.0,16662.79,73615.04,0.0,96214.85,571434.48,96214.85,0.0,39765.380000000005,41080.549,71533.45999999999,156991.8,40343.350000000006,-31768.08,-737.2,19831.1,1333392.12,1333392.12,233863.52,ROSETUR SL_resum
2002-01-01,539390.53,0.0,52635.53,649093.07,123069.36,0.0,1272.83,14969.02,54920.28,120703.54,175623.81999999998,0.0,14969.02,733891.8400000001,125855.39,11333.91,27569.91,27569.91,423701.55,14636.67,423701.55,986.03,34.0295,1288689.85,119.97,1288569.88,20532.71,6.666666666666667,-38962.21,0.0,37666.509,84798.77,73615.04,0.0,68043.01,539390.53,68043.01,0.0,93133.63,78496.95999999999,120703.54,156991.8,68149.08,-27569.91,-10347.88,37666.51,1341325.38,1341325.38,291131.33,ROSETUR SL_resum
2003-01-01,530007.2899999999,0.0,39296.27,649093.07,90845.91,0.0,1272.83,4870.91,73327.93999999999,44546.75,117874.69,0.0,4870.91,751409.81,139203.14,1510.3,21912.38,21912.38,423963.64,3975.67,425199.45,361.58,7.99,1275533.71,28855.07,1246678.64,22655.28,9.0,-38962.21,0.0,34425.36,102316.74,73615.04,0.0,33412.879,530007.2899999999,33412.879,0.0,22642.36,18666.69,44546.75,156991.8,17517.97,-21904.39,-1148.72,31669.04,1314829.98,1314829.98,255937.1,ROSETUR SL_resum
2004-01-01,481442.35,0.0,49922.1,649093.07,112182.03,0.0,1272.83,5604.54,77671.97,62556.1,140228.07,0.0,5604.54,785919.91,125074.41,1465.51,14867.11,14867.11,423219.27,11765.02,425588.12,49.06,2.54,1238276.86,20409.68,1217867.1800000002,19813.47,8.0,-38962.21,0.0,44317.56,136826.84,73615.04,0.0,20836.7,481442.35,20836.7,0.0,47691.53,35926.509,62556.1,156991.8,34510.06,-14864.57,-1416.45,42655.17,1288198.96,1288198.96,263888.57,ROSETUR SL_resum
2005-01-01,407675.5,0.0,37970.350000000006,649093.07,93812.95,0.0,1272.83,7954.79,79397.06,38581.78999999999,117978.85,0.0,7954.79,800335.8,147615.54,1.21,19203.480000000003,19203.480000000003,447148.11,6212.54,449396.459,1250.88,0.45,1203472.46,39113.13,1164359.33,24627.9,9.0,-38962.21,0.0,30015.559,151242.73,73615.04,0.0,33431.51,407675.5,33431.51,0.0,19378.76,13166.219,38581.78999999999,156991.8,14415.89,-19203.03,1249.6699999999998,27427.480000000003,1241442.81,1241442.81,266844.51,ROSETUR SL_resum
2006-01-01,515135.22,0.0,240352.69,649093.07,89368.29,0.0,1272.83,30649.78,78218.52,31828.56,110047.08,138665.64,169315.41999999998,811485.57,190770.41,110.43,16341.37,16341.37,471108.81,4778.469999999999,473757.27,549.16,2.32,1125253.94,25327.79,1099926.15,24563.18,8.0,-38962.21,0.0,71037.269,162392.5,73615.04,0.0,38985.84,515135.22,38985.84,0.0,15489.51,10711.04,31828.56,156991.8,11149.77,-16339.05,438.729,69739.56,1365606.63,1365606.63,301258.54,ROSETUR SL_resum
2007-01-01,752672.59,0.0,411127.64,649093.07,-69296.69,0.0,1272.83,40494.76,9153.32,-70307.55,-61154.23,213283.23,253777.99,733035.56,28129.32,9523.9,25400.09,25400.09,395077.155,-2168.3300000000004,236882.52000000002,24607.829,5.37,1096832.1700000002,16986.74,1079145.43,-28975.41,1.0,-38962.21,700.0,157349.65,83942.48999999999,73615.04,0.0,22251.66,752672.59,22251.66,0.0,-95702.27,-93533.94,-70307.55,156991.8,-78450.01,-25394.72,15083.929,156976.79,1507959.81,1507959.81,-17935.608999999997,ROSETUR SL_resum
2008-01-01,3817272.64,1178112.45,4633731.21,649093.07,-32769.049,-156984.03,1272.83,286418.57,8938.51,83376.76,92315.269,4275601.598999999,3383907.719,691328.0,25714.32,0.0,135495.34,135495.34,319045.5,-1694.8075000000003,7.77,0.0,10411.02,1087893.66,0.0,19212.87,3905334.34,1.0,-38962.21,1068680.79,71711.04,42234.93,73615.04,0.0,33638.950000000004,3817272.64,1213024.23,0.0,-41707.56,-41707.56,83376.76,156991.8,-41707.56,-125084.319,0.0,71711.04,5721624.87,5721624.87,128440.61,ROSETUR SL_resum
2009-01-01,9352568.47,1933581.76,273669.84,1050668.2,-70448.11,-338159.36,6695.28,231729.12,5553.45,263761.88,269315.33,0.0,-1701852.64,1012055.1,32964.82,0.0,339769.7,339769.7,243013.845,-1221.2850000000003,465.19,0.0,6.26,12059135.23,0.0,256006.4,5636868.76,1.0,-36344.399,11803128.83,41940.72,-38613.1,74862.67000000001,0.0,27904.460000000003,9352568.47,1968181.5,0.0,-76001.56,-76001.56,263761.88,338624.55,-76001.56,-339763.44,0.0,41940.72,12332805.07,12332805.07,302286.41000000003,ROSETUR SL_resum
2010-01-01,10728316.96,55597.56,806018.76,2050732.2,-104349.4,0.0,440145.84,16374.45,47033.12,-75620.63,-28587.51,0.0,-39223.11,1851552.63,71217.6,0.0,235336.81,235336.81,166982.19,-747.7625000000003,186462.44,0.0,159574.91999999998,12313072.06,0.0,309220.49000000005,0.0,2.0,-143832.34999999998,12003851.569,789644.31,-199179.57,262083.07,0.0,43477.83,10728316.96,539221.23,0.0,-151382.52,-151382.52,-75620.63,186462.44,-151382.52,-75761.88900000001,0.0,45321.39,13119090.82,13119090.82,202205.01,ROSETUR SL_resum
2011-01-01,10334276.51,0.0,331352.26,2050732.2,117988.489,0.0,428688.22,39294.49,88474.92,184672.21,273147.13,0.0,39294.49,1881066.2,88649.95999999999,0.0,266921.44,266921.44,518858.35,-274.24000000000024,532906.6989999999,0.0,111762.8,12369919.25,0.0,319433.7,0.0,3.0,-171109.61000000002,12050485.549,292057.77,-169666.0,348234.49000000005,0.0,57240.58,10334276.51,485928.8,0.0,29513.57,29513.57,184672.21,532906.6989999999,29513.57,-155158.64,0.0,59262.92,12701271.51,12701271.51,473559.89,ROSETUR SL_resum
2012-01-01,9948473.57,0.0,67276.85,2050732.2,142577.03,0.0,507929.37,27842.89,94170.18,284186.59,378356.77,0.0,27842.89,1929473.05,110462.45,0.0,299820.13,299820.13,657391.48,199.2824999999998,672601.2899999999,0.0,64040.39,12377866.93,0.0,307832.86,0.0,4.0,-183782.07,12070034.07,39433.96,-121259.15,388414.7,0.0,59267.789,9948473.57,567197.16,0.0,48406.850000000006,48406.850000000006,284186.59,672601.2899999999,48406.850000000006,-235779.74,0.0,11438.53,12445143.78,12445143.78,552859.61,ROSETUR SL_resum
2013-01-01,9663682.54,0.0,52356.62,2050732.2,202749.52,0.0,604091.81,21057.27,151481.8,187981.14,339462.94,0.0,21057.27,1980740.77,110539.16,0.0,174549.09,174549.09,640460.2,672.8049999999998,658181.4500000001,0.0,37835.67,12258583.85,0.0,297626.39,0.0,4.0,-208179.35,11960957.459,31299.35,-69991.43,470200.31,0.0,62425.350000000006,9663682.54,666517.16,0.0,51267.72,51267.72,187981.14,658181.4500000001,51267.72,-136713.419,0.0,8052.820000000001,12310940.47,12310940.47,487837.77,ROSETUR SL_resum
2014-01-01,9393342.62,0.0,362526.48,2050732.2,221709.71,0.0,519817.59,33183.15,174052.29,204602.58,378654.87,0.0,33183.15,2376741.24,112827.61,0.0,159759.41,159759.41,653265.59,1146.3274999999999,658886.26,0.0,2814.25,12104853.78,0.0,289279.06,0.0,5.0,-167403.78,11815574.72,329343.329,326009.04,454283.68,116114.35,61364.46,9509456.97,581182.05,0.0,47657.42,47657.42,204602.58,658886.26,47657.42,-156945.16,0.0,107156.97,12467380.26,12467380.26,494296.73,ROSETUR SL_resum
2015-01-01,8983542.219999999,0.0,268438.15,3119310.2,312544.24,0.0,569017.0,14221.59,258932.57,195907.04,454839.61,0.0,14221.59,3685373.75,112990.42,0.0,143692.93,143692.93,730129.6799999999,1619.85,737323.8200000001,0.0,3017.4100000000003,13121829.91,0.0,260238.63,0.0,5.0,-169493.789,12861591.28,254216.56,566063.55,541416.7799999999,113695.3,38639.78999999999,9097237.52,607656.7899999999,0.0,55231.52,53611.67,195907.04,737323.8200000001,53611.67,-140675.52,0.0,79866.31,13390268.06,13390268.06,570847.4400000001,ROSETUR SL_resum
2016-01-01,8244081.6,0.0,464947.4900000001,3119310.2,308677.81,0.0,318221.76,22213.7,299134.75,134823.36,433958.11,0.0,22213.7,4164977.48,218449.67,0.0,127066.46,127066.46,884787.72,2340.58,899657.62,0.0,1786.16,12566587.67,0.0,349489.1,0.0,7.0,-247249.84,12217098.57,442733.79,1045667.28,764834.26,270381.93000000005,33872.39,8514463.527999999,352094.15,0.0,9543.06,9543.06,134823.36,899657.62,9543.06,-125280.3,0.0,275427.31,13031535.16,13031535.16,654193.9400000001,ROSETUR SL_resum
2017-01-01,7918501.44,0.0,453473.65,3119310.2,387847.19,0.0,323751.5,12788.72,302680.25,216396.98,519077.23,0.0,12788.72,4232510.819999999,228111.77,0.0,128757.07,128757.07,913074.17,3061.3100000000004,934176.0,0.0,588.3399999999999,12313145.43,0.0,341133.29000000004,0.0,7.0,-186987.0,11972012.139,440684.93000000005,1113200.62,717779.02,264504.06,27351.26,8183005.5,351102.76,0.0,88228.25,85166.93999999999,216396.98,934176.0,85166.93999999999,-128168.73,0.0,239577.73,12766619.08,12766619.08,747777.3400000001,ROSETUR SL_resum
2018-01-01,7589467.7,0.0,380976.15,3119310.2,387920.0,0.0,329406.42000000004,16870.0,305711.67,213606.34,519318.01,0.0,16870.0,4297085.55,240850.27,0.0,123227.37,123227.37,926918.22,11716.88,937593.4,0.0,3546.24,12127411.26,0.0,279122.16,0.0,7.0,-177425.12,11848289.1,364106.15,1177775.35,723987.059,259797.88,32629.86,7849265.58,362036.28,0.0,93925.21,82208.33,213606.34,937593.4,82208.33,-119681.12900000002,0.0,207388.35,12508387.41,12508387.41,763714.519,ROSETUR SL_resum
2019-01-01,7250322.49,0.0,350243.13,3119310.2,368110.66,0.0,335910.2,26813.57,305516.69,180414.77,485931.459,0.0,26813.57,4342045.92,240693.26,0.0,117572.43,117572.43,914810.42,5017.91,924199.49,0.0,4769.54,11860704.43,0.0,216969.57,0.0,7.0,-197574.77,11643734.86,323429.56,1222735.72,743784.72,253920.01,28748.94,7504242.5,364659.14,0.0,67611.88,62593.97,180414.77,924199.49,62593.97,-112802.89,0.0,166117.88999999998,12210947.56,12210947.56,731394.26,ROSETUR SL_resum
2020-01-01,6904125.85,0.0,351314.05,3119310.2,370204.98,0.0,341478.91000000003,61968.84,305156.51,177105.94,482262.45,0.0,61968.84,4389460.79,247153.1,0.0,111788.6,111788.6,910175.55,5026.9,918528.82,0.0,4758.03,11559975.41,0.0,158452.69,0.0,7.0,-189113.27,11401522.72,289345.21,1270150.5890000002,741422.88,248042.14,28181.77,7152167.99,369660.68,0.0,70075.37000000001,65048.469,177105.94,918528.82,65048.469,-107030.57,0.0,277501.95,11911289.46,11911289.46,734173.58,ROSETUR SL_resum
2021-01-01,6566981.430000001,0.0,359821.66,3119310.2,386092.39,0.0,347764.47000000003,56164.28,294799.94,199675.61,494475.55,0.0,56164.28,4463119.64,205222.79,0.0,105872.25,105872.25,908898.11,7042.5,915658.89,0.0,4531.59,11289314.5,0.0,120131.9,0.0,6.0,-215960.55,11169182.6,303657.38,1343809.44,715983.2799999999,240992.58,30278.04,6807974.01,378042.51,0.0,98334.95,91292.45,199675.61,915658.89,91292.45,-101340.66,0.0,281838.52,11649136.16,11649136.16,704229.929,ROSETUR SL_resum
2022-01-01,6278697.359999999,0.0,357665.78,3119310.2,396138.13,0.0,293727.13,39750.19,287590.26,224854.87,512445.13,0.0,39750.19,4545391.930000001,207013.39,0.0,112889.93,112889.93,922345.54,8457.77,926161.89,0.0,5040.7,11024644.54,0.0,97452.05,0.0,7.0,-206703.37,10927192.49,317915.59,1426081.73,701307.02,236286.4,28207.5,6514983.76,321934.63,0.0,117005.64,108547.87,224854.87,926161.89,108547.87,-107849.23,0.0,302615.14,11382310.32,11382310.32,724499.22,ROSETUR SL_resum
2023-01-01,6016345.02,0.0,334980.82,3119310.2,319199.98000000004,0.0,269127.92000000004,39435.1,269860.25,303580.56,573440.81,0.0,39435.1,4568456.08,196273.47,0.0,255289.48,255289.48,954488.93,4389.14,959640.04,0.0,5437.79,10768706.95,0.0,80834.58,0.0,6.0,-189925.76,10687872.37,295545.72000000003,1449145.88,656059.48,229236.84,20521.91,6245581.859999999,289649.83,0.0,53728.87,49339.73,303580.56,959640.04,49339.73,-249851.69,0.0,270586.05,11103687.77,11103687.77,775152.07,ROSETUR SL_resum
