Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,0.0,25788.16,155733.75,9015.18,35509.97,304177.49000000005,0.0,126136.96,3704.82,45534.380000000005,49239.2,3314.11,129451.07,124570.75,100323.47,0.0,103.34,103.34,300751.14,13630.77,300751.14,0.0,4.88,24702.09,0.0,24702.09,135495.31,6.0,-52131.64,0.0,26282.68,115555.57,322518.69,0.0,55865.09,0.0,55865.09,0.0,45435.92,31805.149,45534.380000000005,437356.5,31805.15,-98.46,0.0,26282.67,180435.84,180435.84,149567.55,SANZ PUJOL SL_resum
2000-01-01,0.0,25788.16,170056.69,9015.18,66606.429,304177.49000000005,0.0,139899.53,5405.860000000001,83300.12000000001,88705.98,4068.68,143968.21000000002,185771.31,115736.17,0.0,886.06,886.06,418981.64,25905.42,418981.64,0.0,4691.929999999999,86909.77,0.0,86909.77,193845.93,8.0,-52131.64,0.0,26088.480000000003,176756.13,322518.69,0.0,71195.14,0.0,71195.14,0.0,87105.98999999999,61200.57,83300.12000000001,437356.5,61200.57,3805.87,0.0,26088.47,256966.46,256966.46,209134.079,SANZ PUJOL SL_resum
2001-01-01,0.0,25788.16,243587.61,9015.18,57229.78999999999,304177.49000000005,0.0,186131.62,9172.39,68700.68000000001,77873.069,4360.54,190492.16,233828.71,134176.95899999997,6.39,49.16,49.16,434826.45,20596.03,434826.45,0.0,8.29,77737.38,0.0,77737.38,195955.74,6.0,-52131.64,0.0,53095.449,224813.53,322518.69,0.0,87496.28,0.0,87496.28,0.0,68659.82,48063.78999999999,68700.68000000001,437356.5,48057.4,-40.86,-6.39,53095.45,321324.99000000005,321324.99000000005,212051.938,SANZ PUJOL SL_resum
2002-01-01,7956.0,25788.16,198815.16,9015.18,31381.980000000003,304177.49000000005,0.0,145988.41999999998,8900.17,28816.57,37716.74,4980.54,150968.96,256310.53,148637.2,0.0,128.16,128.16,419953.24,9635.06,419953.24,3413.68,14.78,118932.26,7810.08,111122.18,195193.98,6.0,-52131.64,0.0,47846.19899999999,247295.35,322518.69,0.0,53480.89,7956.0,53480.89,0.0,28703.19,19068.129,28816.57,437356.5,22481.81,-113.38,3413.68,47309.96,317747.42000000004,317747.42000000004,189782.4,SANZ PUJOL SL_resum
2003-01-01,2340.0,25788.16,184101.96,9015.18,26016.64,304177.49000000005,0.0,119366.27,10427.44,14756.13,25183.57,30921.14,150287.41,271899.73000000004,163935.63,0.0,43.5,43.5,429487.44,6681.08,429487.44,7110.26,447.39,134429.44,6526.23,127903.21,208472.72,8.0,-52131.64,0.0,33814.55,262884.55,322518.69,0.0,44291.67,2340.0,44291.67,0.0,15160.02,8478.94,14756.13,437356.5,15589.2,403.89,7110.26,33278.309,318531.4,318531.4,196676.85,SANZ PUJOL SL_resum
2004-01-01,0.0,25788.16,268636.5,9015.18,63251.56,304177.49000000005,0.0,207727.22,11684.35,73958.13,85642.48,34466.94,242194.16,323466.94,174394.21000000002,0.0,524.49,524.49,584202.16,22100.23,584202.16,0.0,233.8,127021.0,5242.38,121778.62,295431.14,6.0,-52131.64,0.0,26442.339,314451.76,322518.69,0.0,72190.56,0.0,72190.56,0.0,73667.43999999999,51567.21,73958.13,437356.5,51567.21,-290.69,0.0,26397.87,395657.5,395657.5,260270.49,SANZ PUJOL SL_resum
2005-01-01,4777.78,25788.16,285925.83,9015.18,47910.06,304177.49000000005,0.0,204968.53,10899.33,56160.46,67059.789,30178.54,235147.07,360477.67,209744.6,0.0,411.71,411.71,589314.21,18830.58,589314.21,0.0,92.56,153076.6,11913.46,141163.14,266696.94,7.0,-52131.64,0.0,50778.76,351462.49000000005,322518.69,0.0,73746.98,4777.78,73746.98,0.0,55841.310000000005,37010.72899999999,56160.46,437356.5,37010.73,-319.15000000000003,0.0,50573.479,439002.43000000005,439002.43000000005,276896.95,SANZ PUJOL SL_resum
2006-01-01,18890.36,25788.16,309760.57,9015.18,54191.33,304177.49000000005,0.0,215319.61,9242.15,63559.22,72801.37000000001,27710.14,243029.75,405426.85,210596.81,0.41,702.9200000000001,702.9200000000001,661929.4400000001,18733.460000000003,661929.4400000001,0.0,123.83,205506.62,28215.82,177290.8,326602.1,8.0,-52131.64,0.0,66730.82,396411.67,322518.69,0.0,90949.98,18890.36,90949.98,0.0,63683.05,44949.59,63559.22,437356.5,44949.18,123.83,-0.41,65543.75,515267.19,515267.19,283521.6,SANZ PUJOL SL_resum
2007-01-01,8612.640000000001,25788.16,478407.709,9015.18,142601.54,304177.49000000005,0.0,284297.03,19323.06,168247.27000000002,187570.33,16523.367000000002,300820.398,528705.329,251202.27,0.0,994.13,994.13,880728.25,44658.3,880728.25,483.4,200.24,186183.56,9395.45,176788.11000000002,355992.66,9.0,-52131.64,0.0,177587.311,519690.149,322518.69,0.0,127273.3,8612.640000000001,127273.3,0.0,167453.37999999998,122795.08,168247.27000000002,437356.5,123278.48,-793.89,483.4,177327.4,664591.2699999999,664591.2699999999,439456.24,SANZ PUJOL SL_resum
2008-01-01,0.0,25788.16,355439.89,9015.18,106593.51,304177.49000000005,0.0,218388.15,14880.76,114837.81,129718.569,12177.9,204777.889,620418.08,255506.29,0.0,644.72,644.72,741533.99,30285.4,741533.99,0.0,7805.06,329071.19,0.0,329071.19,304177.49000000005,10.0,-52131.64,0.0,124873.84,611402.9,322518.69,0.0,38304.84,0.0,64093.0,0.0,121998.15,91712.75,114837.81,437356.5,91712.75,7160.34,0.0,65242.2,684511.08,684511.08,393029.92,SANZ PUJOL SL_resum
